,Contract,LastClose,ATR20,PC2016-07-07 00:00:00,ACT,usdATR,QTY,Close2016-07-07 00:00:00,vSTART,LastSEA,SEA2016-07-07 00:00:00,LastSRUN,SRUN2016-07-07 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-06 00:00:00,SIG2016-07-05 00:00:00,0.5LastSIG,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-06 00:00:00,0.5SIG2016-07-05 00:00:00,0.75LastSIG,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-06 00:00:00,0.75SIG2016-07-05 00:00:00,1LastSIG,1LastSAFEf,1finalQTY,1SIG2016-07-06 00:00:00,1SIG2016-07-05 00:00:00
CT,@CTZ6,65.15,1.3955,-0.00229709035222,-1.0,697.75,3.0,65.15,2016-06-28,-1.0,-1.0,6.0,6.0,-1.0,,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,
CU,@EUU6,1.1084,0.01199434,-0.00449074905694,-1.0,1499.2925,2.0,1.1084,2016-06-15,1.0,1.0,-15.0,-15.0,1.0,,2.0,1.0,,1.0,1.0,2.0,1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,
DX,@DXU6,96.383,0.83945,0.00262142285007,1.0,839.45,3.0,96.383,2016-06-23,-1.0,-1.0,-10.0,-10.0,-1.0,,3.0,-1.0,,1.0,1.0,3.0,1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
EBL,BDU6,167.57,0.927,-0.000894347722394,-1.0,1025.6328,2.0,167.57,2016-06-23,1.0,1.0,10.0,10.0,1.0,,2.0,1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
EBM,BLU6,133.86,0.2625,7.47104968251e-05,1.0,290.43,7.0,133.86,2016-06-23,1.0,1.0,10.0,10.0,1.0,,7.0,1.0,,-1.0,1.0,7.0,-1.0,,1.0,2.0,7.0,1.0,,1.0,2.0,7.0,1.0,
EBS,EZU6,112.12,0.072,4.45970655132e-05,1.0,79.6608,26.0,112.12,2016-06-24,1.0,1.0,-9.0,-9.0,1.0,,0.0,1.0,,1.0,1.0,0.0,1.0,,1.0,2.0,0.0,1.0,,1.0,2.0,0.0,1.0,
ED,@EDZ6,99.29,0.04475,-0.000151049796083,-1.0,111.875,18.0,99.29,2016-06-23,1.0,1.0,9.0,9.0,1.0,,0.0,1.0,,1.0,1.0,0.0,1.0,,1.0,2.0,0.0,1.0,,1.0,2.0,0.0,1.0,
EMD,@EMDU6,1488.6,26.466781563,0.00127799825116,1.0,2646.6781563,1.0,1488.6,2016-06-27,1.0,1.0,7.0,7.0,1.0,,1.0,1.0,,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,,-1.0,1.0,1.0,-1.0,
ES,@ESU6,2092.0,31.636709605,-0.000955109837631,-1.0,1581.83548025,2.0,2092.0,2016-06-27,1.0,1.0,7.0,7.0,1.0,,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,
FC,@GFQ6,143.625,3.0575,-0.00657098391838,-1.0,1528.75,2.0,143.625,2016-06-20,-1.0,-1.0,12.0,12.0,-1.0,,2.0,-1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
FCH,MTN6,4117.0,116.727632082,0.0078335373317,1.0,1291.47452135,2.0,4117.0,2016-07-01,-1.0,-1.0,10.0,10.0,-1.0,,2.0,-1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
FDX,DXMU6,9413.0,253.20530373,0.00582358283913,1.0,1400.73174023,2.0,9413.0,2016-07-01,-1.0,-1.0,-4.0,-4.0,-1.0,,2.0,-1.0,,1.0,1.0,2.0,1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
FEI,IEZ6,100.365,0.02575,-4.98156819768e-05,-1.0,71.2245,29.0,100.365,2016-06-16,1.0,1.0,15.0,15.0,1.0,,0.0,1.0,,1.0,1.0,0.0,1.0,,1.0,2.0,0.0,1.0,,1.0,2.0,0.0,1.0,
FFI,LFU6,6490.5,170.182472542,0.0116904372224,1.0,2197.90663288,1.0,6490.5,2016-06-29,1.0,1.0,6.0,6.0,1.0,,1.0,1.0,,-1.0,1.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,
FLG,LGU6,129.83,0.9995,-0.00123086391261,-1.0,1290.85425,2.0,129.83,2016-06-23,1.0,1.0,10.0,10.0,1.0,,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,
FSS,LLZ6,99.7,0.0565,-0.000100290843446,-1.0,91.2121875,22.0,99.7,2016-06-20,1.0,1.0,13.0,13.0,1.0,,0.0,1.0,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,,1.0,2.0,0.0,1.0,
FV,@FVU6,122.3671875,0.430859375,0.000127705765915,1.0,430.859375,5.0,122.3671875,2016-06-23,1.0,1.0,9.0,9.0,1.0,,5.0,1.0,,-1.0,1.0,5.0,-1.0,,1.0,1.0,5.0,1.0,,1.0,1.0,5.0,1.0,
GC,QGCQ6,1362.1,23.42,-0.00365737692927,-1.0,2342.0,1.0,1362.1,2016-06-23,1.0,1.0,-9.0,-9.0,1.0,,1.0,1.0,,-1.0,1.0,1.0,-1.0,,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,
HCM,HHIN6,8587.0,211.084040558,0.00999764761233,1.0,1358.32715932,2.0,8587.0,2016-06-24,1.0,1.0,-3.0,-3.0,1.0,,2.0,1.0,,-1.0,1.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
HG,QHGU6,212.35,5.0229378365,-0.0139308103088,-1.0,1255.73445912,2.0,212.35,2016-06-14,1.0,1.0,-3.0,-3.0,1.0,,2.0,1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,
HIC,HSIN6,20706.0,455.866968893,0.00955631399317,1.0,2933.50687833,1.0,20706.0,2016-06-27,1.0,1.0,-2.0,-2.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
HO,QHOQ6,1.4106,0.0543722225,-0.0411256882605,-1.0,2283.633345,1.0,1.4106,2016-06-29,1.0,1.0,5.0,5.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,-1.0,1.0,1.0,-1.0,,-1.0,1.0,1.0,-1.0,
JY,@JYU6,0.9947,0.013356861,0.00617034189763,1.0,1669.607625,2.0,0.9947,2016-06-23,1.0,1.0,9.0,9.0,1.0,,2.0,1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
KC,@KCU6,141.8,4.4,-0.0104675505932,-1.0,1650.0,2.0,141.8,2016-06-27,1.0,1.0,-7.0,-7.0,1.0,,2.0,1.0,,1.0,2.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,
KW,@KWU6,412.25,12.1822249585,-0.00602772754671,-1.0,609.111247925,4.0,412.25,2016-06-08,-1.0,-1.0,20.0,20.0,-1.0,,4.0,-1.0,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,,-1.0,2.0,4.0,-1.0,
LB,@LBU6,318.8,7.339119814,-0.00870646766169,-1.0,807.30317954,3.0,318.8,2016-06-28,-1.0,-1.0,6.0,6.0,-1.0,,3.0,-1.0,,1.0,1.0,3.0,1.0,,1.0,2.0,3.0,1.0,,1.0,2.0,3.0,1.0,
LC,@LEQ6,111.8,2.13875,-0.00886524822695,-1.0,855.5,3.0,111.8,2016-06-30,1.0,1.0,-4.0,-4.0,1.0,,3.0,1.0,,1.0,1.0,3.0,1.0,,1.0,2.0,3.0,1.0,,1.0,2.0,3.0,1.0,
LCO,EBZ6,48.13,1.7715,-0.0461751882679,-1.0,1771.5,2.0,48.13,2016-06-29,1.0,1.0,6.0,6.0,1.0,,2.0,1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,
LGO,GASQ6,424.0,16.3058131345,0.00236406619385,1.0,1630.58131345,2.0,424.0,2016-06-29,1.0,1.0,-6.0,-6.0,1.0,,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,-1.0,2.0,2.0,-1.0,
LH,@HEQ6,80.125,1.5475,-0.0062015503876,-1.0,619.0,4.0,80.125,2016-06-20,-1.0,-1.0,12.0,12.0,-1.0,,4.0,-1.0,,1.0,1.0,4.0,1.0,,-1.0,2.0,4.0,-1.0,,-1.0,2.0,4.0,-1.0,
LRC,LRCU6,1762.0,30.9271260085,0.00743281875357,1.0,309.271260085,7.0,1762.0,2016-06-27,1.0,1.0,-8.0,-8.0,1.0,,7.0,1.0,,-1.0,1.0,7.0,-1.0,,1.0,2.0,7.0,1.0,,1.0,2.0,7.0,1.0,
LSU,QWV6,543.6,12.08,-0.0291123414896,-1.0,604.0,4.0,543.6,2016-06-29,-1.0,-1.0,-6.0,-6.0,-1.0,,4.0,-1.0,,-1.0,2.0,4.0,-1.0,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,
MEM,@MMEU6,821.0,19.4763419915,-0.00243013365735,-1.0,973.817099575,3.0,821.0,2016-06-27,1.0,1.0,8.0,8.0,1.0,,3.0,1.0,,1.0,1.0,3.0,1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
MFX,IBN6,8008.8,278.580558563,0.0119276255939,1.0,3082.21529995,1.0,8008.8,2016-07-01,1.0,1.0,3.0,3.0,1.0,,1.0,1.0,,-1.0,1.0,1.0,-1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
MP,@PXU6,0.0526,0.000995,-0.00567107750473,-1.0,497.5,5.0,0.0526,2016-06-30,1.0,1.0,-4.0,-4.0,1.0,,5.0,1.0,,1.0,2.0,5.0,1.0,,-1.0,1.0,5.0,-1.0,,-1.0,1.0,5.0,-1.0,
MW,@MWU6,495.25,10.620099197,-0.01393728223,-1.0,531.00495985,4.0,495.25,2016-06-30,-1.0,-1.0,1.0,1.0,-1.0,,4.0,-1.0,,1.0,1.0,4.0,1.0,,-1.0,2.0,4.0,-1.0,,-1.0,2.0,4.0,-1.0,
NE,@NEU6,0.7197,0.009561503,0.0122362869198,1.0,956.1503,3.0,0.7197,2016-06-27,1.0,1.0,7.0,7.0,1.0,,3.0,1.0,,-1.0,1.0,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,1.0,2.0,3.0,1.0,
NG,QNGU6,2.764,0.095514971,-0.00468131076701,-1.0,955.14971,3.0,2.764,2016-06-16,-1.0,-1.0,3.0,3.0,-1.0,,3.0,-1.0,,1.0,1.0,3.0,1.0,,-1.0,1.0,3.0,-1.0,,-1.0,1.0,3.0,-1.0,
NIY,@NKDU6,15290.0,463.0,-0.00520494469746,-1.0,2297.53870584,1.0,15290.0,2016-06-28,-1.0,-1.0,6.0,6.0,-1.0,,1.0,-1.0,,-1.0,1.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,
NQ,@NQU6,4452.25,73.8240892865,0.00287194503886,1.0,1476.48178573,2.0,4452.25,2016-06-27,1.0,1.0,7.0,7.0,1.0,,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
O,@OZ6,195.5,6.53697479,0.0103359173127,1.0,326.8487395,7.0,195.5,2016-06-27,-1.0,-1.0,-7.0,-7.0,-1.0,,7.0,-1.0,,1.0,1.0,7.0,1.0,,-1.0,2.0,7.0,-1.0,,-1.0,2.0,7.0,-1.0,
OJ,@OJU6,185.9,5.096147789,0.0128030509398,1.0,764.42216835,3.0,185.9,2016-06-29,1.0,1.0,5.0,5.0,1.0,,3.0,1.0,,-1.0,1.0,3.0,-1.0,,1.0,2.0,3.0,1.0,,1.0,2.0,3.0,1.0,
PA,QPAU6,612.35,16.6,0.00790058431405,1.0,1660.0,2.0,612.35,2016-06-27,1.0,1.0,7.0,7.0,1.0,,2.0,1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,
PL,QPLV6,1095.1,22.5971352315,0.003482085586,1.0,1129.85676157,2.0,1095.1,2016-06-27,1.0,1.0,7.0,7.0,1.0,,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
RB,QRBQ6,1.3631,0.0580023815,-0.0487124014237,-1.0,2436.100023,1.0,1.3631,2016-06-23,1.0,1.0,9.0,9.0,1.0,,1.0,1.0,,-1.0,1.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,
RR,@RRU6,10.905,0.2645820075,0.0297450424929,1.0,529.164015,4.0,10.905,2016-06-20,1.0,1.0,-2.0,-2.0,1.0,,4.0,1.0,,1.0,1.0,4.0,1.0,,-1.0,2.0,4.0,-1.0,,-1.0,2.0,4.0,-1.0,
RS,@RSX6,462.3,11.17,-0.0364735306378,-1.0,171.925504079,12.0,462.3,2016-06-30,-1.0,-1.0,4.0,4.0,-1.0,,12.0,-1.0,,1.0,1.0,12.0,1.0,,-1.0,2.0,12.0,-1.0,,-1.0,2.0,12.0,-1.0,
S,@SX6,1024.75,32.7625,-0.045189843932,-1.0,1638.125,2.0,1024.75,2016-06-30,-1.0,-1.0,4.0,4.0,-1.0,,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
SB,@SBV6,19.73,0.641,-0.0408361691784,-1.0,717.92,3.0,19.73,2016-06-29,1.0,1.0,-5.0,-5.0,1.0,,3.0,1.0,,-1.0,2.0,3.0,-1.0,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,
SF,@SFU6,1.0254,0.008255,-0.00514213641215,-1.0,1031.875,2.0,1.0254,2016-06-23,1.0,1.0,-9.0,-9.0,1.0,,2.0,1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,
SI,QSIU6,1983.8,56.248327666,-0.0180666237687,-1.0,2812.4163833,1.0,1983.8,2016-06-27,1.0,1.0,7.0,7.0,1.0,,1.0,1.0,,-1.0,1.0,1.0,-1.0,,-1.0,1.0,1.0,-1.0,,1.0,2.0,1.0,1.0,
SIN,INN6,8369.5,121.642026122,0.00885969141755,1.0,243.284052245,9.0,8369.5,2016-06-24,1.0,1.0,9.0,9.0,-1.0,,9.0,-1.0,,1.0,1.0,9.0,1.0,,1.0,2.0,9.0,1.0,,1.0,2.0,9.0,1.0,
SJB,BBU6,153.57,0.3195,0.000456026058632,1.0,317.090115125,7.0,153.57,2016-06-22,1.0,1.0,11.0,11.0,1.0,,7.0,1.0,,-1.0,1.0,7.0,-1.0,,-1.0,1.0,7.0,-1.0,,1.0,2.0,7.0,1.0,
SM,@SMZ6,360.7,12.4832125365,-0.0460195715419,-1.0,1248.32125365,2.0,360.7,2016-06-30,-1.0,-1.0,4.0,4.0,-1.0,,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,
SMI,SWU6,7938.0,174.947739519,0.00697703919827,1.0,1787.36963138,2.0,7938.0,2016-06-27,-1.0,-1.0,8.0,8.0,-1.0,,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
SSG,SSN6,317.9,5.6010152475,-0.000628733102798,-1.0,835.972425,3.0,317.9,2016-06-27,1.0,1.0,7.0,7.0,1.0,,3.0,,1.0,-1.0,1.0,3.0,,-1.0,1.0,1.0,3.0,,1.0,1.0,1.0,3.0,,1.0
STW,TWN6,318.1,5.6383957225,0.0114467408585,1.0,563.83957225,4.0,318.1,2016-06-24,1.0,1.0,-1.0,-1.0,1.0,,4.0,1.0,,1.0,1.0,4.0,1.0,,-1.0,2.0,4.0,-1.0,,-1.0,2.0,4.0,-1.0,
SXE,EXU6,2774.0,85.1600460675,0.00726216412491,1.0,942.210749691,3.0,2774.0,2016-07-01,-1.0,-1.0,4.0,4.0,-1.0,,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
TF,@TFSU6,1146.1,23.567833464,0.00157301406974,1.0,2356.7833464,1.0,1146.1,2016-06-27,1.0,1.0,8.0,8.0,-1.0,,1.0,-1.0,,-1.0,2.0,1.0,-1.0,,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,
TU,@TUU6,109.6328125,0.147265625,-0.000142500890631,-1.0,294.53125,7.0,109.6328125,2016-06-23,1.0,1.0,13.0,13.0,1.0,,7.0,1.0,,1.0,1.0,7.0,1.0,,-1.0,2.0,7.0,-1.0,,-1.0,2.0,7.0,-1.0,
TY,@TYU6,133.6875,0.75,0.000116890707189,1.0,750.0,3.0,133.6875,2016-06-23,1.0,1.0,9.0,9.0,1.0,,3.0,1.0,,-1.0,1.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
US,@USU6,176.25,1.971875,0.00213219616205,1.0,1971.875,2.0,176.25,2016-06-23,1.0,1.0,9.0,9.0,1.0,,2.0,1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,
VX,@VXN6,15.925,2.2675,-0.015455950541,-1.0,2267.5,1.0,15.925,2016-06-27,-1.0,-1.0,-1.0,-1.0,-1.0,,1.0,-1.0,,1.0,1.0,1.0,1.0,,-1.0,2.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,
W,@WU6,425.5,12.8790314135,-0.00700116686114,-1.0,643.951570675,4.0,425.5,2016-06-28,1.0,1.0,6.0,6.0,1.0,,4.0,1.0,,-1.0,1.0,4.0,-1.0,,-1.0,2.0,4.0,-1.0,,-1.0,2.0,4.0,-1.0,
YA,APU6,5192.0,88.301907515,0.00737291424137,1.0,1650.36265146,2.0,5192.0,2016-06-28,1.0,1.0,7.0,7.0,-1.0,,2.0,-1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,-1.0,1.0,2.0,-1.0,
YB,HBSU6,98.14,0.04,0.000101905635382,1.0,71.7696,28.0,98.14,2016-06-24,1.0,1.0,-9.0,-9.0,1.0,,0.0,1.0,,1.0,1.0,0.0,1.0,,-1.0,2.0,0.0,-1.0,,-1.0,2.0,0.0,-1.0,
YM,@YMU6,17818.0,246.261498357,-0.000897162722889,-1.0,1231.30749178,2.0,17818.0,2016-06-27,1.0,1.0,7.0,7.0,1.0,,2.0,1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,1.0,2.0,1.0,
YT2,HTSU6,98.56,0.078002667,0.0,1.0,163.281422778,13.0,98.56,2016-06-23,1.0,1.0,10.0,10.0,1.0,,13.0,1.0,,1.0,1.0,13.0,1.0,,1.0,2.0,13.0,1.0,,1.0,2.0,13.0,1.0,
YT3,HXSU6,98.125,0.094699717,-5.09528176907e-05,-1.0,566.380067434,4.0,98.125,2016-06-23,1.0,1.0,10.0,10.0,1.0,,4.0,1.0,,-1.0,1.0,4.0,-1.0,,-1.0,1.0,4.0,-1.0,,1.0,2.0,4.0,1.0,
