,Contract,LastClose,ATR20,PC2016-07-05 00:00:00,ACT,usdATR,QTY,Close2016-07-05 00:00:00,PC2016-07-04 00:00:00,Close2016-07-04 00:00:00,vSTART,LastSEA,SEA2016-07-05 00:00:00,LastSRUN,SRUN2016-07-05 00:00:00,SEA2016-07-04 00:00:00,SRUN2016-07-04 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-05 00:00:00,SIG2016-07-04 00:00:00,0.5LastSIG,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-05 00:00:00,0.5SIG2016-07-04 00:00:00,0.75LastSIG,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-05,0.75SIG2016-07-04,1LastSIG,1LastSAFEf,1finalQTY,1SIG2016-07-05 00:00:00,1SIG2016-07-04 00:00:00
FLG,LGU6,129.84,0.971,0.00510915002322,1.0,1258.44513,2.0,129.84,,,2016-06-23,1.0,1.0,8.0,8.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,
FSS,LLZ6,99.73,0.0555,0.000200581686892,1.0,89.91208125,23.0,99.73,,,2016-06-20,1.0,1.0,11.0,11.0,,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,
FV,@FVU6,122.484375,0.412109375,0.00281437891774,1.0,412.109375,5.0,122.484375,,,2016-06-23,1.0,1.0,7.0,7.0,,,-1.0,1.0,5.0,-1.0,,-1.0,1.0,5.0,-1.0,,1.0,2.0,5.0,1.0,,1.0,2.0,5.0,1.0,
GC,QGCQ6,1358.7,23.15,0.014712471994,1.0,2315.0,1.0,1358.7,,,2016-06-23,1.0,1.0,-7.0,-7.0,,,-1.0,1.0,1.0,-1.0,,-1.0,1.0,1.0,-1.0,,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,
HCM,HHIN6,8632.0,205.306622905,-0.0167445039298,-1.0,1321.14943955,2.0,8632.0,,,2016-06-24,1.0,1.0,-1.0,-1.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
HG,QHGU6,218.35,5.025558417,-0.0151105096978,-1.0,1256.38960425,2.0,218.35,,,2016-06-14,1.0,1.0,14.0,14.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,
HIC,HSIN6,20725.0,439.049572461,-0.0148778400989,-1.0,2825.28682407,1.0,20725.0,,,2016-06-27,1.0,1.0,5.0,5.0,,,-1.0,1.0,1.0,-1.0,,-1.0,1.0,1.0,-1.0,,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,
HO,QHOQ6,1.4456,0.0501728885,-0.0435990737678,-1.0,2107.261317,1.0,1.4456,,,2016-06-27,1.0,1.0,3.0,3.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,-1.0,2.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,
JY,@JYU6,0.98705,0.012938806,0.00946001227245,1.0,1617.35075,2.0,0.98705,,,2016-06-23,1.0,1.0,7.0,7.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
KC,@KCU6,145.55,4.9845673605,-0.00580601092896,-1.0,1869.21276019,2.0,145.55,,,2016-06-27,1.0,1.0,-5.0,-5.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,
KW,@KWU6,416.5,12.4596880125,0.0121506682868,1.0,622.984400625,4.0,416.5,,,2016-06-08,-1.0,-1.0,18.0,18.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,,-1.0,2.0,4.0,-1.0,
LB,@LBU6,322.8,7.6069611795,0.0247619047619,1.0,836.765729745,3.0,322.8,,,2016-06-28,-1.0,-1.0,4.0,4.0,,,-1.0,1.0,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,1.0,2.0,3.0,1.0,,1.0,2.0,3.0,1.0,
LC,@LEQ6,113.65,2.2075,0.00597477317991,1.0,883.0,3.0,113.65,,,2016-06-24,1.0,1.0,6.0,6.0,,,-1.0,1.0,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,1.0,2.0,3.0,1.0,,1.0,2.0,3.0,1.0,
LCO,EBZ6,49.58,1.6465,-0.0406346749226,-1.0,1646.5,2.0,49.58,,,2016-06-29,1.0,1.0,4.0,4.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
LGO,GASQ6,424.0,15.213796505,-0.039637599094,-1.0,1521.3796505,2.0,424.0,,,2016-06-29,1.0,1.0,-4.0,-4.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
LH,@HEQ6,83.25,1.48,-0.00833829660512,-1.0,592.0,4.0,83.25,,,2016-06-20,-1.0,-1.0,10.0,10.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,,-1.0,2.0,4.0,-1.0,,-1.0,2.0,4.0,-1.0,
LRC,LRCU6,1759.0,33.8824953445,-0.00509049773756,-1.0,338.824953445,6.0,1759.0,,,2016-06-27,1.0,1.0,-6.0,-6.0,,,-1.0,1.0,6.0,-1.0,,-1.0,1.0,6.0,-1.0,,1.0,1.0,6.0,1.0,,1.0,1.0,6.0,1.0,
LSU,QWV6,567.2,11.415,0.00567375886525,1.0,570.75,4.0,567.2,,,2016-05-26,-1.0,-1.0,27.0,27.0,,,-1.0,1.0,4.0,-1.0,,-1.0,1.0,4.0,-1.0,,1.0,2.0,4.0,1.0,,1.0,2.0,4.0,1.0,
MEM,@MMEU6,843.0,19.235619048,,1.0,961.7809524,3.0,,0.0,843.0,2016-06-27,-1.0,,5.0,,-1.0,5.0,-1.0,1.0,3.0,,-1.0,-1.0,1.0,3.0,,-1.0,1.0,2.0,3.0,,1.0,1.0,2.0,3.0,,1.0
MFX,IBN6,8062.0,281.24951595,-0.0206273233072,-1.0,3107.61027659,1.0,8062.0,,,2016-06-27,-1.0,-1.0,-2.0,-2.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
MP,@PXU6,0.05277,0.000998231,-0.0218721037998,-1.0,499.1155,5.0,0.05277,,,2016-06-27,1.0,1.0,-2.0,-2.0,,,1.0,1.0,5.0,1.0,,1.0,1.0,5.0,1.0,,-1.0,2.0,5.0,-1.0,,-1.0,2.0,5.0,-1.0,
MW,@MWU6,508.25,10.1996516295,0.0165,1.0,509.982581475,4.0,508.25,,,2016-06-22,-1.0,-1.0,8.0,8.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,,-1.0,2.0,4.0,-1.0,,-1.0,2.0,4.0,-1.0,
NE,@NEU6,0.712,0.009668552,-0.0029407645988,-1.0,966.8552,3.0,0.712,,,2016-06-27,1.0,1.0,5.0,5.0,,,-1.0,1.0,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,1.0,2.0,3.0,1.0,
NG,QNGU6,2.758,0.096173622,-0.0748071117075,-1.0,961.73622,3.0,2.758,,,2016-06-16,-1.0,-1.0,1.0,1.0,,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
NIY,@NKDU6,15445.0,463.386486568,-0.00739074550129,-1.0,2290.8171177,1.0,15445.0,,,2016-06-28,-1.0,-1.0,4.0,4.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,-1.0,2.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,
NQ,@NQU6,4404.0,71.157050592,-0.00659786838098,-1.0,1423.14101184,2.0,4404.0,,,2016-06-27,1.0,1.0,5.0,5.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
O,@OZ6,191.5,7.1125,-0.0064850843061,-1.0,355.625,6.0,191.5,,,2016-06-27,-1.0,-1.0,-5.0,-5.0,,,1.0,1.0,6.0,1.0,,1.0,1.0,6.0,1.0,,-1.0,2.0,6.0,-1.0,,-1.0,2.0,6.0,-1.0,
OJ,@OJU6,183.6,5.080857056,0.0300140252454,1.0,762.1285584,3.0,183.6,,,2016-05-25,1.0,1.0,-27.0,-27.0,,,-1.0,1.0,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,1.0,2.0,3.0,1.0,,1.0,2.0,3.0,1.0,
PA,QPAU6,602.65,16.6275,-0.00495335589862,-1.0,1662.75,2.0,602.65,,,2016-06-27,1.0,1.0,5.0,5.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,
PL,QPLV6,1076.9,22.6419501775,0.0187304890739,1.0,1132.09750887,2.0,1076.9,,,2016-06-27,1.0,1.0,5.0,5.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
RB,QRBQ6,1.4287,0.053715847,-0.0560290716881,-1.0,2256.065574,1.0,1.4287,,,2016-06-23,1.0,1.0,7.0,7.0,,,-1.0,1.0,1.0,-1.0,,-1.0,1.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,
RR,@RRU6,10.31,0.2691457785,-0.0133971291866,-1.0,538.291557,4.0,10.31,,,2016-06-20,1.0,1.0,10.0,10.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,,-1.0,2.0,4.0,-1.0,,-1.0,2.0,4.0,-1.0,
RS,@RSX6,483.1,10.315,-0.0212722852512,-1.0,158.563017847,13.0,483.1,,,2016-06-24,-1.0,-1.0,2.0,2.0,,,1.0,1.0,13.0,1.0,,1.0,1.0,13.0,1.0,,1.0,1.0,13.0,1.0,,-1.0,2.0,13.0,-1.0,
S,@SX6,1077.25,31.124338329,-0.052967032967,-1.0,1556.21691645,2.0,1077.25,,,2016-06-24,-1.0,-1.0,2.0,2.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
SB,@SBV6,20.87,0.6080777665,0.00433108758422,1.0,681.04709848,3.0,20.87,,,2016-05-24,1.0,1.0,28.0,28.0,,,-1.0,1.0,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,1.0,2.0,3.0,1.0,,1.0,2.0,3.0,1.0,
SF,@SFU6,1.0273,0.008459045,-0.00368538454078,-1.0,1057.380625,2.0,1.0273,,,2016-06-23,1.0,1.0,-7.0,-7.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,
SI,QSIU6,1990.7,54.4016400615,0.0162854809067,1.0,2720.08200307,1.0,1990.7,,,2016-06-27,1.0,1.0,5.0,5.0,,,-1.0,1.0,1.0,-1.0,,-1.0,1.0,1.0,-1.0,,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,
SIN,INN6,8358.0,122.412233048,-0.00405147759771,-1.0,244.824466096,9.0,8358.0,,,2016-06-24,-1.0,-1.0,7.0,7.0,,,-1.0,1.0,9.0,-1.0,,-1.0,1.0,9.0,-1.0,,1.0,2.0,9.0,1.0,,1.0,2.0,9.0,1.0,
SJB,BBU6,153.36,0.3155,0.000195656427314,1.0,311.943840221,7.0,153.36,,,2016-06-22,1.0,1.0,9.0,9.0,,,-1.0,1.0,7.0,-1.0,,-1.0,1.0,7.0,-1.0,,-1.0,1.0,7.0,-1.0,,1.0,2.0,7.0,1.0,
SM,@SMZ6,378.0,11.789833496,-0.0502512562814,-1.0,1178.9833496,2.0,378.0,,,2016-06-24,-1.0,-1.0,2.0,2.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
SMI,SWU6,7898.0,179.088664739,-0.0148434576525,-1.0,1832.7278236,2.0,7898.0,,,2016-06-27,-1.0,-1.0,6.0,6.0,,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
SSG,SSN6,318.1,5.5206380405,-0.00500469189865,-1.0,823.97582694,3.0,318.1,,,2016-06-27,1.0,1.0,6.0,6.0,,,-1.0,1.0,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,
STW,TWN6,319.8,5.3922050965,-0.00590612371775,-1.0,539.22050965,4.0,319.8,,,2016-06-24,1.0,1.0,7.0,7.0,,,-1.0,1.0,4.0,-1.0,,-1.0,1.0,4.0,-1.0,,1.0,2.0,4.0,1.0,,1.0,2.0,4.0,1.0,
SXE,EXU6,2807.0,85.7837349405,-0.0175008750438,-1.0,947.850222478,3.0,2807.0,,,2016-06-27,-1.0,-1.0,8.0,8.0,,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
TF,@TFSU6,1135.4,23.345955364,-0.0162883382429,-1.0,2334.5955364,1.0,1135.4,,,2016-06-27,-1.0,-1.0,-6.0,-6.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
TU,@TUU6,109.7109375,0.141015625,0.000712606000143,1.0,282.03125,8.0,109.7109375,,,2016-06-23,1.0,1.0,11.0,11.0,,,-1.0,1.0,8.0,-1.0,,-1.0,1.0,8.0,-1.0,,1.0,2.0,8.0,1.0,,1.0,2.0,8.0,1.0,
TY,@TYU6,133.890625,0.71875,0.00610543618645,1.0,718.75,3.0,133.890625,,,2016-06-23,1.0,1.0,7.0,7.0,,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
US,@USU6,176.25,1.9328125,0.0147535084563,1.0,1932.8125,2.0,176.25,,,2016-06-23,1.0,1.0,7.0,7.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
VX,@VXN6,16.825,2.1688359765,0.00298062593145,1.0,2168.8359765,1.0,16.825,,,2016-06-27,-1.0,-1.0,-1.0,-1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,-1.0,2.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,
W,@WU6,433.5,13.118612565,0.00755374782103,1.0,655.93062825,4.0,433.5,,,2016-06-28,-1.0,-1.0,4.0,4.0,,,-1.0,1.0,4.0,-1.0,,-1.0,1.0,4.0,-1.0,,-1.0,2.0,4.0,-1.0,,-1.0,2.0,4.0,-1.0,
YA,APU6,5186.0,85.0644508675,-0.0121904761905,-1.0,1591.23688404,2.0,5186.0,,,2016-06-28,1.0,1.0,5.0,5.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,
YB,HBSU6,98.1,0.039,0.0,1.0,70.0362,29.0,98.1,,,2016-06-24,1.0,1.0,-7.0,-7.0,,,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,
YM,@YMU6,17762.0,236.907429446,-0.00582111272809,-1.0,1184.53714723,2.0,17762.0,,,2016-06-27,1.0,1.0,5.0,5.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
YT2,HTSU6,98.52,0.076007239,0.000304599451721,1.0,159.242766429,13.0,98.52,,,2016-06-23,1.0,1.0,8.0,8.0,,,-1.0,1.0,13.0,-1.0,,-1.0,1.0,13.0,-1.0,,1.0,1.0,13.0,1.0,,1.0,1.0,13.0,1.0,
YT3,HXSU6,98.05,0.09134866,0.000663366841864,1.0,546.81307876,4.0,98.05,,,2016-06-23,1.0,1.0,8.0,8.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,
