,Contract,LastClose,ATR20,PC2016-07-08 00:00:00,ACT,usdATR,QTY,Close2016-07-08 00:00:00,PC2016-07-07 00:00:00,Close2016-07-07 00:00:00,vSTART,LastSEA,SEA2016-07-08 00:00:00,LastSRUN,SRUN2016-07-08 00:00:00,SEA2016-07-07 00:00:00,SRUN2016-07-07 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-07 00:00:00,0.5LastSIG,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-07 00:00:00,0.75LastSIG,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-07 00:00:00,1LastSIG,1LastSAFEf,1finalQTY,1SIG2016-07-07 00:00:00
FV,@FVU6,122.3984375,0.44140625,0.00025537891847,1.0,441.40625,5.0,122.3984375,,,2016-06-23,1.0,1.0,10.0,10.0,,,1.0,,5.0,1.0,-1.0,1.0,5.0,-1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0
GC,QGCQ6,1358.4,24.515,-0.00271639380369,-1.0,2451.5,1.0,1358.4,,,2016-06-23,1.0,1.0,-10.0,-10.0,,,1.0,,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
HCM,HHIN6,8530.0,204.164734498,-0.00663794107372,-1.0,1313.8013803,2.0,8530.0,,,2016-06-24,1.0,1.0,9.0,9.0,,,-1.0,,2.0,-1.0,1.0,1.0,2.0,1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
HG,QHGU6,211.9,5.010405057,-0.00211914292442,-1.0,1252.60126425,2.0,211.9,,,2016-07-01,1.0,1.0,-4.0,-4.0,,,-1.0,,2.0,-1.0,-1.0,2.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
HIC,HSIN6,20559.0,450.284638066,-0.00709939148073,-1.0,2897.58454354,1.0,20559.0,,,2016-06-27,1.0,1.0,8.0,8.0,,,-1.0,,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,2.0,1.0,-1.0,-1.0,2.0,1.0,-1.0
HO,QHOQ6,1.4123,0.0538233605,0.00120516092443,1.0,2260.581141,1.0,1.4123,,,2016-06-29,1.0,1.0,6.0,6.0,,,-1.0,,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,2.0,1.0,-1.0,-1.0,2.0,1.0,-1.0
JY,@JYU6,0.9979,0.01368,0.00321705036694,1.0,1710.0,2.0,0.9979,,,2016-06-23,1.0,1.0,10.0,10.0,,,1.0,,2.0,1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
KC,@KCU6,144.1,4.24,0.0162200282087,1.0,1590.0,2.0,144.1,,,2016-06-27,1.0,1.0,-8.0,-8.0,,,-1.0,,2.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
KW,@KWU6,421.25,11.920792282,0.0218314129776,1.0,596.0396141,4.0,421.25,,,2016-06-08,-1.0,-1.0,21.0,21.0,,,-1.0,,4.0,-1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,-1.0,2.0,4.0,-1.0
LB,@LBU6,319.2,7.0655923705,0.00125470514429,1.0,777.215160755,3.0,319.2,,,2016-06-28,-1.0,-1.0,7.0,7.0,,,-1.0,,3.0,-1.0,-1.0,1.0,3.0,-1.0,-1.0,2.0,3.0,-1.0,-1.0,2.0,3.0,-1.0
LC,@LEQ6,112.225,2.17,0.00380143112701,1.0,868.0,3.0,112.225,,,2016-06-30,1.0,1.0,1.0,1.0,,,-1.0,,3.0,-1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,-1.0,2.0,3.0,-1.0
LCO,EBZ6,48.54,1.7675,0.0085185954706,1.0,1767.5,2.0,48.54,,,2016-06-29,1.0,1.0,7.0,7.0,,,-1.0,,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
LGO,GASQ6,414.25,16.477712796,-0.0229952830189,-1.0,1647.7712796,2.0,414.25,,,2016-06-29,1.0,1.0,-7.0,-7.0,,,-1.0,,2.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,2.0,-1.0
LH,@HEQ6,78.825,1.575,-0.016224648986,-1.0,630.0,4.0,78.825,,,2016-06-20,-1.0,-1.0,13.0,13.0,,,-1.0,,4.0,-1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,-1.0,2.0,4.0,-1.0
LRC,LRCU6,1797.0,31.040192427,0.0198637911464,1.0,310.40192427,7.0,1797.0,,,2016-06-27,1.0,1.0,-9.0,-9.0,,,-1.0,,7.0,-1.0,-1.0,1.0,7.0,-1.0,1.0,2.0,7.0,1.0,1.0,2.0,7.0,1.0
LSU,QWV6,540.8,12.19,-0.00515084621045,-1.0,609.5,4.0,540.8,,,2016-06-29,-1.0,-1.0,7.0,7.0,,,-1.0,,4.0,-1.0,1.0,1.0,4.0,1.0,-1.0,2.0,4.0,-1.0,-1.0,2.0,4.0,-1.0
MEM,@MMEU6,838.1,19.825844156,0.0208282582217,1.0,991.2922078,3.0,838.1,,,2016-06-27,1.0,1.0,9.0,9.0,,,-1.0,,3.0,-1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
MFX,IBN6,8182.0,281.254747583,0.0216262111677,1.0,3108.98997978,1.0,8182.0,,,2016-07-04,-1.0,-1.0,4.0,4.0,,,-1.0,,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,-1.0,2.0,1.0,-1.0
MP,@PXU6,0.05367,0.000986,0.0203422053232,1.0,493.0,5.0,0.05367,,,2016-06-30,1.0,1.0,1.0,1.0,,,-1.0,,5.0,-1.0,1.0,1.0,5.0,1.0,-1.0,2.0,5.0,-1.0,-1.0,2.0,5.0,-1.0
MW,@MWU6,501.0,10.025578649,0.0116102978294,1.0,501.27893245,4.0,501.0,,,2016-06-30,-1.0,-1.0,2.0,2.0,,,-1.0,,4.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,2.0,4.0,-1.0,-1.0,2.0,4.0,-1.0
NE,@NEU6,0.7269,0.009555,0.0100041684035,1.0,955.5,3.0,0.7269,,,2016-06-27,1.0,1.0,8.0,8.0,,,-1.0,,3.0,-1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
NG,QNGU6,2.788,0.0957106935,0.00868306801737,1.0,957.106935,3.0,2.788,,,2016-07-01,-1.0,-1.0,4.0,4.0,,,-1.0,,3.0,-1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
NIY,@NKDU6,15340.0,454.75,0.00327011118378,1.0,2263.33864225,1.0,15340.0,,,2016-06-28,-1.0,-1.0,7.0,7.0,,,-1.0,,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,2.0,1.0,-1.0,-1.0,2.0,1.0,-1.0
NQ,@NQU6,4517.25,74.6046753725,0.0145993598742,1.0,1492.09350745,2.0,4517.25,,,2016-06-27,1.0,1.0,8.0,8.0,,,-1.0,,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0
O,@OZ6,197.5,6.305882353,0.0102301790281,1.0,315.29411765,7.0,197.5,,,2016-06-27,-1.0,-1.0,-8.0,-8.0,,,-1.0,,7.0,-1.0,1.0,1.0,7.0,1.0,1.0,1.0,7.0,1.0,-1.0,2.0,7.0,-1.0
OJ,@OJU6,187.95,5.0903740155,0.0110274341044,1.0,763.556102325,3.0,187.95,,,2016-06-29,1.0,1.0,-2.0,-2.0,,,-1.0,,3.0,-1.0,-1.0,1.0,3.0,-1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
PA,QPAU6,617.1,16.5775,0.00775700171471,1.0,1657.75,2.0,617.1,,,2016-06-27,1.0,1.0,8.0,8.0,,,-1.0,,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
PL,QPLV6,1100.2,23.295266904,0.00465710893982,1.0,1164.7633452,2.0,1100.2,,,2016-06-27,1.0,1.0,8.0,8.0,,,1.0,,2.0,1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
RB,QRBQ6,1.3708,0.056265762,0.00564888856283,1.0,2363.162004,1.0,1.3708,,,2016-06-23,1.0,1.0,10.0,10.0,,,-1.0,,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,1.0,1.0
RR,@RRU6,10.625,0.270278073,-0.0256762952774,-1.0,540.556146,4.0,10.625,,,2016-06-20,1.0,1.0,-3.0,-3.0,,,-1.0,,4.0,-1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0
RS,@RSX6,470.0,11.375,0.0166558511789,1.0,174.476570289,12.0,470.0,,,2016-06-30,-1.0,-1.0,5.0,5.0,,,-1.0,,12.0,-1.0,-1.0,1.0,12.0,-1.0,-1.0,2.0,12.0,-1.0,-1.0,2.0,12.0,-1.0
S,@SX6,1057.75,32.95,0.0322029763357,1.0,1647.5,2.0,1057.75,,,2016-06-30,-1.0,-1.0,-1.0,-1.0,,,-1.0,,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
SB,@SBV6,19.57,0.6385,-0.00810947795236,-1.0,715.12,3.0,19.57,,,2016-06-29,1.0,1.0,-6.0,-6.0,,,-1.0,,3.0,-1.0,1.0,1.0,3.0,1.0,-1.0,2.0,3.0,-1.0,-1.0,2.0,3.0,-1.0
SF,@SFU6,1.0212,0.00867,-0.0040959625512,-1.0,1083.75,2.0,1.0212,,,2016-06-23,1.0,1.0,-10.0,-10.0,,,-1.0,,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,1.0,2.0,1.0
SI,QSIU6,2009.9,60.694714458,0.0131565682024,1.0,3034.7357229,1.0,2009.9,,,2016-06-27,1.0,1.0,8.0,8.0,,,1.0,,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0
SIN,INN6,8335.0,120.083355454,-0.00412211004242,-1.0,240.166710908,9.0,8335.0,,,2016-06-24,-1.0,-1.0,10.0,10.0,,,-1.0,,9.0,-1.0,-1.0,1.0,9.0,-1.0,-1.0,2.0,9.0,-1.0,-1.0,2.0,9.0,-1.0
SJB,BBU6,153.68,0.327,0.000716285732891,1.0,325.502687637,7.0,153.68,,,2016-06-22,1.0,1.0,12.0,12.0,,,1.0,,7.0,1.0,-1.0,1.0,7.0,-1.0,-1.0,1.0,7.0,-1.0,1.0,2.0,7.0,1.0
SM,@SMZ6,370.3,12.35,0.0266149154422,1.0,1235.0,2.0,370.3,,,2016-06-30,-1.0,-1.0,5.0,5.0,,,-1.0,,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
SMI,SWU6,8004.0,170.889702984,0.00831443688587,1.0,1737.56688341,2.0,8004.0,,,2016-06-27,-1.0,-1.0,9.0,9.0,,,-1.0,,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
SSG,SSN6,316.1,5.5689767245,-0.00566215791129,-1.0,831.190555896,3.0,316.1,,,2016-06-27,1.0,1.0,8.0,8.0,,,-1.0,,3.0,-1.0,-1.0,1.0,3.0,-1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
STW,TWN6,318.1,5.6383957225,,1.0,563.83957225,4.0,,0.0114467408585,318.1,2016-06-24,1.0,,-1.0,,1.0,-1.0,-1.0,,4.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0
SXE,EXU6,2832.0,85.675637846,0.0209084354722,1.0,947.05850075,3.0,2832.0,,,2016-07-01,-1.0,-1.0,-5.0,-5.0,,,-1.0,,3.0,-1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
TF,@TFSU6,1173.5,24.2568271995,0.0239071634238,1.0,2425.68271995,1.0,1173.5,,,2016-06-27,1.0,1.0,9.0,9.0,,,-1.0,,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
TU,@TUU6,109.59375,0.15,-0.000356303000071,-1.0,300.0,7.0,109.59375,,,2016-06-23,1.0,1.0,14.0,14.0,,,1.0,,7.0,1.0,1.0,1.0,7.0,1.0,-1.0,2.0,7.0,-1.0,-1.0,2.0,7.0,-1.0
TY,@TYU6,133.796875,0.76796875,0.000818139317438,1.0,767.96875,3.0,133.796875,,,2016-06-23,1.0,1.0,10.0,10.0,,,1.0,,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
US,@USU6,176.9375,2.0078125,0.00390070921986,1.0,2007.8125,1.0,176.9375,,,2016-06-23,1.0,1.0,10.0,10.0,,,1.0,,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,1.0,1.0
VX,@VXQ6,16.775,2.564318528,-0.0722135008509,-1.0,2564.318528,1.0,16.775,,,2016-06-27,-1.0,-1.0,-2.0,-2.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,-1.0,2.0,1.0,-1.0
W,@WU6,435.0,12.7435994765,0.0223266745006,1.0,637.179973825,4.0,435.0,,,2016-06-28,1.0,1.0,7.0,7.0,,,-1.0,,4.0,-1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,-1.0,2.0,4.0,-1.0
YA,APU6,5189.0,87.3790173415,-0.00057781201849,-1.0,1653.64790319,2.0,5189.0,,,2016-06-28,1.0,1.0,8.0,8.0,,,-1.0,,2.0,-1.0,1.0,2.0,2.0,1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
YB,HBSU6,98.13,0.041,-0.000101895251681,-1.0,74.4888,27.0,98.13,,,2016-06-24,1.0,1.0,-10.0,-10.0,,,1.0,,0.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0
YM,@YMU6,18038.0,252.457843137,0.012347064766,1.0,1262.28921569,2.0,18038.0,,,2016-06-27,1.0,1.0,8.0,8.0,,,-1.0,,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0
YT2,HTSU6,98.54,0.0787517145,-0.000202922077922,-1.0,166.922134054,12.0,98.54,,,2016-06-23,1.0,1.0,11.0,11.0,,,1.0,,12.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,12.0,1.0
YT3,HXSU6,98.11,0.09635,-0.000152866242038,-1.0,583.4956,4.0,98.11,,,2016-06-23,1.0,1.0,11.0,11.0,,,1.0,,4.0,1.0,-1.0,1.0,4.0,-1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0
