2016-08-12 00:00:00,Contract,LastClose,ATR20,PC2016-08-12 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,contractValue,Close2016-08-12 00:00:00,RiskOn,group,SEA2016-08-12 00:00:00,SRUN2016-08-12 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-11 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-11 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-11 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-11 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6
GC,QGCZ6,1343.2,16.9915623335,-0.00503703703704,-1.0,-1.0,-1.0,-1.0,1.0,-8.0,2016-08-02,1699.15623335,2.0,1.0,134320.0,1343.2,-1.0,metal,1.0,-8.0,-1.0,1.0,-7.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,1,-1353.14962963,1353.14962963,1353.14962963,-1353.14962963,1353.14962963,-1353.14962963,1353.14962963,1353.14962963,1353.14962963,1353.14962963,-1353.14962963,-1353.14962963,-1353.14962963,1353.14962963,1353.14962963,-1353.14962963,1353.14962963,1353.14962963,1353.14962963,1353.14962963,-1353.14962963,1353.14962963
HCM,HHIQ6,9546.0,133.063898099,0.0135909959652,1.0,-1.0,-1.0,-1.0,-1.0,-8.0,2016-08-01,856.267040537,3.0,1.0,61428.5714286,9546.0,1.0,index,-1.0,-8.0,1.0,-1.0,-7.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1,-1,1.0,-1,1,-1,-1,-1,1,-1,-1,2504.6263993,2504.6263993,2504.6263993,-2504.6263993,2504.6263993,-2504.6263993,2504.6263993,-2504.6263993,-2504.6263993,-2504.6263993,2504.6263993,2504.6263993,-2504.6263993,2504.6263993,2504.6263993,-2504.6263993,2504.6263993,-2504.6263993,-2504.6263993,-2504.6263993,2504.6263993,-2504.6263993
HG,QHGZ6,215.15,4.0551787385,-0.0232770424373,-1.0,1.0,1.0,-1.0,-1.0,10.0,2016-07-29,1013.79468462,2.0,1.0,53787.5,215.15,1.0,metal,-1.0,10.0,1.0,-1.0,9.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1,-1,1,-1,-1.0,1,1,-1,1,1,1,1,-1,-2504.02784019,2504.02784019,-2504.02784019,2504.02784019,-2504.02784019,2504.02784019,-2504.02784019,-2504.02784019,-2504.02784019,2504.02784019,-2504.02784019,2504.02784019,2504.02784019,-2504.02784019,2504.02784019,-2504.02784019,-2504.02784019,2504.02784019,-2504.02784019,-2504.02784019,-2504.02784019,-2504.02784019
HIC,HSIQ6,22757.0,276.024013606,0.00873226950355,1.0,-1.0,1.0,-1.0,-1.0,-8.0,2016-08-01,1776.21630377,2.0,1.0,146441.441441,22757.0,1.0,index,-1.0,-8.0,1.0,-1.0,-7.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1,-1,1.0,-1,1,1,-1,1,1,1,-1,2557.53226631,2557.53226631,2557.53226631,-2557.53226631,2557.53226631,-2557.53226631,2557.53226631,-2557.53226631,2557.53226631,-2557.53226631,2557.53226631,2557.53226631,-2557.53226631,2557.53226631,2557.53226631,-2557.53226631,2557.53226631,2557.53226631,-2557.53226631,2557.53226631,2557.53226631,2557.53226631
HO,QHOU6,1.4086,0.041445,0.0171131489638,1.0,1.0,-1.0,1.0,1.0,9.0,2016-08-01,1740.69,2.0,1.0,59161.2,1.4086,1.0,energy,1.0,9.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,2024.86885696,2024.86885696,2024.86885696,-2024.86885696,2024.86885696,-2024.86885696,2024.86885696,2024.86885696,-2024.86885696,2024.86885696,-2024.86885696,-2024.86885696,2024.86885696,-2024.86885696,2024.86885696,-2024.86885696,2024.86885696,-2024.86885696,-2024.86885696,-2024.86885696,-2024.86885696,-2024.86885696
JY,@JYU6,0.9889,0.011835,0.0066164495114,1.0,-1.0,1.0,-1.0,1.0,4.0,2016-08-08,1479.375,2.0,1.0,123612.5,0.9889,-1.0,currency,1.0,4.0,-1.0,1.0,3.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,1635.75173046,1635.75173046,-1635.75173046,1635.75173046,-1635.75173046,1635.75173046,-1635.75173046,-1635.75173046,1635.75173046,-1635.75173046,1635.75173046,1635.75173046,1635.75173046,-1635.75173046,1635.75173046,-1635.75173046,-1635.75173046,1635.75173046,-1635.75173046,-1635.75173046,-1635.75173046,1635.75173046
KC,@KCZ6,140.35,3.6332512395,-0.00566772936592,-1.0,-1.0,1.0,-1.0,1.0,4.0,2016-08-08,1362.46921481,2.0,1.0,52631.25,140.35,1.0,soft,1.0,4.0,-1.0,1.0,-9.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,-1,-596.59936238,596.59936238,596.59936238,-596.59936238,-596.59936238,596.59936238,596.59936238,596.59936238,-596.59936238,596.59936238,-596.59936238,-596.59936238,-596.59936238,596.59936238,596.59936238,-596.59936238,596.59936238,-596.59936238,596.59936238,596.59936238,-596.59936238,-596.59936238
KW,@KWU6,416.25,10.0625,0.00970285021225,1.0,1.0,1.0,1.0,1.0,6.0,2016-08-04,503.125,4.0,1.0,20812.5,416.25,1.0,grain,1.0,6.0,1.0,1.0,-9.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,807.76228017,807.76228017,807.76228017,-807.76228017,807.76228017,-807.76228017,807.76228017,807.76228017,807.76228017,807.76228017,-807.76228017,-807.76228017,807.76228017,-807.76228017,-807.76228017,807.76228017,807.76228017,-807.76228017,-807.76228017,-807.76228017,807.76228017,-807.76228017
LB,@LBU6,324.1,6.53,0.00464972101674,1.0,-1.0,1.0,-1.0,1.0,-3.0,2016-08-01,718.3,3.0,1.0,35651.0,324.1,1.0,soft,1.0,-3.0,-1.0,1.0,-2.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,-1,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
LC,@LEV6,114.525,1.8625,-0.000218245307726,-1.0,1.0,1.0,1.0,-1.0,16.0,2016-07-21,745.0,3.0,1.0,45810.0,114.525,1.0,meat,-1.0,16.0,-1.0,-1.0,15.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,1,1,-1.0,1,1,1,1,1,-1,1,-1,-29.9934526408,29.9934526408,29.9934526408,-29.9934526408,-29.9934526408,29.9934526408,29.9934526408,-29.9934526408,-29.9934526408,-29.9934526408,29.9934526408,29.9934526408,29.9934526408,-29.9934526408,29.9934526408,-29.9934526408,-29.9934526408,-29.9934526408,-29.9934526408,-29.9934526408,29.9934526408,-29.9934526408
