,Contract,LastClose,ATR20,PC2016-07-06 00:00:00,ACT,usdATR,QTY,Close2016-07-06 00:00:00,PC2016-07-05 00:00:00,Close2016-07-05 00:00:00,vSTART,LastSEA,SEA2016-07-06 00:00:00,LastSRUN,SRUN2016-07-06 00:00:00,SEA2016-07-05 00:00:00,SRUN2016-07-05 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-05 00:00:00,SIG2016-07-04 00:00:00,0.5LastSIG,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-05 00:00:00,0.5SIG2016-07-04 00:00:00,0.75LastSIG,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-05,0.75SIG2016-07-04,1LastSIG,1LastSAFEf,1finalQTY,1SIG2016-07-05 00:00:00,1SIG2016-07-04 00:00:00
CU,@EUU6,1.1134,0.01226669,0.00301788207738,1.0,1533.33625,2.0,1.1134,,,2016-06-15,1.0,1.0,-14.0,-14.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,
DX,@DXU6,96.131,0.8581090075,-0.00132974579,-1.0,858.1090075,3.0,96.131,,,2016-06-23,-1.0,-1.0,-9.0,-9.0,,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
EBL,BDU6,167.72,0.9215,-0.000298027060857,-1.0,1021.823705,2.0,167.72,,,2016-06-23,1.0,1.0,9.0,9.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,
EBM,BLU6,133.85,0.262,-0.000224081266806,-1.0,290.52394,7.0,133.85,,,2016-06-23,1.0,1.0,9.0,9.0,,,-1.0,1.0,7.0,-1.0,,-1.0,1.0,7.0,-1.0,,-1.0,2.0,7.0,-1.0,,-1.0,2.0,7.0,-1.0,
EBS,EZU6,112.115,0.072,0.0,1.0,79.83864,26.0,112.115,,,2016-06-24,1.0,1.0,-8.0,-8.0,,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,,1.0,2.0,0.0,1.0,,1.0,2.0,0.0,1.0,
ED,@EDZ6,99.305,0.044,-0.000151026983488,-1.0,110.0,19.0,99.305,,,2016-06-23,1.0,1.0,8.0,8.0,,,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,
EMD,@EMDU6,1486.7,26.1852811575,0.00575023677446,1.0,2618.52811575,1.0,1486.7,,,2016-06-27,1.0,1.0,6.0,6.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,-1.0,2.0,1.0,-1.0,
ES,@ESU6,2094.0,31.2342705435,0.00540151242348,1.0,1561.71352717,2.0,2094.0,,,2016-06-27,1.0,1.0,6.0,6.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,
FC,@GFQ6,144.575,3.01125,0.00347041471456,1.0,1505.625,2.0,144.575,,,2016-06-20,-1.0,-1.0,11.0,11.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,1.0,2.0,1.0,
FCH,MTN6,4085.0,118.270048442,-0.0186186186186,-1.0,1311.46108616,2.0,4085.0,,,2016-06-27,-1.0,-1.0,9.0,9.0,,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
FDX,DXMU6,9358.5,261.579936721,-0.0168610148125,-1.0,1450.29072216,2.0,9358.5,,,2016-06-27,-1.0,-1.0,-3.0,-3.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
FEI,IEZ6,100.37,0.02575,4.98181637025e-05,1.0,71.38350625,29.0,100.37,,,2016-06-16,1.0,1.0,14.0,14.0,,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,,1.0,2.0,0.0,1.0,,1.0,2.0,0.0,1.0,
FFI,LFU6,6415.5,172.207340488,-0.0130759172371,-1.0,2229.01737382,1.0,6415.5,,,2016-06-29,1.0,1.0,5.0,5.0,,,-1.0,1.0,1.0,-1.0,,-1.0,1.0,1.0,-1.0,,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,
FLG,LGU6,129.99,0.991,0.00115526802218,1.0,1282.73058,2.0,129.99,,,2016-06-23,1.0,1.0,9.0,9.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,
FSS,LLZ6,99.71,0.0565,-0.000200541461947,-1.0,91.4155875,22.0,99.71,,,2016-06-20,1.0,1.0,12.0,12.0,,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,
FV,@FVU6,122.3515625,0.42421875,-0.00108432197984,-1.0,424.21875,5.0,122.3515625,,,2016-06-23,1.0,1.0,8.0,8.0,,,-1.0,1.0,5.0,-1.0,,-1.0,1.0,5.0,-1.0,,1.0,2.0,5.0,1.0,,1.0,2.0,5.0,1.0,
GC,QGCQ6,1367.1,23.125,0.00618238021638,1.0,2312.5,1.0,1367.1,,,2016-06-23,1.0,1.0,-8.0,-8.0,,,-1.0,1.0,1.0,-1.0,,-1.0,1.0,1.0,-1.0,,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,
HCM,HHIN6,8502.0,206.960754894,-0.0150602409639,-1.0,1331.79378954,2.0,8502.0,,,2016-06-24,1.0,1.0,-2.0,-2.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
HG,QHGU6,215.35,5.158022711,-0.0137394092054,-1.0,1289.50567775,2.0,215.35,,,2016-06-14,1.0,1.0,15.0,15.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,
HIC,HSIN6,20510.0,443.629242223,-0.0103739445115,-1.0,2854.75702847,1.0,20510.0,,,2016-06-27,1.0,1.0,-1.0,-1.0,,,-1.0,1.0,1.0,-1.0,,-1.0,1.0,1.0,-1.0,,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,
HO,QHOQ6,1.4711,0.0513502295,0.0176397343664,1.0,2156.709639,1.0,1.4711,,,2016-06-29,1.0,1.0,4.0,4.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,-1.0,2.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,
JY,@JYU6,0.9886,0.0133567385,0.00157033584925,1.0,1669.5923125,2.0,0.9886,,,2016-06-23,1.0,1.0,8.0,8.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
KC,@KCU6,143.3,4.77544268,-0.0154586052903,-1.0,1790.791005,2.0,143.3,,,2016-06-27,1.0,1.0,-6.0,-6.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,
KW,@KWU6,414.75,12.2704707165,-0.00420168067227,-1.0,613.523535825,4.0,414.75,,,2016-06-08,-1.0,-1.0,19.0,19.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,,-1.0,2.0,4.0,-1.0,
LB,@LBU6,321.6,7.529849399,-0.00371747211896,-1.0,828.28343389,3.0,321.6,,,2016-06-28,-1.0,-1.0,5.0,5.0,,,-1.0,1.0,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,1.0,2.0,3.0,1.0,,1.0,2.0,3.0,1.0,
LC,@LEQ6,112.8,2.13,-0.0074791025077,-1.0,852.0,3.0,112.8,,,2016-06-24,1.0,1.0,7.0,7.0,,,-1.0,1.0,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,1.0,2.0,3.0,1.0,,1.0,2.0,3.0,1.0,
LCO,EBZ6,50.46,1.688,0.017749092376,1.0,1688.0,2.0,50.46,,,2016-06-29,1.0,1.0,5.0,5.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
LGO,GASQ6,423.0,15.4849210825,-0.00235849056604,-1.0,1548.49210825,2.0,423.0,,,2016-06-29,1.0,1.0,-5.0,-5.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
LH,@HEQ6,80.625,1.5575,-0.0315315315315,-1.0,623.0,4.0,80.625,,,2016-06-20,-1.0,-1.0,11.0,11.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,,-1.0,2.0,4.0,-1.0,,-1.0,2.0,4.0,-1.0,
LRC,LRCU6,1749.0,33.093389199,-0.00568504832291,-1.0,330.93389199,7.0,1749.0,,,2016-06-27,1.0,1.0,-7.0,-7.0,,,-1.0,1.0,7.0,-1.0,,-1.0,1.0,7.0,-1.0,,1.0,1.0,7.0,1.0,,1.0,1.0,7.0,1.0,
LSU,QWV6,559.9,11.58,-0.0128702397743,-1.0,579.0,4.0,559.9,,,2016-05-26,-1.0,-1.0,28.0,28.0,,,-1.0,1.0,4.0,-1.0,,-1.0,1.0,4.0,-1.0,,1.0,2.0,4.0,1.0,,1.0,2.0,4.0,1.0,
MEM,@MMEU6,823.0,19.8732727275,-0.0026660203587,-1.0,993.663636375,3.0,823.0,,,2016-06-27,1.0,1.0,7.0,7.0,,,-1.0,1.0,3.0,,-1.0,-1.0,1.0,3.0,,-1.0,1.0,2.0,3.0,,1.0,1.0,2.0,3.0,,1.0
MFX,IBN6,7914.4,287.635759406,-0.018308112131,-1.0,3189.50664533,1.0,7914.4,,,2016-06-27,1.0,1.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
MP,@PXU6,0.0529,0.0009811925,0.00246352093993,1.0,490.59625,5.0,0.0529,,,2016-06-27,1.0,1.0,-3.0,-3.0,,,1.0,1.0,5.0,1.0,,1.0,1.0,5.0,1.0,,-1.0,2.0,5.0,-1.0,,-1.0,2.0,5.0,-1.0,
MW,@MWU6,502.25,10.213881672,-0.0118052139695,-1.0,510.6940836,4.0,502.25,,,2016-06-22,-1.0,-1.0,-3.0,-3.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,,-1.0,2.0,4.0,-1.0,,-1.0,2.0,4.0,-1.0,
NE,@NEU6,0.711,0.009601644,-0.00140449438202,-1.0,960.1644,3.0,0.711,,,2016-06-27,1.0,1.0,6.0,6.0,,,-1.0,1.0,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,1.0,2.0,3.0,1.0,
NG,QNGU6,2.777,0.098747784,0.00688905003626,1.0,987.47784,3.0,2.777,,,2016-06-16,-1.0,-1.0,2.0,2.0,,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
NIY,@NKDU6,15370.0,468.674890318,-0.0048559404338,-1.0,2310.47331163,1.0,15370.0,,,2016-06-28,-1.0,-1.0,5.0,5.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,-1.0,2.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,
NQ,@NQU6,4439.5,73.5842069855,0.0080608537693,1.0,1471.68413971,2.0,4439.5,,,2016-06-27,1.0,1.0,6.0,6.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
O,@OZ6,193.5,6.8030462185,0.0104438642298,1.0,340.152310925,6.0,193.5,,,2016-06-27,-1.0,-1.0,-6.0,-6.0,,,1.0,1.0,6.0,1.0,,1.0,1.0,6.0,1.0,,-1.0,2.0,6.0,-1.0,,-1.0,2.0,6.0,-1.0,
OJ,@OJU6,183.55,5.1828619015,-0.000272331154684,-1.0,777.429285225,3.0,183.55,,,2016-05-25,1.0,1.0,-28.0,-28.0,,,-1.0,1.0,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,1.0,2.0,3.0,1.0,,1.0,2.0,3.0,1.0,
PA,QPAU6,607.55,16.675,0.00813075582842,1.0,1667.5,2.0,607.55,,,2016-06-27,1.0,1.0,6.0,6.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,
PL,QPLV6,1091.3,22.879516014,0.0133717151082,1.0,1143.9758007,2.0,1091.3,,,2016-06-27,1.0,1.0,6.0,6.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
RB,QRBQ6,1.4329,0.054477245,0.00293973542381,1.0,2288.04429,1.0,1.4329,,,2016-06-23,1.0,1.0,8.0,8.0,,,-1.0,1.0,1.0,-1.0,,-1.0,1.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,
RR,@RRU6,10.59,0.265793988,0.0271580989331,1.0,531.587976,4.0,10.59,,,2016-06-20,1.0,1.0,11.0,11.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,,-1.0,2.0,4.0,-1.0,,-1.0,2.0,4.0,-1.0,
RS,@RSX6,479.8,10.405,-0.00683088387497,-1.0,160.249499461,13.0,479.8,,,2016-06-24,-1.0,-1.0,3.0,3.0,,,1.0,1.0,13.0,1.0,,1.0,1.0,13.0,1.0,,1.0,1.0,13.0,1.0,,-1.0,2.0,13.0,-1.0,
S,@SX6,1073.25,30.6625,-0.00371315850545,-1.0,1533.125,2.0,1073.25,,,2016-06-24,-1.0,-1.0,3.0,3.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
SB,@SBV6,20.57,0.6085,-0.0143747005271,-1.0,681.52,3.0,20.57,,,2016-05-24,1.0,1.0,29.0,29.0,,,-1.0,1.0,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,1.0,2.0,3.0,1.0,,1.0,2.0,3.0,1.0,
SF,@SFU6,1.0307,0.0083970225,0.00330964664655,1.0,1049.6278125,2.0,1.0307,,,2016-06-23,1.0,1.0,-8.0,-8.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,
SI,QSIU6,2020.3,54.1547328985,0.014869141508,1.0,2707.73664492,1.0,2020.3,,,2016-06-27,1.0,1.0,6.0,6.0,,,-1.0,1.0,1.0,-1.0,,-1.0,1.0,1.0,-1.0,,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,
SIN,INN6,8296.0,122.203705659,-0.00741804259392,-1.0,244.407411318,9.0,8296.0,,,2016-06-24,-1.0,-1.0,8.0,8.0,,,-1.0,1.0,9.0,-1.0,,-1.0,1.0,9.0,-1.0,,1.0,2.0,9.0,1.0,,1.0,2.0,9.0,1.0,
SJB,BBU6,153.5,0.3205,0.000912884715702,1.0,316.000157754,7.0,153.5,,,2016-06-22,1.0,1.0,10.0,10.0,,,-1.0,1.0,7.0,-1.0,,-1.0,1.0,7.0,-1.0,,-1.0,1.0,7.0,-1.0,,1.0,2.0,7.0,1.0,
SM,@SMZ6,378.1,11.856902546,0.00026455026455,1.0,1185.6902546,2.0,378.1,,,2016-06-24,-1.0,-1.0,3.0,3.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
SMI,SWU6,7883.0,181.353331581,-0.00189921499114,-1.0,1857.31011523,2.0,7883.0,,,2016-06-27,-1.0,-1.0,7.0,7.0,,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
SSG,SSN6,318.1,5.5206380405,,-1.0,823.97582694,3.0,,-0.00500469189865,318.1,2016-06-27,1.0,,6.0,,1.0,6.0,-1.0,1.0,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,
STW,TWN6,314.5,5.4761308595,-0.0165728580363,-1.0,547.61308595,4.0,314.5,,,2016-06-24,1.0,1.0,8.0,8.0,,,-1.0,1.0,4.0,-1.0,,-1.0,1.0,4.0,-1.0,,1.0,2.0,4.0,1.0,,1.0,2.0,4.0,1.0,
SXE,EXU6,2754.0,87.491335933,-0.0188813680086,-1.0,970.16517676,3.0,2754.0,,,2016-06-27,-1.0,-1.0,-3.0,-3.0,,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
TF,@TFSU6,1144.3,23.7086178545,0.0078386471728,1.0,2370.86178545,1.0,1144.3,,,2016-06-27,-1.0,-1.0,-7.0,-7.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
TU,@TUU6,109.6484375,0.1453125,-0.000569678843552,-1.0,290.625,7.0,109.6484375,,,2016-06-23,1.0,1.0,12.0,12.0,,,-1.0,1.0,7.0,-1.0,,-1.0,1.0,7.0,-1.0,,1.0,2.0,7.0,1.0,,1.0,2.0,7.0,1.0,
TY,@TYU6,133.671875,0.73984375,-0.00163379624227,-1.0,739.84375,3.0,133.671875,,,2016-06-23,1.0,1.0,8.0,8.0,,,1.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
US,@USU6,175.875,1.9703125,-0.00212765957447,-1.0,1970.3125,2.0,175.875,,,2016-06-23,1.0,1.0,8.0,8.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
VX,@VXN6,16.175,2.235,-0.038632986627,-1.0,2235.0,1.0,16.175,,,2016-06-27,-1.0,-1.0,-2.0,-2.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,-1.0,2.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,
W,@WU6,428.5,12.845994764,-0.0115340253749,-1.0,642.2997382,4.0,428.5,,,2016-06-28,1.0,1.0,5.0,5.0,,,-1.0,1.0,4.0,-1.0,,-1.0,1.0,4.0,-1.0,,-1.0,2.0,4.0,-1.0,,-1.0,2.0,4.0,-1.0,
YA,APU6,5154.0,87.5747976885,-0.00617045892788,-1.0,1638.19605926,2.0,5154.0,,,2016-06-28,-1.0,-1.0,6.0,6.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,
YB,HBSU6,98.13,0.04,0.000305810397554,1.0,71.832,28.0,98.13,,,2016-06-24,1.0,1.0,-8.0,-8.0,,,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,
YM,@YMU6,17834.0,242.486461521,0.00405359756784,1.0,1212.4323076,2.0,17834.0,,,2016-06-27,1.0,1.0,6.0,6.0,,,-1.0,1.0,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
YT2,HTSU6,98.56,0.078004572,0.000406008932197,1.0,163.427378797,13.0,98.56,,,2016-06-23,1.0,1.0,9.0,9.0,,,-1.0,1.0,13.0,-1.0,,-1.0,1.0,13.0,-1.0,,1.0,1.0,13.0,1.0,,1.0,1.0,13.0,1.0,
YT3,HXSU6,98.13,0.0933493495,0.000815910249873,1.0,558.789206107,4.0,98.13,,,2016-06-23,1.0,1.0,9.0,9.0,,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,
