2016-09-06 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-06 00:00:00,Close2016-09-06 00:00:00,group,RiskOn,Excess,SEA2016-09-06 00:00:00,SRUN2016-09-06 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-05 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-02 00:00:00,0.5SIG2016-09-05 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-02 00:00:00,0.75SIG2016-09-05 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-02 00:00:00,1SIG2016-09-05 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13
CT,@CTZ6,69.24,1.5295,0.0213895854846,1.0,1.0,-1.0,1.0,1.0,3.0,2016-08-10,764.75,3.0,1.0,1.0,34620.0,0.0213895854846,69.24,soft,1.0,1.0,1.0,3.0,-1.0,1.0,-17.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,,1.0,3.0,1.0,,1.0,3.0,1.0,,-1,-1,-1,-1,-1,1,-1.0,1,-1,1,-1,-1,-1,-1,-1,1,0.0,0,-1.0,1,1,2221.52234843,2221.52234843,-2221.52234843,2221.52234843,2221.52234843,-2221.52234843,2221.52234843,-2221.52234843,2221.52234843,2221.52234843,-2221.52234843,2221.52234843,-2221.52234843,-2221.52234843,2221.52234843,-2221.52234843,-2221.52234843,2221.52234843,-2221.52234843,2221.52234843,-2221.52234843,-2221.52234843,-2221.52234843,-2221.52234843,-2221.52234843,2221.52234843,0.0,0.0,-2221.52234843,2221.52234843,2221.52234843
CU,@EUU6,1.12595,0.00747,0.00846394984326,1.0,-1.0,-1.0,-1.0,1.0,31.0,2016-07-22,933.75,3.0,1.0,1.0,140743.75,0.00846394984326,1.12595,currency,1.0,1.0,1.0,31.0,-1.0,1.0,30.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,-1,-1,1,1,-1,1,1.0,-1,-1,-1,1,-1,-1,-1,-1,1,0.0,0,-1.0,1,-1,3573.74412226,3573.74412226,-3573.74412226,3573.74412226,3573.74412226,-3573.74412226,3573.74412226,-3573.74412226,3573.74412226,-3573.74412226,-3573.74412226,-3573.74412226,3573.74412226,3573.74412226,3573.74412226,-3573.74412226,3573.74412226,-3573.74412226,-3573.74412226,-3573.74412226,3573.74412226,-3573.74412226,-3573.74412226,-3573.74412226,-3573.74412226,3573.74412226,0.0,0.0,-3573.74412226,3573.74412226,-3573.74412226
DX,@DXU6,94.823,0.58115,-0.0106527273486,-1.0,1.0,1.0,1.0,-1.0,-13.0,2016-08-18,581.15,4.0,1.0,1.0,94823.0,-0.0106527273486,94.823,currency,-1.0,-1.0,-1.0,-13.0,1.0,-1.0,-12.0,-1.0,1.0,4.0,-1.0,1.0,4.0,,1.0,1.0,4.0,,1.0,1.0,4.0,,1.0,1,1,-1,-1,1,-1,1.0,-1,1,-1,-1,-1,-1,1,1,-1,0.0,0,1.0,-1,1,-4040.49426151,4040.49426151,-4040.49426151,4040.49426151,4040.49426151,-4040.49426151,4040.49426151,-4040.49426151,4040.49426151,-4040.49426151,-4040.49426151,-4040.49426151,4040.49426151,4040.49426151,4040.49426151,-4040.49426151,-4040.49426151,4040.49426151,-4040.49426151,4040.49426151,4040.49426151,4040.49426151,4040.49426151,-4040.49426151,-4040.49426151,4040.49426151,-0.0,-0.0,-4040.49426151,4040.49426151,-4040.49426151
EBL,BDZ6,165.32,0.6458790495,0.00461837627613,1.0,1.0,-1.0,1.0,1.0,56.0,2016-06-20,727.066046022,3.0,1.0,1.0,186100.724,0.00461837627613,165.32,rates,-1.0,1.0,1.0,56.0,1.0,1.0,55.0,-1.0,1.0,3.0,-1.0,1.0,3.0,,-1.0,1.0,3.0,,1.0,1.0,3.0,,1.0,1,-1,-1,-1,-1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,0.0,-1,1,2578.44950608,2578.44950608,2578.44950608,-2578.44950608,-2578.44950608,2578.44950608,2578.44950608,-2578.44950608,-2578.44950608,2578.44950608,-2578.44950608,2578.44950608,-2578.44950608,-2578.44950608,2578.44950608,-2578.44950608,2578.44950608,-2578.44950608,-2578.44950608,-2578.44950608,-2578.44950608,-2578.44950608,-2578.44950608,-2578.44950608,-2578.44950608,-2578.44950608,-2578.44950608,-2578.44950608,0.0,-2578.44950608,2578.44950608
EBM,BLZ6,131.91,0.178589481,0.00205104831358,1.0,-1.0,-1.0,-1.0,-1.0,25.0,2016-08-02,201.038178762,10.0,2.0,2.0,148491.087,0.00205104831358,131.91,rates,-1.0,1.0,-1.0,25.0,1.0,1.0,-41.0,-1.0,1.0,10.0,-1.0,1.0,10.0,,-1.0,1.0,10.0,,-1.0,1.0,10.0,,-1.0,1,-1,1,1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1.0,-1,0.0,-1,1,3045.62393573,3045.62393573,3045.62393573,-3045.62393573,-3045.62393573,3045.62393573,3045.62393573,-3045.62393573,-3045.62393573,-3045.62393573,-3045.62393573,-3045.62393573,3045.62393573,3045.62393573,3045.62393573,-3045.62393573,-3045.62393573,3045.62393573,3045.62393573,-3045.62393573,-3045.62393573,-3045.62393573,3045.62393573,-3045.62393573,-3045.62393573,-3045.62393573,-3045.62393573,-3045.62393573,0.0,-3045.62393573,3045.62393573
EBS,EZZ6,112.09,0.030998807,0.00040162434736,1.0,-1.0,1.0,-1.0,-1.0,25.0,2016-08-02,34.8953570399,58.0,8.0,8.0,126179.713,0.00040162434736,112.09,rates,-1.0,1.0,-1.0,25.0,1.0,-1.0,-40.0,-1.0,1.0,0.0,-1.0,1.0,0.0,,1.0,1.0,0.0,,-1.0,1.0,0.0,,-1.0,1,-1,1,1,1,-1,1.0,-1,1,-1,1,1,1,1,1,-1,1.0,0,1.0,-1,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
ED,@EDZ6,99.085,0.0375,0.000302862046338,1.0,-1.0,1.0,-1.0,1.0,-49.0,2016-06-27,93.75,22.0,3.0,3.0,247712.5,0.000302862046338,99.085,rates,-1.0,1.0,1.0,-49.0,-1.0,1.0,-48.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1,-1,1,1,-1,1,-1.0,1,-1,1,1,1,1,1,1,1,1.0,0,1.0,1,-1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
EMD,@EMDU6,1574.9,13.75,-0.00240704377019,-1.0,1.0,1.0,1.0,1.0,22.0,2016-08-04,1375.0,2.0,1.0,1.0,157490.0,-0.00240704377019,1574.9,index,1.0,1.0,1.0,22.0,1.0,1.0,21.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,-1,-1,-1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,-1,1,0.0,-1,0.0,-1,1,-758.170646735,758.170646735,-758.170646735,758.170646735,-758.170646735,758.170646735,-758.170646735,758.170646735,-758.170646735,-758.170646735,-758.170646735,-758.170646735,758.170646735,758.170646735,-758.170646735,758.170646735,-758.170646735,758.170646735,758.170646735,758.170646735,758.170646735,758.170646735,758.170646735,758.170646735,758.170646735,-758.170646735,-0.0,758.170646735,-0.0,758.170646735,-758.170646735
ES,@ESU6,2184.5,13.975,0.00298438934803,1.0,1.0,1.0,1.0,1.0,-36.0,2016-07-15,698.75,3.0,1.0,1.0,109225.0,0.00298438934803,2184.5,index,1.0,1.0,1.0,-36.0,1.0,-1.0,-35.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,-1,1,-1,1.0,-1,1,-1,-1,-1,-1,1,-1,1,1.0,0,0.0,-1,1,977.909779614,977.909779614,977.909779614,-977.909779614,977.909779614,-977.909779614,977.909779614,-977.909779614,977.909779614,977.909779614,977.909779614,977.909779614,-977.909779614,-977.909779614,-977.909779614,977.909779614,977.909779614,-977.909779614,977.909779614,-977.909779614,-977.909779614,-977.909779614,-977.909779614,977.909779614,-977.909779614,977.909779614,977.909779614,0.0,0.0,-977.909779614,977.909779614
FC,@GFV6,128.2,2.799334496,-0.0293393904978,-1.0,-1.0,1.0,-1.0,1.0,-3.0,2016-08-09,1399.667248,2.0,1.0,1.0,64100.0,-0.0293393904978,128.2,meat,1.0,-1.0,1.0,-3.0,-1.0,1.0,18.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,-1,1,1,1,-1,1,1.0,-1,-1,1,1,1,-1,1,1,1,0.0,0,0.0,1,-1,-3761.30986182,3761.30986182,3761.30986182,-3761.30986182,-3761.30986182,3761.30986182,3761.30986182,-3761.30986182,-3761.30986182,3761.30986182,-3761.30986182,3761.30986182,-3761.30986182,-3761.30986182,-3761.30986182,3761.30986182,-3761.30986182,3761.30986182,3761.30986182,-3761.30986182,-3761.30986182,-3761.30986182,3761.30986182,-3761.30986182,-3761.30986182,-3761.30986182,-0.0,-0.0,-0.0,-3761.30986182,3761.30986182
FCH,MTU6,4529.5,53.899333109,-0.0025324818322,-1.0,-1.0,1.0,-1.0,-1.0,13.0,2016-08-18,606.744792808,4.0,1.0,1.0,50988.5815,-0.0025324818322,4529.5,index,1.0,1.0,-1.0,13.0,-1.0,1.0,12.0,1.0,1.0,4.0,1.0,1.0,4.0,,1.0,2.0,4.0,,-1.0,2.0,4.0,,-1.0,-1,-1,1,1,-1,1,1.0,-1,-1,1,1,1,-1,1,1,1,1.0,0,0.0,1,-1,-516.510625193,516.510625193,516.510625193,-516.510625193,-516.510625193,516.510625193,-516.510625193,516.510625193,-516.510625193,516.510625193,-516.510625193,516.510625193,-516.510625193,-516.510625193,-516.510625193,516.510625193,-516.510625193,516.510625193,516.510625193,-516.510625193,-516.510625193,-516.510625193,516.510625193,-516.510625193,-516.510625193,-516.510625193,-516.510625193,-0.0,-0.0,-516.510625193,516.510625193
FDX,DXMU6,10684.5,133.55,0.000561876668071,1.0,1.0,-1.0,1.0,1.0,-38.0,2016-07-14,751.686175,3.0,1.0,1.0,60137.70825,0.000561876668071,10684.5,index,1.0,1.0,1.0,-38.0,-1.0,1.0,-37.0,1.0,1.0,3.0,1.0,1.0,3.0,,-1.0,2.0,3.0,,1.0,2.0,3.0,,1.0,-1,-1,-1,-1,-1,1,-1.0,1,-1,1,-1,-1,-1,-1,-1,1,0.0,0,-1.0,1,1,101.369925411,101.369925411,-101.369925411,101.369925411,101.369925411,-101.369925411,101.369925411,-101.369925411,101.369925411,101.369925411,-101.369925411,101.369925411,-101.369925411,-101.369925411,101.369925411,-101.369925411,-101.369925411,101.369925411,-101.369925411,101.369925411,-101.369925411,-101.369925411,-101.369925411,-101.369925411,-101.369925411,101.369925411,0.0,0.0,-101.369925411,101.369925411,101.369925411
FEI,IEZ6,100.34,0.00925,4.98330592515e-05,1.0,-1.0,1.0,-1.0,1.0,-42.0,2016-07-08,26.0318125,77.0,10.0,10.0,282381.845,4.98330592515e-05,100.34,rates,-1.0,1.0,1.0,-42.0,1.0,1.0,-41.0,-1.0,1.0,0.0,-1.0,1.0,0.0,,1.0,1.0,0.0,,-1.0,1.0,0.0,,-1.0,1,-1,1,1,-1,-1,-1.0,1,1,1,-1,1,1,-1,1,-1,0.0,-1,1.0,-1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
FFI,LFU6,6820.0,68.3,-0.00944081336238,-1.0,1.0,-1.0,1.0,-1.0,-1.0,2016-07-26,917.8154,3.0,1.0,1.0,91647.16,-0.00944081336238,6820.0,index,1.0,1.0,-1.0,-1.0,-1.0,-1.0,28.0,1.0,1.0,3.0,1.0,2.0,3.0,,-1.0,1.0,3.0,,1.0,1.0,3.0,,1.0,-1,-1,-1,-1,1,1,-1.0,1,-1,1,1,1,-1,1,-1,1,1.0,1,-1.0,1,-1,-2595.67119826,2595.67119826,2595.67119826,-2595.67119826,-2595.67119826,2595.67119826,-2595.67119826,2595.67119826,-2595.67119826,-2595.67119826,2595.67119826,-2595.67119826,2595.67119826,2595.67119826,2595.67119826,-2595.67119826,2595.67119826,-2595.67119826,2595.67119826,-2595.67119826,-2595.67119826,-2595.67119826,2595.67119826,-2595.67119826,2595.67119826,-2595.67119826,-2595.67119826,-2595.67119826,2595.67119826,-2595.67119826,2595.67119826
FLG,LGZ6,131.2,0.635568649,0.00336494340777,1.0,-1.0,-1.0,1.0,1.0,57.0,2016-06-23,854.077150526,3.0,1.0,1.0,176306.56,0.00336494340777,131.2,rates,-1.0,1.0,1.0,57.0,1.0,1.0,56.0,-1.0,1.0,3.0,-1.0,1.0,3.0,,-1.0,1.0,3.0,,-1.0,1.0,3.0,,1.0,1,-1,-1,1,-1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,0.0,-1,1,1779.78479046,1779.78479046,1779.78479046,-1779.78479046,-1779.78479046,1779.78479046,1779.78479046,-1779.78479046,-1779.78479046,-1779.78479046,-1779.78479046,1779.78479046,-1779.78479046,1779.78479046,1779.78479046,-1779.78479046,1779.78479046,-1779.78479046,-1779.78479046,-1779.78479046,-1779.78479046,-1779.78479046,-1779.78479046,-1779.78479046,-1779.78479046,-1779.78479046,-1779.78479046,-1779.78479046,0.0,-1779.78479046,1779.78479046
FSS,LLZ6,99.68,0.02,0.0,1.0,-1.0,1.0,-1.0,-1.0,-19.0,2016-08-09,33.595,60.0,8.0,8.0,167437.48,0.0,99.68,rates,-1.0,-1.0,-1.0,-19.0,1.0,-1.0,-18.0,-1.0,1.0,0.0,-1.0,1.0,0.0,,1.0,1.0,0.0,,-1.0,1.0,0.0,,-1.0,1,1,1,1,1,-1,1.0,-1,1,-1,1,1,1,1,1,-1,0.0,0,1.0,-1,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
FV,@FVZ6,121.59375,0.336313504,0.00296429952313,1.0,1.0,-1.0,1.0,1.0,-44.0,2016-07-05,336.313504,6.0,1.0,1.0,121593.75,0.00296429952313,121.59375,rates,-1.0,1.0,1.0,-44.0,-1.0,1.0,-43.0,-1.0,1.0,6.0,-1.0,1.0,6.0,-1.0,,1.0,6.0,1.0,,1.0,6.0,1.0,,1,-1,-1,-1,-1,1,-1.0,1,-1,1,-1,-1,-1,-1,1,-1,0.0,0,0.0,-1,1,2162.64177085,2162.64177085,-2162.64177085,2162.64177085,-2162.64177085,2162.64177085,2162.64177085,-2162.64177085,-2162.64177085,2162.64177085,-2162.64177085,2162.64177085,-2162.64177085,-2162.64177085,2162.64177085,-2162.64177085,-2162.64177085,2162.64177085,-2162.64177085,2162.64177085,-2162.64177085,-2162.64177085,-2162.64177085,-2162.64177085,2162.64177085,-2162.64177085,0.0,0.0,0.0,-2162.64177085,2162.64177085
