2016-10-18 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2016-10-18 00:00:00,Close2016-10-18 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2016-10-18 00:00:00,LastSRUN,SRUN2016-10-18 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2016-10-17 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-10-17 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-10-17 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-10-17 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
CT,@CTZ6,71.15,1.467,-0.000561876668071,-1.0,1.0,1.0,1.0,1.0,-6.0,2016-10-07,733.5,3.0,1.0,1.0,35575.0,1.0,-0.000561876668071,71.15,soft,1.0,1.0,2016-10-07,1.0,1.0,-7.0,-7.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,0,-1,-1,-1,-1,-1,-1,-1.0,1,1,1,-1,-1,-1,0.0,0.0,-1.0,-1.0,0.0,1,-1,0,1,0,-59.9662873999,59.9662873999,-59.9662873999,59.9662873999,-59.9662873999,59.9662873999,-59.9662873999,59.9662873999,-0.0,-59.9662873999,-59.9662873999,-59.9662873999,59.9662873999,59.9662873999,-59.9662873999,59.9662873999,59.9662873999,-59.9662873999,-59.9662873999,-59.9662873999,59.9662873999,-0.0,-59.9662873999,-0.0,59.9662873999,59.9662873999,-0.0,-0.0,59.9662873999,59.9662873999,-0.0,-59.9662873999,59.9662873999
CU,@EUZ6,1.1005,0.00662,-0.00181405895692,-1.0,-1.0,1.0,-1.0,-1.0,-41.0,2016-08-18,827.5,3.0,1.0,1.0,137562.5,1.0,-0.00181405895692,1.1005,currency,1.0,-1.0,2016-08-18,-1.0,-1.0,-42.0,-42.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,1,1,1,1,-1,1.0,-1,1,-1,1,1,1,0.0,1.0,1.0,0.0,1.0,1,1,1,1,1,-748.639455782,748.639455782,-748.639455782,748.639455782,-748.639455782,748.639455782,748.639455782,-748.639455782,-748.639455782,748.639455782,-748.639455782,748.639455782,-748.639455782,-748.639455782,748.639455782,-748.639455782,-748.639455782,748.639455782,-748.639455782,748.639455782,-748.639455782,-748.639455782,-748.639455782,-748.639455782,-748.639455782,-748.639455782,-0.0,-748.639455782,-748.639455782,-0.0,-748.639455782,-748.639455782,-748.639455782
DX,@DXZ6,97.897,0.50405,0.000194119209628,1.0,1.0,-1.0,1.0,-1.0,-8.0,2016-10-05,504.05,4.0,1.0,1.0,97897.0,1.0,0.000194119209628,97.897,currency,-1.0,1.0,2016-10-05,1.0,1.0,-9.0,-9.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,0,1,-1,-1,-1,1,1,1.0,-1,-1,-1,1,-1,-1,1.0,0.0,0.0,1.0,0.0,-1,1,-1,-1,0,76.01475306,76.01475306,-76.01475306,76.01475306,-76.01475306,76.01475306,76.01475306,-76.01475306,-76.01475306,76.01475306,-76.01475306,76.01475306,-76.01475306,-76.01475306,-76.01475306,76.01475306,76.01475306,-76.01475306,-76.01475306,-76.01475306,76.01475306,-76.01475306,-76.01475306,0.0,-76.01475306,-76.01475306,76.01475306,0.0,0.0,76.01475306,0.0,-76.01475306,76.01475306
EBL,BDZ6,163.74,0.69,0.00165167920719,1.0,-1.0,1.0,-1.0,-1.0,24.0,2016-09-28,757.551,3.0,1.0,1.0,179770.146,0.910829765917,0.00165167920719,163.74,rates,-1.0,-1.0,2016-09-28,-1.0,-1.0,25.0,25.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,0,1,1,1,1,1,-1,-1.0,1,1,1,1,1,-1,0.0,0.0,0.0,-1.0,1.0,1,1,1,1,1,890.767836667,890.767836667,890.767836667,-890.767836667,-890.767836667,890.767836667,-890.767836667,890.767836667,890.767836667,-890.767836667,890.767836667,-890.767836667,890.767836667,890.767836667,-890.767836667,890.767836667,-890.767836667,890.767836667,890.767836667,890.767836667,890.767836667,890.767836667,890.767836667,890.767836667,890.767836667,-890.767836667,0.0,0.0,0.0,-890.767836667,890.767836667,890.767836667,890.767836667
EBM,BLZ6,131.68,0.182,0.000607902735562,1.0,-1.0,1.0,-1.0,1.0,21.0,2016-09-28,199.8178,11.0,2.0,2.0,144571.472,0.910829765917,0.000607902735562,131.68,rates,-1.0,-1.0,2016-09-28,1.0,1.0,22.0,22.0,1.0,-1.0,1.0,11.0,-1.0,2.0,11.0,1.0,1.0,11.0,-1.0,1.0,11.0,-1.0,0,1,1,1,1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,0.0,0.0,1,1,-1,0,0,966.739326444,966.739326444,966.739326444,-966.739326444,-966.739326444,966.739326444,-966.739326444,966.739326444,-966.739326444,-966.739326444,966.739326444,-966.739326444,966.739326444,966.739326444,966.739326444,-966.739326444,966.739326444,-966.739326444,966.739326444,-966.739326444,-966.739326444,-966.739326444,0.0,0.0,-966.739326444,-966.739326444,-966.739326444,-966.739326444,-966.739326444,0.0,0.0,966.739326444,966.739326444
EBS,EZZ6,112.1,0.04,0.000178443968594,1.0,-1.0,1.0,-1.0,1.0,14.0,2016-09-27,43.916,46.0,6.0,6.0,123074.59,0.910829765917,0.000178443968594,112.1,rates,-1.0,-1.0,2016-09-27,1.0,1.0,15.0,15.0,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,1,1,1,1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,0.0,0.0,1,1,-1,0,0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
ED,@EDZ6,99.08,0.02,0.0,1.0,-1.0,-1.0,-1.0,-1.0,20.0,2016-09-19,50.0,41.0,6.0,6.0,247700.0,1.0,0.0,99.08,rates,-1.0,-1.0,2016-09-19,-1.0,-1.0,21.0,21.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,1,1,1,1,1,-1,-1.0,1,1,-1,1,1,-1,-1.0,-1.0,0.0,-1.0,1.0,1,1,0,1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
EMD,@EMDZ6,1524.9,18.14,0.00640179514256,1.0,1.0,-1.0,1.0,1.0,17.0,2016-09-22,1814.0,2.0,1.0,1.0,152490.0,1.0,0.00640179514256,1524.9,index,1.0,-1.0,2016-09-22,1.0,1.0,18.0,18.0,-1.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,0,-1,1,-1,-1,-1,1,1.0,-1,-1,-1,-1,-1,1,-1.0,0.0,0.0,0.0,-1.0,-1,-1,-1,-1,-1,1952.41948258,1952.41948258,-1952.41948258,1952.41948258,1952.41948258,-1952.41948258,-1952.41948258,1952.41948258,-1952.41948258,1952.41948258,-1952.41948258,1952.41948258,-1952.41948258,-1952.41948258,1952.41948258,-1952.41948258,1952.41948258,-1952.41948258,-1952.41948258,-1952.41948258,-1952.41948258,-1952.41948258,-1952.41948258,-1952.41948258,-1952.41948258,1952.41948258,-1952.41948258,0.0,0.0,0.0,-1952.41948258,-1952.41948258,-1952.41948258
ES,@ESZ6,2132.0,20.2625,0.00423928403203,1.0,-1.0,-1.0,-1.0,1.0,-21.0,2016-09-16,1013.125,2.0,1.0,1.0,106600.0,1.0,0.00423928403203,2132.0,index,1.0,-1.0,2016-09-16,1.0,1.0,-22.0,-22.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,0,-1,1,1,1,-1,1,-1.0,1,1,1,1,1,1,-1.0,0.0,1.0,0.0,-1.0,-1,-1,1,1,1,903.815355629,903.815355629,-903.815355629,903.815355629,903.815355629,-903.815355629,-903.815355629,903.815355629,903.815355629,-903.815355629,-903.815355629,-903.815355629,903.815355629,903.815355629,903.815355629,-903.815355629,-903.815355629,903.815355629,903.815355629,903.815355629,903.815355629,903.815355629,903.815355629,903.815355629,903.815355629,903.815355629,-903.815355629,0.0,903.815355629,0.0,-903.815355629,-903.815355629,-903.815355629
FC,@GFF7,113.775,2.932825881,0.00682448279694,1.0,-1.0,-1.0,1.0,-1.0,9.0,2016-10-04,1466.4129405,2.0,1.0,1.0,56887.5,1.0,0.00682448279694,113.775,meat,1.0,-1.0,2016-10-04,-1.0,-1.0,10.0,10.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,0,-1,1,-1,1,1,-1,-1.0,1,-1,-1,1,1,1,-1.0,0.0,1.0,-1.0,1.0,1,1,0,0,0,776.455530222,776.455530222,776.455530222,-776.455530222,776.455530222,-776.455530222,-776.455530222,776.455530222,0.0,-776.455530222,-776.455530222,776.455530222,-776.455530222,776.455530222,-776.455530222,776.455530222,-776.455530222,776.455530222,-776.455530222,-776.455530222,776.455530222,0.0,0.0,0.0,776.455530222,776.455530222,-776.455530222,0.0,776.455530222,-776.455530222,776.455530222,776.455530222,776.455530222
FCH,MTX6,4506.5,67.088087713,0.013258426967,1.0,-1.0,1.0,-1.0,1.0,17.0,2016-09-22,736.560115001,3.0,1.0,1.0,49476.8635,0.910829765917,0.013258426967,4506.5,index,1.0,-1.0,2016-09-22,1.0,1.0,18.0,18.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,1,1,1,-1,1,1.0,-1,1,1,1,1,1,0.0,1.0,1.0,1.0,-1.0,-1,-1,1,1,1,1967.95614381,1967.95614381,-1967.95614381,1967.95614381,1967.95614381,-1967.95614381,-1967.95614381,1967.95614381,1967.95614381,-1967.95614381,1967.95614381,-1967.95614381,1967.95614381,1967.95614381,1967.95614381,-1967.95614381,1967.95614381,-1967.95614381,1967.95614381,1967.95614381,1967.95614381,1967.95614381,1967.95614381,1967.95614381,1967.95614381,1967.95614381,0.0,1967.95614381,1967.95614381,1967.95614381,-1967.95614381,-1967.95614381,-1967.95614381
FDX,DXMZ6,10625.0,173.225,0.0130625476735,1.0,1.0,-1.0,1.0,1.0,15.0,2016-09-23,950.9186375,3.0,1.0,1.0,58325.9375,0.910829765917,0.0130625476735,10625.0,index,1.0,-1.0,2016-09-23,1.0,1.0,16.0,16.0,-1.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,0,-1,1,-1,-1,-1,1,1.0,-1,-1,-1,-1,-1,1,-1.0,0.0,0.0,0.0,-1.0,-1,-1,-1,-1,-1,2285.65601759,2285.65601759,-2285.65601759,2285.65601759,2285.65601759,-2285.65601759,-2285.65601759,2285.65601759,-2285.65601759,2285.65601759,-2285.65601759,2285.65601759,-2285.65601759,-2285.65601759,2285.65601759,-2285.65601759,2285.65601759,-2285.65601759,-2285.65601759,-2285.65601759,-2285.65601759,-2285.65601759,-2285.65601759,-2285.65601759,-2285.65601759,2285.65601759,-2285.65601759,0.0,0.0,0.0,-2285.65601759,-2285.65601759,-2285.65601759
FEI,IEZ6,100.31,0.01075,0.0,1.0,-1.0,1.0,-1.0,-1.0,17.0,2016-09-22,29.5060625,68.0,9.0,9.0,275325.8725,0.910829765917,0.0,100.31,rates,-1.0,-1.0,2016-09-22,-1.0,-1.0,18.0,18.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,1,1,1,1,1,-1,-1.0,1,1,1,1,1,-1,0.0,0.0,0.0,-1.0,1.0,1,1,1,1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
FFI,LFZ6,6957.5,88.025,0.00796812749004,1.0,1.0,-1.0,1.0,-1.0,16.0,2016-09-23,1082.267375,2.0,1.0,1.0,85542.4625,0.813338755592,0.00796812749004,6957.5,index,1.0,-1.0,2016-09-23,-1.0,-1.0,17.0,17.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,0,-1,1,-1,-1,1,1,-1.0,1,-1,1,1,1,1,0.0,1.0,1.0,-1.0,-1.0,-1,-1,1,0,0,1363.22649402,1363.22649402,-1363.22649402,1363.22649402,1363.22649402,-1363.22649402,-1363.22649402,1363.22649402,1363.22649402,1363.22649402,-1363.22649402,1363.22649402,-1363.22649402,-1363.22649402,-1363.22649402,1363.22649402,-1363.22649402,1363.22649402,-1363.22649402,1363.22649402,1363.22649402,1363.22649402,0.0,0.0,1363.22649402,1363.22649402,0.0,1363.22649402,1363.22649402,-1363.22649402,-1363.22649402,-1363.22649402,-1363.22649402
FLG,LGZ6,126.81,0.82,0.00348183904408,1.0,-1.0,1.0,-1.0,1.0,7.0,2016-10-06,1008.19,2.0,1.0,1.0,155912.895,0.813338755592,0.00348183904408,126.81,rates,-1.0,-1.0,2016-10-06,1.0,1.0,8.0,8.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,0,1,1,1,1,-1,1,1.0,-1,1,1,1,-1,1,0.0,0.0,0.0,1.0,-1.0,-1,1,1,1,1,1085.72721057,1085.72721057,-1085.72721057,1085.72721057,-1085.72721057,1085.72721057,-1085.72721057,1085.72721057,1085.72721057,-1085.72721057,1085.72721057,-1085.72721057,1085.72721057,1085.72721057,1085.72721057,-1085.72721057,1085.72721057,-1085.72721057,1085.72721057,1085.72721057,1085.72721057,1085.72721057,1085.72721057,1085.72721057,-1085.72721057,1085.72721057,0.0,0.0,0.0,1085.72721057,-1085.72721057,-1085.72721057,1085.72721057
FSS,LLZ6,99.6,0.01875,5.020332346e-05,1.0,-1.0,1.0,-1.0,1.0,-26.0,2016-09-09,28.81640625,70.0,9.0,9.0,153072.75,0.813338755592,5.020332346e-05,99.6,rates,-1.0,-1.0,2016-09-09,1.0,1.0,-27.0,-27.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,1,1,1,1,-1,-1,-1.0,1,1,1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,1,1,0,1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
