2016-07-19 00:00:00,Contract,LastClose,ATR20,PC2016-07-19 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-19 00:00:00,RiskOn,group,SEA2016-07-19 00:00:00,SRUN2016-07-19 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-18 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-18 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-18 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-18 00:00:00,AntiSEA,AntiPrevACT,AdjSEA,Voting,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_Voting,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
FCH,MTQ6,4329.5,109.838553187,-0.00631168235024,-1.0,1.0,-1.0,1.0,-1.0,-9.0,2016-07-06,-1.0,1210.75037178,2.0,47724.0785,4329.5,1.0,index,-1.0,-9.0,-1.0,-8.0,-1.0,,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,1,1.0,1,-1,-301.21922395,602.4384479,602.4384479,-602.4384479,602.4384479,-602.4384479,602.4384479,-602.4384479,-602.4384479,-602.4384479,602.4384479,-602.4384479,-602.4384479,602.4384479
FDX,DXMU6,9973.0,240.675,-0.00948502756121,-1.0,1.0,1.0,1.0,-1.0,-3.0,2016-07-06,1.0,1326.4802625,2.0,54966.1895,9973.0,1.0,index,-1.0,-3.0,-1.0,-2.0,1.0,,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,-1,1.0,1,-1,-521.355822342,1042.71164468,-1042.71164468,-1042.71164468,-1042.71164468,-1042.71164468,1042.71164468,-1042.71164468,-1042.71164468,-1042.71164468,-1042.71164468,1042.71164468,-1042.71164468,1042.71164468
FEI,IEZ6,100.34,0.026,-4.98280930789e-05,-1.0,1.0,1.0,-1.0,1.0,-7.0,2016-07-08,1.0,71.6495,28.0,276511.955,100.34,-1.0,rates,1.0,-7.0,1.0,-6.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,-1,-1,-1.0,-1,1,-13.7780634312,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
FFI,LFU6,6642.5,147.875,-0.00150319428786,-1.0,1.0,-1.0,1.0,-1.0,-3.0,2016-06-29,1.0,1937.310375,2.0,87023.3925,6642.5,1.0,index,-1.0,-3.0,-1.0,-2.0,-1.0,,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,-1,1.0,1,-1,-130.813066516,261.626133033,261.626133033,-261.626133033,261.626133033,-261.626133033,261.626133033,-261.626133033,-261.626133033,-261.626133033,-261.626133033,261.626133033,-261.626133033,261.626133033
FLG,LGU6,129.68,0.9785,0.00100347356233,1.0,-1.0,1.0,-1.0,1.0,18.0,2016-06-23,1.0,1281.93285,2.0,169893.768,129.68,-1.0,rates,1.0,18.0,1.0,-4.0,1.0,,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,-1,-1.0,-1,1,170.483904593,340.967809186,340.967809186,-340.967809186,340.967809186,-340.967809186,340.967809186,-340.967809186,-340.967809186,-340.967809186,340.967809186,-340.967809186,-340.967809186,340.967809186
FSS,LLZ6,99.68,0.056,0.0,1.0,1.0,-1.0,1.0,-1.0,5.0,2016-07-12,-1.0,91.707,22.0,163238.46,99.68,-1.0,rates,-1.0,5.0,-1.0,4.0,-1.0,,0.0,-1.0,2.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1,-1.0,-1,1,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
FV,@FVU6,121.53125,0.450390625,0.000514535631593,1.0,1.0,1.0,-1.0,1.0,-10.0,2016-07-05,1.0,450.390625,5.0,121531.25,121.53125,-1.0,rates,1.0,-10.0,1.0,-9.0,1.0,,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,5.0,-1.0,-1,-1,-1.0,-1,1,62.532158477,312.660792385,312.660792385,312.660792385,312.660792385,-312.660792385,312.660792385,-312.660792385,-312.660792385,-312.660792385,312.660792385,-312.660792385,-312.660792385,312.660792385
GC,QGCQ6,1332.3,23.53,0.00225682690138,1.0,1.0,1.0,-1.0,-1.0,-9.0,2016-07-06,1.0,2353.0,1.0,133230.0,1332.3,-1.0,metal,-1.0,-9.0,-1.0,-8.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1,-1,1.0,1,1,300.67704807,300.67704807,300.67704807,300.67704807,300.67704807,-300.67704807,-300.67704807,300.67704807,300.67704807,300.67704807,300.67704807,-300.67704807,-300.67704807,300.67704807
HCM,HHIN6,8965.0,187.869716328,-0.0108131965133,-1.0,1.0,-1.0,1.0,1.0,16.0,2016-06-24,-1.0,1208.94283352,2.0,57689.8326898,8965.0,1.0,index,1.0,16.0,1.0,15.0,-1.0,,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,1.0,1,-1,-623.811497694,1247.62299539,1247.62299539,-1247.62299539,1247.62299539,-1247.62299539,-1247.62299539,1247.62299539,-1247.62299539,-1247.62299539,1247.62299539,-1247.62299539,-1247.62299539,1247.62299539
HG,QHGU6,226.3,5.0675,0.0116227089852,1.0,-1.0,1.0,-1.0,1.0,7.0,2016-07-08,1.0,1266.875,2.0,56575.0,226.3,1.0,metal,1.0,7.0,1.0,6.0,1.0,,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,-1,1.0,1,-1,657.55476084,1315.10952168,1315.10952168,-1315.10952168,1315.10952168,-1315.10952168,1315.10952168,-1315.10952168,1315.10952168,1315.10952168,1315.10952168,-1315.10952168,1315.10952168,-1315.10952168
