,System,IB_Bal,IB_PBL,IB_MM,IB_PMM,IB_Start,IB_End,C2_Bal,C2_PBL,C2_MM,C2_PMM,C2_Start,C2_End
v3_GBPNZD,v3_GBPNZD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_GBPNZD,v4_GBPNZD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
s101_SPY,s101_SPY,0.0,0.0,0.0,0.0,20160425 07:16:20 EST,20160425 07:16:20 EST,0.0,0.0,0.0,0.0,20160511 04:35:14 EST,20160511 04:35:14 EST
v4_GBPJPY,v4_GBPJPY,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v1_AUDCHF,v1_AUDCHF,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_AUDCHF,v3_AUDCHF,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_AUDCHF,v4_AUDCHF,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_RB,v4_RB,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v1_USDCHF,v1_USDCHF,0.0,0.0,0.0,0.0,20160425 08:34:19 EST,20160425 08:34:19 EST,0.0,0.0,0.0,0.0,20160504 21:56:17 EST,20160504 21:56:17 EST
v3_USDCHF,v3_USDCHF,0.0,0.0,0.0,0.0,20160510 23:47:39 EST,20160510 23:47:39 EST,0.0,0.0,0.0,0.0,20160510 23:47:39 EST,20160510 23:47:39 EST
v4_USDCHF,v4_USDCHF,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v1_AUDCAD,v1_AUDCAD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_AUDCAD,v3_AUDCAD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_AUDCAD,v4_AUDCAD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_OJ,v4_OJ,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_CHFJPY,v3_CHFJPY,0.0,0.0,0.0,0.0,20160510 23:47:37 EST,20160510 23:47:37 EST,0.0,0.0,0.0,0.0,20160510 23:47:37 EST,20160510 23:47:37 EST
v4_CHFJPY,v4_CHFJPY,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_HO,v4_HO,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_HG,v4_HG,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
s101_EURUSD,s101_EURUSD,0.0,0.0,0.0,0.0,20160825 02:30:08 EST,20160825 02:30:08 EST,0.0,0.0,0.0,0.0,20160825 02:30:08 EST,20160825 02:30:08 EST
v3_EURUSD,v3_EURUSD,0.0,0.0,0.0,0.0,20160510 23:47:42 EST,20160510 23:47:42 EST,0.0,0.0,0.0,0.0,20160510 23:47:42 EST,20160510 23:47:42 EST
v4_EURUSD,v4_EURUSD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_PA,v4_PA,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_PL,v4_PL,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_USDJPY,v3_USDJPY,0.0,0.0,0.0,0.0,20160510 23:47:40 EST,20160510 23:47:40 EST,0.0,0.0,0.0,0.0,20160510 23:47:40 EST,20160510 23:47:40 EST
v4_USDJPY,v4_USDJPY,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_CADJPY,v3_CADJPY,0.0,0.0,0.0,0.0,20160510 23:47:35 EST,20160510 23:47:35 EST,0.0,0.0,0.0,0.0,20160510 23:47:35 EST,20160510 23:47:35 EST
v4_CADJPY,v4_CADJPY,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_C,v4_C,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_RU,v4_RU,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_ED,v4_ED,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_EC,v4_EC,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_S,v4_S,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_O,v4_O,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_W,v4_W,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
s101_#EUR50_M6_Blend,s101_#EUR50_M6_Blend,0.0,0.0,0.0,0.0,20160617 04:50:12 EST,20160617 04:50:12 EST,0.0,0.0,0.0,0.0,20160617 04:50:12 EST,20160617 04:50:12 EST
s101_#SWI20_M6_Blend,s101_#SWI20_M6_Blend,0.0,0.0,0.0,0.0,20160617 09:35:46 EST,20160617 09:35:46 EST,0.0,0.0,0.0,0.0,20160617 09:35:46 EST,20160617 09:35:46 EST
s101_ES,s101_ES,0.0,0.0,0.0,0.0,20160425 07:16:20 EST,20160425 07:16:20 EST,0.0,0.0,0.0,0.0,20160502 18:17:15 EST,20160502 18:17:15 EST
v4_ES,v4_ES,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_MD,v4_MD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_UZ,v4_UZ,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_US,v4_US,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_MP,v4_MP,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_NZDUSD,v3_NZDUSD,0.0,0.0,0.0,0.0,20160510 23:47:26 EST,20160510 23:47:26 EST,0.0,0.0,0.0,0.0,20160510 23:47:26 EST,20160510 23:47:26 EST
v4_NZDUSD,v4_NZDUSD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v1_EURAUD,v1_EURAUD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_EURAUD,v3_EURAUD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_EURAUD,v4_EURAUD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_UB,v4_UB,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_FV,v4_FV,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_FC,v4_FC,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v1_AUDJPY,v1_AUDJPY,0.0,0.0,0.0,0.0,20160504 21:52:56 EST,20160504 21:52:56 EST,0.0,0.0,0.0,0.0,20160504 21:52:56 EST,20160504 21:52:56 EST
v3_AUDJPY,v3_AUDJPY,0.0,0.0,0.0,0.0,20160510 23:47:32 EST,20160510 23:47:32 EST,0.0,0.0,0.0,0.0,20160510 23:47:32 EST,20160510 23:47:32 EST
v4_AUDJPY,v4_AUDJPY,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_NG,v4_NG,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_GBPCHF,v3_GBPCHF,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_GBPCHF,v4_GBPCHF,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_NQ,v4_NQ,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_CC,v4_CC,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_CA,v4_CA,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_CD,v4_CD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_AUDUSD,v3_AUDUSD,0.0,0.0,0.0,0.0,20160510 23:47:27 EST,20160510 23:47:27 EST,0.0,0.0,0.0,0.0,20160510 23:47:27 EST,20160510 23:47:27 EST
v4_AUDUSD,v4_AUDUSD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_XX,v4_XX,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_NR,v4_NR,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_CT,v4_CT,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_KC,v4_KC,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v1_CADCHF,v1_CADCHF,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_CADCHF,v3_CADCHF,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_CADCHF,v4_CADCHF,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_SI,v4_SI,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v1_EURNZD,v1_EURNZD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_EURNZD,v3_EURNZD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_EURNZD,v4_EURNZD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_SM,v4_SM,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_SB,v4_SB,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_CL,v4_CL,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_SF,v4_SF,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v1_EURJPY,v1_EURJPY,-5.52,-3.52,-5.52,-3.52,20160423 21:21:22 EST,20160424 00:02:42 EST,0.0,0.0,0.0,0.0,20160504 21:56:14 EST,20160504 21:56:14 EST
v3_EURJPY,v3_EURJPY,0.0,0.0,0.0,0.0,20160510 23:47:34 EST,20160510 23:47:34 EST,0.0,0.0,0.0,0.0,20160510 23:47:34 EST,20160510 23:47:34 EST
v4_EURJPY,v4_EURJPY,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_YM,v4_YM,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_GBPUSD,v3_GBPUSD,0.0,0.0,0.0,0.0,20160510 23:47:41 EST,20160510 23:47:41 EST,0.0,0.0,0.0,0.0,20160510 23:47:41 EST,20160510 23:47:41 EST
v4_GBPUSD,v4_GBPUSD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v1_NZDJPY,v1_NZDJPY,-12.912,-10.912,-12.912,-10.912,20160423 21:21:18 EST,20160424 00:00:19 EST,0.0,0.0,0.0,0.0,20160504 21:56:13 EST,20160504 21:56:13 EST
v4_NZDJPY,v4_NZDJPY,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_DX,v4_DX,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_DT,v4_DT,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_USDCAD,v3_USDCAD,0.0,0.0,0.0,0.0,20160510 23:47:42 EST,20160510 23:47:42 EST,0.0,0.0,0.0,0.0,20160510 23:47:42 EST,20160510 23:47:42 EST
v4_USDCAD,v4_USDCAD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v1_NZDCHF,v1_NZDCHF,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_NZDCHF,v3_NZDCHF,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_NZDCHF,v4_NZDCHF,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_LB,v4_LB,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_LC,v4_LC,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_EURCHF,v3_EURCHF,0.0,0.0,0.0,0.0,20160510 23:47:39 EST,20160510 23:47:39 EST,0.0,0.0,0.0,0.0,20160510 23:47:39 EST,20160510 23:47:39 EST
v4_EURCHF,v4_EURCHF,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_LN,v4_LN,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_TU,v4_TU,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_AD,v4_AD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v1_EURCAD,v1_EURCAD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_EURCAD,v3_EURCAD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_EURCAD,v4_EURCAD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v1_GBPAUD,v1_GBPAUD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_GBPAUD,v3_GBPAUD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_GBPAUD,v4_GBPAUD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_AX,v4_AX,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v1_GBPCAD,v1_GBPCAD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_GBPCAD,v3_GBPCAD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_GBPCAD,v4_GBPCAD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_EURGBP,v3_EURGBP,0.0,0.0,0.0,0.0,20160510 23:47:40 EST,20160510 23:47:40 EST,0.0,0.0,0.0,0.0,20160510 23:47:40 EST,20160510 23:47:40 EST
v4_EURGBP,v4_EURGBP,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v1_AUDNZD,v1_AUDNZD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_AUDNZD,v3_AUDNZD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_AUDNZD,v4_AUDNZD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_TY,v4_TY,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v1_NZDCAD,v1_NZDCAD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v3_NZDCAD,v3_NZDCAD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_NZDCAD,v4_NZDCAD,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v4_GC,v4_GC,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01,0.0,0.0,0.0,0.0,2016-01-01,2016-01-01
v1_EURCHF,v1_EURCHF,1.48806,3.48806,7.79684,7.79684,20160502 09:42:28 EST,20160504 21:51:31 EST,-0.511939999997,3.48806,-0.511939999997,3.48806,20160502 09:42:28 EST,20160504 21:51:31 EST
s101_GBPJPY,s101_GBPJPY,0.0,0.0,0.0,0.0,20160829 10:40:49 EST,20160829 10:40:49 EST,-2.0,0.0,9.32000000001,13.32,20160829 10:40:49 EST,20160829 10:40:49 EST
s101_USDCHF,s101_USDCHF,0.0,0.0,0.0,0.0,20160825 02:30:19 EST,20160825 02:30:19 EST,-2.0,0.0,0.924320000006,4.92432000001,20160825 02:30:19 EST,20160825 02:30:19 EST
s101_NZDUSD,s101_NZDUSD,0.0,0.0,0.0,0.0,20160624 23:42:15 EST,20160624 23:42:15 EST,-2.0,0.0,-7.60000000001,-3.60000000001,20160624 23:42:15 EST,20160624 23:42:15 EST
s101_AUDUSD,s101_AUDUSD,-18.6,-14.6,-18.6,-14.6,20160511 07:42:00 EST,20160511 16:27:06 EST,-2.0,0.0,-8.40000000001,-4.40000000001,20160727 14:30:17 EST,20160729 03:40:26 EST
v3_NZDJPY,v3_NZDJPY,0.0,0.0,0.0,0.0,20160518 23:27:30 EST,20160518 23:27:30 EST,-2.0,0.0,-13.18,-9.17999999999,20160518 23:27:30 EST,20160518 23:27:30 EST
s101_NZDJPY,s101_NZDJPY,-2.0,0.0,-13.18,-9.17999999999,20160826 02:26:25 EST,20160826 03:06:38 EST,-2.0,0.0,-13.18,-9.18000000001,20160826 02:26:25 EST,20160826 03:06:38 EST
s101_GBPUSD,s101_GBPUSD,-8.8,-6.8,0.0,0.0,20160825 02:32:44 EST,20160827 17:44:23 EST,-8.79999999999,-6.79999999999,0.0,0.0,20160825 02:32:44 EST,20160827 17:44:23 EST
v3_GBPJPY,v3_GBPJPY,-15.86,-13.86,-14.96,-12.96,20160510 23:47:35 EST,20160511 01:23:10 EST,-15.86,-13.86,-14.96,-12.96,20160510 23:47:35 EST,20160511 01:23:10 EST
s101_#US$indx_M6_Blend,s101_#US$indx_M6_Blend,-26.0,-14.0,-26.0,-14.0,20160602 03:42:55 EST,20160605 01:03:54 EST,-28.0,-14.0,-28.0,-14.0,20160602 03:42:55 EST,20160605 01:03:54 EST
s101_EURCHF,s101_EURCHF,-31.69728,-19.69728,-31.69728,-19.69728,20160826 12:20:23 EST,20160829 10:30:15 EST,-31.69728,-19.69728,-31.69728,-19.69728,20160826 12:20:23 EST,20160829 10:30:15 EST
s101_CADJPY,s101_CADJPY,-30.36,-18.36,-38.48,-24.48,20160826 12:20:37 EST,20160828 14:24:20 EST,-32.36,-18.36,-40.48,-24.48,20160826 12:20:37 EST,20160828 14:24:20 EST
s101_CHFJPY,s101_CHFJPY,-34.52,-20.52,-43.36,-27.36,20160825 06:56:36 EST,20160827 22:25:34 EST,-34.52,-20.52,-43.36,-27.36,20160825 06:56:36 EST,20160827 22:25:34 EST
s101_USDJPY,s101_USDJPY,-45.6,-21.6,-45.6,-21.6,20160826 16:06:11 EST,20160829 11:42:11 EST,-45.6,-21.6,-45.6,-21.6,20160826 16:06:11 EST,20160829 11:42:11 EST
s101_#Swiss20_Blend,s101_#Swiss20_Blend,-1254.84936,-1206.0,-1254.84936,-1206.0,20160826 08:01:32 EST,20160829 06:44:54 EST,-61.84936,-13.0,-61.84936,-13.0,20160826 08:01:32 EST,20160829 06:44:54 EST
s101_EURJPY,s101_EURJPY,-60.86,-40.86,-57.6,-39.6,20160530 00:21:12 EST,20160601 01:44:29 EST,-66.86,-40.86,-66.12,-42.12,20160530 00:21:12 EST,20160601 01:44:29 EST
s101_#US$indx_M6,s101_#US$indx_M6,-53.5,-43.5,-53.5,-43.5,20160530 09:17:35 EST,20160601 16:39:35 EST,-73.5,-47.5,-73.5,-47.5,20160529 21:36:46 EST,20160601 16:39:35 EST
s101_USDCAD,s101_USDCAD,-87.3565,-43.3565,-87.3565,-43.3565,20160826 15:40:38 EST,20160829 12:41:05 EST,-87.3565,-43.3565,-87.3565,-43.3565,20160826 15:40:38 EST,20160829 12:41:05 EST
s101_EURGBP,s101_EURGBP,-91.82,-57.82,-101.0475,-65.0475,20160826 16:01:58 EST,20160829 12:30:32 EST,-91.82,-57.82,-101.0475,-65.0475,20160826 16:01:58 EST,20160829 12:30:32 EST
v1_GBPJPY,v1_GBPJPY,33.8,37.8,39.22,41.22,20160502 09:42:29 EST,20160504 21:53:00 EST,-96.42,-84.42,-96.42,-84.42,20160502 09:42:29 EST,20160504 21:53:00 EST
s101_#DJ30_M6,s101_#DJ30_M6,557.574,700.0,557.574,700.0,20160614 10:33:25 EST,20160617 09:35:53 EST,-142.426,0.0,-142.426,0.0,20160614 10:33:25 EST,20160617 09:35:53 EST
v1_CHFJPY,v1_CHFJPY,0.0,0.0,0.0,0.0,20160504 21:52:56 EST,20160504 21:52:56 EST,-163.3,-159.3,-163.3,-159.3,20160503 01:10:25 EST,20160504 21:52:56 EST
v1_USDJPY,v1_USDJPY,0.0,0.0,0.0,0.0,20160504 21:51:32 EST,20160504 21:51:32 EST,-210.8,-208.8,-210.42,-210.42,20160503 01:10:25 EST,20160504 21:51:32 EST
v1_NZDUSD,v1_NZDUSD,-241.2,-239.2,-238.0,-238.0,20160502 09:42:29 EST,20160504 21:52:54 EST,-243.2,-239.2,-243.2,-239.2,20160502 09:42:29 EST,20160504 21:52:54 EST
