2016-08-11 00:00:00,Contract,LastClose,ATR20,PC2016-08-11 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,contractValue,Close2016-08-11 00:00:00,RiskOn,group,SEA2016-08-11 00:00:00,SRUN2016-08-11 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-10 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-10 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-10 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-10 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6
CT,@CTZ6,71.86,1.721,0.0058790593505,1.0,1.0,1.0,1.0,1.0,4.0,2016-08-05,860.5,3.0,1.0,35930.0,71.86,1.0,soft,1.0,4.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,1,-1,633.703807391,633.703807391,-633.703807391,633.703807391,633.703807391,-633.703807391,633.703807391,633.703807391,633.703807391,633.703807391,-633.703807391,-633.703807391,633.703807391,-633.703807391,633.703807391,-633.703807391,-633.703807391,633.703807391,633.703807391,633.703807391,-633.703807391,633.703807391
CU,@EUU6,1.1159,0.00674,-0.00290398963499,-1.0,1.0,1.0,-1.0,1.0,-7.0,2016-08-02,842.5,3.0,1.0,139487.5,1.1159,1.0,currency,1.0,-7.0,1.0,1.0,-6.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,1,-1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-1215.21076263,1215.21076263,-1215.21076263,1215.21076263,-1215.21076263,1215.21076263,-1215.21076263,-1215.21076263,-1215.21076263,1215.21076263,-1215.21076263,1215.21076263,-1215.21076263,1215.21076263,1215.21076263,-1215.21076263,1215.21076263,1215.21076263,1215.21076263,1215.21076263,-1215.21076263,1215.21076263
DX,@DXU6,95.838,0.5781,0.00240565643042,1.0,-1.0,-1.0,-1.0,-1.0,-7.0,2016-08-02,578.1,4.0,1.0,95838.0,95.838,-1.0,currency,-1.0,-7.0,-1.0,-1.0,-6.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,1,922.213203916,922.213203916,-922.213203916,922.213203916,-922.213203916,922.213203916,-922.213203916,-922.213203916,-922.213203916,-922.213203916,922.213203916,922.213203916,-922.213203916,922.213203916,922.213203916,-922.213203916,-922.213203916,922.213203916,922.213203916,922.213203916,-922.213203916,922.213203916
EBL,BDU6,167.66,0.6745,-0.00107244995234,-1.0,1.0,-1.0,1.0,1.0,7.0,2016-08-02,751.32555,3.0,1.0,186756.474,167.66,-1.0,rates,1.0,7.0,1.0,1.0,6.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,1,-600.860914919,600.860914919,-600.860914919,600.860914919,600.860914919,-600.860914919,-600.860914919,-600.860914919,600.860914919,-600.860914919,600.860914919,600.860914919,-600.860914919,600.860914919,-600.860914919,600.860914919,-600.860914919,600.860914919,600.860914919,600.860914919,600.860914919,600.860914919
EBM,BLU6,133.72,0.2065,-0.000299043062201,-1.0,1.0,1.0,1.0,1.0,7.0,2016-08-02,230.02035,9.0,3.0,148950.708,133.72,-1.0,rates,1.0,7.0,1.0,1.0,6.0,1.0,1.0,9.0,1.0,1.0,9.0,1.0,2.0,9.0,1.0,2.0,9.0,1.0,-1,-1,-1,-1,1.0,-1,1,1,-1,1,-1,-1,1,-400.884082536,400.884082536,-400.884082536,400.884082536,400.884082536,-400.884082536,-400.884082536,-400.884082536,-400.884082536,-400.884082536,400.884082536,400.884082536,-400.884082536,400.884082536,-400.884082536,400.884082536,-400.884082536,-400.884082536,400.884082536,-400.884082536,400.884082536,400.884082536
EBS,EZU6,112.03,0.04125,-4.46289106083e-05,-1.0,1.0,1.0,1.0,1.0,7.0,2016-08-02,45.948375,44.0,11.0,124790.217,112.03,-1.0,rates,1.0,7.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,-1,1.0,-1,1,1,-1,1,-1,-1,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
ED,@EDZ6,99.075,0.03525,-0.000201826530097,-1.0,1.0,-1.0,1.0,-1.0,-9.0,2016-07-29,88.125,23.0,6.0,247687.5,99.075,-1.0,rates,-1.0,-9.0,1.0,-1.0,-8.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
EMD,@EMDU6,1558.1,12.7,0.00244483047031,1.0,-1.0,-1.0,-1.0,1.0,-21.0,2016-07-13,1270.0,2.0,1.0,155810.0,1558.1,1.0,index,1.0,-21.0,-1.0,1.0,-20.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,-1,761.858071157,761.858071157,-761.858071157,761.858071157,761.858071157,-761.858071157,761.858071157,-761.858071157,-761.858071157,-761.858071157,761.858071157,761.858071157,761.858071157,-761.858071157,-761.858071157,761.858071157,-761.858071157,-761.858071157,-761.858071157,-761.858071157,761.858071157,-761.858071157
ES,@ESU6,2181.75,14.025,0.00414221608561,1.0,-1.0,-1.0,-1.0,-1.0,-19.0,2016-07-15,701.25,3.0,1.0,109087.5,2181.75,1.0,index,-1.0,-19.0,-1.0,-1.0,-18.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,-1,1355.59199172,1355.59199172,-1355.59199172,1355.59199172,1355.59199172,-1355.59199172,-1355.59199172,-1355.59199172,-1355.59199172,-1355.59199172,1355.59199172,1355.59199172,-1355.59199172,1355.59199172,1355.59199172,-1355.59199172,-1355.59199172,1355.59199172,1355.59199172,1355.59199172,-1355.59199172,1355.59199172
FC,@GFV6,144.05,2.9634127125,-0.0102693602642,-1.0,1.0,-1.0,1.0,-1.0,15.0,2016-07-21,1481.70635625,2.0,1.0,72025.0,144.05,1.0,meat,-1.0,15.0,-1.0,-1.0,14.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,1,1,-1.0,1,1,-1,1,1,-1,1,-1,-1479.30134606,1479.30134606,1479.30134606,-1479.30134606,-1479.30134606,1479.30134606,1479.30134606,-1479.30134606,1479.30134606,-1479.30134606,1479.30134606,1479.30134606,1479.30134606,-1479.30134606,1479.30134606,-1479.30134606,-1479.30134606,1479.30134606,-1479.30134606,-1479.30134606,1479.30134606,-1479.30134606
FCH,MTQ6,4504.0,56.225,0.0115665356541,1.0,1.0,-1.0,1.0,1.0,-6.0,2016-08-03,626.290275,4.0,1.0,50170.056,4504.0,1.0,index,1.0,-6.0,-1.0,-1.0,-5.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,1,1,1.0,-1,1,1,1,1,-1,1,-1,2321.17496597,2321.17496597,-2321.17496597,2321.17496597,2321.17496597,-2321.17496597,-2321.17496597,2321.17496597,-2321.17496597,2321.17496597,-2321.17496597,-2321.17496597,-2321.17496597,2321.17496597,2321.17496597,-2321.17496597,2321.17496597,2321.17496597,2321.17496597,2321.17496597,-2321.17496597,2321.17496597
FDX,DXMU6,10720.5,136.825,0.00624178712221,1.0,-1.0,-1.0,-1.0,-1.0,-20.0,2016-07-14,762.0468375,3.0,1.0,59707.82475,10720.5,1.0,index,-1.0,-20.0,-1.0,-1.0,-19.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,-1,1118.05059486,1118.05059486,-1118.05059486,1118.05059486,1118.05059486,-1118.05059486,-1118.05059486,-1118.05059486,-1118.05059486,-1118.05059486,1118.05059486,1118.05059486,-1118.05059486,1118.05059486,1118.05059486,-1118.05059486,-1118.05059486,1118.05059486,1118.05059486,1118.05059486,-1118.05059486,1118.05059486
FEI,IEZ6,100.34,0.0095,0.0,1.0,1.0,1.0,1.0,1.0,-15.0,2016-07-21,26.455125,76.0,19.0,279421.815,100.34,-1.0,rates,1.0,-15.0,1.0,1.0,-14.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
FFI,LFU6,6889.5,63.45,0.0113027522936,1.0,1.0,-1.0,1.0,1.0,12.0,2016-07-26,822.0582,3.0,1.0,89260.362,6889.5,1.0,index,1.0,12.0,1.0,1.0,-2.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,3026.66328396,3026.66328396,3026.66328396,-3026.66328396,3026.66328396,-3026.66328396,3026.66328396,3026.66328396,-3026.66328396,3026.66328396,-3026.66328396,-3026.66328396,3026.66328396,-3026.66328396,-3026.66328396,3026.66328396,3026.66328396,-3026.66328396,-3026.66328396,-3026.66328396,3026.66328396,-3026.66328396
FLG,LGU6,132.64,0.6995,0.000905523694537,1.0,1.0,-1.0,1.0,1.0,-1.0,2016-08-02,906.2722,3.0,1.0,171848.384,132.64,-1.0,rates,1.0,-1.0,1.0,1.0,6.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,1,466.838350739,466.838350739,466.838350739,-466.838350739,-466.838350739,466.838350739,466.838350739,466.838350739,-466.838350739,466.838350739,-466.838350739,-466.838350739,466.838350739,-466.838350739,466.838350739,-466.838350739,466.838350739,-466.838350739,-466.838350739,-466.838350739,-466.838350739,-466.838350739
FSS,LLZ6,99.75,0.029,-0.000200461060439,-1.0,1.0,1.0,1.0,1.0,6.0,2016-08-03,46.9655,43.0,11.0,161545.125,99.75,-1.0,rates,1.0,6.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-1,-1,-1,-1,1.0,-1,1,1,-1,1,-1,-1,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
FV,@FVU6,121.4296875,0.3109375,-0.00339830725827,-1.0,-1.0,-1.0,1.0,1.0,-5.0,2016-08-04,310.9375,7.0,2.0,121429.6875,121.4296875,-1.0,rates,1.0,-5.0,1.0,1.0,-4.0,1.0,1.0,7.0,1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,2.0,7.0,1.0,-1,1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,1,-2888.58771881,2888.58771881,-2888.58771881,2888.58771881,2888.58771881,-2888.58771881,-2888.58771881,2888.58771881,2888.58771881,-2888.58771881,2888.58771881,-2888.58771881,-2888.58771881,2888.58771881,2888.58771881,-2888.58771881,-2888.58771881,2888.58771881,2888.58771881,2888.58771881,-2888.58771881,2888.58771881
GC,QGCZ6,1350.0,16.410209548,-0.00140542939567,-1.0,-1.0,1.0,-1.0,1.0,-7.0,2016-08-02,1641.0209548,2.0,1.0,135000.0,1350.0,-1.0,metal,1.0,-7.0,1.0,1.0,-6.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1,-379.46593683,379.46593683,-379.46593683,379.46593683,379.46593683,-379.46593683,-379.46593683,379.46593683,-379.46593683,379.46593683,-379.46593683,-379.46593683,-379.46593683,379.46593683,379.46593683,-379.46593683,379.46593683,379.46593683,379.46593683,379.46593683,-379.46593683,379.46593683
HCM,HHIQ6,9418.0,130.617296641,0.0109489051095,1.0,-1.0,-1.0,-1.0,-1.0,-7.0,2016-08-01,840.523144408,3.0,1.0,60604.8906049,9418.0,1.0,index,-1.0,-7.0,1.0,-1.0,-6.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1,-1,1.0,-1,1,-1,-1,-1,1,-1,-1,1990.67158921,1990.67158921,1990.67158921,-1990.67158921,1990.67158921,-1990.67158921,-1990.67158921,-1990.67158921,-1990.67158921,-1990.67158921,1990.67158921,1990.67158921,-1990.67158921,1990.67158921,1990.67158921,-1990.67158921,1990.67158921,-1990.67158921,-1990.67158921,-1990.67158921,1990.67158921,-1990.67158921
HG,QHGU6,219.1,3.9725,0.00921234454169,1.0,1.0,1.0,-1.0,-1.0,9.0,2016-07-29,993.125,3.0,1.0,54775.0,219.1,1.0,metal,-1.0,9.0,1.0,-1.0,8.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,1,-1,1,-1,-1.0,1,1,-1,1,1,1,1,-1,1513.81851681,1513.81851681,1513.81851681,-1513.81851681,1513.81851681,-1513.81851681,-1513.81851681,1513.81851681,1513.81851681,-1513.81851681,1513.81851681,-1513.81851681,-1513.81851681,1513.81851681,-1513.81851681,1513.81851681,1513.81851681,-1513.81851681,1513.81851681,1513.81851681,1513.81851681,1513.81851681
HIC,HSIQ6,22560.0,275.307482994,0.00624442462087,1.0,1.0,-1.0,1.0,-1.0,-7.0,2016-08-01,1771.60542467,2.0,1.0,145173.745174,22560.0,1.0,index,-1.0,-7.0,-1.0,-1.0,24.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,1,1,-1.0,1,1,-1,1,1,-1,1,-1,1813.05301733,1813.05301733,-1813.05301733,1813.05301733,1813.05301733,-1813.05301733,-1813.05301733,1813.05301733,-1813.05301733,1813.05301733,-1813.05301733,-1813.05301733,-1813.05301733,1813.05301733,-1813.05301733,1813.05301733,1813.05301733,-1813.05301733,1813.05301733,1813.05301733,-1813.05301733,1813.05301733
HO,QHOU6,1.3849,0.04126,0.0504399271845,1.0,1.0,1.0,1.0,1.0,8.0,2016-08-01,1732.92,2.0,1.0,58165.8,1.3849,1.0,energy,1.0,8.0,-1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,1,-1,5867.75743325,5867.75743325,-5867.75743325,5867.75743325,5867.75743325,-5867.75743325,5867.75743325,5867.75743325,5867.75743325,5867.75743325,-5867.75743325,-5867.75743325,5867.75743325,-5867.75743325,5867.75743325,-5867.75743325,-5867.75743325,5867.75743325,5867.75743325,5867.75743325,-5867.75743325,5867.75743325
JY,@JYU6,0.9824,0.0115725,-0.00612069401588,-1.0,1.0,1.0,1.0,1.0,3.0,2016-08-02,1446.5625,2.0,1.0,122800.0,0.9824,-1.0,currency,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,-1,-1,1.0,-1,1,1,-1,1,-1,-1,1,-1503.2424503,1503.2424503,-1503.2424503,1503.2424503,1503.2424503,-1503.2424503,-1503.2424503,-1503.2424503,-1503.2424503,-1503.2424503,1503.2424503,1503.2424503,-1503.2424503,1503.2424503,-1503.2424503,1503.2424503,-1503.2424503,-1503.2424503,1503.2424503,-1503.2424503,1503.2424503,1503.2424503
KC,@KCZ6,141.15,3.794588943,-0.00842992623815,-1.0,-1.0,1.0,-1.0,1.0,-9.0,2016-07-29,1422.97085363,2.0,1.0,52931.25,141.15,1.0,soft,1.0,-9.0,-1.0,1.0,-8.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,-1,-892.413066386,892.413066386,892.413066386,-892.413066386,-892.413066386,892.413066386,-892.413066386,892.413066386,-892.413066386,892.413066386,-892.413066386,-892.413066386,-892.413066386,892.413066386,892.413066386,-892.413066386,892.413066386,-892.413066386,892.413066386,892.413066386,-892.413066386,-892.413066386
KW,@KWU6,412.25,9.9375,0.00121432908318,1.0,1.0,1.0,1.0,1.0,-9.0,2016-07-29,496.875,5.0,2.0,20612.5,412.25,1.0,grain,1.0,-9.0,1.0,1.0,-8.0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,2.0,5.0,1.0,2.0,5.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,125.151791135,125.151791135,125.151791135,-125.151791135,125.151791135,-125.151791135,125.151791135,125.151791135,125.151791135,125.151791135,-125.151791135,-125.151791135,125.151791135,-125.151791135,-125.151791135,125.151791135,125.151791135,-125.151791135,-125.151791135,-125.151791135,125.151791135,-125.151791135
LB,@LBU6,322.6,6.9,-0.0244934986392,-1.0,-1.0,-1.0,-1.0,1.0,-2.0,2016-08-01,759.0,3.0,1.0,35486.0,322.6,1.0,soft,1.0,-2.0,-1.0,1.0,7.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,-1,-1,-2607.52887814,2607.52887814,2607.52887814,-2607.52887814,-2607.52887814,2607.52887814,-2607.52887814,2607.52887814,2607.52887814,2607.52887814,-2607.52887814,-2607.52887814,-2607.52887814,2607.52887814,-2607.52887814,2607.52887814,2607.52887814,-2607.52887814,2607.52887814,2607.52887814,2607.52887814,2607.52887814
