2016-08-25 00:00:00,Contract,LastClose,ATR20,PC2016-08-25 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-08-25 00:00:00,RiskOn,group,SEA2016-08-25 00:00:00,SRUN2016-08-25 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-24 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-24 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-24 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-24 00:00:00,RiskOff,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,Voting7,Voting8,Voting9,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9
DX,@DXU6,94.743,0.53985,-4.22176955471e-05,-1.0,-1.0,1.0,-1.0,-1.0,24.0,2016-07-22,539.85,4.0,1.0,1.0,94743.0,94.743,-1.0,currency,-1.0,24.0,1.0,-1.0,23.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1,1,1,1,-1,-1.0,1,1,-1,-1,-1,1,1,1,-1,1,-15.9993245169,15.9993245169,-15.9993245169,15.9993245169,15.9993245169,-15.9993245169,-15.9993245169,15.9993245169,-15.9993245169,15.9993245169,-15.9993245169,-15.9993245169,15.9993245169,-15.9993245169,15.9993245169,-15.9993245169,-15.9993245169,15.9993245169,15.9993245169,15.9993245169,-15.9993245169,-15.9993245169,-15.9993245169,15.9993245169,-15.9993245169
EBL,BDU6,167.47,0.6345,-0.000537121031272,-1.0,1.0,-1.0,1.0,1.0,48.0,2016-06-20,715.65255,3.0,1.0,1.0,188889.413,167.47,-1.0,rates,1.0,48.0,-1.0,1.0,47.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,-1,1,-1,-1,-304.369428921,304.369428921,304.369428921,-304.369428921,304.369428921,-304.369428921,304.369428921,-304.369428921,304.369428921,-304.369428921,304.369428921,304.369428921,-304.369428921,304.369428921,-304.369428921,304.369428921,304.369428921,-304.369428921,-304.369428921,-304.369428921,304.369428921,304.369428921,-304.369428921,304.369428921,304.369428921
EBM,BLU6,133.54,0.1765,-0.000299446024854,-1.0,-1.0,-1.0,-1.0,1.0,-34.0,2016-07-08,199.07435,11.0,2.0,2.0,150619.766,133.54,-1.0,rates,1.0,-34.0,-1.0,1.0,-33.0,-1.0,1.0,11.0,-1.0,1.0,11.0,-1.0,1.0,11.0,-1.0,1.0,11.0,-1.0,1,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,1,-1,0,-496.127392125,496.127392125,496.127392125,-496.127392125,496.127392125,-496.127392125,496.127392125,496.127392125,496.127392125,496.127392125,-496.127392125,-496.127392125,-496.127392125,496.127392125,496.127392125,-496.127392125,496.127392125,496.127392125,496.127392125,496.127392125,-496.127392125,496.127392125,-496.127392125,496.127392125,-0.0
EBS,EZU6,111.99,0.03175,-0.000133922592741,-1.0,-1.0,1.0,-1.0,1.0,-33.0,2016-07-11,35.810825,56.0,7.0,7.0,126313.521,111.99,-1.0,rates,1.0,-33.0,1.0,1.0,-32.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1,-1,0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
ED,@EDZ6,99.07,0.0355,-0.000151385174345,-1.0,-1.0,1.0,-1.0,1.0,-42.0,2016-06-27,88.75,23.0,3.0,3.0,247675.0,99.07,-1.0,rates,1.0,-42.0,1.0,1.0,-41.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1,-1,0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
EMD,@EMDU6,1563.7,12.88,0.00275747082211,1.0,-1.0,-1.0,-1.0,1.0,15.0,2016-08-04,1288.0,2.0,1.0,1.0,156370.0,1563.7,1.0,index,1.0,15.0,-1.0,1.0,14.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,-1,-1,1,0,862.371424907,862.371424907,-862.371424907,862.371424907,862.371424907,-862.371424907,-862.371424907,-862.371424907,-862.371424907,-862.371424907,862.371424907,862.371424907,862.371424907,-862.371424907,862.371424907,-862.371424907,-862.371424907,862.371424907,-862.371424907,-862.371424907,-862.371424907,-862.371424907,-862.371424907,862.371424907,0.0
ES,@ESU6,2173.5,12.85,-0.000689655172414,-1.0,-1.0,1.0,-1.0,-1.0,-29.0,2016-07-15,642.5,4.0,1.0,1.0,108675.0,2173.5,1.0,index,-1.0,-29.0,-1.0,-1.0,-28.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,-1,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,1,1,1,-299.793103448,299.793103448,299.793103448,-299.793103448,-299.793103448,299.793103448,-299.793103448,299.793103448,-299.793103448,299.793103448,-299.793103448,-299.793103448,299.793103448,-299.793103448,-299.793103448,299.793103448,299.793103448,-299.793103448,-299.793103448,-299.793103448,299.793103448,-299.793103448,-299.793103448,-299.793103448,-299.793103448
FC,@GFV6,138.1,2.3382817855,-0.00701060578824,-1.0,-1.0,1.0,-1.0,-1.0,12.0,2016-08-09,1169.14089275,2.0,1.0,1.0,69050.0,138.1,1.0,meat,-1.0,12.0,-1.0,-1.0,-13.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,-1,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,1,1,1,-968.164659356,968.164659356,968.164659356,-968.164659356,-968.164659356,968.164659356,-968.164659356,968.164659356,-968.164659356,968.164659356,-968.164659356,-968.164659356,968.164659356,-968.164659356,-968.164659356,968.164659356,968.164659356,-968.164659356,-968.164659356,-968.164659356,968.164659356,-968.164659356,-968.164659356,-968.164659356,-968.164659356
FCH,MTU6,4406.0,52.9217047745,-0.0065388951522,-1.0,1.0,-1.0,1.0,1.0,-43.0,2016-06-27,596.903908152,4.0,1.0,1.0,49695.274,4406.0,1.0,index,1.0,-43.0,1.0,1.0,-42.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,1.0,4.0,1.0,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1299.80874498,1299.80874498,-1299.80874498,1299.80874498,-1299.80874498,1299.80874498,1299.80874498,-1299.80874498,1299.80874498,-1299.80874498,1299.80874498,1299.80874498,-1299.80874498,1299.80874498,1299.80874498,-1299.80874498,-1299.80874498,1299.80874498,1299.80874498,1299.80874498,-1299.80874498,1299.80874498,1299.80874498,1299.80874498,1299.80874498
FDX,DXMU6,10528.5,142.85,-0.00870916109594,-1.0,1.0,-1.0,1.0,-1.0,-30.0,2016-07-14,805.602575,3.0,1.0,1.0,59375.47575,10528.5,1.0,index,-1.0,-30.0,1.0,-1.0,-29.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,-1,0,-1551.33175036,1551.33175036,-1551.33175036,1551.33175036,-1551.33175036,1551.33175036,1551.33175036,-1551.33175036,1551.33175036,-1551.33175036,1551.33175036,1551.33175036,1551.33175036,-1551.33175036,-1551.33175036,1551.33175036,-1551.33175036,1551.33175036,-1551.33175036,-1551.33175036,1551.33175036,1551.33175036,1551.33175036,1551.33175036,-0.0
FEI,IEZ6,100.32,0.009,0.0,1.0,-1.0,-1.0,-1.0,1.0,-34.0,2016-07-08,25.37775,79.0,10.0,10.0,282877.32,100.32,-1.0,rates,1.0,-34.0,-1.0,1.0,-33.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,1,-1,0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
FFI,LFU6,6818.0,64.275,-0.00168387144008,-1.0,-1.0,-1.0,-1.0,1.0,22.0,2016-07-26,847.53015,3.0,1.0,1.0,89902.148,6818.0,1.0,index,1.0,22.0,-1.0,1.0,21.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,-1,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,-1,-1,1,0,-454.150978256,454.150978256,454.150978256,-454.150978256,-454.150978256,454.150978256,454.150978256,454.150978256,454.150978256,454.150978256,-454.150978256,-454.150978256,-454.150978256,454.150978256,-454.150978256,454.150978256,454.150978256,-454.150978256,454.150978256,454.150978256,454.150978256,454.150978256,454.150978256,-454.150978256,-0.0
FLG,LGU6,132.33,0.69,0.000151160154183,1.0,1.0,-1.0,1.0,1.0,45.0,2016-06-23,909.834,3.0,1.0,1.0,174490.338,132.33,-1.0,rates,1.0,45.0,-1.0,1.0,44.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,1,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,-1,1,-1,-1,79.1279591868,79.1279591868,-79.1279591868,79.1279591868,-79.1279591868,79.1279591868,-79.1279591868,79.1279591868,-79.1279591868,79.1279591868,-79.1279591868,-79.1279591868,79.1279591868,-79.1279591868,79.1279591868,-79.1279591868,-79.1279591868,79.1279591868,79.1279591868,79.1279591868,-79.1279591868,-79.1279591868,79.1279591868,-79.1279591868,-79.1279591868
FSS,LLZ6,99.7,0.0265,0.0,1.0,1.0,-1.0,1.0,1.0,-32.0,2016-07-12,43.678625,46.0,6.0,6.0,164330.525,99.7,-1.0,rates,1.0,-32.0,-1.0,1.0,-31.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,1,-1,-1,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
FV,@FVU6,121.375,0.303515625,-0.000836066628079,-1.0,-1.0,1.0,-1.0,1.0,-37.0,2016-07-05,303.515625,7.0,1.0,1.0,121375.0,121.375,-1.0,rates,1.0,-37.0,1.0,1.0,-36.0,-1.0,1.0,7.0,-1.0,1.0,7.0,1.0,2.0,7.0,-1.0,2.0,7.0,-1.0,1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1,-1,0,-710.343108882,710.343108882,-710.343108882,710.343108882,710.343108882,-710.343108882,710.343108882,710.343108882,-710.343108882,710.343108882,-710.343108882,-710.343108882,-710.343108882,710.343108882,710.343108882,-710.343108882,710.343108882,710.343108882,710.343108882,710.343108882,-710.343108882,710.343108882,-710.343108882,710.343108882,-0.0
GC,QGCZ6,1324.6,14.615,-0.00383545160563,-1.0,1.0,-1.0,1.0,1.0,-36.0,2016-07-06,1461.5,2.0,1.0,1.0,132460.0,1324.6,-1.0,metal,1.0,-36.0,-1.0,1.0,39.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,-1,1,-1,-1,-1016.08783936,1016.08783936,1016.08783936,-1016.08783936,1016.08783936,-1016.08783936,1016.08783936,-1016.08783936,1016.08783936,-1016.08783936,1016.08783936,1016.08783936,-1016.08783936,1016.08783936,-1016.08783936,1016.08783936,1016.08783936,-1016.08783936,-1016.08783936,-1016.08783936,1016.08783936,1016.08783936,-1016.08783936,1016.08783936,1016.08783936
HCM,HHIU6,9472.0,148.389172646,-0.00231627711085,-1.0,-1.0,1.0,-1.0,1.0,-17.0,2016-08-01,954.885280866,3.0,1.0,1.0,60952.3809524,9472.0,1.0,index,1.0,-17.0,-1.0,1.0,-16.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,1,0,-423.547814555,423.547814555,423.547814555,-423.547814555,-423.547814555,423.547814555,-423.547814555,423.547814555,-423.547814555,423.547814555,-423.547814555,-423.547814555,-423.547814555,423.547814555,423.547814555,-423.547814555,423.547814555,-423.547814555,423.547814555,423.547814555,-423.547814555,-423.547814555,-423.547814555,-423.547814555,-0.0
HG,QHGZ6,208.3,3.5725221965,-0.000959232613909,-1.0,-1.0,-1.0,-1.0,1.0,-6.0,2016-08-17,893.130549125,3.0,1.0,1.0,52075.0,208.3,1.0,metal,1.0,-6.0,-1.0,1.0,18.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,-1,-1,1,0,-149.856115108,149.856115108,149.856115108,-149.856115108,-149.856115108,149.856115108,149.856115108,149.856115108,149.856115108,149.856115108,-149.856115108,-149.856115108,-149.856115108,149.856115108,-149.856115108,149.856115108,149.856115108,-149.856115108,149.856115108,149.856115108,149.856115108,149.856115108,149.856115108,-149.856115108,-0.0
HIC,HSIQ6,22790.0,300.7,-0.00122710141117,-1.0,-1.0,-1.0,-1.0,1.0,-17.0,2016-08-01,1935.00643501,2.0,1.0,1.0,146653.796654,22790.0,1.0,index,1.0,-17.0,-1.0,1.0,-16.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,-1,1,0,-359.918161654,359.918161654,359.918161654,-359.918161654,-359.918161654,359.918161654,359.918161654,359.918161654,359.918161654,359.918161654,-359.918161654,-359.918161654,-359.918161654,359.918161654,359.918161654,-359.918161654,359.918161654,359.918161654,359.918161654,359.918161654,-359.918161654,359.918161654,359.918161654,-359.918161654,-0.0
HO,QHOV6,1.5232,0.041910361,0.00854134940078,1.0,1.0,-1.0,1.0,1.0,18.0,2016-08-01,1760.235162,2.0,1.0,1.0,63974.4,1.5232,1.0,energy,1.0,18.0,-1.0,1.0,17.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,-1,-1,1,-1,1092.85540621,1092.85540621,-1092.85540621,1092.85540621,1092.85540621,-1092.85540621,-1092.85540621,1092.85540621,-1092.85540621,1092.85540621,-1092.85540621,-1092.85540621,1092.85540621,-1092.85540621,1092.85540621,-1092.85540621,-1092.85540621,1092.85540621,1092.85540621,1092.85540621,-1092.85540621,-1092.85540621,-1092.85540621,1092.85540621,-1092.85540621
JY,@JYU6,0.9951,0.0087175,-0.00110419594459,-1.0,1.0,-1.0,1.0,1.0,26.0,2016-07-20,1089.6875,2.0,1.0,1.0,124387.5,0.9951,-1.0,currency,1.0,26.0,-1.0,1.0,25.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,1,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,-1,1,-1,-1,-274.696346115,274.696346115,274.696346115,-274.696346115,274.696346115,-274.696346115,274.696346115,-274.696346115,274.696346115,-274.696346115,274.696346115,274.696346115,-274.696346115,274.696346115,-274.696346115,274.696346115,274.696346115,-274.696346115,-274.696346115,-274.696346115,274.696346115,274.696346115,-274.696346115,274.696346115,274.696346115
