2016-10-13 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-10-13 00:00:00,Close2016-10-13 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2016-10-13 00:00:00,LastSRUN,SRUN2016-10-13 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2016-10-12 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-10-12 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-10-12 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-10-12 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
CT,@CTZ6,69.31,1.609,0.00492967957083,1.0,1.0,1.0,1.0,1.0,14.0,2016-09-22,804.5,3.0,1.0,1.0,34655.0,0.00492967957083,69.31,soft,1.0,1.0,2016-10-07,1.0,1.0,-4.0,-4.0,1.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,0,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,0.0,0.0,-1.0,-1.0,0.0,1,-1,-1,-1.0,-1,512.514136581,512.514136581,512.514136581,-512.514136581,512.514136581,-512.514136581,512.514136581,-512.514136581,-512.514136581,512.514136581,512.514136581,512.514136581,-512.514136581,-512.514136581,512.514136581,-512.514136581,512.514136581,-512.514136581,512.514136581,-512.514136581,-512.514136581,-512.514136581,-512.514136581,-512.514136581,-512.514136581,-512.514136581,0.0,0.0,-512.514136581,-512.514136581,0.0,512.514136581,-512.514136581
CU,@EUZ6,1.1084,0.006595,0.00394003894751,1.0,-1.0,-1.0,-1.0,1.0,-38.0,2016-08-18,824.375,3.0,1.0,1.0,138550.0,0.00394003894751,1.1084,currency,1.0,-1.0,2016-08-18,-1.0,-1.0,-39.0,-39.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,1,1,1,-1,1,-1.0,1,1,1,1,1,1,-1.0,0.0,1.0,1.0,-1.0,-1,-1,1,1.0,1,1637.67718853,1637.67718853,-1637.67718853,1637.67718853,1637.67718853,-1637.67718853,-1637.67718853,1637.67718853,1637.67718853,-1637.67718853,-1637.67718853,-1637.67718853,1637.67718853,1637.67718853,1637.67718853,-1637.67718853,-1637.67718853,1637.67718853,1637.67718853,1637.67718853,1637.67718853,1637.67718853,1637.67718853,1637.67718853,1637.67718853,1637.67718853,-1637.67718853,0.0,1637.67718853,1637.67718853,-1637.67718853,-1637.67718853,-1637.67718853
DX,@DXZ6,97.518,0.53595,-0.00453236969437,-1.0,1.0,1.0,1.0,1.0,9.0,2016-09-29,535.95,4.0,1.0,1.0,97518.0,-0.00453236969437,97.518,currency,-1.0,1.0,2016-09-29,1.0,1.0,10.0,10.0,1.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,0,1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,0.0,-1.0,-1.0,-1.0,0.0,1,-1,-1,-1.0,-1,-1767.95051142,1767.95051142,-1767.95051142,1767.95051142,1767.95051142,-1767.95051142,-1767.95051142,1767.95051142,1767.95051142,-1767.95051142,-1767.95051142,-1767.95051142,1767.95051142,1767.95051142,-1767.95051142,1767.95051142,-1767.95051142,1767.95051142,-1767.95051142,1767.95051142,1767.95051142,1767.95051142,1767.95051142,1767.95051142,1767.95051142,1767.95051142,-0.0,1767.95051142,1767.95051142,1767.95051142,-0.0,-1767.95051142,1767.95051142
EBL,BDZ6,163.76,0.683,0.00281690140845,1.0,-1.0,-1.0,-1.0,-1.0,21.0,2016-09-28,755.1931,3.0,1.0,1.0,181069.432,0.00281690140845,163.76,rates,-1.0,-1.0,2016-09-28,-1.0,-1.0,22.0,22.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,1,1,1,1,1,1,-1.0,1,-1,1,1,1,1,0.0,0.0,1.0,1.0,0.0,-1,1,1,1.0,1,1530.16421408,1530.16421408,-1530.16421408,1530.16421408,-1530.16421408,1530.16421408,-1530.16421408,1530.16421408,1530.16421408,-1530.16421408,-1530.16421408,-1530.16421408,1530.16421408,1530.16421408,-1530.16421408,1530.16421408,-1530.16421408,1530.16421408,-1530.16421408,1530.16421408,1530.16421408,1530.16421408,1530.16421408,1530.16421408,1530.16421408,1530.16421408,0.0,0.0,1530.16421408,1530.16421408,0.0,-1530.16421408,1530.16421408
EBM,BLZ6,131.59,0.178,0.000760514107537,1.0,-1.0,1.0,-1.0,-1.0,18.0,2016-09-28,196.8146,11.0,2.0,2.0,145499.063,0.000760514107537,131.59,rates,-1.0,-1.0,2016-09-28,-1.0,-1.0,19.0,19.0,-1.0,1.0,1.0,11.0,1.0,1.0,11.0,1.0,2.0,11.0,-1.0,2.0,11.0,-1.0,0,1,1,1,1,1,1,-1.0,1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,-1,1,1,1.0,1,1217.19499049,1217.19499049,-1217.19499049,1217.19499049,-1217.19499049,1217.19499049,-1217.19499049,1217.19499049,1217.19499049,-1217.19499049,1217.19499049,-1217.19499049,1217.19499049,1217.19499049,-1217.19499049,1217.19499049,-1217.19499049,1217.19499049,-1217.19499049,1217.19499049,1217.19499049,1217.19499049,1217.19499049,1217.19499049,1217.19499049,1217.19499049,1217.19499049,1217.19499049,1217.19499049,1217.19499049,0.0,-1217.19499049,1217.19499049
EBS,EZZ6,112.08,0.03925,4.46129823779e-05,1.0,-1.0,-1.0,-1.0,1.0,11.0,2016-09-27,43.398725,47.0,6.0,6.0,123926.856,4.46129823779e-05,112.08,rates,-1.0,-1.0,2016-09-27,-1.0,-1.0,12.0,12.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0,1,1,1,1,-1,1,1.0,-1,1,-1,1,-1,1,-1.0,-1.0,0.0,0.0,-1.0,-1,1,1,0.0,1,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
ED,@EDZ6,99.06,0.021,0.000151446312282,1.0,1.0,1.0,-1.0,-1.0,17.0,2016-09-19,52.5,39.0,5.0,5.0,247650.0,0.000151446312282,99.06,rates,-1.0,-1.0,2016-09-19,-1.0,-1.0,18.0,18.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0,1,1,1,-1,1,-1,-1.0,1,1,1,-1,-1,-1,0.0,0.0,-1.0,0.0,0.0,-1,1,0,1.0,1,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
EMD,@EMDZ6,1516.8,19.085,-0.00446311367813,-1.0,1.0,-1.0,1.0,1.0,14.0,2016-09-22,1908.5,2.0,1.0,1.0,151680.0,-0.00446311367813,1516.8,index,1.0,-1.0,2016-09-22,1.0,1.0,15.0,15.0,1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,0,-1,1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1,-1353.9301654,1353.9301654,-1353.9301654,1353.9301654,-1353.9301654,1353.9301654,1353.9301654,-1353.9301654,1353.9301654,-1353.9301654,1353.9301654,-1353.9301654,1353.9301654,1353.9301654,-1353.9301654,1353.9301654,-1353.9301654,1353.9301654,-1353.9301654,1353.9301654,1353.9301654,1353.9301654,1353.9301654,1353.9301654,1353.9301654,1353.9301654,1353.9301654,1353.9301654,1353.9301654,1353.9301654,1353.9301654,1353.9301654,1353.9301654
ES,@ESZ6,2126.25,20.8125,-0.00246305418719,-1.0,-1.0,1.0,-1.0,1.0,-18.0,2016-09-16,1040.625,2.0,1.0,1.0,106312.5,-0.00246305418719,2126.25,index,1.0,-1.0,2016-09-16,1.0,1.0,-19.0,-19.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,0,-1,1,1,1,-1,1,-1.0,1,1,1,1,1,1,0.0,1.0,1.0,1.0,-1.0,-1,-1,1,1.0,1,-523.706896552,523.706896552,523.706896552,-523.706896552,-523.706896552,523.706896552,523.706896552,-523.706896552,-523.706896552,523.706896552,-523.706896552,523.706896552,-523.706896552,-523.706896552,-523.706896552,523.706896552,523.706896552,-523.706896552,-523.706896552,-523.706896552,-523.706896552,-523.706896552,-523.706896552,-523.706896552,-523.706896552,-523.706896552,-0.0,-523.706896552,-523.706896552,-523.706896552,523.706896552,523.706896552,523.706896552
FC,@GFX6,114.825,3.0456363325,-0.0250477605604,-1.0,-1.0,1.0,-1.0,-1.0,6.0,2016-10-04,1522.81816625,2.0,1.0,1.0,57412.5,-0.0250477605604,114.825,meat,1.0,-1.0,2016-10-04,-1.0,-1.0,7.0,7.0,-1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,0,-1,1,1,1,1,1,-1.0,1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,-1,1,1,1.0,1,-2876.10910635,2876.10910635,2876.10910635,-2876.10910635,-2876.10910635,2876.10910635,2876.10910635,-2876.10910635,-2876.10910635,2876.10910635,-2876.10910635,2876.10910635,-2876.10910635,-2876.10910635,2876.10910635,-2876.10910635,2876.10910635,-2876.10910635,2876.10910635,-2876.10910635,-2876.10910635,-2876.10910635,-2876.10910635,-2876.10910635,-2876.10910635,-2876.10910635,-2876.10910635,-2876.10910635,-2876.10910635,-2876.10910635,-0.0,2876.10910635,-2876.10910635
FCH,MTV6,4404.5,66.175,-0.0105582387959,-1.0,-1.0,1.0,-1.0,1.0,14.0,2016-09-22,731.696975,3.0,1.0,1.0,48700.5565,-0.0105582387959,4404.5,index,1.0,-1.0,2016-09-22,-1.0,-1.0,15.0,15.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,0,-1,1,1,1,-1,1,1.0,-1,1,1,1,1,1,0.0,1.0,1.0,0.0,-1.0,-1,-1,1,1.0,1,-1542.57631506,1542.57631506,1542.57631506,-1542.57631506,-1542.57631506,1542.57631506,1542.57631506,-1542.57631506,-1542.57631506,1542.57631506,-1542.57631506,1542.57631506,-1542.57631506,-1542.57631506,-1542.57631506,1542.57631506,-1542.57631506,1542.57631506,-1542.57631506,-1542.57631506,-1542.57631506,-1542.57631506,-1542.57631506,-1542.57631506,-1542.57631506,-1542.57631506,-0.0,-1542.57631506,-1542.57631506,-0.0,1542.57631506,1542.57631506,1542.57631506
FDX,DXMZ6,10397.0,171.25,-0.0106104582005,-1.0,1.0,1.0,1.0,1.0,12.0,2016-09-23,946.755625,3.0,1.0,1.0,57479.8145,-0.0106104582005,10397.0,index,1.0,-1.0,2016-09-23,1.0,1.0,13.0,13.0,-1.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,0,-1,1,-1,-1,-1,1,1.0,-1,-1,1,-1,-1,1,0.0,1.0,0.0,-1.0,-1.0,-1,-1,0,-1.0,-1,-1829.66150737,1829.66150737,1829.66150737,-1829.66150737,-1829.66150737,1829.66150737,1829.66150737,-1829.66150737,1829.66150737,-1829.66150737,-1829.66150737,-1829.66150737,1829.66150737,1829.66150737,-1829.66150737,1829.66150737,-1829.66150737,1829.66150737,1829.66150737,-1829.66150737,1829.66150737,-0.0,1829.66150737,1829.66150737,1829.66150737,-1829.66150737,-0.0,-1829.66150737,-0.0,1829.66150737,1829.66150737,1829.66150737,1829.66150737
FEI,IEZ6,100.31,0.011,4.98479637105e-05,1.0,1.0,1.0,-1.0,-1.0,14.0,2016-09-22,30.40675,66.0,9.0,9.0,277281.9175,4.98479637105e-05,100.31,rates,-1.0,-1.0,2016-09-22,-1.0,-1.0,15.0,15.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0,1,1,1,-1,1,-1,-1.0,1,1,1,-1,-1,-1,0.0,0.0,-1.0,0.0,0.0,-1,1,0,1.0,1,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
FFI,LFZ6,6944.0,88.025,-0.00530010027217,-1.0,1.0,1.0,1.0,-1.0,13.0,2016-09-23,1078.570325,2.0,1.0,1.0,85084.832,-0.00530010027217,6944.0,index,1.0,-1.0,2016-09-23,-1.0,-1.0,14.0,14.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0,-1,1,-1,-1,1,1,-1.0,1,-1,1,1,1,1,1.0,1.0,1.0,0.0,-1.0,-1,-1,1,1.0,0,-901.916282481,901.916282481,901.916282481,-901.916282481,-901.916282481,901.916282481,901.916282481,-901.916282481,901.916282481,-901.916282481,-901.916282481,-901.916282481,901.916282481,901.916282481,901.916282481,-901.916282481,901.916282481,-901.916282481,901.916282481,-901.916282481,-901.916282481,-901.916282481,-901.916282481,-0.0,-901.916282481,-901.916282481,-901.916282481,-901.916282481,-901.916282481,-0.0,901.916282481,901.916282481,901.916282481
FLG,LGZ6,127.45,0.7355,0.00228059138094,1.0,1.0,1.0,-1.0,-1.0,4.0,2016-10-06,901.20815,3.0,1.0,1.0,156164.485,0.00228059138094,127.45,rates,-1.0,-1.0,2016-10-06,1.0,1.0,5.0,5.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,0,1,1,1,-1,1,1,-1.0,1,-1,1,1,-1,-1,1.0,1.0,0.0,1.0,-1.0,-1,1,0,1.0,1,1068.4421355,1068.4421355,-1068.4421355,1068.4421355,-1068.4421355,1068.4421355,-1068.4421355,1068.4421355,1068.4421355,1068.4421355,1068.4421355,-1068.4421355,1068.4421355,-1068.4421355,-1068.4421355,1068.4421355,-1068.4421355,1068.4421355,-1068.4421355,1068.4421355,1068.4421355,0.0,1068.4421355,1068.4421355,-1068.4421355,-1068.4421355,1068.4421355,1068.4421355,0.0,1068.4421355,-1068.4421355,-1068.4421355,1068.4421355
FSS,LLZ6,99.6,0.01825,-0.000100391526955,-1.0,-1.0,1.0,-1.0,1.0,-23.0,2016-09-09,27.95215625,72.0,9.0,9.0,152549.85,-0.000100391526955,99.6,rates,-1.0,-1.0,2016-09-09,1.0,1.0,-24.0,-24.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,1,1,1,-1,1,-1.0,1,1,1,1,-1,1,0.0,0.0,0.0,1.0,-1.0,-1,1,1,1.0,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
