2016-08-29 00:00:00,Contract,LastClose,ATR20,PC2016-08-29 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-08-29 00:00:00,RiskOn,group,PC2016-08-26 00:00:00,Close2016-08-26 00:00:00,SEA2016-08-29 00:00:00,SRUN2016-08-29 00:00:00,SEA2016-08-26 00:00:00,SRUN2016-08-26 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-26 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-26 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-26 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-26 00:00:00,RiskOff,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,Voting7,Voting8,Voting9,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9
FCH,MTU6,4424.0,50.597671486,-0.00394011032309,-1.0,1.0,-1.0,1.0,1.0,-45.0,2016-06-27,566.086748585,4.0,1.0,1.0,49495.712,4424.0,1.0,index,,,1.0,-45.0,,,1.0,1.0,-44.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,1.0,4.0,1.0,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1,-780.074263199,780.074263199,-780.074263199,780.074263199,-780.074263199,780.074263199,780.074263199,-780.074263199,780.074263199,-780.074263199,780.074263199,780.074263199,-780.074263199,780.074263199,780.074263199,-780.074263199,-780.074263199,780.074263199,780.074263199,780.074263199,-780.074263199,780.074263199,780.074263199,780.074263199,780.074263199
FDX,DXMU6,10544.5,137.375,-0.00424949242174,-1.0,1.0,-1.0,1.0,-1.0,-32.0,2016-07-14,768.47575,3.0,1.0,1.0,58985.933,10544.5,1.0,index,,,-1.0,-32.0,,,1.0,1.0,-31.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1,-751.980825818,751.980825818,-751.980825818,751.980825818,-751.980825818,751.980825818,751.980825818,-751.980825818,751.980825818,-751.980825818,751.980825818,751.980825818,-751.980825818,751.980825818,751.980825818,-751.980825818,-751.980825818,751.980825818,751.980825818,751.980825818,-751.980825818,751.980825818,751.980825818,751.980825818,751.980825818
FEI,IEZ6,100.315,0.00875,0.0,1.0,-1.0,1.0,-1.0,1.0,-36.0,2016-07-08,24.47375,82.0,11.0,11.0,280581.055,100.315,-1.0,rates,,,1.0,-36.0,,,-1.0,1.0,-35.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,1,-1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
FFI,LFU6,6844.0,63.525,,1.0,1.0,-1.0,1.0,1.0,23.0,2016-07-26,832.495125,3.0,1.0,1.0,89690.62,,1.0,index,0.00381343502493,6844.0,,,1.0,23.0,1.0,1.0,23.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,
FLG,LGU6,132.66,0.6925,,1.0,1.0,-1.0,1.0,1.0,46.0,2016-06-23,907.52125,3.0,1.0,1.0,173850.93,,-1.0,rates,0.00249376558603,132.66,,,1.0,46.0,1.0,1.0,46.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,
FSS,LLZ6,99.69,0.0265,,-1.0,1.0,-1.0,1.0,1.0,-33.0,2016-07-12,43.4103125,47.0,6.0,6.0,163304.68125,,-1.0,rates,-0.000100300902708,99.69,,,1.0,-33.0,-1.0,1.0,-33.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,
FV,@FVZ6,121.25,0.3257614945,0.00271335358172,1.0,1.0,1.0,1.0,1.0,-39.0,2016-07-05,325.7614945,7.0,1.0,1.0,121250.0,121.25,-1.0,rates,,,1.0,-39.0,,,-1.0,1.0,-38.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,2.0,7.0,1.0,2.0,7.0,1.0,1,-1,-1,-1,1,-1.0,1,-1,1,1,1,-1,1,1,1,-1,2302.95885249,2302.95885249,-2302.95885249,2302.95885249,-2302.95885249,2302.95885249,2302.95885249,2302.95885249,2302.95885249,2302.95885249,-2302.95885249,-2302.95885249,2302.95885249,-2302.95885249,-2302.95885249,2302.95885249,-2302.95885249,2302.95885249,2302.95885249,2302.95885249,-2302.95885249,2302.95885249,2302.95885249,2302.95885249,-2302.95885249
GC,QGCZ6,1327.1,14.96,0.000905045629384,1.0,-1.0,-1.0,1.0,1.0,-38.0,2016-07-06,1496.0,2.0,1.0,1.0,132710.0,1327.1,-1.0,metal,,,1.0,-38.0,,,1.0,1.0,-37.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1,-1,1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1,240.217210951,240.217210951,240.217210951,-240.217210951,-240.217210951,240.217210951,-240.217210951,-240.217210951,-240.217210951,240.217210951,-240.217210951,240.217210951,240.217210951,-240.217210951,-240.217210951,240.217210951,240.217210951,-240.217210951,-240.217210951,-240.217210951,240.217210951,-240.217210951,-240.217210951,-240.217210951,-240.217210951
HCM,HHIU6,9474.0,147.146813001,-0.00566750629723,-1.0,1.0,-1.0,1.0,1.0,-19.0,2016-08-01,946.890688555,3.0,1.0,1.0,60965.2509653,9474.0,1.0,index,,,1.0,-19.0,,,1.0,1.0,-18.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1036.56283127,1036.56283127,-1036.56283127,1036.56283127,-1036.56283127,1036.56283127,1036.56283127,-1036.56283127,1036.56283127,-1036.56283127,1036.56283127,1036.56283127,-1036.56283127,1036.56283127,1036.56283127,-1036.56283127,-1036.56283127,1036.56283127,1036.56283127,1036.56283127,-1036.56283127,1036.56283127,1036.56283127,1036.56283127,1036.56283127
HG,QHGZ6,207.9,3.209445678,-0.00263852242744,-1.0,-1.0,1.0,-1.0,1.0,-8.0,2016-08-17,802.3614195,3.0,1.0,1.0,51975.0,207.9,1.0,metal,,,1.0,-8.0,,,1.0,1.0,-7.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,1,1,-411.411609499,411.411609499,-411.411609499,411.411609499,-411.411609499,411.411609499,-411.411609499,411.411609499,-411.411609499,411.411609499,-411.411609499,-411.411609499,-411.411609499,411.411609499,411.411609499,-411.411609499,411.411609499,411.411609499,411.411609499,411.411609499,-411.411609499,411.411609499,411.411609499,-411.411609499,-411.411609499
HIC,HSIQ6,22824.0,287.45,-0.00392772977219,-1.0,-1.0,1.0,-1.0,1.0,-19.0,2016-08-01,1849.74259974,2.0,1.0,1.0,146872.586873,22824.0,1.0,index,,,1.0,-19.0,,,1.0,1.0,-18.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,1,1,-1153.75166436,1153.75166436,-1153.75166436,1153.75166436,-1153.75166436,1153.75166436,-1153.75166436,1153.75166436,-1153.75166436,1153.75166436,-1153.75166436,-1153.75166436,-1153.75166436,1153.75166436,1153.75166436,-1153.75166436,1153.75166436,1153.75166436,1153.75166436,1153.75166436,-1153.75166436,1153.75166436,1153.75166436,-1153.75166436,-1153.75166436
