2016-08-01 00:00:00,Contract,LastClose,ATR20,PC2016-08-01 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-08-01 00:00:00,RiskOn,group,PC2016-07-29 00:00:00,Close2016-07-29 00:00:00,SEA2016-08-01 00:00:00,SRUN2016-08-01 00:00:00,SEA2016-07-29 00:00:00,SRUN2016-07-29 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-29 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-29 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-29 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-29 00:00:00,Anti1LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
FCH,MTQ6,4408.5,64.616179866,-0.00698276832977,-1.0,1.0,1.0,1.0,-1.0,-18.0,2016-07-06,1.0,721.051951125,3.0,49194.4515,4408.5,1.0,index,,,-1.0,-18.0,,,-1.0,-17.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,1,-1,1.0,-1,-1,1,-1,-1,-1,-343.513457934,1030.5403738,-1030.5403738,-1030.5403738,-1030.5403738,-1030.5403738,1030.5403738,1030.5403738,-1030.5403738,-1030.5403738,1030.5403738,1030.5403738,-1030.5403738,1030.5403738,1030.5403738,-1030.5403738,1030.5403738,-1030.5403738,1030.5403738
FDX,DXMU6,10336.5,148.375,0.00101685066822,1.0,1.0,-1.0,1.0,-1.0,-12.0,2016-07-14,1.0,827.8583125,3.0,57672.50175,10336.5,1.0,index,,,-1.0,-12.0,,,-1.0,-11.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,58.6443219422,175.932965827,175.932965827,175.932965827,-175.932965827,175.932965827,-175.932965827,-175.932965827,175.932965827,175.932965827,-175.932965827,-175.932965827,-175.932965827,-175.932965827,-175.932965827,175.932965827,-175.932965827,175.932965827,-175.932965827
FEI,IEZ6,100.33,0.012,4.9838026414e-05,1.0,-1.0,1.0,-1.0,1.0,-7.0,2016-07-21,1.0,33.477,60.0,279895.6175,100.33,-1.0,rates,,,1.0,-7.0,,,1.0,-6.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,13.9494451781,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
FFI,LFU6,6648.5,70.25,-0.00419381412417,-1.0,1.0,-1.0,1.0,1.0,4.0,2016-07-26,-1.0,925.7545,3.0,87613.933,6648.5,1.0,index,,,1.0,4.0,,,1.0,-11.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-367.436549689,1102.30964907,1102.30964907,-1102.30964907,1102.30964907,-1102.30964907,1102.30964907,-1102.30964907,1102.30964907,1102.30964907,-1102.30964907,1102.30964907,1102.30964907,-1102.30964907,1102.30964907,1102.30964907,-1102.30964907,-1102.30964907,1102.30964907
FLG,LGU6,130.43,0.676,-0.00397098129057,-1.0,1.0,1.0,1.0,1.0,27.0,2016-06-23,1.0,890.8328,3.0,171880.654,130.43,-1.0,rates,,,1.0,27.0,,,1.0,26.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,1.0,-1,-1,1,1,1,1,-682.534861245,2047.60458373,-2047.60458373,-2047.60458373,-2047.60458373,-2047.60458373,2047.60458373,-2047.60458373,2047.60458373,-2047.60458373,2047.60458373,2047.60458373,-2047.60458373,-2047.60458373,-2047.60458373,-2047.60458373,2047.60458373,2047.60458373,-2047.60458373
FSS,LLZ6,99.7,0.0305,-0.000100290843446,-1.0,1.0,-1.0,1.0,-1.0,-12.0,2016-07-14,1.0,50.241125,40.0,164230.825,99.7,-1.0,rates,,,-1.0,-12.0,,,-1.0,-11.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,1,-1,1.0,-1,-1,-1,-1,-1,1,-16.4708479591,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
FV,@FVU6,121.9375,0.341015625,-0.000640286848508,-1.0,1.0,1.0,1.0,1.0,11.0,2016-07-15,1.0,341.015625,6.0,121937.5,121.9375,-1.0,rates,,,1.0,11.0,,,1.0,10.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,2.0,6.0,1.0,2.0,6.0,1.0,-1,-1,-1,1.0,-1,-1,1,1,1,1,-78.07497759,468.44986554,-468.44986554,-468.44986554,-468.44986554,-468.44986554,468.44986554,-468.44986554,468.44986554,-468.44986554,468.44986554,468.44986554,-468.44986554,-468.44986554,-468.44986554,-468.44986554,468.44986554,468.44986554,-468.44986554
GC,QGCZ6,1359.6,19.2264933675,0.00154696132597,1.0,1.0,-1.0,1.0,1.0,-18.0,2016-07-20,1.0,1922.64933675,2.0,135960.0,1359.6,-1.0,metal,,,1.0,-18.0,,,1.0,-17.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1.0,1,-1,-1,1,-1,1,210.324861878,420.649723757,-420.649723757,420.649723757,-420.649723757,420.649723757,-420.649723757,420.649723757,-420.649723757,-420.649723757,420.649723757,-420.649723757,-420.649723757,420.649723757,-420.649723757,420.649723757,-420.649723757,-420.649723757,420.649723757
HCM,HHIQ6,9150.0,142.601751769,0.0197258441993,1.0,1.0,-1.0,1.0,-1.0,25.0,2016-06-24,-1.0,917.643190277,3.0,58880.3088803,9150.0,1.0,index,,,-1.0,25.0,,,-1.0,23.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,1,1,-1.0,1,-1,-1,1,-1,-1,1161.46379938,3484.39139813,-3484.39139813,3484.39139813,-3484.39139813,3484.39139813,-3484.39139813,-3484.39139813,3484.39139813,-3484.39139813,3484.39139813,-3484.39139813,-3484.39139813,3484.39139813,-3484.39139813,-3484.39139813,3484.39139813,3484.39139813,-3484.39139813
HG,QHGU6,219.95,4.4075,-0.00990321854603,-1.0,-1.0,-1.0,-1.0,-1.0,-9.0,2016-07-19,1.0,1101.875,2.0,54987.5,219.95,1.0,metal,,,-1.0,-9.0,,,-1.0,-8.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1,1.0,-1,1,-1,-1,-1,-1,-544.5532298,1089.1064596,-1089.1064596,1089.1064596,1089.1064596,1089.1064596,-1089.1064596,1089.1064596,-1089.1064596,-1089.1064596,1089.1064596,-1089.1064596,1089.1064596,1089.1064596,1089.1064596,-1089.1064596,1089.1064596,-1089.1064596,1089.1064596
