2016-09-07 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-07 00:00:00,Close2016-09-07 00:00:00,group,RiskOn,Excess,SEA2016-09-07 00:00:00,SRUN2016-09-07 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-06 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-06 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-06 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-06 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting4,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13
CT,@CTZ6,69.54,1.477,0.00433275563258,1.0,1.0,-1.0,1.0,1.0,4.0,2016-08-31,738.5,3.0,1.0,1.0,34770.0,0.00433275563258,69.54,soft,1.0,1.0,1.0,4.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,1,-1,451.949740035,451.949740035,451.949740035,-451.949740035,451.949740035,-451.949740035,451.949740035,-451.949740035,-451.949740035,451.949740035,-451.949740035,451.949740035,-451.949740035,-451.949740035,451.949740035,-451.949740035,451.949740035,-451.949740035,451.949740035,-451.949740035,-451.949740035,-451.949740035,-451.949740035,-451.949740035,-451.949740035,-451.949740035,-451.949740035,-451.949740035,-451.949740035,-451.949740035,451.949740035
CU,@EUU6,1.1248,0.007275,-0.00102135974066,-1.0,1.0,-1.0,1.0,1.0,32.0,2016-07-22,909.375,3.0,1.0,1.0,140600.0,-0.00102135974066,1.1248,currency,1.0,1.0,1.0,32.0,1.0,1.0,31.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,1,-1,-430.809538612,430.809538612,-430.809538612,430.809538612,-430.809538612,430.809538612,-430.809538612,430.809538612,430.809538612,-430.809538612,430.809538612,-430.809538612,430.809538612,430.809538612,-430.809538612,430.809538612,-430.809538612,430.809538612,-430.809538612,430.809538612,430.809538612,430.809538612,430.809538612,430.809538612,430.809538612,430.809538612,430.809538612,430.809538612,430.809538612,430.809538612,-430.809538612
DX,@DXU6,94.951,0.5774,0.00134988346709,1.0,-1.0,1.0,-1.0,-1.0,-14.0,2016-08-18,577.4,4.0,1.0,1.0,94951.0,0.00134988346709,94.951,currency,-1.0,-1.0,-1.0,-14.0,-1.0,-1.0,-13.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,1,1,1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1,1.0,1,-1,1,512.691140335,512.691140335,-512.691140335,512.691140335,-512.691140335,512.691140335,-512.691140335,512.691140335,512.691140335,-512.691140335,512.691140335,-512.691140335,512.691140335,512.691140335,-512.691140335,512.691140335,512.691140335,-512.691140335,-512.691140335,512.691140335,512.691140335,512.691140335,-512.691140335,512.691140335,512.691140335,512.691140335,512.691140335,512.691140335,512.691140335,512.691140335,-512.691140335
EBL,BDZ6,165.56,0.628452109,0.00145172997822,1.0,-1.0,-1.0,-1.0,1.0,57.0,2016-06-20,706.443015727,3.0,1.0,1.0,186105.996,0.00145172997822,165.56,rates,-1.0,1.0,1.0,57.0,1.0,1.0,56.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1,-1,1,1,-1,-1,1.0,-1,1,-1,-1,1,-1,-1,-1,-1.0,-1,0.0,-1,1,-1,810.526960561,810.526960561,810.526960561,-810.526960561,-810.526960561,810.526960561,810.526960561,-810.526960561,-810.526960561,-810.526960561,-810.526960561,-810.526960561,810.526960561,810.526960561,810.526960561,-810.526960561,810.526960561,-810.526960561,810.526960561,-810.526960561,-810.526960561,-810.526960561,810.526960561,-810.526960561,-810.526960561,-810.526960561,-810.526960561,-810.526960561,0.0,-810.526960561,810.526960561
EBM,BLZ6,131.99,0.171793506,0.000606474111136,1.0,-1.0,-1.0,-1.0,-1.0,26.0,2016-08-02,193.113080095,11.0,2.0,2.0,148369.959,0.000606474111136,131.99,rates,-1.0,1.0,-1.0,26.0,1.0,-1.0,25.0,-1.0,1.0,11.0,-1.0,1.0,11.0,-1.0,2.0,11.0,-1.0,2.0,11.0,-1.0,1,-1,1,1,1,-1,-1.0,1,1,-1,1,1,-1,-1,-1,0.0,0,0.0,-1,-1,0,989.807929043,989.807929043,989.807929043,-989.807929043,-989.807929043,989.807929043,989.807929043,-989.807929043,-989.807929043,-989.807929043,-989.807929043,-989.807929043,989.807929043,989.807929043,-989.807929043,989.807929043,-989.807929043,989.807929043,989.807929043,-989.807929043,989.807929043,0.0,989.807929043,-989.807929043,-989.807929043,-989.807929043,0.0,0.0,0.0,-989.807929043,-989.807929043
EBS,EZZ6,112.095,0.02949893,4.46070122222e-05,1.0,1.0,1.0,1.0,-1.0,26.0,2016-08-02,33.159747213,61.0,8.0,8.0,126005.9895,4.46070122222e-05,112.095,rates,-1.0,1.0,-1.0,26.0,1.0,-1.0,25.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1,-1,-1,-1,1,-1,-1.0,1,-1,1,-1,1,1,1,-1,1.0,0,1.0,-1,1,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
ED,@EDZ6,99.08,0.03675,-5.04617247817e-05,-1.0,-1.0,1.0,-1.0,1.0,-50.0,2016-06-27,91.875,22.0,3.0,3.0,247700.0,-5.04617247817e-05,99.08,rates,-1.0,1.0,1.0,-50.0,1.0,1.0,-49.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,-1,1,1,-1,-1,-1.0,1,1,1,-1,1,-1,1,-1,0.0,-1,1.0,-1,1,0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
EMD,@EMDU6,1581.0,13.735,0.0038732617944,1.0,1.0,-1.0,1.0,1.0,23.0,2016-08-04,1373.5,2.0,1.0,1.0,158100.0,0.0038732617944,1581.0,index,1.0,1.0,1.0,23.0,-1.0,1.0,22.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1,-1,1,1.0,-1,-1,-1,-1,-1,-1,-1,1,0.0,0,-1.0,1,1,-1,1224.72537939,1224.72537939,-1224.72537939,1224.72537939,1224.72537939,-1224.72537939,1224.72537939,-1224.72537939,1224.72537939,1224.72537939,-1224.72537939,1224.72537939,-1224.72537939,-1224.72537939,1224.72537939,-1224.72537939,1224.72537939,-1224.72537939,-1224.72537939,-1224.72537939,-1224.72537939,-1224.72537939,-1224.72537939,-1224.72537939,-1224.72537939,1224.72537939,0.0,0.0,-1224.72537939,1224.72537939,1224.72537939
ES,@ESU6,2184.5,13.75,0.0,1.0,1.0,-1.0,1.0,1.0,-37.0,2016-07-15,687.5,3.0,1.0,1.0,109225.0,0.0,2184.5,index,1.0,1.0,1.0,-37.0,1.0,1.0,-36.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,1,-1,-1,-1,-1.0,-1,-1.0,-1,1,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
FC,@GFV6,130.75,2.91,0.0198907956318,1.0,-1.0,1.0,-1.0,-1.0,-4.0,2016-08-31,1455.0,2.0,1.0,1.0,65375.0,0.0198907956318,130.75,meat,1.0,-1.0,-1.0,-4.0,-1.0,1.0,-3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,1,1,-1,1,-1.0,1,1,1,1,1,1,1,1,0.0,0,0.0,1,-1,1,2600.72152886,2600.72152886,-2600.72152886,2600.72152886,2600.72152886,-2600.72152886,-2600.72152886,2600.72152886,2600.72152886,-2600.72152886,2600.72152886,-2600.72152886,2600.72152886,2600.72152886,2600.72152886,-2600.72152886,-2600.72152886,2600.72152886,2600.72152886,2600.72152886,2600.72152886,2600.72152886,2600.72152886,2600.72152886,2600.72152886,2600.72152886,0.0,0.0,0.0,2600.72152886,-2600.72152886
FCH,MTU6,4557.5,52.974680565,0.00618169775913,1.0,1.0,-1.0,1.0,-1.0,14.0,2016-08-18,595.488384231,4.0,1.0,1.0,51230.8575,0.00618169775913,4557.5,index,1.0,1.0,-1.0,14.0,-1.0,-1.0,13.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,1,1,-1.0,1,-1,1,1,-1,1,-1,1,1.0,1,-1.0,1,-1,1,1266.77470803,1266.77470803,-1266.77470803,1266.77470803,1266.77470803,-1266.77470803,1266.77470803,-1266.77470803,1266.77470803,1266.77470803,-1266.77470803,1266.77470803,-1266.77470803,-1266.77470803,-1266.77470803,1266.77470803,-1266.77470803,1266.77470803,-1266.77470803,1266.77470803,1266.77470803,1266.77470803,-1266.77470803,1266.77470803,-1266.77470803,1266.77470803,1266.77470803,1266.77470803,-1266.77470803,1266.77470803,-1266.77470803
FDX,DXMU6,10748.5,133.825,0.005989985493,1.0,1.0,-1.0,1.0,1.0,-39.0,2016-07-14,752.1634125,3.0,1.0,1.0,60411.94425,0.005989985493,10748.5,index,1.0,1.0,1.0,-39.0,1.0,1.0,-38.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,1,-1,-1,-1,-1.0,-1,-1.0,-1,1,-1,1085.60000898,1085.60000898,1085.60000898,-1085.60000898,1085.60000898,-1085.60000898,1085.60000898,-1085.60000898,-1085.60000898,1085.60000898,-1085.60000898,1085.60000898,-1085.60000898,-1085.60000898,1085.60000898,-1085.60000898,-1085.60000898,1085.60000898,1085.60000898,-1085.60000898,-1085.60000898,-1085.60000898,1085.60000898,-1085.60000898,-1085.60000898,-1085.60000898,-1085.60000898,-1085.60000898,-1085.60000898,-1085.60000898,1085.60000898
FEI,IEZ6,100.345,0.00925,4.98305760415e-05,1.0,-1.0,1.0,-1.0,1.0,-43.0,2016-07-08,25.9948125,77.0,10.0,10.0,281994.53625,4.98305760415e-05,100.345,rates,-1.0,1.0,1.0,-43.0,1.0,1.0,-42.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,-1,1,1,-1,-1,-1.0,1,1,1,-1,1,-1,1,-1,0.0,-1,1.0,-1,1,0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
FFI,LFU6,6837.5,67.9,0.00256598240469,1.0,1.0,-1.0,1.0,-1.0,-2.0,2016-07-26,905.6502,3.0,1.0,1.0,91198.575,0.00256598240469,6837.5,index,1.0,1.0,-1.0,-2.0,-1.0,-1.0,-1.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,-1,-1,1,1,1.0,-1,-1,-1,1,-1,1,-1,1,1.0,1,-1.0,1,-1,0,702.041816349,702.041816349,-702.041816349,702.041816349,702.041816349,-702.041816349,702.041816349,-702.041816349,702.041816349,702.041816349,-702.041816349,702.041816349,-702.041816349,-702.041816349,-702.041816349,702.041816349,702.041816349,-702.041816349,-702.041816349,-702.041816349,702.041816349,0.0,-702.041816349,702.041816349,-702.041816349,702.041816349,702.041816349,702.041816349,-702.041816349,702.041816349,-702.041816349
FLG,LGZ6,131.17,0.6318155385,-0.000228658536585,-1.0,1.0,-1.0,1.0,1.0,58.0,2016-06-23,842.715565251,3.0,1.0,1.0,174954.546,-0.000228658536585,131.17,rates,-1.0,1.0,1.0,58.0,1.0,1.0,57.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1.0,-1,0.0,-1,1,-1,-120.014551372,120.014551372,-120.014551372,120.014551372,120.014551372,-120.014551372,-120.014551372,120.014551372,120.014551372,-120.014551372,120.014551372,-120.014551372,120.014551372,120.014551372,-120.014551372,120.014551372,-120.014551372,120.014551372,-120.014551372,120.014551372,120.014551372,120.014551372,120.014551372,120.014551372,120.014551372,120.014551372,120.014551372,120.014551372,-0.0,120.014551372,-120.014551372
FSS,LLZ6,99.69,0.0205,0.000100321027287,1.0,-1.0,1.0,-1.0,1.0,-20.0,2016-08-09,34.178625,59.0,8.0,8.0,166208.1525,0.000100321027287,99.69,rates,-1.0,-1.0,1.0,-20.0,1.0,-1.0,-19.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,1,1,1,1,-1,1.0,-1,1,-1,1,1,1,1,-1,0.0,0,1.0,-1,-1,0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
FV,@FVZ6,121.5859375,0.331626809,-6.42508352608e-05,-1.0,1.0,1.0,1.0,1.0,-45.0,2016-07-05,331.626809,7.0,1.0,1.0,121585.9375,-6.42508352608e-05,121.5859375,rates,-1.0,1.0,1.0,-45.0,1.0,1.0,-44.0,-1.0,1.0,7.0,-1.0,1.0,7.0,1.0,2.0,7.0,1.0,2.0,7.0,1.0,1,-1,-1,-1,-1,-1,-1.0,1,1,1,-1,1,-1,1,-1,0.0,-1,1.0,-1,1,0,-54.6839862824,54.6839862824,-54.6839862824,54.6839862824,54.6839862824,-54.6839862824,-54.6839862824,54.6839862824,54.6839862824,-54.6839862824,-54.6839862824,-54.6839862824,54.6839862824,54.6839862824,-54.6839862824,54.6839862824,54.6839862824,-54.6839862824,-54.6839862824,-54.6839862824,54.6839862824,-0.0,-54.6839862824,54.6839862824,-54.6839862824,54.6839862824,-0.0,54.6839862824,-54.6839862824,54.6839862824,-54.6839862824
GC,QGCZ6,1349.2,15.565,-0.00354505169867,-1.0,1.0,1.0,-1.0,1.0,-44.0,2016-07-06,1556.5,2.0,1.0,1.0,134920.0,-0.00354505169867,1349.2,metal,-1.0,1.0,1.0,-44.0,1.0,1.0,-43.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,1,-1,1,-1,-1,-1,-1.0,1,1,1,-1,1,-1,1,-1,0.0,-1,1.0,-1,1,0,-956.596750369,956.596750369,-956.596750369,956.596750369,956.596750369,-956.596750369,-956.596750369,956.596750369,956.596750369,-956.596750369,-956.596750369,956.596750369,-956.596750369,956.596750369,-956.596750369,956.596750369,956.596750369,-956.596750369,-956.596750369,-956.596750369,956.596750369,-0.0,-956.596750369,956.596750369,-956.596750369,956.596750369,-0.0,956.596750369,-956.596750369,956.596750369,-956.596750369
