2016-09-08 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-08 00:00:00,Close2016-09-08 00:00:00,group,RiskOn,Excess,SEA2016-09-08 00:00:00,SRUN2016-09-08 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-07 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-07 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-07 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-07 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting4,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13
CT,@CTZ6,69.29,1.4485,-0.00359505320679,-1.0,1.0,1.0,1.0,1.0,5.0,2016-08-31,724.25,3.0,1.0,1.0,34645.0,-0.00359505320679,69.29,soft,1.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,1,0.0,-1,0.0,-1,1,0,-373.651855047,373.651855047,-373.651855047,373.651855047,-373.651855047,373.651855047,-373.651855047,373.651855047,-373.651855047,-373.651855047,-373.651855047,-373.651855047,373.651855047,373.651855047,-373.651855047,373.651855047,-373.651855047,373.651855047,-373.651855047,373.651855047,373.651855047,-0.0,373.651855047,373.651855047,373.651855047,-373.651855047,-0.0,373.651855047,-0.0,373.651855047,-373.651855047
CU,@EUU6,1.1262,0.0074575,0.00124466571835,1.0,1.0,-1.0,1.0,1.0,33.0,2016-07-22,932.1875,3.0,1.0,1.0,140775.0,0.00124466571835,1.1262,currency,1.0,1.0,1.0,33.0,-1.0,1.0,32.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,-1,-1,-1,1,1.0,-1,-1,-1,-1,-1,-1,-1,1,0.0,0,-1.0,1,1,-1,525.653449502,525.653449502,-525.653449502,525.653449502,525.653449502,-525.653449502,525.653449502,-525.653449502,525.653449502,525.653449502,-525.653449502,525.653449502,-525.653449502,-525.653449502,525.653449502,-525.653449502,525.653449502,-525.653449502,-525.653449502,-525.653449502,-525.653449502,-525.653449502,-525.653449502,-525.653449502,-525.653449502,525.653449502,0.0,0.0,-525.653449502,525.653449502,525.653449502
DX,@DXU6,95.051,0.57365,0.00105317479542,1.0,1.0,-1.0,1.0,-1.0,-15.0,2016-08-18,573.65,4.0,1.0,1.0,95051.0,0.00105317479542,95.051,currency,-1.0,-1.0,-1.0,-15.0,1.0,-1.0,-14.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,1.0,4.0,1.0,1,1,-1,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,0.0,-1,1,-1,400.421269918,400.421269918,400.421269918,-400.421269918,-400.421269918,400.421269918,-400.421269918,400.421269918,-400.421269918,400.421269918,-400.421269918,400.421269918,-400.421269918,-400.421269918,-400.421269918,400.421269918,400.421269918,-400.421269918,-400.421269918,-400.421269918,-400.421269918,-400.421269918,-400.421269918,-400.421269918,-400.421269918,-400.421269918,-400.421269918,0.0,0.0,-400.421269918,400.421269918
EBL,BDZ6,164.75,0.6574121715,-0.00489248610776,-1.0,1.0,-1.0,1.0,1.0,58.0,2016-06-20,740.114622675,3.0,1.0,1.0,185475.55,-0.00489248610776,164.75,rates,-1.0,1.0,1.0,58.0,1.0,1.0,57.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1.0,-1,0.0,-1,1,-1,-2722.30965511,2722.30965511,-2722.30965511,2722.30965511,2722.30965511,-2722.30965511,-2722.30965511,2722.30965511,2722.30965511,-2722.30965511,2722.30965511,-2722.30965511,2722.30965511,2722.30965511,-2722.30965511,2722.30965511,-2722.30965511,2722.30965511,-2722.30965511,2722.30965511,2722.30965511,2722.30965511,2722.30965511,2722.30965511,2722.30965511,2722.30965511,2722.30965511,2722.30965511,-0.0,2722.30965511,-2722.30965511
EBM,BLZ6,131.75,0.1814219665,-0.00181831956966,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,2016-08-02,204.244849886,10.0,2.0,2.0,148324.15,-0.00181831956966,131.75,rates,-1.0,1.0,-1.0,27.0,1.0,-1.0,26.0,-1.0,1.0,10.0,-1.0,1.0,10.0,-1.0,2.0,10.0,-1.0,2.0,10.0,-1.0,1,-1,1,1,1,-1,-1.0,1,1,-1,1,1,-1,-1,-1,0.0,0,0.0,-1,-1,0,-2697.00704599,2697.00704599,-2697.00704599,2697.00704599,2697.00704599,-2697.00704599,-2697.00704599,2697.00704599,2697.00704599,2697.00704599,2697.00704599,2697.00704599,-2697.00704599,-2697.00704599,2697.00704599,-2697.00704599,2697.00704599,-2697.00704599,-2697.00704599,2697.00704599,-2697.00704599,-0.0,-2697.00704599,2697.00704599,2697.00704599,2697.00704599,-0.0,-0.0,-0.0,2697.00704599,2697.00704599
EBS,EZZ6,112.04,0.032748997,-0.000490655247781,-1.0,1.0,1.0,1.0,1.0,27.0,2016-08-02,36.8688208226,55.0,7.0,7.0,126134.632,-0.000490655247781,112.04,rates,-1.0,1.0,1.0,27.0,1.0,-1.0,26.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1,-1,-1,-1,1,-1,-1.0,1,-1,1,-1,1,1,1,-1,1.0,0,1.0,-1,1,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
ED,@EDZ6,99.045,0.03625,-0.000353249899071,-1.0,-1.0,1.0,-1.0,1.0,-51.0,2016-06-27,90.625,23.0,3.0,3.0,247612.5,-0.000353249899071,99.045,rates,-1.0,1.0,1.0,-51.0,-1.0,1.0,-50.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,-1,1,1,-1,1,-1.0,1,1,1,1,1,1,1,1,1.0,0,1.0,1,-1,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
EMD,@EMDU6,1573.7,13.78,-0.00461733080329,-1.0,1.0,1.0,1.0,1.0,24.0,2016-08-04,1378.0,2.0,1.0,1.0,157370.0,-0.00461733080329,1573.7,index,1.0,1.0,1.0,24.0,1.0,1.0,23.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,1,0.0,-1,0.0,-1,1,0,-1453.25869703,1453.25869703,-1453.25869703,1453.25869703,-1453.25869703,1453.25869703,-1453.25869703,1453.25869703,-1453.25869703,-1453.25869703,-1453.25869703,-1453.25869703,1453.25869703,1453.25869703,-1453.25869703,1453.25869703,-1453.25869703,1453.25869703,-1453.25869703,1453.25869703,1453.25869703,-0.0,1453.25869703,1453.25869703,1453.25869703,-1453.25869703,-0.0,1453.25869703,-0.0,1453.25869703,-1453.25869703
ES,@ESU6,2177.5,13.6625,-0.00320439459831,-1.0,1.0,-1.0,1.0,1.0,-38.0,2016-07-15,683.125,3.0,1.0,1.0,108875.0,-0.00320439459831,2177.5,index,1.0,1.0,1.0,-38.0,1.0,1.0,-37.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,1,-1,-1,-1,-1.0,-1,-1.0,-1,1,-1,-1046.63538567,1046.63538567,-1046.63538567,1046.63538567,-1046.63538567,1046.63538567,-1046.63538567,1046.63538567,1046.63538567,-1046.63538567,1046.63538567,-1046.63538567,1046.63538567,1046.63538567,-1046.63538567,1046.63538567,1046.63538567,-1046.63538567,-1046.63538567,1046.63538567,1046.63538567,1046.63538567,-1046.63538567,1046.63538567,1046.63538567,1046.63538567,1046.63538567,1046.63538567,1046.63538567,1046.63538567,-1046.63538567
FC,@GFV6,128.5,2.925,-0.0172084130019,-1.0,1.0,1.0,1.0,-1.0,-5.0,2016-08-31,1462.5,2.0,1.0,1.0,64250.0,-0.0172084130019,128.5,meat,1.0,-1.0,-1.0,-5.0,1.0,-1.0,-4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,-1,1,-1,-1,1,-1,1.0,-1,-1,-1,-1,-1,1,-1,1,0.0,0,0.0,-1,1,-1,-2211.28107075,2211.28107075,-2211.28107075,2211.28107075,-2211.28107075,2211.28107075,2211.28107075,-2211.28107075,-2211.28107075,-2211.28107075,-2211.28107075,-2211.28107075,2211.28107075,2211.28107075,2211.28107075,-2211.28107075,-2211.28107075,2211.28107075,2211.28107075,2211.28107075,2211.28107075,2211.28107075,2211.28107075,-2211.28107075,2211.28107075,-2211.28107075,-0.0,-0.0,-0.0,2211.28107075,-2211.28107075
FCH,MTU6,4542.0,56.1748066575,-0.00340098738343,-1.0,1.0,-1.0,1.0,-1.0,-1.0,2016-08-18,632.41597335,4.0,1.0,1.0,51133.836,-0.00340098738343,4542.0,index,1.0,1.0,-1.0,-1.0,1.0,-1.0,14.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,1,-1,-1.0,1,-1,-1,-1,1,-1,-1,-1,0.0,0,-1.0,-1,1,-1,-695.62212441,695.62212441,-695.62212441,695.62212441,-695.62212441,695.62212441,-695.62212441,695.62212441,695.62212441,-695.62212441,695.62212441,-695.62212441,695.62212441,695.62212441,695.62212441,-695.62212441,695.62212441,-695.62212441,695.62212441,695.62212441,695.62212441,695.62212441,-695.62212441,695.62212441,695.62212441,695.62212441,-0.0,-0.0,695.62212441,695.62212441,-695.62212441
FDX,DXMU6,10673.0,141.825,-0.0070242359399,-1.0,1.0,-1.0,1.0,1.0,-40.0,2016-07-14,798.332925,3.0,1.0,1.0,60078.317,-0.0070242359399,10673.0,index,1.0,1.0,1.0,-40.0,1.0,1.0,-39.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,-1,-1.0,1,1,-1,-1,1,-1,-1,-1,-1.0,-1,-1.0,-1,1,-1,-1266.01282044,1266.01282044,-1266.01282044,1266.01282044,-1266.01282044,1266.01282044,-1266.01282044,1266.01282044,1266.01282044,-1266.01282044,1266.01282044,-1266.01282044,1266.01282044,1266.01282044,-1266.01282044,1266.01282044,1266.01282044,-1266.01282044,-1266.01282044,1266.01282044,1266.01282044,1266.01282044,-1266.01282044,1266.01282044,1266.01282044,1266.01282044,1266.01282044,1266.01282044,1266.01282044,1266.01282044,-1266.01282044
FEI,IEZ6,100.33,0.00975,-0.000149484279237,-1.0,-1.0,1.0,-1.0,1.0,-44.0,2016-07-08,27.441375,73.0,10.0,10.0,282378.785,-0.000149484279237,100.33,rates,-1.0,1.0,1.0,-44.0,1.0,1.0,-43.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,-1,1,1,-1,-1,-1.0,1,1,1,-1,1,-1,1,-1,0.0,-1,1.0,-1,1,0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
FFI,LFU6,6860.0,66.05,0.00329067641682,1.0,1.0,-1.0,1.0,-1.0,-3.0,2016-07-26,878.13475,3.0,1.0,1.0,91203.7,0.00329067641682,6860.0,index,1.0,1.0,-1.0,-3.0,1.0,-1.0,-2.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,-1,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0,-1.0,-1,1,-1,900.36559415,900.36559415,900.36559415,-900.36559415,900.36559415,-900.36559415,900.36559415,-900.36559415,-900.36559415,900.36559415,-900.36559415,900.36559415,-900.36559415,-900.36559415,-900.36559415,900.36559415,900.36559415,-900.36559415,-900.36559415,-900.36559415,-900.36559415,-900.36559415,-900.36559415,-900.36559415,-900.36559415,-900.36559415,0.0,0.0,-900.36559415,-900.36559415,900.36559415
FLG,LGZ6,130.16,0.668020583,-0.00769993138675,-1.0,1.0,-1.0,1.0,1.0,59.0,2016-06-23,888.133365099,3.0,1.0,1.0,173047.72,-0.00769993138675,130.16,rates,-1.0,1.0,1.0,59.0,-1.0,1.0,58.0,-1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,1,-1,-1,-1,-1,1,1.0,-1,-1,-1,-1,-1,-1,1,-1,0.0,0,0.0,-1,1,-1,-3997.3667119,3997.3667119,3997.3667119,-3997.3667119,3997.3667119,-3997.3667119,-3997.3667119,3997.3667119,3997.3667119,-3997.3667119,3997.3667119,-3997.3667119,3997.3667119,3997.3667119,-3997.3667119,3997.3667119,-3997.3667119,3997.3667119,3997.3667119,3997.3667119,3997.3667119,3997.3667119,3997.3667119,3997.3667119,-3997.3667119,3997.3667119,-0.0,-0.0,-0.0,3997.3667119,-3997.3667119
FSS,LLZ6,99.68,0.02,-0.000100310963988,-1.0,-1.0,1.0,-1.0,1.0,-21.0,2016-08-09,33.2375,61.0,8.0,8.0,165655.7,-0.000100310963988,99.68,rates,-1.0,-1.0,1.0,-21.0,1.0,1.0,-20.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,1,1,1,-1,-1,-1.0,1,1,1,-1,1,-1,1,-1,-1.0,-1,1.0,-1,1,0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
FV,@FVZ6,121.2265625,0.329675219,-0.00295572833001,-1.0,1.0,1.0,1.0,1.0,-46.0,2016-07-05,329.675219,7.0,1.0,1.0,121226.5625,-0.00295572833001,121.2265625,rates,-1.0,1.0,1.0,-46.0,-1.0,1.0,-45.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,2.0,7.0,1.0,2.0,7.0,1.0,1,-1,-1,-1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,1.0,0,1.0,-1,1,0,-2508.18949592,2508.18949592,2508.18949592,-2508.18949592,2508.18949592,-2508.18949592,-2508.18949592,2508.18949592,-2508.18949592,-2508.18949592,-2508.18949592,-2508.18949592,2508.18949592,2508.18949592,-2508.18949592,2508.18949592,2508.18949592,-2508.18949592,2508.18949592,-2508.18949592,2508.18949592,-0.0,2508.18949592,-2508.18949592,-2508.18949592,-2508.18949592,-2508.18949592,-0.0,-2508.18949592,2508.18949592,-2508.18949592
GC,QGCZ6,1341.6,15.405,-0.00563296768455,-1.0,1.0,1.0,-1.0,1.0,-45.0,2016-07-06,1540.5,2.0,1.0,1.0,134160.0,-0.00563296768455,1341.6,metal,-1.0,1.0,1.0,-45.0,-1.0,1.0,-44.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,1,-1,1,-1,-1,1,-1.0,1,1,1,-1,1,1,1,1,1.0,0,1.0,-1,-1,1,-1511.43788912,1511.43788912,1511.43788912,-1511.43788912,1511.43788912,-1511.43788912,-1511.43788912,1511.43788912,-1511.43788912,-1511.43788912,-1511.43788912,1511.43788912,-1511.43788912,1511.43788912,-1511.43788912,1511.43788912,1511.43788912,-1511.43788912,-1511.43788912,-1511.43788912,1511.43788912,-1511.43788912,-1511.43788912,-1511.43788912,-1511.43788912,-1511.43788912,-1511.43788912,-0.0,-1511.43788912,1511.43788912,1511.43788912
