2016-09-02 00:00:00,Contract,LastClose,ATR20,PC2016-09-02 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-09-02 00:00:00,group,RiskOn,Excess,SEA2016-09-02 00:00:00,SRUN2016-09-02 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-01 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-01 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-01 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-01 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13
CT,@CTZ6,67.79,1.596,-0.0057201525374,-1.0,1.0,-1.0,1.0,1.0,-17.0,2016-08-10,798.0,3.0,1.0,1.0,33895.0,67.79,soft,1.0,1.0,1.0,-17.0,1.0,1.0,-16.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-581.653710766,581.653710766,-581.653710766,581.653710766,-581.653710766,581.653710766,-581.653710766,581.653710766,581.653710766,-581.653710766,581.653710766,-581.653710766,581.653710766,581.653710766,-581.653710766,581.653710766,581.653710766,-581.653710766,581.653710766,581.653710766,581.653710766,581.653710766,-581.653710766,581.653710766,581.653710766,581.653710766,581.653710766,581.653710766,581.653710766,581.653710766,581.653710766
CU,@EUU6,1.1165,0.0071075,-0.00352536927127,-1.0,1.0,-1.0,1.0,1.0,30.0,2016-07-22,888.4375,3.0,1.0,1.0,139562.5,1.1165,currency,1.0,1.0,1.0,30.0,1.0,1.0,29.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,-1,-1,-1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,-1476.02804677,1476.02804677,-1476.02804677,1476.02804677,-1476.02804677,1476.02804677,-1476.02804677,1476.02804677,1476.02804677,-1476.02804677,1476.02804677,-1476.02804677,1476.02804677,1476.02804677,-1476.02804677,1476.02804677,-1476.02804677,1476.02804677,1476.02804677,1476.02804677,1476.02804677,1476.02804677,1476.02804677,1476.02804677,1476.02804677,1476.02804677,1476.02804677,1476.02804677,1476.02804677,1476.02804677,1476.02804677
DX,@DXU6,95.844,0.56925,0.00192347898808,1.0,-1.0,1.0,-1.0,-1.0,-11.0,2016-08-18,569.25,4.0,1.0,1.0,95844.0,95.844,currency,-1.0,-1.0,-1.0,-11.0,-1.0,-1.0,-10.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,1,1,1,1,1.0,-1,1,1,1,1,-1,1,1,1,1.0,1,1.0,1,1,737.415680535,737.415680535,-737.415680535,737.415680535,-737.415680535,737.415680535,-737.415680535,737.415680535,737.415680535,-737.415680535,737.415680535,-737.415680535,737.415680535,737.415680535,-737.415680535,737.415680535,737.415680535,-737.415680535,737.415680535,737.415680535,737.415680535,737.415680535,-737.415680535,737.415680535,737.415680535,737.415680535,737.415680535,737.415680535,737.415680535,737.415680535,737.415680535
EBL,BDU6,166.96,0.642,-0.00250926036564,-1.0,1.0,1.0,1.0,1.0,54.0,2016-06-20,716.2152,3.0,1.0,1.0,186260.576,166.96,rates,-1.0,1.0,1.0,54.0,1.0,1.0,53.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1,-1,-1,-1,-1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,1,-1,0.0,-1,1.0,-1,-1,-1402.12884311,1402.12884311,-1402.12884311,1402.12884311,1402.12884311,-1402.12884311,-1402.12884311,1402.12884311,1402.12884311,-1402.12884311,-1402.12884311,-1402.12884311,1402.12884311,1402.12884311,-1402.12884311,1402.12884311,-1402.12884311,1402.12884311,1402.12884311,1402.12884311,1402.12884311,1402.12884311,1402.12884311,1402.12884311,-1402.12884311,1402.12884311,-0.0,1402.12884311,-1402.12884311,1402.12884311,1402.12884311
EBM,BLU6,133.57,0.173,-0.000374195479719,-1.0,-1.0,-1.0,-1.0,-1.0,-40.0,2016-07-08,192.9988,11.0,2.0,2.0,149010.692,133.57,rates,-1.0,1.0,-1.0,-40.0,1.0,1.0,-39.0,-1.0,1.0,11.0,-1.0,1.0,11.0,-1.0,1.0,11.0,-1.0,1.0,11.0,-1.0,1,-1,1,1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1.0,-1,0.0,-1,1,-613.350401138,613.350401138,-613.350401138,613.350401138,613.350401138,-613.350401138,-613.350401138,613.350401138,613.350401138,613.350401138,613.350401138,613.350401138,-613.350401138,-613.350401138,-613.350401138,613.350401138,613.350401138,-613.350401138,-613.350401138,613.350401138,613.350401138,613.350401138,-613.350401138,613.350401138,613.350401138,613.350401138,613.350401138,613.350401138,-0.0,613.350401138,-613.350401138
EBS,EZU6,112.025,0.029,8.9273757979e-05,1.0,-1.0,1.0,-1.0,1.0,-39.0,2016-07-11,32.3524,62.0,8.0,8.0,124975.09,112.025,rates,-1.0,1.0,1.0,-39.0,1.0,1.0,-38.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,-1,1,1,-1,-1,-1.0,1,1,1,-1,1,1,-1,1,-1,0.0,-1,1.0,-1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
ED,@EDZ6,99.055,0.03675,-0.000100943824761,-1.0,1.0,1.0,-1.0,1.0,-48.0,2016-06-27,91.875,22.0,3.0,3.0,247637.5,99.055,rates,-1.0,1.0,1.0,-48.0,1.0,1.0,-47.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1,-1,1,-1,-1,-1,-1.0,1,1,1,-1,1,1,-1,1,-1,0.0,-1,1.0,-1,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
EMD,@EMDU6,1578.7,13.435,0.0104326676907,1.0,1.0,-1.0,1.0,1.0,21.0,2016-08-04,1343.5,2.0,1.0,1.0,157870.0,1578.7,index,1.0,1.0,1.0,21.0,-1.0,1.0,20.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1,-1,1,1.0,-1,-1,-1,-1,-1,-1,-1,-1,1,0.0,0,-1.0,1,-1,3294.01049667,3294.01049667,-3294.01049667,3294.01049667,3294.01049667,-3294.01049667,3294.01049667,-3294.01049667,3294.01049667,3294.01049667,-3294.01049667,3294.01049667,-3294.01049667,-3294.01049667,3294.01049667,-3294.01049667,3294.01049667,-3294.01049667,-3294.01049667,-3294.01049667,-3294.01049667,-3294.01049667,-3294.01049667,-3294.01049667,-3294.01049667,3294.01049667,0.0,0.0,-3294.01049667,3294.01049667,-3294.01049667
ES,@ESU6,2178.0,13.8,0.00496020302226,1.0,1.0,-1.0,1.0,-1.0,-35.0,2016-07-15,690.0,3.0,1.0,1.0,108900.0,2178.0,index,1.0,1.0,-1.0,-35.0,-1.0,-1.0,-34.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,-1,-1,1,1,1.0,-1,-1,-1,1,-1,-1,1,-1,1,1.0,1,-1.0,1,-1,1620.49832737,1620.49832737,-1620.49832737,1620.49832737,1620.49832737,-1620.49832737,1620.49832737,-1620.49832737,1620.49832737,1620.49832737,-1620.49832737,1620.49832737,-1620.49832737,-1620.49832737,-1620.49832737,1620.49832737,1620.49832737,-1620.49832737,-1620.49832737,-1620.49832737,1620.49832737,-1620.49832737,-1620.49832737,1620.49832737,-1620.49832737,1620.49832737,1620.49832737,1620.49832737,-1620.49832737,1620.49832737,-1620.49832737
FC,@GFV6,132.075,2.7434015145,-0.0182122282104,-1.0,-1.0,1.0,-1.0,1.0,18.0,2016-08-09,1371.70075725,2.0,1.0,1.0,66037.5,132.075,meat,1.0,-1.0,1.0,18.0,-1.0,1.0,17.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,1,1,-1,1,1.0,-1,-1,1,1,1,-1,1,1,1,0.0,0,0.0,1,1,-2405.38004088,2405.38004088,2405.38004088,-2405.38004088,-2405.38004088,2405.38004088,2405.38004088,-2405.38004088,-2405.38004088,2405.38004088,-2405.38004088,2405.38004088,-2405.38004088,-2405.38004088,-2405.38004088,2405.38004088,-2405.38004088,2405.38004088,2405.38004088,-2405.38004088,-2405.38004088,-2405.38004088,2405.38004088,-2405.38004088,-2405.38004088,-2405.38004088,-0.0,-0.0,-0.0,-2405.38004088,-2405.38004088
FCH,MTU6,4542.5,55.1738175295,0.0232008109021,1.0,1.0,-1.0,1.0,1.0,-49.0,2016-06-27,615.519108359,4.0,1.0,1.0,50676.13,4542.5,index,1.0,1.0,1.0,-49.0,1.0,1.0,-48.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,1.0,4.0,1.0,-1,-1,-1,-1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-1,-1.0,-1,-1.0,-1,-1,4702.90923753,4702.90923753,4702.90923753,-4702.90923753,4702.90923753,-4702.90923753,4702.90923753,-4702.90923753,-4702.90923753,4702.90923753,-4702.90923753,4702.90923753,-4702.90923753,-4702.90923753,4702.90923753,-4702.90923753,-4702.90923753,4702.90923753,-4702.90923753,-4702.90923753,-4702.90923753,-4702.90923753,4702.90923753,-4702.90923753,-4702.90923753,-4702.90923753,-4702.90923753,-4702.90923753,-4702.90923753,-4702.90923753,-4702.90923753
FDX,DXMU6,10689.0,143.825,0.0157267068941,1.0,-1.0,1.0,-1.0,1.0,-36.0,2016-07-14,802.25585,3.0,1.0,1.0,59623.242,10689.0,index,1.0,1.0,1.0,-36.0,-1.0,1.0,-35.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,-1,1,1,-1,1,-1.0,1,-1,1,1,1,1,1,1,1,1.0,0,0.0,1,1,2813.03175303,2813.03175303,-2813.03175303,2813.03175303,2813.03175303,-2813.03175303,2813.03175303,-2813.03175303,2813.03175303,-2813.03175303,2813.03175303,-2813.03175303,2813.03175303,2813.03175303,2813.03175303,-2813.03175303,-2813.03175303,2813.03175303,-2813.03175303,2813.03175303,2813.03175303,2813.03175303,2813.03175303,2813.03175303,2813.03175303,2813.03175303,2813.03175303,0.0,0.0,2813.03175303,2813.03175303
FEI,IEZ6,100.33,0.00875,0.0,1.0,1.0,1.0,-1.0,1.0,-40.0,2016-07-08,24.40375,82.0,11.0,11.0,279820.37,100.33,rates,-1.0,1.0,1.0,-40.0,1.0,1.0,-39.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1,-1,1,-1,-1,-1,-1.0,1,1,1,-1,1,1,-1,1,-1,0.0,-1,1.0,-1,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
FFI,LFU6,6925.5,66.55,0.0267605633803,1.0,1.0,1.0,1.0,-1.0,27.0,2016-07-26,884.7157,3.0,1.0,1.0,92067.597,6925.5,index,1.0,1.0,-1.0,27.0,-1.0,-1.0,26.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,-1,-1,1,1,-1.0,1,-1,1,1,1,-1,1,1,1,1.0,1,0.0,1,-1,7391.34229437,7391.34229437,-7391.34229437,7391.34229437,7391.34229437,-7391.34229437,7391.34229437,-7391.34229437,7391.34229437,7391.34229437,7391.34229437,7391.34229437,-7391.34229437,-7391.34229437,-7391.34229437,7391.34229437,-7391.34229437,7391.34229437,-7391.34229437,7391.34229437,7391.34229437,7391.34229437,-7391.34229437,7391.34229437,7391.34229437,7391.34229437,7391.34229437,7391.34229437,0.0,7391.34229437,-7391.34229437
FLG,LGZ6,130.39,0.644899117,-0.00511216236838,-1.0,-1.0,-1.0,1.0,1.0,55.0,2016-06-23,857.32888614,3.0,1.0,1.0,173340.466,130.39,rates,-1.0,1.0,1.0,55.0,-1.0,1.0,54.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1,-1,-1,1,-1,1,1.0,-1,-1,-1,1,-1,-1,-1,1,-1,0.0,0,0.0,1,1,-2658.43382161,2658.43382161,2658.43382161,-2658.43382161,2658.43382161,-2658.43382161,-2658.43382161,2658.43382161,2658.43382161,2658.43382161,2658.43382161,-2658.43382161,2658.43382161,-2658.43382161,-2658.43382161,2658.43382161,-2658.43382161,2658.43382161,2658.43382161,2658.43382161,-2658.43382161,2658.43382161,2658.43382161,2658.43382161,-2658.43382161,2658.43382161,-0.0,-0.0,-0.0,-2658.43382161,-2658.43382161
FSS,LLZ6,99.68,0.0205,-0.000100310963988,-1.0,1.0,-1.0,1.0,1.0,-17.0,2016-08-09,34.065875,59.0,8.0,8.0,165643.24,99.68,rates,-1.0,-1.0,1.0,-17.0,-1.0,1.0,20.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1,-1,-1,-1,1,1.0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1.0,0,0.0,-1,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0
FV,@FVZ6,121.234375,0.321468974,-0.000128865979381,-1.0,1.0,1.0,1.0,1.0,-43.0,2016-07-05,321.468974,7.0,1.0,1.0,121234.375,121.234375,rates,-1.0,1.0,1.0,-43.0,1.0,1.0,-42.0,-1.0,1.0,7.0,-1.0,1.0,7.0,1.0,2.0,7.0,1.0,2.0,7.0,1.0,1,-1,-1,-1,-1,-1,-1.0,1,-1,1,-1,-1,1,-1,1,-1,0.0,-1,1.0,-1,-1,-109.360905284,109.360905284,-109.360905284,109.360905284,109.360905284,-109.360905284,-109.360905284,109.360905284,109.360905284,-109.360905284,-109.360905284,-109.360905284,109.360905284,109.360905284,-109.360905284,109.360905284,109.360905284,-109.360905284,109.360905284,-109.360905284,109.360905284,109.360905284,-109.360905284,109.360905284,-109.360905284,109.360905284,-0.0,109.360905284,-109.360905284,109.360905284,109.360905284
GC,QGCZ6,1326.7,14.965,0.00728874041455,1.0,-1.0,-1.0,-1.0,1.0,-42.0,2016-07-06,1496.5,2.0,1.0,1.0,132670.0,1326.7,metal,-1.0,1.0,1.0,-42.0,1.0,1.0,-41.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,-1,1,1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1,-1.0,-1,0.0,-1,1,1933.9943816,1933.9943816,1933.9943816,-1933.9943816,-1933.9943816,1933.9943816,1933.9943816,-1933.9943816,-1933.9943816,-1933.9943816,-1933.9943816,-1933.9943816,1933.9943816,1933.9943816,1933.9943816,-1933.9943816,-1933.9943816,1933.9943816,1933.9943816,-1933.9943816,-1933.9943816,-1933.9943816,1933.9943816,-1933.9943816,-1933.9943816,-1933.9943816,-1933.9943816,-1933.9943816,0.0,-1933.9943816,1933.9943816
