,Contract,LastClose,ATR20,PC2016-07-14 00:00:00,ACT,usdATR,QTY,Close2016-07-14 00:00:00,vSTART,LastSEA,SEA2016-07-14 00:00:00,LastSRUN,SRUN2016-07-14 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-13 00:00:00,0.5LastSIG,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-13 00:00:00,0.75LastSIG,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-13 00:00:00,1LastSIG,1LastSAFEf,1finalQTY,1SIG2016-07-13 00:00:00
SSG,SSN6,326.6,5.4930457455,0.00927070457355,1.0,819.857573955,3.0,326.6,2016-06-27,1.0,1.0,12.0,12.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
STW,TWN6,327.9,5.3171185915,0.000610314311871,1.0,531.71185915,4.0,327.9,2016-06-24,-1.0,-1.0,-3.0,-3.0,-1.0,1.0,4.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0
SXE,EXU6,2963.0,82.4,0.0119535519126,1.0,916.0408,3.0,2963.0,2016-07-06,-1.0,-1.0,-6.0,-6.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
TF,@TFSU6,1199.6,24.605,0.000500417014178,1.0,2460.5,1.0,1199.6,2016-07-06,-1.0,-1.0,-6.0,-6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,-1.0,2.0,1.0,-1.0
TU,@TUU6,109.421875,0.13671875,-0.000428204396232,-1.0,273.4375,8.0,109.421875,2016-07-05,1.0,1.0,-7.0,-7.0,-1.0,1.0,8.0,-1.0,-1.0,1.0,8.0,-1.0,-1.0,1.0,8.0,-1.0,1.0,2.0,8.0,1.0
TY,@TYU6,132.390625,0.796875,-0.00329373014939,-1.0,796.875,3.0,132.390625,2016-07-05,1.0,1.0,-7.0,-7.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0
US,@USU6,173.0,2.178125,-0.0112520092874,-1.0,2178.125,1.0,173.0,2016-07-08,1.0,1.0,-4.0,-4.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
VX,@VXQ6,16.125,2.170198393,-0.00616332819723,-1.0,2170.198393,1.0,16.125,2016-06-27,-1.0,-1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,-1.0,2.0,1.0,-1.0
W,@WU6,434.0,13.5,-0.0130756111427,-1.0,675.0,3.0,434.0,2016-07-08,-1.0,-1.0,-4.0,-4.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0
YA,APU6,5383.0,84.6,0.00635632828566,1.0,1614.3795,2.0,5383.0,2016-06-28,-1.0,-1.0,12.0,12.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0
YB,HBSU6,98.11,0.0385,0.0,1.0,70.52892,29.0,98.11,2016-06-24,-1.0,-1.0,-14.0,-14.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.0,-1.0
YM,@YMU6,18427.0,243.4,0.00760061242345,1.0,1217.0,2.0,18427.0,2016-06-27,1.0,1.0,12.0,12.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0
YT2,HTSU6,98.49,0.0725,0.000101543460601,1.0,154.9499,13.0,98.49,2016-06-23,1.0,1.0,15.0,15.0,1.0,1.0,13.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,13.0,1.0
YT3,HXSU6,98.03,0.0935,0.000204060810121,1.0,570.9484,4.0,98.03,2016-07-06,1.0,1.0,-6.0,-6.0,-1.0,1.0,4.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,2.0,4.0,-1.0,-1.0,2.0,4.0,-1.0
