2016-08-09 00:00:00,Contract,LastClose,ATR20,PC2016-08-09 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,contractValue,Close2016-08-09 00:00:00,RiskOn,group,PC2016-08-08 00:00:00,Close2016-08-08 00:00:00,SEA2016-08-09 00:00:00,SRUN2016-08-09 00:00:00,SEA2016-08-08 00:00:00,SRUN2016-08-08 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-08 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-08 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-08 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-08 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6
CT,@CTZ6,73.05,1.76,-0.0394477317554,-1.0,1.0,-1.0,1.0,1.0,2.0,2016-07-25,880.0,3.0,1.0,36525.0,73.05,1.0,soft,,,1.0,2.0,,,-1.0,1.0,-10.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,-1,-4322.4852071,4322.4852071,4322.4852071,-4322.4852071,-4322.4852071,4322.4852071,4322.4852071,-4322.4852071,4322.4852071,-4322.4852071,4322.4852071,4322.4852071,-4322.4852071,4322.4852071,4322.4852071,-4322.4852071,4322.4852071,4322.4852071,-4322.4852071,4322.4852071,4322.4852071,4322.4852071
CU,@EUU6,1.11255,0.00705,0.00225215080402,1.0,-1.0,1.0,-1.0,1.0,-5.0,2016-08-02,881.25,3.0,1.0,139068.75,1.11255,1.0,currency,,,1.0,-5.0,,,-1.0,1.0,-4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,-1,939.611391379,939.611391379,-939.611391379,939.611391379,939.611391379,-939.611391379,939.611391379,-939.611391379,939.611391379,-939.611391379,939.611391379,939.611391379,939.611391379,-939.611391379,-939.611391379,939.611391379,-939.611391379,939.611391379,-939.611391379,-939.611391379,939.611391379,939.611391379
DX,@DXU6,96.132,0.5885,-0.00215902013701,-1.0,1.0,-1.0,1.0,-1.0,-5.0,2016-08-02,588.5,4.0,1.0,96132.0,96.132,-1.0,currency,,,-1.0,-5.0,,,1.0,1.0,-4.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,1,-830.203695246,830.203695246,-830.203695246,830.203695246,830.203695246,-830.203695246,-830.203695246,-830.203695246,830.203695246,-830.203695246,830.203695246,830.203695246,-830.203695246,830.203695246,830.203695246,-830.203695246,-830.203695246,830.203695246,830.203695246,830.203695246,-830.203695246,830.203695246
EBL,BDU6,167.44,0.707,0.00203470975464,1.0,1.0,1.0,1.0,1.0,5.0,2016-08-02,785.8305,3.0,1.0,186109.56,167.44,-1.0,rates,,,1.0,5.0,,,-1.0,1.0,4.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,1,1,1136.03681149,1136.03681149,-1136.03681149,1136.03681149,-1136.03681149,1136.03681149,-1136.03681149,1136.03681149,1136.03681149,1136.03681149,-1136.03681149,-1136.03681149,1136.03681149,-1136.03681149,1136.03681149,-1136.03681149,-1136.03681149,1136.03681149,1136.03681149,1136.03681149,-1136.03681149,1136.03681149
EBM,BLU6,133.64,0.209,0.000299401197605,1.0,-1.0,1.0,-1.0,1.0,5.0,2016-08-02,232.3035,9.0,3.0,148540.86,133.64,-1.0,rates,,,1.0,5.0,,,1.0,1.0,4.0,1.0,1.0,9.0,1.0,1.0,9.0,1.0,1.0,9.0,-1.0,1.0,9.0,-1.0,1,1,-1,-1,1.0,-1,-1,1,-1,-1,1,-1,1,400.259802395,400.259802395,400.259802395,-400.259802395,-400.259802395,400.259802395,400.259802395,-400.259802395,400.259802395,-400.259802395,400.259802395,400.259802395,400.259802395,-400.259802395,400.259802395,-400.259802395,-400.259802395,400.259802395,-400.259802395,-400.259802395,400.259802395,-400.259802395
EBS,EZU6,112.015,0.042,4.46388715294e-05,1.0,1.0,-1.0,1.0,1.0,5.0,2016-08-02,46.683,43.0,11.0,124504.6725,112.015,-1.0,rates,,,1.0,5.0,,,1.0,1.0,-20.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
ED,@EDZ6,99.055,0.0355,-0.000100943824761,-1.0,-1.0,1.0,-1.0,-1.0,-7.0,2016-07-29,88.75,23.0,6.0,247637.5,99.055,-1.0,rates,,,-1.0,-7.0,,,-1.0,-1.0,-6.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
EMD,@EMDU6,1560.1,13.34,-0.000256328099968,-1.0,-1.0,1.0,-1.0,1.0,-19.0,2016-07-13,1334.0,2.0,1.0,156010.0,1560.1,1.0,index,,,1.0,-19.0,,,1.0,1.0,-18.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-79.979493752,79.979493752,-79.979493752,79.979493752,-79.979493752,79.979493752,-79.979493752,79.979493752,-79.979493752,79.979493752,-79.979493752,-79.979493752,-79.979493752,79.979493752,79.979493752,-79.979493752,79.979493752,79.979493752,79.979493752,79.979493752,-79.979493752,79.979493752
ES,@ESU6,2177.5,14.9125,0.00091932888991,1.0,1.0,-1.0,1.0,-1.0,-17.0,2016-07-15,745.625,3.0,1.0,108875.0,2177.5,1.0,index,,,-1.0,-17.0,,,-1.0,-1.0,-16.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,1,1,1.0,-1,1,1,1,1,-1,1,-1,300.275798667,300.275798667,-300.275798667,300.275798667,300.275798667,-300.275798667,-300.275798667,300.275798667,-300.275798667,300.275798667,-300.275798667,-300.275798667,-300.275798667,300.275798667,300.275798667,-300.275798667,300.275798667,300.275798667,300.275798667,300.275798667,-300.275798667,300.275798667
FC,@GFU6,148.85,3.0754444765,0.0112092391304,1.0,-1.0,-1.0,1.0,-1.0,13.0,2016-07-21,1537.72223825,2.0,1.0,74425.0,148.85,1.0,meat,,,-1.0,13.0,,,1.0,-1.0,12.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,-1,1,1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,1668.49524457,1668.49524457,1668.49524457,-1668.49524457,1668.49524457,-1668.49524457,1668.49524457,-1668.49524457,-1668.49524457,1668.49524457,-1668.49524457,1668.49524457,-1668.49524457,1668.49524457,-1668.49524457,1668.49524457,1668.49524457,-1668.49524457,-1668.49524457,-1668.49524457,1668.49524457,-1668.49524457
FCH,MTQ6,4468.5,57.2,0.0120031706489,1.0,1.0,1.0,1.0,-1.0,-4.0,2016-08-03,635.778,4.0,1.0,49667.3775,4468.5,1.0,index,,,-1.0,-4.0,,,1.0,-1.0,8.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,1,-1,-1.0,1,1,-1,1,1,1,1,-1,2384.66403125,2384.66403125,2384.66403125,-2384.66403125,2384.66403125,-2384.66403125,2384.66403125,2384.66403125,2384.66403125,2384.66403125,-2384.66403125,-2384.66403125,-2384.66403125,2384.66403125,-2384.66403125,2384.66403125,2384.66403125,-2384.66403125,2384.66403125,2384.66403125,2384.66403125,2384.66403125
FDX,DXMU6,10697.0,141.425,0.0252551876168,1.0,1.0,-1.0,1.0,-1.0,-18.0,2016-07-14,785.9694375,3.0,1.0,59448.5775,10697.0,1.0,index,,,-1.0,-18.0,,,1.0,-1.0,-17.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,4504.15493495,4504.15493495,4504.15493495,-4504.15493495,4504.15493495,-4504.15493495,-4504.15493495,4504.15493495,-4504.15493495,4504.15493495,-4504.15493495,-4504.15493495,-4504.15493495,4504.15493495,4504.15493495,-4504.15493495,4504.15493495,-4504.15493495,4504.15493495,4504.15493495,-4504.15493495,-4504.15493495
FEI,IEZ6,100.33,0.01075,-4.98330592514e-05,-1.0,1.0,-1.0,1.0,1.0,-13.0,2016-07-21,29.8715625,67.0,17.0,278791.9875,100.33,-1.0,rates,,,1.0,-13.0,,,1.0,1.0,-12.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
FFI,LFU6,6804.0,63.8,0.00591366055588,1.0,1.0,-1.0,1.0,1.0,-1.0,2016-07-26,829.4638,3.0,1.0,88458.804,6804.0,1.0,index,,,1.0,-1.0,,,1.0,1.0,-6.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,1569.34602011,1569.34602011,1569.34602011,-1569.34602011,1569.34602011,-1569.34602011,1569.34602011,1569.34602011,-1569.34602011,1569.34602011,-1569.34602011,-1569.34602011,1569.34602011,-1569.34602011,-1569.34602011,1569.34602011,1569.34602011,-1569.34602011,-1569.34602011,-1569.34602011,1569.34602011,-1569.34602011
FLG,LGU6,132.29,0.7235,0.00394627001594,1.0,1.0,-1.0,1.0,1.0,5.0,2016-08-02,940.62235,3.0,1.0,171990.229,132.29,-1.0,rates,,,1.0,5.0,,,1.0,1.0,4.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,1,2036.15965121,2036.15965121,2036.15965121,-2036.15965121,-2036.15965121,2036.15965121,-2036.15965121,2036.15965121,-2036.15965121,2036.15965121,-2036.15965121,-2036.15965121,2036.15965121,-2036.15965121,2036.15965121,-2036.15965121,2036.15965121,-2036.15965121,-2036.15965121,-2036.15965121,-2036.15965121,-2036.15965121
FSS,LLZ6,99.77,0.0335,0.000100240577386,1.0,1.0,-1.0,1.0,1.0,4.0,2016-08-03,54.4416875,37.0,10.0,162138.72125,99.77,-1.0,rates,,,1.0,4.0,,,1.0,1.0,-17.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
FV,@FVU6,121.640625,0.315234375,0.00115740740741,1.0,-1.0,1.0,-1.0,1.0,-3.0,2016-07-15,315.234375,7.0,2.0,121640.625,121.640625,-1.0,rates,,,1.0,-3.0,,,-1.0,1.0,-2.0,1.0,1.0,7.0,1.0,2.0,7.0,1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,985.514322917,985.514322917,-985.514322917,985.514322917,-985.514322917,985.514322917,985.514322917,-985.514322917,985.514322917,-985.514322917,985.514322917,985.514322917,985.514322917,-985.514322917,-985.514322917,985.514322917,-985.514322917,985.514322917,-985.514322917,-985.514322917,985.514322917,985.514322917
GC,QGCZ6,1346.7,16.853193633,0.00402594497875,1.0,-1.0,1.0,-1.0,1.0,5.0,2016-08-02,1685.3193633,2.0,1.0,134670.0,1346.7,-1.0,metal,,,1.0,5.0,,,-1.0,1.0,4.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,1,1,1084.34802058,1084.34802058,-1084.34802058,1084.34802058,-1084.34802058,1084.34802058,-1084.34802058,-1084.34802058,1084.34802058,-1084.34802058,1084.34802058,1084.34802058,1084.34802058,-1084.34802058,1084.34802058,-1084.34802058,-1084.34802058,1084.34802058,-1084.34802058,-1084.34802058,-1084.34802058,1084.34802058
HCM,HHIQ6,9307.0,128.074342397,0.0038830762593,1.0,1.0,-1.0,1.0,-1.0,-5.0,2016-08-01,824.159217484,3.0,1.0,59890.6048906,9307.0,1.0,index,,,-1.0,-5.0,,,1.0,-1.0,22.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1,-1.0,1,1,-1,1,1,1,-1,-1,697.679358018,697.679358018,697.679358018,-697.679358018,697.679358018,-697.679358018,697.679358018,697.679358018,-697.679358018,697.679358018,-697.679358018,-697.679358018,-697.679358018,697.679358018,-697.679358018,697.679358018,697.679358018,-697.679358018,697.679358018,697.679358018,697.679358018,-697.679358018
HG,QHGU6,215.0,3.9075,-0.00692840646651,-1.0,1.0,1.0,1.0,-1.0,7.0,2016-07-29,976.875,3.0,1.0,53750.0,215.0,1.0,metal,,,-1.0,7.0,,,1.0,-1.0,6.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1,-1.0,1,1,-1,1,1,1,1,-1,-1117.20554273,1117.20554273,-1117.20554273,1117.20554273,-1117.20554273,1117.20554273,-1117.20554273,-1117.20554273,-1117.20554273,-1117.20554273,1117.20554273,1117.20554273,1117.20554273,-1117.20554273,1117.20554273,-1117.20554273,-1117.20554273,1117.20554273,-1117.20554273,-1117.20554273,-1117.20554273,-1117.20554273
HIC,HSIQ6,22429.0,270.57170068,-0.000846400570207,-1.0,-1.0,-1.0,1.0,-1.0,23.0,2016-07-06,1741.13063501,2.0,1.0,144330.759331,22429.0,1.0,index,,,-1.0,23.0,,,1.0,-1.0,22.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,-1,1,1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-244.323273992,244.323273992,-244.323273992,244.323273992,-244.323273992,244.323273992,-244.323273992,244.323273992,244.323273992,-244.323273992,244.323273992,-244.323273992,244.323273992,-244.323273992,244.323273992,-244.323273992,-244.323273992,244.323273992,244.323273992,244.323273992,-244.323273992,244.323273992
HO,QHOU6,1.3307,0.03832,-0.00960107174754,-1.0,1.0,-1.0,1.0,1.0,6.0,2016-08-01,1609.44,2.0,1.0,55889.4,1.3307,1.0,energy,,,1.0,6.0,,,1.0,1.0,5.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1073.19627865,1073.19627865,-1073.19627865,1073.19627865,-1073.19627865,1073.19627865,1073.19627865,-1073.19627865,1073.19627865,-1073.19627865,1073.19627865,1073.19627865,-1073.19627865,1073.19627865,-1073.19627865,1073.19627865,-1073.19627865,1073.19627865,1073.19627865,1073.19627865,1073.19627865,1073.19627865
JY,@JYU6,0.98295,0.0122475,0.00578123401207,1.0,-1.0,1.0,-1.0,1.0,-5.0,2016-08-02,1530.9375,2.0,1.0,122868.75,0.98295,-1.0,currency,,,1.0,-5.0,,,-1.0,1.0,-4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,1420.66599304,1420.66599304,-1420.66599304,1420.66599304,-1420.66599304,1420.66599304,1420.66599304,-1420.66599304,1420.66599304,-1420.66599304,1420.66599304,1420.66599304,1420.66599304,-1420.66599304,-1420.66599304,1420.66599304,-1420.66599304,1420.66599304,-1420.66599304,-1420.66599304,1420.66599304,1420.66599304
KC,@KCZ6,144.75,4.201338589,0.0,1.0,-1.0,-1.0,1.0,1.0,-7.0,2016-07-29,1575.50197088,2.0,1.0,54281.25,144.75,1.0,soft,,,1.0,-7.0,,,-1.0,1.0,-6.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,-1,1,-1,1,-1.0,1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
KW,@KWU6,410.0,10.3875,0.000610128126907,1.0,1.0,1.0,1.0,1.0,-7.0,2016-07-29,519.375,4.0,1.0,20500.0,410.0,1.0,grain,,,1.0,-7.0,,,-1.0,1.0,-6.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,-1,-1,-1,1,-1.0,1,-1,1,1,1,-1,1,-1,50.0305064063,50.0305064063,-50.0305064063,50.0305064063,50.0305064063,-50.0305064063,-50.0305064063,50.0305064063,50.0305064063,50.0305064063,-50.0305064063,-50.0305064063,50.0305064063,-50.0305064063,-50.0305064063,50.0305064063,-50.0305064063,50.0305064063,50.0305064063,50.0305064063,-50.0305064063,50.0305064063
LB,@LBU6,332.2,6.95,0.0310366232154,1.0,1.0,-1.0,1.0,1.0,6.0,2016-08-01,764.5,3.0,1.0,36542.0,332.2,1.0,soft,,,1.0,6.0,,,-1.0,1.0,5.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,-1,-1,3402.42085661,3402.42085661,-3402.42085661,3402.42085661,3402.42085661,-3402.42085661,-3402.42085661,3402.42085661,-3402.42085661,3402.42085661,-3402.42085661,-3402.42085661,3402.42085661,-3402.42085661,3402.42085661,-3402.42085661,-3402.42085661,3402.42085661,3402.42085661,3402.42085661,-3402.42085661,-3402.42085661
