2016-10-24 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2016-10-24 00:00:00,Close2016-10-24 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2016-10-24 00:00:00,LastSRUN,SRUN2016-10-24 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2016-10-21 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-10-21 00:00:00,0.5SIG2016-10-20 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-10-21 00:00:00,0.75SIG2016-10-20 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-10-21 00:00:00,1SIG2016-10-20 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
CT,@CTZ6,68.77,1.4565,-0.00434341971913,-1.0,-1.0,1.0,-1.0,1.0,10.0,2016-10-07,728.25,1.0,1.0,1.0,34385.0,1.0,-0.00434341971913,68.77,soft,1.0,1.0,2016-10-17,1.0,1.0,-5.0,-5.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,-1,-1,1,1.0,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1,-149.348487042,149.348487042,149.348487042,-149.348487042,-149.348487042,149.348487042,-149.348487042,149.348487042,-149.348487042,149.348487042,-149.348487042,149.348487042,-149.348487042,-149.348487042,149.348487042,-149.348487042,149.348487042,-149.348487042,149.348487042,-149.348487042,-149.348487042,-149.348487042,-149.348487042,-149.348487042,-149.348487042,-149.348487042,-149.348487042,-149.348487042,-149.348487042,-149.348487042,-149.348487042,149.348487042,-149.348487042,149.348487042
CU,@EUZ6,1.09015,0.00677,0.000275267238611,1.0,-1.0,-1.0,-1.0,-1.0,-45.0,2016-08-18,846.25,1.0,1.0,1.0,136268.75,1.0,0.000275267238611,1.09015,currency,1.0,1.0,2016-08-18,-1.0,-1.0,-46.0,-46.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,,1.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,1,1,1,1.0,-1,-1,-1,1,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0.0,0,37.5103225214,37.5103225214,-37.5103225214,37.5103225214,37.5103225214,-37.5103225214,37.5103225214,-37.5103225214,0.0,-37.5103225214,-37.5103225214,-37.5103225214,37.5103225214,37.5103225214,37.5103225214,-37.5103225214,37.5103225214,37.5103225214,-37.5103225214,-37.5103225214,-37.5103225214,37.5103225214,0.0,0.0,0.0,37.5103225214,37.5103225214,37.5103225214,37.5103225214,37.5103225214,37.5103225214,0.0,37.5103225214,37.5103225214
DX,@DXZ6,98.752,0.5013,0.000668787872646,1.0,1.0,-1.0,1.0,-1.0,16.0,2016-09-29,501.3,1.0,1.0,1.0,98752.0,1.0,0.000668787872646,98.752,currency,-1.0,-1.0,2016-09-29,-1.0,-1.0,17.0,17.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,1,1,-1,-1,1,1,-1,-1.0,1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,66.0441399996,66.0441399996,66.0441399996,-66.0441399996,-66.0441399996,66.0441399996,-66.0441399996,66.0441399996,-66.0441399996,66.0441399996,-66.0441399996,66.0441399996,-66.0441399996,-66.0441399996,66.0441399996,-66.0441399996,66.0441399996,-66.0441399996,66.0441399996,-66.0441399996,-66.0441399996,-66.0441399996,-66.0441399996,-66.0441399996,-66.0441399996,-66.0441399996,-66.0441399996,-66.0441399996,-66.0441399996,-66.0441399996,-66.0441399996,66.0441399996,-66.0441399996,66.0441399996
EBL,BDZ6,163.96,0.6445,-0.00158324199245,-1.0,1.0,-1.0,1.0,1.0,-4.0,2016-10-17,701.15155,1.0,1.0,1.0,178372.084,0.919202132549,-0.00158324199245,163.96,rates,-1.0,1.0,2016-10-17,1.0,1.0,-5.0,-5.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,1,-1,-1,-1,1,-1,1,-1.0,1,-1,1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1,-1,0.0,-1,-282.406173669,282.406173669,282.406173669,-282.406173669,282.406173669,-282.406173669,-282.406173669,282.406173669,282.406173669,-282.406173669,282.406173669,-282.406173669,282.406173669,282.406173669,-282.406173669,-282.406173669,282.406173669,282.406173669,-282.406173669,282.406173669,-282.406173669,282.406173669,282.406173669,-0.0,282.406173669,282.406173669,282.406173669,282.406173669,282.406173669,282.406173669,-282.406173669,282.406173669,-282.406173669,282.406173669
EBM,BLZ6,131.61,0.174,-0.000531591737545,-1.0,1.0,-1.0,1.0,1.0,-5.0,2016-10-14,189.2946,5.0,2.0,2.0,143178.519,0.919202132549,-0.000531591737545,131.61,rates,-1.0,1.0,2016-09-28,1.0,1.0,26.0,26.0,-1.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,,1.0,5.0,1.0,,1.0,5.0,1.0,,0,1,-1,-1,-1,1,-1,1,-1.0,1,-1,1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1,-1,0.0,-1,-380.562588472,380.562588472,380.562588472,-380.562588472,380.562588472,-380.562588472,-380.562588472,380.562588472,380.562588472,-380.562588472,380.562588472,-380.562588472,380.562588472,380.562588472,-380.562588472,-380.562588472,380.562588472,380.562588472,-380.562588472,380.562588472,-380.562588472,380.562588472,380.562588472,-0.0,380.562588472,380.562588472,380.562588472,380.562588472,380.562588472,380.562588472,-380.562588472,380.562588472,-380.562588472,380.562588472
EBS,EZZ6,112.065,0.037,-8.92259647558e-05,-1.0,1.0,1.0,1.0,1.0,-5.0,2016-10-14,40.2523,24.0,7.0,7.0,121915.5135,0.919202132549,-8.92259647558e-05,112.065,rates,-1.0,1.0,2016-09-27,1.0,1.0,19.0,19.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,0,1,-1,-1,-1,-1,-1,1,-1.0,1,-1,1,-1,-1,-1,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1,-1,-1.0,-1,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
ED,@EDZ6,99.05,0.01875,0.0,1.0,-1.0,1.0,-1.0,-1.0,24.0,2016-09-19,46.875,21.0,6.0,6.0,247625.0,1.0,0.0,99.05,rates,-1.0,1.0,2016-09-19,-1.0,-1.0,25.0,25.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,0,1,-1,1,1,-1,1,1,-1.0,1,-1,1,1,1,1,1.0,1.0,1.0,-1.0,-1.0,-1.0,1,1,0.0,1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
EMD,@EMDZ6,1531.9,18.03,0.00538163680515,1.0,1.0,1.0,1.0,1.0,-8.0,2016-10-11,1803.0,1.0,1.0,1.0,153190.0,1.0,0.00538163680515,1531.9,index,1.0,1.0,2016-10-11,1.0,1.0,-9.0,-9.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,-1,-1,1,-1.0,1,-1,1,-1,-1,1,1.0,1.0,0.0,1.0,0.0,1.0,-1,0,0.0,-1,824.41294218,824.41294218,-824.41294218,824.41294218,824.41294218,-824.41294218,824.41294218,-824.41294218,-824.41294218,824.41294218,824.41294218,824.41294218,-824.41294218,-824.41294218,-824.41294218,824.41294218,-824.41294218,-824.41294218,824.41294218,-824.41294218,824.41294218,-824.41294218,0.0,0.0,-824.41294218,-824.41294218,824.41294218,824.41294218,824.41294218,0.0,824.41294218,0.0,824.41294218,-824.41294218
ES,@ESZ6,2144.25,19.55,0.00445016980911,1.0,1.0,-1.0,1.0,1.0,6.0,2016-10-13,977.5,1.0,1.0,1.0,107212.5,1.0,0.00445016980911,2144.25,index,1.0,1.0,2016-10-13,1.0,1.0,7.0,7.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,1,-1,1,1.0,-1,-1,-1,-1,-1,1,1.0,0.0,0.0,1.0,0.0,1.0,-1,-1,-1.0,-1,477.113830659,477.113830659,-477.113830659,477.113830659,477.113830659,-477.113830659,477.113830659,-477.113830659,-477.113830659,477.113830659,-477.113830659,477.113830659,-477.113830659,-477.113830659,477.113830659,477.113830659,-477.113830659,477.113830659,-477.113830659,-477.113830659,-477.113830659,-477.113830659,-477.113830659,-477.113830659,-477.113830659,-477.113830659,477.113830659,477.113830659,0.0,0.0,477.113830659,0.0,477.113830659,-477.113830659
FC,@GFF7,118.075,2.973473575,0.0222943722944,1.0,1.0,-1.0,1.0,-1.0,-6.0,2016-10-13,1486.7367875,1.0,1.0,1.0,59037.5,1.0,0.0222943722944,118.075,meat,1.0,-1.0,2016-10-13,-1.0,-1.0,-7.0,-7.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,1,-1,-1,1,1,-1,1.0,-1,-1,-1,-1,1,-1,1.0,0.0,0.0,1.0,1.0,1.0,-1,-1,-1.0,-1,1316.20400433,1316.20400433,1316.20400433,-1316.20400433,1316.20400433,-1316.20400433,-1316.20400433,1316.20400433,-1316.20400433,1316.20400433,-1316.20400433,1316.20400433,-1316.20400433,-1316.20400433,1316.20400433,-1316.20400433,1316.20400433,1316.20400433,-1316.20400433,-1316.20400433,-1316.20400433,-1316.20400433,-1316.20400433,-1316.20400433,-1316.20400433,1316.20400433,-1316.20400433,1316.20400433,0.0,0.0,1316.20400433,1316.20400433,1316.20400433,-1316.20400433
FCH,MTX6,4550.0,59.597042026,0.00363957207456,1.0,1.0,1.0,1.0,1.0,21.0,2016-09-22,648.356220201,1.0,1.0,1.0,49499.45,0.919202132549,0.00363957207456,4550.0,index,1.0,1.0,2016-09-22,1.0,1.0,22.0,22.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,-1,-1,1,1.0,-1,-1,1,-1,-1,1,1.0,1.0,0.0,1.0,0.0,1.0,-1,0,0.0,-1,180.156815926,180.156815926,-180.156815926,180.156815926,180.156815926,-180.156815926,180.156815926,-180.156815926,-180.156815926,180.156815926,180.156815926,180.156815926,-180.156815926,-180.156815926,-180.156815926,180.156815926,-180.156815926,180.156815926,-180.156815926,-180.156815926,180.156815926,-180.156815926,0.0,0.0,-180.156815926,-180.156815926,180.156815926,180.156815926,180.156815926,0.0,180.156815926,0.0,180.156815926,-180.156815926
FDX,DXMZ6,10765.0,158.85,0.00616880082251,1.0,1.0,-1.0,1.0,1.0,19.0,2016-09-23,864.064575,1.0,1.0,1.0,58556.2175,0.919202132549,0.00616880082251,10765.0,index,1.0,1.0,2016-09-23,1.0,1.0,20.0,20.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,361.221642677,361.221642677,361.221642677,-361.221642677,361.221642677,-361.221642677,361.221642677,-361.221642677,-361.221642677,361.221642677,-361.221642677,361.221642677,-361.221642677,-361.221642677,361.221642677,361.221642677,-361.221642677,361.221642677,-361.221642677,361.221642677,-361.221642677,-361.221642677,-361.221642677,0.0,-361.221642677,-361.221642677,-361.221642677,-361.221642677,-361.221642677,-361.221642677,361.221642677,361.221642677,361.221642677,-361.221642677
FEI,IEH7,100.305,0.0094996005,0.0,1.0,-1.0,-1.0,-1.0,-1.0,21.0,2016-09-22,25.8365384599,38.0,10.0,10.0,272804.52375,0.919202132549,0.0,100.305,rates,-1.0,1.0,2016-09-22,-1.0,-1.0,22.0,22.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,0,1,-1,1,1,1,1,1,-1.0,1,-1,1,1,1,1,1.0,0.0,1.0,-1.0,-1.0,-1.0,1,1,0.0,1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
FFI,LFZ6,6959.5,83.175,-0.00365068002863,-1.0,-1.0,-1.0,-1.0,-1.0,-12.0,2016-10-05,1018.145175,1.0,1.0,1.0,85191.2395,0.816926721673,-0.00365068002863,6959.5,index,1.0,1.0,2016-10-05,1.0,1.0,-13.0,-13.0,-1.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,1,1,1,1.0,-1,-1,-1,1,1,1,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0.0,0,-311.005956657,311.005956657,311.005956657,-311.005956657,-311.005956657,311.005956657,-311.005956657,311.005956657,-0.0,311.005956657,311.005956657,311.005956657,-311.005956657,-311.005956657,-311.005956657,311.005956657,-311.005956657,-311.005956657,311.005956657,311.005956657,311.005956657,-311.005956657,-0.0,-0.0,-0.0,-311.005956657,-311.005956657,-311.005956657,-311.005956657,-311.005956657,-311.005956657,-0.0,-311.005956657,-311.005956657
FLG,LGZ6,126.8,0.819,-0.00102418655952,-1.0,-1.0,-1.0,-1.0,1.0,11.0,2016-10-06,1002.5379,1.0,1.0,1.0,155215.88,0.816926721673,-0.00102418655952,126.8,rates,-1.0,1.0,2016-10-17,1.0,1.0,-5.0,-5.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,-1.0,,1.0,1.0,-1.0,,1.0,1.0,-1.0,,0,1,-1,1,1,1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,-1,0.0,0,-158.97001812,158.97001812,-158.97001812,158.97001812,158.97001812,-158.97001812,-158.97001812,158.97001812,-0.0,158.97001812,158.97001812,158.97001812,-158.97001812,-158.97001812,-158.97001812,-158.97001812,158.97001812,-158.97001812,158.97001812,-158.97001812,158.97001812,158.97001812,158.97001812,-0.0,-0.0,158.97001812,158.97001812,158.97001812,158.97001812,158.97001812,158.97001812,158.97001812,-158.97001812,-158.97001812
