,Contract,LastClose,ATR20,PC2016-07-12 00:00:00,ACT,usdATR,QTY,Close2016-07-12 00:00:00,vSTART,LastSEA,SEA2016-07-12 00:00:00,LastSRUN,SRUN2016-07-12 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-12 00:00:00,0.5LastSIG,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-12 00:00:00,0.75LastSIG,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-12 00:00:00,1LastSIG,1LastSAFEf,1finalQTY,1SIG2016-07-12 00:00:00
FCH,MTN6,4331.0,117.470872906,0.0155938562551,1.0,1302.63450965,2.0,4331.0,2016-07-06,-1.0,-1.0,-4.0,-4.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
FDX,DXMU6,9964.5,260.222215502,0.014456604734,1.0,1442.80207385,2.0,9964.5,2016-07-06,-1.0,-1.0,4.0,4.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
FEI,IEZ6,100.36,0.02625,-9.96313639534e-05,-1.0,72.7715625,28.0,100.36,2016-06-16,1.0,1.0,18.0,18.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
FFI,LFU6,6624.5,165.275,-0.000904909132041,-1.0,2175.184275,1.0,6624.5,2016-06-29,-1.0,-1.0,9.0,9.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FLG,LGU6,129.59,1.0,-0.00445571176154,-1.0,1316.1,2.0,129.59,2016-06-23,1.0,1.0,13.0,13.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
FSS,LLZ6,99.71,0.0565,0.0,1.0,92.9495625,22.0,99.71,2016-06-20,-1.0,-1.0,16.0,16.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0
FV,@FVU6,121.7421875,0.45625,-0.00236875800256,-1.0,456.25,5.0,121.7421875,2016-07-05,1.0,1.0,-5.0,-5.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,-1.0,2.0,5.0,-1.0
GC,QGCQ6,1335.3,25.67,-0.015701017249,-1.0,2567.0,1.0,1335.3,2016-07-06,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,-1.0,2.0,1.0,-1.0
HCM,HHIN6,8868.0,208.775266675,0.0176727105807,1.0,1343.47018452,2.0,8868.0,2016-07-04,1.0,1.0,-6.0,-6.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
HG,QHGU6,221.3,5.2953207675,0.0305005820722,1.0,1323.83019187,2.0,221.3,2016-07-01,1.0,1.0,2.0,2.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
HIC,HSIN6,21277.0,458.320625092,0.0192574850299,1.0,2949.29617177,1.0,21277.0,2016-06-27,1.0,1.0,10.0,10.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
HO,QHOU6,1.4847,0.0560380325,0.0331144529796,1.0,2353.597365,1.0,1.4847,2016-06-29,1.0,1.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
JY,@JYU6,0.95655,0.0152075,-0.0190739886171,-1.0,1900.9375,2.0,0.95655,2016-06-23,1.0,1.0,-2.0,-2.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
KC,@KCU6,147.4,4.1925,-0.012726054923,-1.0,1572.1875,2.0,147.4,2016-06-27,1.0,1.0,-10.0,-10.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
KW,@KWU6,423.0,11.625,0.0149970005999,1.0,581.25,4.0,423.0,2016-06-08,1.0,1.0,23.0,23.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0
LB,@LBU6,324.5,6.8510542175,0.00713842333954,1.0,753.615963925,3.0,324.5,2016-06-28,-1.0,-1.0,9.0,9.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
LC,@LEQ6,108.9,2.12625,-0.00411522633745,-1.0,850.5,3.0,108.9,2016-06-30,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
LCO,EBZ6,50.24,1.8205,0.0425399460469,1.0,1820.5,2.0,50.24,2016-06-29,-1.0,-1.0,9.0,9.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
LGO,GASQ6,423.5,16.75,0.0198675496689,1.0,1675.0,2.0,423.5,2016-06-29,1.0,1.0,-9.0,-9.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0
LH,@HEV6,67.75,1.2666786385,0.0105296746119,1.0,506.6714554,4.0,67.75,2016-06-20,1.0,1.0,15.0,15.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,-1.0,1.0,4.0,-1.0,-1.0,1.0,4.0,-1.0
LRC,LRCU6,1809.0,31.4,-0.0109349371241,-1.0,314.0,7.0,1809.0,2016-06-27,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,7.0,-1.0,-1.0,1.0,7.0,-1.0,-1.0,1.0,7.0,-1.0,1.0,2.0,7.0,1.0
LSU,QWV6,544.2,13.065,-0.0217508538558,-1.0,653.25,4.0,544.2,2016-06-29,-1.0,-1.0,-9.0,-9.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,-1.0,2.0,4.0,-1.0
MEM,@MMEU6,858.9,19.705,0.0150082722761,1.0,985.25,3.0,858.9,2016-06-27,1.0,1.0,11.0,11.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
MFX,IBN6,8506.6,280.789327507,0.0243978805395,1.0,3113.67285273,1.0,8506.6,2016-07-06,1.0,1.0,-4.0,-4.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
MP,@PXU6,0.05416,0.000994,0.00725311511996,1.0,497.0,5.0,0.05416,2016-06-30,1.0,1.0,3.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,-1.0,1.0,5.0,-1.0,-1.0,1.0,5.0,-1.0
MW,@MWU6,502.5,9.8442312235,0.00550275137569,1.0,492.211561175,5.0,502.5,2016-07-06,-1.0,-1.0,4.0,4.0,-1.0,1.0,5.0,-1.0,-1.0,1.0,5.0,-1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0
NE,@NEU6,0.7284,0.009985,0.0127919911012,1.0,998.5,3.0,0.7284,2016-06-27,1.0,1.0,10.0,10.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
NG,QNGU6,2.7,0.09925,0.00596125186289,1.0,992.5,3.0,2.7,2016-07-01,-1.0,-1.0,6.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0
NIY,@NKDU6,16515.0,482.75,0.0276913503423,1.0,2326.5060241,1.0,16515.0,2016-06-28,-1.0,-1.0,9.0,9.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0
NQ,@NQU6,4569.75,74.0,0.00445103857567,1.0,1480.0,2.0,4569.75,2016-06-27,1.0,1.0,10.0,10.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
O,@OZ6,205.75,6.274684874,0.0,1.0,313.7342437,7.0,205.75,2016-07-05,-1.0,-1.0,5.0,5.0,1.0,1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,7.0,1.0
OJ,@OJU6,176.8,5.4010478495,-0.00674157303371,-1.0,810.157177425,3.0,176.8,2016-07-06,1.0,1.0,2.0,2.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0,-1.0,2.0,3.0,-1.0,-1.0,2.0,3.0,-1.0
PA,QPAU6,628.95,16.5875,0.00511386336396,1.0,1658.75,2.0,628.95,2016-06-27,1.0,1.0,10.0,10.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
PL,QPLV6,1097.9,23.226124555,-0.00920494540204,-1.0,1161.30622775,2.0,1097.9,2016-06-27,-1.0,-1.0,10.0,10.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
RB,QRBQ6,1.4301,0.057571395,0.0336826888327,1.0,2417.99859,1.0,1.4301,2016-06-23,-1.0,-1.0,-12.0,-12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
RR,@RRU6,10.68,0.2744315875,-0.000467945718297,-1.0,548.863175,4.0,10.68,2016-07-05,1.0,1.0,-5.0,-5.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0
RS,@RSX6,475.4,11.59,0.0104144527099,1.0,177.979115479,12.0,475.4,2016-06-30,-1.0,-1.0,-3.0,-3.0,-1.0,1.0,12.0,-1.0,-1.0,1.0,12.0,-1.0,-1.0,1.0,12.0,-1.0,1.0,2.0,12.0,1.0
S,@SX6,1087.0,33.5875,0.0303317535545,1.0,1679.375,2.0,1087.0,2016-06-30,-1.0,-1.0,-3.0,-3.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0
SB,@SBV6,19.72,0.682,-0.0276134122288,-1.0,763.84,3.0,19.72,2016-06-29,1.0,1.0,-8.0,-8.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0
SF,@SFU6,1.0157,0.008885,-0.00548320767649,-1.0,1110.625,2.0,1.0157,2016-06-23,1.0,1.0,-12.0,-12.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
SI,QSIU6,2017.1,63.6892854255,-0.00655043341214,-1.0,3184.46427127,1.0,2017.1,2016-06-27,1.0,1.0,10.0,10.0,-1.0,2.0,1.0,-1.0,-1.0,2.0,1.0,-1.0,-1.0,2.0,1.0,-1.0,1.0,1.0,1.0,1.0
SIN,INN6,8524.0,119.770742339,0.00424128180961,1.0,239.541484677,9.0,8524.0,2016-06-24,1.0,1.0,12.0,12.0,-1.0,1.0,9.0,-1.0,-1.0,1.0,9.0,-1.0,1.0,2.0,9.0,1.0,1.0,2.0,9.0,1.0
SJB,BBU6,153.64,0.3285,0.000520969002344,1.0,316.626506024,7.0,153.64,2016-06-22,1.0,1.0,14.0,14.0,-1.0,1.0,7.0,-1.0,-1.0,1.0,7.0,-1.0,1.0,1.0,7.0,1.0,1.0,1.0,7.0,1.0
SM,@SMZ6,376.0,12.44,0.0234077299946,1.0,1244.0,2.0,376.0,2016-06-30,-1.0,-1.0,-3.0,-3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
SMI,SWU6,8123.0,165.35,0.00209721194177,1.0,1682.78037859,2.0,8123.0,2016-06-27,-1.0,-1.0,11.0,11.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
SSG,SSN6,322.8,5.5548234345,0.00922307331562,1.0,829.078124552,3.0,322.8,2016-06-27,1.0,1.0,10.0,10.0,-1.0,1.0,3.0,-1.0,-1.0,1.0,3.0,-1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
STW,TWN6,327.8,5.5780591385,0.00768521364894,1.0,557.80591385,4.0,327.8,2016-06-24,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,1.0,4.0,-1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0
SXE,EXU6,2929.0,85.35,0.0177206393329,1.0,946.44615,3.0,2929.0,2016-07-06,-1.0,-1.0,-4.0,-4.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0
TF,@TFSU6,1201.7,24.695,0.0119578947368,1.0,2469.5,1.0,1201.7,2016-06-27,-1.0,-1.0,11.0,11.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
TU,@TUU6,109.4375,0.152734375,-0.000642077477349,-1.0,305.46875,7.0,109.4375,2016-07-05,1.0,1.0,-5.0,-5.0,-1.0,1.0,7.0,-1.0,-1.0,1.0,7.0,-1.0,-1.0,1.0,7.0,-1.0,-1.0,2.0,7.0,-1.0
TY,@TYU6,132.515625,0.8046875,-0.00481107721192,-1.0,804.6875,3.0,132.515625,2016-07-05,1.0,1.0,-5.0,-5.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,-1.0,2.0,3.0,-1.0
US,@USU6,173.8125,2.1390625,-0.0106723585912,-1.0,2139.0625,1.0,173.8125,2016-06-23,1.0,1.0,-2.0,-2.0,-1.0,2.0,1.0,-1.0,-1.0,2.0,1.0,-1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
VX,@VXQ6,16.225,2.3545156515,-0.0298953662182,-1.0,2354.5156515,1.0,16.225,2016-07-06,-1.0,-1.0,-4.0,-4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,-1.0,2.0,1.0,-1.0
W,@WU6,438.5,13.0375,0.0185830429733,1.0,651.875,4.0,438.5,2016-06-28,1.0,1.0,9.0,9.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,-1.0,2.0,4.0,-1.0,-1.0,2.0,4.0,-1.0
YA,APU6,5313.0,90.1631213875,0.00226372382569,1.0,1720.08694827,2.0,5313.0,2016-06-28,-1.0,-1.0,10.0,10.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0
YB,HBSU6,98.11,0.04,-0.000203811270763,-1.0,73.2576,28.0,98.11,2016-06-24,1.0,1.0,-12.0,-12.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.0,-1.0
YM,@YMU6,18264.0,251.1,0.00644734666887,1.0,1255.5,2.0,18264.0,2016-06-27,1.0,1.0,10.0,10.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
YT2,HTSU6,98.49,0.0765,-0.000304506699147,-1.0,163.45602,13.0,98.49,2016-06-23,1.0,1.0,13.0,13.0,-1.0,2.0,13.0,-1.0,-1.0,2.0,13.0,-1.0,1.0,1.0,13.0,1.0,1.0,1.0,13.0,1.0
YT3,HXSU6,98.045,0.0975,-0.000458762361097,-1.0,595.218,4.0,98.045,2016-06-23,1.0,1.0,13.0,13.0,-1.0,1.0,4.0,-1.0,-1.0,1.0,4.0,-1.0,-1.0,2.0,4.0,-1.0,-1.0,2.0,4.0,-1.0
