,Contract,LastClose,ATR20,PC2016-07-11 00:00:00,ACT,usdATR,QTY,Close2016-07-11 00:00:00,vSTART,LastSEA,SEA2016-07-11 00:00:00,LastSRUN,SRUN2016-07-11 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-08 00:00:00,SIG2016-07-07 00:00:00,0.5LastSIG,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-08 00:00:00,0.5SIG2016-07-07 00:00:00,0.75LastSIG,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-08 00:00:00,0.75SIG2016-07-07 00:00:00,1LastSIG,1LastSAFEf,1finalQTY,1SIG2016-07-08 00:00:00,1SIG2016-07-07 00:00:00
SF,@SFU6,1.0213,0.00862,9.79240109675e-05,1.0,1077.5,2.0,1.0213,2016-06-23,1.0,1.0,-11.0,-11.0,1.0,,2.0,1.0,,1.0,1.0,2.0,1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
SI,QSIU6,2030.4,62.1938019355,0.0101995124136,1.0,3109.69009677,1.0,2030.4,2016-06-27,1.0,1.0,9.0,9.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
SIN,INN6,8488.0,124.96372617,0.0183563287343,1.0,249.927452341,9.0,8488.0,2016-06-24,1.0,1.0,11.0,11.0,-1.0,,9.0,-1.0,,-1.0,2.0,9.0,-1.0,,1.0,2.0,9.0,1.0,,1.0,2.0,9.0,1.0,
SJB,BBU6,153.56,0.326,-0.000780843310776,-1.0,317.028104639,7.0,153.56,2016-06-22,1.0,1.0,13.0,13.0,1.0,,7.0,1.0,,-1.0,1.0,7.0,-1.0,,1.0,2.0,7.0,1.0,,1.0,2.0,7.0,1.0,
SM,@SMZ6,367.4,12.34,-0.00783148798272,-1.0,1234.0,2.0,367.4,2016-06-30,-1.0,-1.0,6.0,6.0,-1.0,,2.0,-1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
SMI,SWU6,8106.0,167.427184913,0.0127436281859,1.0,1703.57331006,2.0,8106.0,2016-06-27,-1.0,-1.0,10.0,10.0,-1.0,,2.0,-1.0,,-1.0,1.0,2.0,-1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
SSG,SSN6,319.85,5.5270625995,0.0118633343879,1.0,824.934716343,3.0,319.85,2016-06-27,1.0,1.0,9.0,9.0,1.0,,3.0,1.0,,1.0,1.0,3.0,1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
STW,TWN6,325.3,5.61988833,0.0226343917007,1.0,561.988833,4.0,325.3,2016-06-24,-1.0,-1.0,-1.0,-1.0,1.0,,4.0,,1.0,-1.0,1.0,4.0,,-1.0,1.0,1.0,4.0,,1.0,1.0,1.0,4.0,,1.0
SXE,EXU6,2878.0,84.839085755,0.0162429378531,1.0,938.150610279,3.0,2878.0,2016-07-01,-1.0,-1.0,3.0,3.0,-1.0,,3.0,-1.0,,-1.0,1.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,,-1.0,2.0,3.0,-1.0,
TF,@TFSU6,1187.5,24.475,0.011930123562,1.0,2447.5,1.0,1187.5,2016-06-27,-1.0,-1.0,-3.0,-3.0,1.0,,1.0,1.0,,-1.0,1.0,1.0,-1.0,,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,
TU,@TUU6,109.5078125,0.15234375,-0.000784145993727,-1.0,304.6875,7.0,109.5078125,2016-07-05,1.0,1.0,-4.0,-4.0,1.0,,7.0,1.0,,-1.0,1.0,7.0,-1.0,,-1.0,2.0,7.0,-1.0,,-1.0,2.0,7.0,-1.0,
TY,@TYU6,133.15625,0.78828125,-0.00478804157421,-1.0,788.28125,3.0,133.15625,2016-06-23,1.0,1.0,11.0,11.0,1.0,,3.0,1.0,,-1.0,1.0,3.0,-1.0,,1.0,2.0,3.0,1.0,,1.0,2.0,3.0,1.0,
US,@USU6,175.6875,2.0546875,-0.00706464146945,-1.0,2054.6875,1.0,175.6875,2016-06-23,1.0,1.0,11.0,11.0,1.0,,1.0,1.0,,-1.0,1.0,1.0,-1.0,,-1.0,1.0,1.0,-1.0,,1.0,2.0,1.0,1.0,
VX,@VXQ6,16.725,2.420433164,-0.00298062593145,-1.0,2420.433164,1.0,16.725,2016-06-27,-1.0,-1.0,9.0,9.0,-1.0,,1.0,-1.0,,1.0,1.0,1.0,1.0,,-1.0,2.0,1.0,-1.0,,-1.0,2.0,1.0,-1.0,
W,@WU6,430.5,12.87789267,-0.0103448275862,-1.0,643.8946335,4.0,430.5,2016-06-28,1.0,1.0,8.0,8.0,1.0,,4.0,1.0,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,,-1.0,2.0,4.0,-1.0,
YA,APU6,5301.0,89.6005394995,0.0215841202544,1.0,1687.40216012,2.0,5301.0,2016-06-28,-1.0,-1.0,9.0,9.0,1.0,,2.0,1.0,,1.0,2.0,2.0,1.0,,-1.0,2.0,2.0,-1.0,,-1.0,2.0,2.0,-1.0,
YB,HBSU6,98.13,0.041,0.0,1.0,74.12472,27.0,98.13,2016-06-24,1.0,1.0,-11.0,-11.0,1.0,,0.0,1.0,,1.0,1.0,0.0,1.0,,-1.0,1.0,0.0,-1.0,,-1.0,1.0,0.0,-1.0,
YM,@YMU6,18147.0,251.805253315,0.00604279853642,1.0,1259.02626658,2.0,18147.0,2016-06-27,1.0,1.0,9.0,9.0,1.0,,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,
YT2,HTSU6,98.52,0.0785,-0.000202963263649,-1.0,165.57534,13.0,98.52,2016-06-23,1.0,1.0,12.0,12.0,1.0,,13.0,1.0,,-1.0,1.0,13.0,-1.0,,-1.0,1.0,13.0,-1.0,,-1.0,1.0,13.0,-1.0,
YT3,HXSU6,98.09,0.09735,-0.000203852818265,-1.0,586.67004,4.0,98.09,2016-06-23,1.0,1.0,12.0,12.0,1.0,,4.0,1.0,,-1.0,1.0,4.0,-1.0,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,1.0,
