2016-09-16 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-16 00:00:00,Close2016-09-16 00:00:00,group,RiskOn,Excess,PC2016-09-15 00:00:00,Close2016-09-15 00:00:00,PC2016-09-14 00:00:00,Close2016-09-14 00:00:00,SEA2016-09-16 00:00:00,SRUN2016-09-16 00:00:00,SEA2016-09-15 00:00:00,SRUN2016-09-15 00:00:00,SEA2016-09-14 00:00:00,SRUN2016-09-14 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-15 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-15 00:00:00,0.5SIG2016-09-14 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-15 00:00:00,0.75SIG2016-09-14 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-15 00:00:00,1SIG2016-09-14 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
CU,@EUZ6,1.1193,0.0072302835,-0.00815241470979,-1.0,-1.0,-1.0,1.0,1.0,39.0,2016-07-22,903.7854375,3.0,1.0,1.0,139912.5,-0.00815241470979,1.1193,currency,1.0,1.0,,,,,1.0,39.0,,,,,-1.0,1.0,38.0,0.0,1.0,3.0,0.0,1.0,3.0,-1.0,,1.0,3.0,-1.0,,1.0,3.0,1.0,,-1,-1,-1,1,-1,1,1.0,-1,-1,-1,1,-1,-1,-1,1,0.0,0.0,-1,1,-1.0,0,-1,0,-3421.87416925,3421.87416925,3421.87416925,-3421.87416925,-3421.87416925,3421.87416925,-3421.87416925,3421.87416925,-0.0,3421.87416925,3421.87416925,-3421.87416925,3421.87416925,-3421.87416925,-3421.87416925,3421.87416925,-3421.87416925,3421.87416925,3421.87416925,3421.87416925,-3421.87416925,-0.0,3421.87416925,3421.87416925,3421.87416925,-3421.87416925,-0.0,-0.0,3421.87416925,-3421.87416925,3421.87416925,-0.0,3421.87416925
DX,@DXZ6,96.055,0.571398795,0.00884333021751,1.0,-1.0,1.0,-1.0,-1.0,-21.0,2016-08-18,571.398795,4.0,1.0,1.0,96055.0,0.00884333021751,96.055,currency,-1.0,-1.0,,,,,-1.0,-21.0,,,,,-1.0,-1.0,-20.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,,1.0,4.0,-1.0,,1.0,4.0,-1.0,,1,1,1,1,1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1.0,-1,1,1.0,1,1,1,3397.78433617,3397.78433617,-3397.78433617,3397.78433617,-3397.78433617,3397.78433617,-3397.78433617,3397.78433617,3397.78433617,-3397.78433617,3397.78433617,-3397.78433617,3397.78433617,3397.78433617,-3397.78433617,3397.78433617,3397.78433617,-3397.78433617,-3397.78433617,3397.78433617,3397.78433617,3397.78433617,-3397.78433617,3397.78433617,3397.78433617,3397.78433617,3397.78433617,3397.78433617,-3397.78433617,3397.78433617,3397.78433617,3397.78433617,3397.78433617
EBL,BDZ6,163.96,0.7131733825,0.00293613897725,1.0,-1.0,-1.0,-1.0,-1.0,-7.0,2016-09-07,795.687542855,3.0,1.0,1.0,182930.172,0.00293613897725,163.96,rates,-1.0,1.0,,,,,-1.0,-7.0,,,,,-1.0,-1.0,-6.0,0.0,1.0,3.0,0.0,1.0,3.0,-1.0,,1.0,3.0,-1.0,,1.0,3.0,-1.0,,1,-1,1,1,1,1,1.0,-1,-1,-1,1,-1,1,-1,-1,1.0,0.0,-1,1,1.0,1,1,-1,1611.32522437,1611.32522437,-1611.32522437,1611.32522437,-1611.32522437,1611.32522437,1611.32522437,-1611.32522437,0.0,-1611.32522437,-1611.32522437,-1611.32522437,1611.32522437,1611.32522437,-1611.32522437,1611.32522437,1611.32522437,-1611.32522437,-1611.32522437,-1611.32522437,1611.32522437,-1611.32522437,-1611.32522437,1611.32522437,-1611.32522437,-1611.32522437,1611.32522437,0.0,-1611.32522437,1611.32522437,1611.32522437,1611.32522437,1611.32522437
EBM,BLZ6,131.69,0.201768292,0.00106423413151,1.0,1.0,1.0,1.0,-1.0,-7.0,2016-09-07,225.112883384,9.0,2.0,2.0,146926.533,0.00106423413151,131.69,rates,-1.0,1.0,,,,,-1.0,-7.0,,,,,1.0,-1.0,-6.0,0.0,1.0,9.0,0.0,1.0,9.0,1.0,,2.0,9.0,1.0,,2.0,9.0,1.0,,1,-1,-1,-1,1,-1,1.0,-1,-1,-1,-1,-1,1,1,-1,1.0,0.0,-1,-1,1.0,0,1,-1,1407.27808119,1407.27808119,1407.27808119,-1407.27808119,-1407.27808119,1407.27808119,1407.27808119,-1407.27808119,0.0,1407.27808119,1407.27808119,1407.27808119,-1407.27808119,-1407.27808119,-1407.27808119,1407.27808119,1407.27808119,-1407.27808119,-1407.27808119,-1407.27808119,-1407.27808119,-1407.27808119,-1407.27808119,1407.27808119,1407.27808119,-1407.27808119,1407.27808119,0.0,-1407.27808119,-1407.27808119,1407.27808119,0.0,1407.27808119
EBS,EZZ6,112.065,0.0387493765,0.000178499709938,1.0,1.0,1.0,1.0,1.0,33.0,2016-08-02,43.2326793611,47.0,6.0,6.0,125030.9205,0.000178499709938,112.065,rates,-1.0,1.0,,,,,1.0,33.0,,,,,1.0,1.0,32.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,1,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,0.0,-1.0,-1,-1,0.0,0,-1,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
ED,@EDZ6,99.07,0.03125,-0.000252283162622,-1.0,-1.0,1.0,-1.0,-1.0,-57.0,2016-06-27,78.125,26.0,4.0,4.0,247675.0,-0.000252283162622,99.07,rates,-1.0,1.0,,,,,-1.0,-57.0,,,,,1.0,-1.0,-56.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1,-1,1,1,1,-1,1.0,-1,1,-1,1,1,1,1,-1,1.0,0.0,1,-1,1.0,1,1,0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
EMD,@EMDZ6,1516.9,18.55752752,-0.00583300563639,-1.0,-1.0,1.0,-1.0,-1.0,-7.0,2016-09-07,1855.752752,2.0,1.0,1.0,151690.0,-0.00583300563639,1516.9,index,1.0,1.0,,,,,-1.0,-7.0,,,,,1.0,-1.0,-6.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,1.0,2.0,-1.0,,1.0,2.0,-1.0,,-1,-1,1,1,1,-1,1.0,-1,1,-1,1,1,1,1,1,1.0,1.0,1,1,1.0,0,1,1,-1769.61724997,1769.61724997,-1769.61724997,1769.61724997,-1769.61724997,1769.61724997,-1769.61724997,1769.61724997,-1769.61724997,1769.61724997,-1769.61724997,1769.61724997,-1769.61724997,-1769.61724997,1769.61724997,-1769.61724997,-1769.61724997,1769.61724997,-1769.61724997,1769.61724997,-1769.61724997,-1769.61724997,-1769.61724997,-1769.61724997,-1769.61724997,-1769.61724997,-1769.61724997,-1769.61724997,-1769.61724997,-1769.61724997,-1769.61724997,-0.0,-1769.61724997
ES,@ESZ6,2132.5,21.696450382,-0.00257249766137,-1.0,1.0,1.0,1.0,-1.0,-44.0,2016-07-15,1084.8225191,2.0,1.0,1.0,106625.0,-0.00257249766137,2132.5,index,1.0,1.0,,,,,-1.0,-44.0,,,,,1.0,-1.0,-43.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,-1,-1,-1,-1,1,-1,1.0,-1,-1,-1,-1,-1,1,1,1,1.0,1.0,-1,-1,0.0,-1,-1,-1,-548.585126286,548.585126286,-548.585126286,548.585126286,-548.585126286,548.585126286,-548.585126286,548.585126286,-548.585126286,-548.585126286,-548.585126286,-548.585126286,548.585126286,548.585126286,548.585126286,-548.585126286,-548.585126286,548.585126286,548.585126286,548.585126286,548.585126286,548.585126286,548.585126286,-548.585126286,-548.585126286,-548.585126286,-548.585126286,-548.585126286,548.585126286,548.585126286,-0.0,548.585126286,548.585126286
FC,@GFV6,132.95,3.2275,0.00949126803341,1.0,1.0,1.0,-1.0,-1.0,5.0,2016-09-09,1613.75,2.0,1.0,1.0,66475.0,0.00949126803341,132.95,meat,1.0,-1.0,,,,,-1.0,5.0,,,,,1.0,-1.0,-10.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,2.0,2.0,-1.0,,-1,1,1,-1,1,-1,1.0,-1,1,-1,-1,1,1,1,1,0.0,1.0,1,-1,0.0,-1,-1,0,1261.86408504,1261.86408504,1261.86408504,-1261.86408504,1261.86408504,-1261.86408504,-1261.86408504,1261.86408504,1261.86408504,1261.86408504,1261.86408504,-1261.86408504,1261.86408504,-1261.86408504,-1261.86408504,1261.86408504,1261.86408504,-1261.86408504,1261.86408504,-1261.86408504,-1261.86408504,0.0,1261.86408504,1261.86408504,1261.86408504,1261.86408504,0.0,1261.86408504,1261.86408504,-1261.86408504,0.0,-1261.86408504,-1261.86408504
FCH,MTV6,4319.5,63.71885045,-0.00928899082569,-1.0,-1.0,-1.0,-1.0,-1.0,-7.0,2016-09-07,710.911214471,3.0,1.0,1.0,48192.6615,-0.00928899082569,4319.5,index,1.0,1.0,,,,,-1.0,-7.0,,,,,1.0,1.0,-6.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,-1,-1,1,1,-1,-1,-1.0,1,1,-1,-1,1,-1,-1,-1,-1.0,-1.0,1,1,0.0,0,-1,-1,-1342.98357162,1342.98357162,-1342.98357162,1342.98357162,-1342.98357162,1342.98357162,-1342.98357162,1342.98357162,1342.98357162,1342.98357162,1342.98357162,1342.98357162,-1342.98357162,-1342.98357162,-1342.98357162,1342.98357162,1342.98357162,-1342.98357162,-1342.98357162,1342.98357162,1342.98357162,1342.98357162,-1342.98357162,1342.98357162,1342.98357162,1342.98357162,1342.98357162,1342.98357162,-1342.98357162,-1342.98357162,-0.0,-0.0,1342.98357162
FDX,DXMZ6,10258.0,149.471613719,-0.016915041449,-1.0,-1.0,1.0,-1.0,1.0,13.0,2016-08-30,833.827397131,3.0,1.0,1.0,57224.253,-0.016915041449,10258.0,index,1.0,1.0,,,,,1.0,13.0,,,,,1.0,1.0,-45.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,,1.0,3.0,-1.0,,1.0,3.0,-1.0,,-1,-1,1,1,-1,-1,-1.0,1,1,1,-1,1,-1,1,1,0.0,0.0,1,1,0.0,0,-1,1,-2903.85183416,2903.85183416,-2903.85183416,2903.85183416,-2903.85183416,2903.85183416,-2903.85183416,2903.85183416,-0.0,2903.85183416,-2903.85183416,2903.85183416,-2903.85183416,-2903.85183416,-2903.85183416,2903.85183416,2903.85183416,-2903.85183416,-2903.85183416,-2903.85183416,2903.85183416,-2903.85183416,-2903.85183416,2903.85183416,-2903.85183416,-2903.85183416,-0.0,-0.0,-2903.85183416,-2903.85183416,-0.0,-0.0,2903.85183416
FEI,IEZ6,100.32,0.01025,0.0,1.0,-1.0,1.0,-1.0,1.0,-50.0,2016-07-08,28.5898125,70.0,9.0,9.0,279817.56,0.0,100.32,rates,-1.0,1.0,,,,,1.0,-50.0,,,,,-1.0,1.0,-49.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1,-1,1,1,-1,1,-1.0,1,1,1,1,1,1,-1,1,1.0,0.0,1,1,0.0,1,1,1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FFI,LFZ6,6663.5,79.6922857785,-0.00470500373413,-1.0,-1.0,-1.0,1.0,-1.0,-9.0,2016-09-05,1036.39817655,2.0,1.0,1.0,86658.8175,-0.00470500373413,6663.5,index,1.0,1.0,,,,,-1.0,-9.0,,,,,1.0,-1.0,-8.0,0.0,1.0,2.0,0.0,2.0,2.0,-1.0,,2.0,2.0,-1.0,,2.0,2.0,1.0,,-1,-1,-1,1,1,-1,1.0,-1,-1,-1,1,-1,-1,1,-1,0.0,0.0,-1,1,1.0,0,1,-1,-815.460119866,815.460119866,-815.460119866,815.460119866,-815.460119866,815.460119866,-815.460119866,815.460119866,-0.0,815.460119866,815.460119866,-815.460119866,815.460119866,-815.460119866,815.460119866,-815.460119866,-815.460119866,815.460119866,815.460119866,815.460119866,-815.460119866,815.460119866,815.460119866,815.460119866,-815.460119866,815.460119866,-0.0,-0.0,815.460119866,-815.460119866,-815.460119866,-0.0,-815.460119866
FLG,LGZ6,129.1,0.7403283195,0.00295214418894,1.0,1.0,-1.0,1.0,1.0,-24.0,2016-08-12,962.79697951,3.0,1.0,1.0,167894.55,0.00295214418894,129.1,rates,-1.0,1.0,,,,,1.0,-24.0,,,,,-1.0,1.0,-23.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,1,-1,-1,-1,-1,1,-1.0,1,-1,1,-1,-1,-1,-1,-1,0.0,-1.0,-1,-1,-1.0,0,-1,-1,1486.94676041,1486.94676041,-1486.94676041,1486.94676041,-1486.94676041,1486.94676041,1486.94676041,-1486.94676041,-1486.94676041,1486.94676041,-1486.94676041,1486.94676041,-1486.94676041,-1486.94676041,1486.94676041,-1486.94676041,-1486.94676041,1486.94676041,-1486.94676041,1486.94676041,-1486.94676041,-1486.94676041,-1486.94676041,-1486.94676041,-1486.94676041,-1486.94676041,0.0,-1486.94676041,-1486.94676041,-1486.94676041,-1486.94676041,0.0,-1486.94676041
