2016-09-27 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,PC2016-09-27 00:00:00,Close2016-09-27 00:00:00,group,RiskOn,Excess,PC2016-09-26 00:00:00,Close2016-09-26 00:00:00,SEA2016-09-27 00:00:00,SRUN2016-09-27 00:00:00,SEA2016-09-26 00:00:00,SRUN2016-09-26 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-09-26 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-09-26 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-09-26 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-09-26 00:00:00,RiskOff,AntiExcess,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Excess,PNL_AntiExcess,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
CT,@CTZ6,69.74,1.484,-0.00485159817352,-1.0,-1.0,-1.0,-1.0,-1.0,-8.0,2016-09-15,742.0,3.0,1.0,1.0,34870.0,-0.00485159817352,69.74,soft,1.0,1.0,,,-1.0,-8.0,,,1.0,-1.0,10.0,0.0,1.0,3.0,0.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,-1,-1,1,1,1,-1,-1.0,1,1,-1,1,1,1,1,1,0.0,0.0,1.0,1.0,1.0,0,1,1,-507.525684932,507.525684932,-507.525684932,507.525684932,-507.525684932,507.525684932,-507.525684932,507.525684932,-0.0,507.525684932,507.525684932,507.525684932,-507.525684932,-507.525684932,507.525684932,-507.525684932,507.525684932,-507.525684932,-507.525684932,507.525684932,-507.525684932,-507.525684932,-507.525684932,-507.525684932,-507.525684932,-507.525684932,-0.0,-0.0,-507.525684932,-507.525684932,-507.525684932,-0.0,-507.525684932
CU,@EUZ6,1.1262,0.0069862665,-0.00296578283387,-1.0,1.0,1.0,1.0,1.0,-27.0,2016-08-18,873.2833125,3.0,1.0,1.0,140775.0,-0.00296578283387,1.1262,currency,1.0,1.0,,,1.0,-27.0,,,1.0,1.0,-26.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1,-1,-1.0,1,1,1,-1,1,1,-1,-1,0.0,0.0,-1.0,0.0,-1.0,-1,-1,0,-1252.52423531,1252.52423531,-1252.52423531,1252.52423531,-1252.52423531,1252.52423531,-1252.52423531,1252.52423531,-0.0,-1252.52423531,-1252.52423531,-1252.52423531,1252.52423531,1252.52423531,-1252.52423531,1252.52423531,1252.52423531,-1252.52423531,-1252.52423531,-1252.52423531,1252.52423531,-0.0,-1252.52423531,-1252.52423531,1252.52423531,1252.52423531,-0.0,-0.0,1252.52423531,-0.0,1252.52423531,1252.52423531,1252.52423531
DX,@DXZ6,95.312,0.576535935,0.00107131603823,1.0,1.0,1.0,1.0,1.0,-28.0,2016-08-18,576.535935,4.0,1.0,1.0,95312.0,0.00107131603823,95.312,currency,-1.0,-1.0,,,1.0,-28.0,,,-1.0,1.0,-27.0,0.0,1.0,4.0,0.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1,1,-1,-1,-1,1,-1.0,1,-1,1,-1,-1,-1,-1,-1,0.0,0.0,-1.0,0.0,-1.0,0,-1,-1,408.437096944,408.437096944,-408.437096944,408.437096944,-408.437096944,408.437096944,-408.437096944,408.437096944,0.0,408.437096944,408.437096944,408.437096944,-408.437096944,-408.437096944,408.437096944,-408.437096944,-408.437096944,408.437096944,-408.437096944,408.437096944,-408.437096944,-408.437096944,-408.437096944,-408.437096944,-408.437096944,-408.437096944,0.0,0.0,-408.437096944,0.0,-408.437096944,0.0,-408.437096944
EBL,BDZ6,165.98,0.748200526,0.0029003021148,1.0,-1.0,-1.0,1.0,1.0,10.0,2016-09-13,839.256530014,3.0,1.0,1.0,186179.766,0.0029003021148,165.98,rates,-1.0,1.0,,,1.0,10.0,,,1.0,-1.0,9.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,1,-1,-1,1,1,-1,-1.0,1,-1,-1,1,1,1,1,-1,0.0,-1.0,0.0,0.0,1.0,1,1,-1,1619.93270719,1619.93270719,1619.93270719,-1619.93270719,-1619.93270719,1619.93270719,1619.93270719,-1619.93270719,-1619.93270719,-1619.93270719,-1619.93270719,1619.93270719,-1619.93270719,1619.93270719,-1619.93270719,1619.93270719,-1619.93270719,1619.93270719,-1619.93270719,-1619.93270719,1619.93270719,-1619.93270719,1619.93270719,1619.93270719,1619.93270719,-1619.93270719,0.0,-1619.93270719,0.0,0.0,1619.93270719,1619.93270719,1619.93270719
EBM,BLZ6,132.24,0.2086675145,0.00159054760282,1.0,1.0,1.0,1.0,1.0,7.0,2016-09-16,234.062351015,9.0,2.0,2.0,148333.608,0.00159054760282,132.24,rates,-1.0,1.0,,,1.0,7.0,,,1.0,-1.0,6.0,0.0,1.0,9.0,0.0,1.0,9.0,1.0,1.0,9.0,1.0,2.0,9.0,1.0,1,-1,-1,-1,1,-1,-1.0,1,-1,1,-1,1,1,-1,-1,1.0,0.0,-1.0,0.0,1.0,0,1,-1,2123.3849816,2123.3849816,2123.3849816,-2123.3849816,-2123.3849816,2123.3849816,2123.3849816,-2123.3849816,0.0,2123.3849816,2123.3849816,2123.3849816,-2123.3849816,-2123.3849816,-2123.3849816,2123.3849816,-2123.3849816,2123.3849816,-2123.3849816,2123.3849816,-2123.3849816,-2123.3849816,2123.3849816,2123.3849816,-2123.3849816,-2123.3849816,2123.3849816,0.0,-2123.3849816,0.0,2123.3849816,0.0,2123.3849816
EBS,EZZ6,112.17,0.0444997885,0.000535188654001,1.0,1.0,1.0,1.0,-1.0,10.0,2016-09-13,49.9154127604,41.0,6.0,6.0,125821.089,0.000535188654001,112.17,rates,-1.0,1.0,,,-1.0,10.0,,,1.0,-1.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1,-1,-1,-1,1,-1,-1.0,1,-1,1,-1,1,1,-1,-1,1.0,0.0,-1.0,0.0,1.0,0,1,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
ED,@EDZ6,99.085,0.02975,-0.000100913265049,-1.0,-1.0,-1.0,1.0,-1.0,-30.0,2016-08-15,74.375,27.0,4.0,4.0,247712.5,-0.000100913265049,99.085,rates,-1.0,1.0,,,-1.0,-30.0,,,1.0,-1.0,-29.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1,-1,-1,1,1,-1,1.0,-1,-1,-1,1,-1,1,1,-1,0.0,-1.0,0.0,-1.0,1.0,1,1,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
EMD,@EMDZ6,1540.0,19.943516908,0.00110511603718,1.0,1.0,-1.0,1.0,-1.0,-7.0,2016-09-16,1994.3516908,2.0,1.0,1.0,154000.0,0.00110511603718,1540.0,index,1.0,1.0,,,-1.0,-7.0,,,-1.0,-1.0,-6.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1,1,1,1.0,-1,-1,-1,1,-1,-1,1,1,1.0,1.0,1.0,0.0,-1.0,-1,-1,0,340.375739453,340.375739453,-340.375739453,340.375739453,340.375739453,-340.375739453,340.375739453,-340.375739453,340.375739453,340.375739453,-340.375739453,340.375739453,-340.375739453,-340.375739453,-340.375739453,340.375739453,340.375739453,-340.375739453,-340.375739453,-340.375739453,340.375739453,0.0,-340.375739453,-340.375739453,340.375739453,340.375739453,340.375739453,340.375739453,340.375739453,0.0,-340.375739453,-340.375739453,-340.375739453
ES,@ESZ6,2152.75,23.2260496185,0.00607547610702,1.0,-1.0,-1.0,-1.0,-1.0,-7.0,2016-09-16,1161.30248092,2.0,1.0,1.0,107637.5,0.00607547610702,2152.75,index,1.0,1.0,,,-1.0,-7.0,,,-1.0,-1.0,-6.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,-1,1,1,1,1,1.0,-1,-1,-1,1,-1,-1,1,1,1.0,1.0,1.0,1.0,0.0,0,1,0,1307.89811894,1307.89811894,-1307.89811894,1307.89811894,1307.89811894,-1307.89811894,1307.89811894,-1307.89811894,1307.89811894,-1307.89811894,-1307.89811894,-1307.89811894,1307.89811894,1307.89811894,-1307.89811894,1307.89811894,1307.89811894,-1307.89811894,-1307.89811894,-1307.89811894,1307.89811894,0.0,-1307.89811894,-1307.89811894,1307.89811894,1307.89811894,1307.89811894,1307.89811894,1307.89811894,1307.89811894,0.0,0.0,1307.89811894
FC,@GFX6,123.375,3.134221029,-0.0320488363533,-1.0,-1.0,1.0,-1.0,-1.0,7.0,2016-09-16,1567.1105145,2.0,1.0,1.0,61687.5,-0.0320488363533,123.375,meat,1.0,-1.0,,,-1.0,7.0,,,-1.0,-1.0,-11.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,1,1,1,1,1.0,-1,-1,1,1,-1,1,1,1,1.0,1.0,1.0,0.0,0.0,0,1,1,-3954.02518509,3954.02518509,3954.02518509,-3954.02518509,-3954.02518509,3954.02518509,3954.02518509,-3954.02518509,-3954.02518509,3954.02518509,-3954.02518509,3954.02518509,-3954.02518509,-3954.02518509,3954.02518509,-3954.02518509,-3954.02518509,3954.02518509,3954.02518509,-3954.02518509,-3954.02518509,-3954.02518509,3954.02518509,-3954.02518509,-3954.02518509,-3954.02518509,-3954.02518509,-3954.02518509,-3954.02518509,-0.0,-0.0,-0.0,-3954.02518509
FCH,MTV6,4394.0,67.724430069,-0.00034125810488,-1.0,-1.0,-1.0,1.0,1.0,-7.0,2016-09-16,759.664932084,3.0,1.0,1.0,49287.498,-0.00034125810488,4394.0,index,1.0,1.0,,,1.0,-7.0,,,-1.0,1.0,-6.0,0.0,1.0,3.0,0.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,-1,-1,-1,1,-1,1,-1.0,1,-1,1,1,-1,-1,1,1,0.0,0.0,1.0,1.0,-1.0,0,-1,1,-50.4592744853,50.4592744853,50.4592744853,-50.4592744853,-50.4592744853,50.4592744853,-50.4592744853,50.4592744853,-0.0,50.4592744853,50.4592744853,-50.4592744853,50.4592744853,-50.4592744853,-50.4592744853,50.4592744853,50.4592744853,-50.4592744853,50.4592744853,-50.4592744853,-50.4592744853,-50.4592744853,50.4592744853,50.4592744853,-50.4592744853,-50.4592744853,-0.0,-0.0,-50.4592744853,-50.4592744853,50.4592744853,-0.0,50.4592744853
FDX,DXMZ6,10333.5,156.615823105,-0.00423994218261,-1.0,-1.0,1.0,-1.0,1.0,-6.0,2016-09-19,878.379843884,3.0,1.0,1.0,57955.43475,-0.00423994218261,10333.5,index,1.0,1.0,,,1.0,-6.0,,,-1.0,1.0,-5.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,-1,-1,1,1,-1,1,-1.0,1,1,1,1,1,-1,1,1,1.0,1.0,1.0,1.0,-1.0,0,-1,1,-737.183077523,737.183077523,737.183077523,-737.183077523,-737.183077523,737.183077523,-737.183077523,737.183077523,-737.183077523,737.183077523,-737.183077523,737.183077523,-737.183077523,-737.183077523,-737.183077523,737.183077523,737.183077523,-737.183077523,-737.183077523,-737.183077523,-737.183077523,-737.183077523,-737.183077523,737.183077523,-737.183077523,-737.183077523,-737.183077523,-737.183077523,-737.183077523,-737.183077523,737.183077523,-0.0,737.183077523
FEI,IEZ6,100.3,0.011,-0.000149528983701,-1.0,-1.0,1.0,-1.0,-1.0,-57.0,2016-07-08,30.84675,65.0,9.0,9.0,281266.275,-0.000149528983701,100.3,rates,-1.0,1.0,,,-1.0,-57.0,,,1.0,-1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,-1,1,1,1,-1,-1.0,1,1,1,1,1,1,1,-1,1.0,0.0,0.0,1.0,1.0,1,1,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FFI,LFZ6,6761.5,86.9592285775,-0.0030962034648,-1.0,-1.0,-1.0,-1.0,1.0,-10.0,2016-09-13,1131.51348225,2.0,1.0,1.0,87980.638,-0.0030962034648,6761.5,index,1.0,1.0,,,1.0,-10.0,,,-1.0,1.0,-9.0,0.0,1.0,2.0,0.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,-1,-1,1,1,-1,1,-1.0,1,1,1,1,1,-1,1,1,0.0,0.0,1.0,1.0,-1.0,0,-1,1,-544.811912422,544.811912422,544.811912422,-544.811912422,-544.811912422,544.811912422,-544.811912422,544.811912422,-0.0,544.811912422,544.811912422,544.811912422,-544.811912422,-544.811912422,-544.811912422,544.811912422,544.811912422,-544.811912422,-544.811912422,-544.811912422,-544.811912422,-544.811912422,-544.811912422,544.811912422,-544.811912422,-544.811912422,-0.0,-0.0,-544.811912422,-544.811912422,544.811912422,-0.0,544.811912422
FLG,LGZ6,131.21,0.768,0.00351816443595,1.0,-1.0,-1.0,1.0,1.0,8.0,2016-09-15,999.3216,3.0,1.0,1.0,170730.452,0.00351816443595,131.21,rates,-1.0,1.0,,,1.0,8.0,,,1.0,1.0,7.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,1,-1,-1,1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,1,1,-1,1801.97341308,1801.97341308,1801.97341308,-1801.97341308,-1801.97341308,1801.97341308,1801.97341308,-1801.97341308,-1801.97341308,-1801.97341308,-1801.97341308,1801.97341308,-1801.97341308,1801.97341308,1801.97341308,-1801.97341308,1801.97341308,-1801.97341308,1801.97341308,-1801.97341308,-1801.97341308,-1801.97341308,-1801.97341308,-1801.97341308,-1801.97341308,-1801.97341308,-1801.97341308,-1801.97341308,-1801.97341308,-1801.97341308,1801.97341308,1801.97341308,1801.97341308
FSS,LLZ6,99.685,0.019,-0.000100305933096,-1.0,1.0,1.0,1.0,1.0,-34.0,2016-08-09,30.9035,65.0,9.0,9.0,162137.6525,-0.000100305933096,99.685,rates,-1.0,-1.0,,,1.0,-34.0,,,1.0,1.0,-11.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1,-1,-1,-1,-1,-1.0,1,1,1,-1,1,1,-1,-1,-1.0,-1.0,-1.0,-1.0,0.0,0,-1,0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
