2016-07-25 00:00:00,Contract,LastClose,ATR20,PC2016-07-25 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-25 00:00:00,RiskOn,group,SEA2016-07-25 00:00:00,SRUN2016-07-25 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-22 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-22 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-22 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-22 00:00:00,AntiSEA,AntiPrevACT,AdjSEA,Voting,Voting2,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_Voting,PNL_Voting2,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
CT,@CTZ6,72.29,1.7585,-0.00536598789213,-1.0,1.0,1.0,-1.0,-1.0,1.0,2016-07-15,-1.0,879.25,3.0,36145.0,72.29,1.0,soft,-1.0,1.0,-1.0,-5.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1,1,1.0,1,1,-1,-193.953632361,581.860897083,-581.860897083,-581.860897083,-581.860897083,581.860897083,581.860897083,-581.860897083,-581.860897083,-581.860897083,-581.860897083,581.860897083,-581.860897083,-581.860897083,581.860897083
CU,@EUU6,1.1014,0.0080775,0.00250307195194,1.0,-1.0,-1.0,-1.0,1.0,-21.0,2016-06-23,-1.0,1009.6875,2.0,137675.0,1.1014,1.0,currency,1.0,-21.0,1.0,-20.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,-1.0,-1,-1,-1,344.610430983,689.220861967,-689.220861967,-689.220861967,-689.220861967,-689.220861967,689.220861967,-689.220861967,-689.220861967,-689.220861967,-689.220861967,-689.220861967,689.220861967,689.220861967,-689.220861967
DX,@DXU6,97.326,0.5787,-0.00194839821158,-1.0,1.0,-1.0,1.0,-1.0,-22.0,2016-06-23,1.0,578.7,4.0,97326.0,97.326,-1.0,currency,-1.0,-22.0,-1.0,-21.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,1,-1,1.0,1,-1,1,-189.62980434,758.519217359,758.519217359,-758.519217359,758.519217359,-758.519217359,758.519217359,-758.519217359,-758.519217359,-758.519217359,758.519217359,-758.519217359,758.519217359,758.519217359,-758.519217359
EBL,BDU6,166.72,0.7585,0.0021037446655,1.0,1.0,1.0,1.0,1.0,-11.0,2016-07-08,1.0,833.81905,3.0,183275.296,166.72,-1.0,rates,1.0,-11.0,1.0,-10.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1.0,1,-1,1,385.564426279,1156.69327884,-1156.69327884,1156.69327884,1156.69327884,1156.69327884,1156.69327884,-1156.69327884,-1156.69327884,1156.69327884,-1156.69327884,1156.69327884,-1156.69327884,-1156.69327884,1156.69327884
EBM,BLU6,133.46,0.209,0.000524776969788,1.0,-1.0,1.0,-1.0,1.0,-11.0,2016-07-08,-1.0,229.7537,9.0,146712.578,133.46,-1.0,rates,1.0,-11.0,1.0,-10.0,1.0,1.0,9.0,1.0,1.0,9.0,1.0,2.0,9.0,-1.0,2.0,9.0,-1.0,-1,1,-1.0,-1,1,1,76.9913821126,692.922439014,692.922439014,-692.922439014,692.922439014,-692.922439014,692.922439014,-692.922439014,-692.922439014,-692.922439014,692.922439014,-692.922439014,692.922439014,-692.922439014,692.922439014
EBS,EZU6,111.99,0.049,0.0,1.0,-1.0,1.0,-1.0,1.0,-10.0,2016-07-11,-1.0,53.8657,38.0,123110.607,111.99,-1.0,rates,1.0,-10.0,1.0,-9.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,-1,1,-1.0,-1,1,1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
ED,@EDZ6,99.095,0.034,-0.000151346988195,-1.0,-1.0,-1.0,-1.0,1.0,-19.0,2016-06-27,-1.0,85.0,24.0,247737.5,99.095,-1.0,rates,1.0,-19.0,1.0,-18.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,-1,1,-1.0,-1,-1,1,-37.494324488,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
EMD,@EMDU6,1544.3,19.045,-0.00348454539588,-1.0,1.0,1.0,1.0,1.0,-8.0,2016-07-13,1.0,1904.5,2.0,154430.0,1544.3,1.0,index,1.0,-8.0,-1.0,-7.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,-1,1.0,1,1,-1,-538.118345486,1076.23669097,-1076.23669097,-1076.23669097,-1076.23669097,-1076.23669097,1076.23669097,-1076.23669097,-1076.23669097,-1076.23669097,-1076.23669097,-1076.23669097,1076.23669097,-1076.23669097,1076.23669097
ES,@ESU6,2162.25,22.55,-0.00242214532872,-1.0,1.0,1.0,1.0,-1.0,-6.0,2016-07-15,1.0,1127.5,2.0,108112.5,2162.25,1.0,index,-1.0,-6.0,-1.0,-5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,-1,1.0,1,1,-1,-261.864186851,523.728373702,-523.728373702,-523.728373702,-523.728373702,-523.728373702,523.728373702,-523.728373702,-523.728373702,-523.728373702,-523.728373702,-523.728373702,523.728373702,-523.728373702,523.728373702
FC,@GFQ6,141.7,3.185,0.0327988338192,1.0,-1.0,1.0,-1.0,-1.0,2.0,2016-07-06,1.0,1592.5,2.0,70850.0,141.7,1.0,meat,-1.0,2.0,-1.0,-12.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1,-1,1.0,1,1,-1,2323.79737609,4647.59475219,4647.59475219,-4647.59475219,4647.59475219,-4647.59475219,-4647.59475219,4647.59475219,4647.59475219,4647.59475219,4647.59475219,4647.59475219,-4647.59475219,4647.59475219,-4647.59475219
FCH,MTQ6,4386.5,73.4939801615,0.00148401826484,1.0,1.0,-1.0,1.0,-1.0,-13.0,2016-07-06,1.0,807.919323915,3.0,48220.7945,4386.5,1.0,index,-1.0,-13.0,-1.0,-12.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,-1,1.0,1,-1,-1,71.5605397831,214.681619349,-214.681619349,214.681619349,-214.681619349,214.681619349,-214.681619349,214.681619349,214.681619349,214.681619349,-214.681619349,214.681619349,-214.681619349,214.681619349,-214.681619349
FDX,DXMU6,10177.5,167.6,0.00404478863513,1.0,-1.0,-1.0,-1.0,-1.0,-7.0,2016-07-14,-1.0,921.2134,3.0,55940.62875,10177.5,1.0,index,-1.0,-7.0,-1.0,-6.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1.0,-1,1,-1,226.26801941,678.80405823,678.80405823,-678.80405823,-678.80405823,-678.80405823,-678.80405823,678.80405823,678.80405823,-678.80405823,678.80405823,-678.80405823,678.80405823,678.80405823,-678.80405823
FEI,IEZ6,100.325,0.01525,-4.9835542709e-05,-1.0,1.0,1.0,-1.0,1.0,-2.0,2016-07-14,-1.0,41.9108125,48.0,275718.18125,100.325,-1.0,rates,1.0,-2.0,1.0,-10.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,-1,1,-1.0,-1,1,1,-13.7405651973,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
FFI,LFU6,6654.0,98.525,-0.00307139111544,-1.0,1.0,-1.0,1.0,1.0,-7.0,2016-07-14,1.0,1294.02735,2.0,87393.636,6654.0,1.0,index,1.0,-7.0,1.0,-6.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1.0,-1,-1,-1,-268.420037156,536.840074313,536.840074313,-536.840074313,536.840074313,-536.840074313,-536.840074313,536.840074313,536.840074313,536.840074313,536.840074313,-536.840074313,536.840074313,-536.840074313,536.840074313
FLG,LGU6,129.66,0.7365,0.0,1.0,1.0,-1.0,1.0,1.0,22.0,2016-06-23,1.0,967.3191,3.0,170295.444,129.66,-1.0,rates,1.0,22.0,1.0,21.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1.0,1,-1,1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0
FSS,LLZ6,99.68,0.037,0.000100331092606,1.0,1.0,1.0,1.0,-1.0,9.0,2016-07-12,1.0,60.74475,33.0,163649.64,99.68,-1.0,rates,-1.0,9.0,-1.0,8.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1,-1,-1.0,1,-1,1,16.4191471857,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0
FV,@FVU6,121.3984375,0.353125,-0.000771654555977,-1.0,1.0,1.0,1.0,1.0,-14.0,2016-07-05,-1.0,353.125,6.0,121398.4375,121.3984375,-1.0,rates,1.0,-14.0,1.0,-13.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,-1,1,-1.0,1,1,1,-93.6776573854,562.065944312,-562.065944312,-562.065944312,-562.065944312,-562.065944312,-562.065944312,562.065944312,562.065944312,-562.065944312,-562.065944312,562.065944312,-562.065944312,562.065944312,-562.065944312
GC,QGCZ6,1327.2,19.620320953,-0.00294695481284,-1.0,-1.0,-1.0,-1.0,1.0,3.0,2016-07-06,-1.0,1962.0320953,2.0,132720.0,1327.2,-1.0,metal,1.0,3.0,-1.0,-12.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1.0,-1,1,1,-391.119842761,782.239685521,-782.239685521,782.239685521,782.239685521,782.239685521,782.239685521,-782.239685521,-782.239685521,782.239685521,-782.239685521,782.239685521,-782.239685521,782.239685521,-782.239685521
HCM,HHIN6,9048.0,148.367289884,0.00343795053787,1.0,1.0,1.0,1.0,-1.0,-1.0,2016-06-24,-1.0,954.744465148,3.0,58223.9382239,9048.0,1.0,index,-1.0,-1.0,-1.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,1,1.0,1,1,-1,200.171019734,600.513059202,600.513059202,600.513059202,600.513059202,600.513059202,-600.513059202,600.513059202,600.513059202,600.513059202,600.513059202,-600.513059202,600.513059202,600.513059202,-600.513059202
HG,QHGU6,221.7,4.695,-0.00827555356743,-1.0,-1.0,1.0,-1.0,1.0,11.0,2016-07-08,-1.0,1173.75,2.0,55425.0,221.7,1.0,metal,1.0,11.0,1.0,10.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,-1,1,1.0,1,1,-1,-458.672556475,917.34511295,-917.34511295,917.34511295,-917.34511295,917.34511295,-917.34511295,917.34511295,-917.34511295,-917.34511295,-917.34511295,917.34511295,-917.34511295,-917.34511295,917.34511295
HIC,HSIN6,22050.0,321.916386555,0.00263732266279,1.0,1.0,-1.0,1.0,1.0,19.0,2016-06-27,-1.0,2071.53401901,1.0,141891.891892,22050.0,1.0,index,1.0,19.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,-1,1,-1.0,-1,-1,-1,374.214702152,374.214702152,-374.214702152,374.214702152,-374.214702152,374.214702152,374.214702152,-374.214702152,-374.214702152,-374.214702152,-374.214702152,-374.214702152,374.214702152,374.214702152,-374.214702152
HO,QHOU6,1.3502,0.051639562,-0.0233634719711,-1.0,1.0,1.0,1.0,1.0,17.0,2016-06-29,-1.0,2168.861604,1.0,56708.4,1.3502,1.0,energy,1.0,17.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1,1,1.0,1,1,-1,-1324.90511392,1324.90511392,-1324.90511392,-1324.90511392,-1324.90511392,-1324.90511392,-1324.90511392,1324.90511392,-1324.90511392,-1324.90511392,-1324.90511392,1324.90511392,-1324.90511392,-1324.90511392,1324.90511392
JY,@JYU6,0.94685,0.0119225,0.00285971508764,1.0,-1.0,1.0,-1.0,1.0,-11.0,2016-07-08,-1.0,1490.3125,2.0,118356.25,0.94685,-1.0,currency,1.0,-11.0,1.0,-10.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,-1.0,-1,1,1,338.465153842,676.930307684,676.930307684,-676.930307684,676.930307684,-676.930307684,676.930307684,-676.930307684,-676.930307684,-676.930307684,676.930307684,-676.930307684,676.930307684,-676.930307684,676.930307684
KC,@KCU6,141.1,4.3975,-0.00563777307963,-1.0,-1.0,-1.0,-1.0,1.0,5.0,2016-07-18,-1.0,1649.0625,2.0,52912.5,141.1,1.0,soft,1.0,5.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,1.0,-1,1,-1,-298.308668076,596.617336152,-596.617336152,596.617336152,596.617336152,596.617336152,-596.617336152,596.617336152,-596.617336152,596.617336152,-596.617336152,596.617336152,-596.617336152,-596.617336152,596.617336152
KW,@KWU6,423.25,12.525,0.0101431980907,1.0,1.0,-1.0,1.0,-1.0,3.0,2016-07-12,1.0,626.25,4.0,21162.5,423.25,1.0,grain,-1.0,3.0,-1.0,-8.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,1,-1,1.0,1,-1,-1,214.655429594,858.621718377,-858.621718377,858.621718377,-858.621718377,858.621718377,-858.621718377,858.621718377,858.621718377,858.621718377,-858.621718377,858.621718377,-858.621718377,858.621718377,-858.621718377
LB,@LBU6,329.7,7.57,0.00182315405652,1.0,-1.0,-1.0,-1.0,1.0,-15.0,2016-07-01,-1.0,832.7,3.0,36267.0,329.7,1.0,soft,1.0,-15.0,-1.0,-14.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1,1,1.0,-1,1,-1,66.1203281677,198.360984503,198.360984503,-198.360984503,-198.360984503,-198.360984503,-198.360984503,198.360984503,198.360984503,-198.360984503,198.360984503,-198.360984503,198.360984503,198.360984503,-198.360984503
LC,@LEV6,111.075,2.2236029415,0.0277585010409,1.0,1.0,1.0,1.0,1.0,2.0,2016-07-14,1.0,889.4411766,3.0,44430.0,111.075,1.0,meat,1.0,2.0,1.0,-6.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1.0,1,-1,-1,1233.31020125,3699.93060375,-3699.93060375,3699.93060375,3699.93060375,3699.93060375,3699.93060375,-3699.93060375,-3699.93060375,3699.93060375,-3699.93060375,3699.93060375,-3699.93060375,3699.93060375,-3699.93060375
LCO,EBZ6,46.11,1.583,-0.0195619817138,-1.0,-1.0,1.0,-1.0,1.0,8.0,2016-07-13,-1.0,1583.0,2.0,46110.0,46.11,1.0,energy,1.0,8.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,1.0,1,1,-1,-902.002976823,1804.00595365,-1804.00595365,1804.00595365,-1804.00595365,1804.00595365,-1804.00595365,1804.00595365,-1804.00595365,-1804.00595365,-1804.00595365,1804.00595365,-1804.00595365,-1804.00595365,1804.00595365
LGO,GASU6,394.75,15.3606613215,-0.0155860349127,-1.0,-1.0,1.0,-1.0,1.0,-18.0,2016-06-29,-1.0,1536.06613215,2.0,39475.0,394.75,1.0,energy,1.0,-18.0,1.0,-17.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,-1.0,-1,1,-1,-615.25872818,1230.51745636,-1230.51745636,1230.51745636,-1230.51745636,1230.51745636,-1230.51745636,1230.51745636,1230.51745636,1230.51745636,-1230.51745636,1230.51745636,-1230.51745636,-1230.51745636,1230.51745636
LH,@HEV6,64.35,1.379454926,0.00704225352113,1.0,1.0,1.0,-1.0,1.0,2.0,2016-07-14,1.0,551.7819704,4.0,25740.0,64.35,1.0,meat,1.0,2.0,1.0,-6.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,-1,-1,-1.0,-1,-1,-1,181.267605634,725.070422535,-725.070422535,725.070422535,725.070422535,-725.070422535,725.070422535,-725.070422535,-725.070422535,-725.070422535,-725.070422535,725.070422535,-725.070422535,725.070422535,-725.070422535
LRC,LRCU6,1786.0,29.3,-0.00111856823266,-1.0,1.0,-1.0,1.0,1.0,7.0,2016-07-14,-1.0,293.0,7.0,17860.0,1786.0,1.0,soft,1.0,7.0,1.0,6.0,1.0,1.0,7.0,1.0,1.0,7.0,-1.0,2.0,7.0,1.0,2.0,7.0,1.0,-1,1,1.0,1,1,-1,-19.9776286353,139.843400447,-139.843400447,-139.843400447,139.843400447,-139.843400447,-139.843400447,139.843400447,-139.843400447,-139.843400447,-139.843400447,139.843400447,-139.843400447,-139.843400447,139.843400447
LSU,QWV6,537.5,13.175,-0.000557828188918,-1.0,1.0,-1.0,1.0,-1.0,18.0,2016-06-29,-1.0,658.75,4.0,26875.0,537.5,1.0,soft,-1.0,18.0,-1.0,17.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,1.0,4.0,1.0,1,1,-1.0,-1,-1,-1,-14.9916325772,59.9665303087,59.9665303087,-59.9665303087,59.9665303087,-59.9665303087,59.9665303087,-59.9665303087,59.9665303087,59.9665303087,59.9665303087,59.9665303087,-59.9665303087,-59.9665303087,59.9665303087
MEM,@MMEU6,867.1,12.75,-0.00868869326626,-1.0,-1.0,-1.0,-1.0,1.0,-5.0,2016-07-18,1.0,637.5,4.0,43355.0,867.1,1.0,index,1.0,-5.0,-1.0,-4.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,-1,1.0,-1,-1,-1,-376.698296559,1506.79318624,1506.79318624,1506.79318624,1506.79318624,1506.79318624,1506.79318624,-1506.79318624,-1506.79318624,1506.79318624,1506.79318624,-1506.79318624,1506.79318624,-1506.79318624,1506.79318624
MFX,IBQ6,8546.8,165.361165614,-0.00370689856154,-1.0,-1.0,1.0,-1.0,1.0,8.0,2016-07-13,1.0,1817.81529359,2.0,93954.9724,8546.8,1.0,index,1.0,8.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,-1,1.0,1,1,-1,-348.281552039,696.563104078,-696.563104078,696.563104078,-696.563104078,696.563104078,-696.563104078,696.563104078,-696.563104078,-696.563104078,-696.563104078,-696.563104078,696.563104078,-696.563104078,696.563104078
MP,@PXU6,0.05297,0.000806,-0.0126747437092,-1.0,1.0,1.0,1.0,-1.0,-7.0,2016-07-14,1.0,403.0,5.0,26485.0,0.05297,1.0,currency,-1.0,-7.0,-1.0,11.0,-1.0,1.0,5.0,-1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1,-1,-1.0,1,-1,-1,-335.690587139,1678.45293569,1678.45293569,-1678.45293569,-1678.45293569,-1678.45293569,1678.45293569,-1678.45293569,1678.45293569,-1678.45293569,1678.45293569,-1678.45293569,1678.45293569,-1678.45293569,1678.45293569
MW,@MWU6,497.0,10.175,0.00353356890459,1.0,1.0,-1.0,1.0,-1.0,-3.0,2016-07-06,1.0,508.75,4.0,24850.0,497.0,1.0,grain,-1.0,-3.0,-1.0,12.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,1,-1,-1.0,-1,-1,-1,87.8091872792,351.236749117,-351.236749117,351.236749117,-351.236749117,351.236749117,-351.236749117,351.236749117,-351.236749117,-351.236749117,-351.236749117,351.236749117,-351.236749117,351.236749117,-351.236749117
