2016-08-10 00:00:00,Contract,LastClose,ATR20,PC2016-08-10 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,contractValue,Close2016-08-10 00:00:00,RiskOn,group,SEA2016-08-10 00:00:00,SRUN2016-08-10 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-09 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-09 00:00:00,0.5SIG2016-08-08 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-09 00:00:00,0.75SIG2016-08-08 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-09 00:00:00,1SIG2016-08-08 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6
CT,@CTZ6,71.44,1.7445,-0.0220396988364,-1.0,-1.0,-1.0,-1.0,1.0,3.0,2016-07-25,872.25,3.0,1.0,35720.0,71.44,1.0,soft,1.0,3.0,-1.0,1.0,2.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,1,1,-1,1,1.0,-1,-1,1,-1,-1,-1,-1,-1,-2361.77412731,2361.77412731,2361.77412731,-2361.77412731,-2361.77412731,2361.77412731,2361.77412731,2361.77412731,2361.77412731,2361.77412731,-2361.77412731,-2361.77412731,-2361.77412731,2361.77412731,-2361.77412731,2361.77412731,2361.77412731,-2361.77412731,2361.77412731,2361.77412731,2361.77412731,2361.77412731
CU,@EUU6,1.11915,0.007075,0.00593231764865,1.0,1.0,1.0,1.0,1.0,-6.0,2016-08-02,884.375,3.0,1.0,139893.75,1.11915,1.0,currency,1.0,-6.0,1.0,1.0,-5.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,2489.68248618,2489.68248618,2489.68248618,-2489.68248618,2489.68248618,-2489.68248618,2489.68248618,2489.68248618,2489.68248618,2489.68248618,-2489.68248618,-2489.68248618,2489.68248618,-2489.68248618,-2489.68248618,2489.68248618,2489.68248618,-2489.68248618,-2489.68248618,-2489.68248618,2489.68248618,-2489.68248618
DX,@DXU6,95.608,0.5971,-0.00545083843049,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,2016-08-02,597.1,4.0,1.0,95608.0,95.608,-1.0,currency,-1.0,-6.0,-1.0,-1.0,-5.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,,2.0,4.0,-1.0,,2.0,4.0,-1.0,,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,1,-2084.57504265,2084.57504265,2084.57504265,-2084.57504265,2084.57504265,-2084.57504265,2084.57504265,2084.57504265,2084.57504265,2084.57504265,-2084.57504265,-2084.57504265,2084.57504265,-2084.57504265,-2084.57504265,2084.57504265,2084.57504265,-2084.57504265,-2084.57504265,-2084.57504265,2084.57504265,-2084.57504265
EBL,BDU6,167.84,0.6835,0.00238891543239,1.0,1.0,1.0,1.0,1.0,6.0,2016-08-02,763.8796,3.0,1.0,187577.984,167.84,-1.0,rates,1.0,6.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,-1,1.0,-1,1,1,-1,1,-1,-1,1,1344.32382226,1344.32382226,1344.32382226,-1344.32382226,-1344.32382226,1344.32382226,1344.32382226,1344.32382226,1344.32382226,1344.32382226,-1344.32382226,-1344.32382226,1344.32382226,-1344.32382226,1344.32382226,-1344.32382226,1344.32382226,1344.32382226,-1344.32382226,1344.32382226,-1344.32382226,-1344.32382226
EBM,BLU6,133.76,0.2055,0.000897934750075,1.0,1.0,-1.0,1.0,1.0,6.0,2016-08-02,229.6668,9.0,3.0,149490.176,133.76,-1.0,rates,1.0,6.0,1.0,1.0,5.0,1.0,1.0,9.0,1.0,1.0,9.0,-1.0,,1.0,9.0,1.0,,1.0,9.0,1.0,,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,1,1208.09181443,1208.09181443,1208.09181443,-1208.09181443,-1208.09181443,1208.09181443,1208.09181443,1208.09181443,-1208.09181443,1208.09181443,-1208.09181443,-1208.09181443,1208.09181443,-1208.09181443,1208.09181443,-1208.09181443,1208.09181443,-1208.09181443,-1208.09181443,-1208.09181443,-1208.09181443,-1208.09181443
EBS,EZU6,112.035,0.04125,0.000178547515958,1.0,1.0,-1.0,1.0,1.0,6.0,2016-08-02,46.101,44.0,11.0,125210.316,112.035,-1.0,rates,1.0,6.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ED,@EDZ6,99.095,0.0355,0.000403816061784,1.0,-1.0,1.0,-1.0,-1.0,-8.0,2016-07-29,88.75,23.0,6.0,247737.5,99.095,-1.0,rates,-1.0,-8.0,-1.0,-1.0,-7.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,2.0,0.0,-1.0,,2.0,0.0,-1.0,,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,1,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
EMD,@EMDU6,1554.3,12.96,-0.00371771040318,-1.0,-1.0,1.0,-1.0,1.0,-20.0,2016-07-13,1296.0,2.0,1.0,155430.0,1554.3,1.0,index,1.0,-20.0,-1.0,1.0,-19.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,-1,-1155.68745593,1155.68745593,1155.68745593,-1155.68745593,-1155.68745593,1155.68745593,1155.68745593,1155.68745593,-1155.68745593,1155.68745593,-1155.68745593,-1155.68745593,-1155.68745593,1155.68745593,1155.68745593,-1155.68745593,1155.68745593,-1155.68745593,1155.68745593,1155.68745593,-1155.68745593,-1155.68745593
ES,@ESU6,2172.75,14.3375,-0.00218140068886,-1.0,1.0,-1.0,1.0,-1.0,-18.0,2016-07-15,716.875,3.0,1.0,108637.5,2172.75,1.0,index,-1.0,-18.0,1.0,-1.0,-17.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,-710.945752009,710.945752009,-710.945752009,710.945752009,-710.945752009,710.945752009,-710.945752009,-710.945752009,710.945752009,-710.945752009,710.945752009,710.945752009,710.945752009,-710.945752009,-710.945752009,710.945752009,-710.945752009,710.945752009,-710.945752009,-710.945752009,710.945752009,710.945752009
FC,@GFU6,148.5,3.001941385,-0.00235136042996,-1.0,1.0,-1.0,1.0,-1.0,14.0,2016-07-21,1500.9706925,2.0,1.0,74250.0,148.5,1.0,meat,-1.0,14.0,1.0,-1.0,13.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,2.0,2.0,1.0,,2.0,2.0,1.0,,-1,-1,1,-1,-1.0,1,1,-1,1,1,1,-1,-1,-349.17702385,349.17702385,-349.17702385,349.17702385,-349.17702385,349.17702385,-349.17702385,-349.17702385,349.17702385,-349.17702385,349.17702385,349.17702385,349.17702385,-349.17702385,349.17702385,-349.17702385,-349.17702385,349.17702385,-349.17702385,-349.17702385,-349.17702385,349.17702385
FCH,MTQ6,4452.5,55.275,-0.00358061989482,-1.0,1.0,-1.0,1.0,-1.0,-5.0,2016-08-03,617.7534,4.0,1.0,49761.14,4452.5,1.0,index,-1.0,-5.0,1.0,-1.0,-4.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,,2.0,4.0,1.0,,2.0,4.0,1.0,,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,-712.702911492,712.702911492,-712.702911492,712.702911492,-712.702911492,712.702911492,-712.702911492,-712.702911492,712.702911492,-712.702911492,712.702911492,712.702911492,712.702911492,-712.702911492,-712.702911492,712.702911492,-712.702911492,712.702911492,-712.702911492,-712.702911492,712.702911492,712.702911492
FDX,DXMU6,10654.0,137.475,-0.00401981864074,-1.0,-1.0,-1.0,-1.0,-1.0,-19.0,2016-07-14,768.2103,3.0,1.0,59534.552,10654.0,1.0,index,-1.0,-19.0,1.0,-1.0,-18.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,1,1,1,-1,1.0,-1,1,-1,-1,-1,1,-1,-1,-717.954305693,717.954305693,-717.954305693,717.954305693,-717.954305693,717.954305693,-717.954305693,717.954305693,717.954305693,717.954305693,-717.954305693,-717.954305693,717.954305693,-717.954305693,-717.954305693,717.954305693,-717.954305693,717.954305693,717.954305693,717.954305693,-717.954305693,717.954305693
FEI,IEZ6,100.34,0.01,9.96710854182e-05,1.0,-1.0,-1.0,-1.0,1.0,-14.0,2016-07-21,27.94,72.0,18.0,280349.96,100.34,-1.0,rates,1.0,-14.0,-1.0,1.0,-13.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,1,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
FFI,LFU6,6812.5,61.4,0.00124926513815,1.0,1.0,-1.0,1.0,1.0,-2.0,2016-07-26,798.9982,3.0,1.0,88651.0625,6812.5,1.0,index,1.0,-2.0,1.0,1.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,332.246045525,332.246045525,332.246045525,-332.246045525,332.246045525,-332.246045525,332.246045525,332.246045525,-332.246045525,332.246045525,-332.246045525,-332.246045525,332.246045525,-332.246045525,-332.246045525,332.246045525,332.246045525,-332.246045525,-332.246045525,-332.246045525,332.246045525,-332.246045525
FLG,LGU6,132.52,0.707,0.00173860458085,1.0,1.0,-1.0,1.0,1.0,6.0,2016-08-02,920.0191,3.0,1.0,172448.276,132.52,-1.0,rates,1.0,6.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,1,899.458087837,899.458087837,899.458087837,-899.458087837,-899.458087837,899.458087837,899.458087837,899.458087837,-899.458087837,899.458087837,-899.458087837,-899.458087837,899.458087837,-899.458087837,899.458087837,-899.458087837,899.458087837,-899.458087837,-899.458087837,-899.458087837,-899.458087837,-899.458087837
FSS,LLZ6,99.77,0.03,0.0,1.0,1.0,1.0,1.0,1.0,5.0,2016-08-03,48.79875,41.0,11.0,162288.37625,99.77,-1.0,rates,1.0,5.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,-1,-1,-1,-1,1.0,-1,1,1,-1,1,-1,-1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
FV,@FVU6,121.84375,0.30859375,0.00166987797046,1.0,1.0,1.0,1.0,1.0,-4.0,2016-08-04,308.59375,7.0,2.0,121843.75,121.84375,-1.0,rates,1.0,-4.0,1.0,1.0,-3.0,1.0,1.0,7.0,1.0,2.0,7.0,1.0,,1.0,7.0,1.0,,1.0,7.0,1.0,,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,1,1424.24935774,1424.24935774,1424.24935774,-1424.24935774,-1424.24935774,1424.24935774,1424.24935774,1424.24935774,1424.24935774,1424.24935774,-1424.24935774,-1424.24935774,1424.24935774,-1424.24935774,-1424.24935774,1424.24935774,1424.24935774,-1424.24935774,-1424.24935774,-1424.24935774,1424.24935774,-1424.24935774
GC,QGCZ6,1351.9,16.3601405825,0.00386129056211,1.0,-1.0,1.0,-1.0,1.0,-6.0,2016-08-02,1636.01405825,2.0,1.0,135190.0,1351.9,-1.0,metal,1.0,-6.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,1,1,-1,-1,1.0,-1,-1,1,-1,-1,1,-1,1,1044.01574218,1044.01574218,1044.01574218,-1044.01574218,-1044.01574218,1044.01574218,1044.01574218,-1044.01574218,1044.01574218,-1044.01574218,1044.01574218,1044.01574218,1044.01574218,-1044.01574218,1044.01574218,-1044.01574218,-1044.01574218,1044.01574218,-1044.01574218,-1044.01574218,1044.01574218,-1044.01574218
HCM,HHIQ6,9316.0,127.371303051,0.000967014075427,1.0,-1.0,-1.0,-1.0,-1.0,-6.0,2016-08-01,819.635154768,3.0,1.0,59948.5199485,9316.0,1.0,index,-1.0,-6.0,1.0,-1.0,-5.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,1,1,1,-1,1.0,-1,1,-1,-1,-1,1,-1,-1,173.913187774,173.913187774,173.913187774,-173.913187774,173.913187774,-173.913187774,173.913187774,-173.913187774,-173.913187774,-173.913187774,173.913187774,173.913187774,-173.913187774,173.913187774,173.913187774,-173.913187774,173.913187774,-173.913187774,-173.913187774,-173.913187774,173.913187774,-173.913187774
HG,QHGU6,217.1,4.0575,0.00976744186047,1.0,-1.0,-1.0,1.0,-1.0,8.0,2016-07-29,1014.375,2.0,1.0,54275.0,217.1,1.0,metal,-1.0,8.0,-1.0,-1.0,7.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,1.0,2.0,-1.0,,1.0,2.0,1.0,,-1,1,1,1,-1.0,1,1,-1,1,1,-1,1,-1,1060.25581395,1060.25581395,-1060.25581395,1060.25581395,1060.25581395,-1060.25581395,-1060.25581395,-1060.25581395,-1060.25581395,1060.25581395,-1060.25581395,1060.25581395,-1060.25581395,1060.25581395,-1060.25581395,1060.25581395,1060.25581395,-1060.25581395,1060.25581395,1060.25581395,-1060.25581395,1060.25581395
HIC,HSIQ6,22420.0,273.934489796,-0.000401266217843,-1.0,-1.0,-1.0,1.0,-1.0,24.0,2016-07-06,1762.77020461,2.0,1.0,144272.844273,22420.0,1.0,index,-1.0,24.0,-1.0,-1.0,23.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,1.0,2.0,-1.0,,2.0,2.0,1.0,,-1,1,1,1,-1.0,1,1,-1,1,1,-1,1,-1,-115.783637118,115.783637118,115.783637118,-115.783637118,-115.783637118,115.783637118,115.783637118,115.783637118,115.783637118,-115.783637118,115.783637118,-115.783637118,115.783637118,-115.783637118,115.783637118,-115.783637118,-115.783637118,115.783637118,-115.783637118,-115.783637118,115.783637118,-115.783637118
HO,QHOU6,1.3184,0.03889,-0.00924325542947,-1.0,1.0,1.0,1.0,1.0,7.0,2016-08-01,1633.38,2.0,1.0,55372.8,1.3184,1.0,energy,1.0,7.0,-1.0,1.0,6.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,-1,-1,-1,1,1.0,-1,-1,1,1,1,-1,1,-1,-1023.64986849,1023.64986849,1023.64986849,-1023.64986849,-1023.64986849,1023.64986849,1023.64986849,-1023.64986849,-1023.64986849,-1023.64986849,1023.64986849,1023.64986849,-1023.64986849,1023.64986849,-1023.64986849,1023.64986849,1023.64986849,-1023.64986849,-1023.64986849,-1023.64986849,1023.64986849,-1023.64986849
JY,@JYU6,0.98845,0.01183,0.00559540159723,1.0,-1.0,-1.0,-1.0,1.0,2.0,2016-08-02,1478.75,2.0,1.0,123556.25,0.98845,-1.0,currency,1.0,2.0,1.0,1.0,-5.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,1.0,2.0,-1.0,,1.0,2.0,-1.0,,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1,1382.6936772,1382.6936772,1382.6936772,-1382.6936772,-1382.6936772,1382.6936772,1382.6936772,-1382.6936772,-1382.6936772,-1382.6936772,1382.6936772,1382.6936772,1382.6936772,-1382.6936772,-1382.6936772,1382.6936772,-1382.6936772,-1382.6936772,-1382.6936772,-1382.6936772,1382.6936772,-1382.6936772
KC,@KCZ6,142.35,4.094677533,-0.0165803108808,-1.0,1.0,1.0,1.0,1.0,-8.0,2016-07-29,1535.50407488,2.0,1.0,53381.25,142.35,1.0,soft,1.0,-8.0,1.0,1.0,-7.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,-1770.15544041,1770.15544041,-1770.15544041,1770.15544041,-1770.15544041,1770.15544041,-1770.15544041,-1770.15544041,-1770.15544041,-1770.15544041,1770.15544041,1770.15544041,-1770.15544041,1770.15544041,1770.15544041,-1770.15544041,-1770.15544041,1770.15544041,1770.15544041,1770.15544041,-1770.15544041,1770.15544041
KW,@KWU6,411.75,10.125,0.00426829268293,1.0,1.0,1.0,1.0,1.0,-8.0,2016-07-29,506.25,4.0,1.0,20587.5,411.75,1.0,grain,1.0,-8.0,1.0,1.0,-7.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,,2.0,4.0,1.0,,2.0,4.0,1.0,,-1,-1,-1,-1,-1.0,1,1,-1,-1,-1,1,-1,-1,351.493902439,351.493902439,351.493902439,-351.493902439,351.493902439,-351.493902439,351.493902439,351.493902439,351.493902439,351.493902439,-351.493902439,-351.493902439,351.493902439,-351.493902439,-351.493902439,351.493902439,351.493902439,-351.493902439,-351.493902439,-351.493902439,351.493902439,-351.493902439
