2016-07-28 00:00:00,Contract,LastClose,ATR20,PC2016-07-28 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-28 00:00:00,RiskOn,group,SEA2016-07-28 00:00:00,SRUN2016-07-28 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-27 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-27 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-27 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-27 00:00:00,AntiSEA,AntiPrevACT,AdjSEA,Voting,Voting2,Voting3,Voting4,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
HG,QHGU6,220.9,4.6525,0.0109839816934,1.0,1.0,-1.0,1.0,-1.0,-7.0,2016-07-19,-1.0,1163.125,2.0,55225.0,220.9,1.0,metal,-1.0,-7.0,-1.0,-6.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,1,1.0,1,1,1,1,-1,606.590389016,1213.18077803,1213.18077803,1213.18077803,-1213.18077803,1213.18077803,-1213.18077803,1213.18077803,1213.18077803,1213.18077803,1213.18077803,1213.18077803,-1213.18077803,1213.18077803,1213.18077803,-1213.18077803
HIC,HSIN6,22143.0,295.05,-0.00112775171418,-1.0,1.0,-1.0,1.0,-1.0,22.0,2016-06-27,1.0,1898.64864865,2.0,142490.34749,22143.0,1.0,index,-1.0,22.0,-1.0,21.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,-1,-1.0,1,-1,-1,-1,-1,-160.693733637,321.387467273,321.387467273,-321.387467273,321.387467273,-321.387467273,321.387467273,-321.387467273,321.387467273,-321.387467273,321.387467273,321.387467273,-321.387467273,321.387467273,-321.387467273,321.387467273
HO,QHOU6,1.2992,0.047210554,-0.0179151863331,-1.0,-1.0,-1.0,-1.0,1.0,20.0,2016-06-29,-1.0,1982.843268,2.0,54566.4,1.2992,1.0,energy,1.0,20.0,1.0,19.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,1.0,-1,1,1,1,-1,-977.567223524,1955.13444705,-1955.13444705,1955.13444705,1955.13444705,1955.13444705,-1955.13444705,1955.13444705,-1955.13444705,1955.13444705,-1955.13444705,-1955.13444705,1955.13444705,-1955.13444705,-1955.13444705,1955.13444705
JY,@JYU6,0.95025,0.0126775,-0.000210426640013,-1.0,-1.0,-1.0,-1.0,1.0,6.0,2016-07-20,-1.0,1584.6875,2.0,118781.25,0.95025,-1.0,currency,1.0,6.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,1.0,-1,1,1,1,1,-24.994739334,49.989478668,-49.989478668,49.989478668,49.989478668,49.989478668,-49.989478668,49.989478668,-49.989478668,49.989478668,-49.989478668,-49.989478668,49.989478668,-49.989478668,49.989478668,-49.989478668
KC,@KCU6,142.15,4.06,0.00672804532578,1.0,-1.0,1.0,-1.0,1.0,-10.0,2016-07-14,-1.0,1522.5,2.0,53306.25,142.15,1.0,soft,1.0,-10.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,1.0,-1,1,1,1,-1,358.646866147,717.293732295,717.293732295,-717.293732295,717.293732295,-717.293732295,717.293732295,-717.293732295,717.293732295,-717.293732295,717.293732295,717.293732295,-717.293732295,717.293732295,717.293732295,-717.293732295
KW,@KWU6,409.0,11.9625,-0.00848484848485,-1.0,-1.0,1.0,-1.0,1.0,-3.0,2016-07-20,1.0,598.125,4.0,20450.0,409.0,1.0,grain,1.0,-3.0,1.0,5.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,-1,-1,1.0,-1,1,-1,-1,-1,-173.515151515,694.060606061,-694.060606061,694.060606061,-694.060606061,694.060606061,-694.060606061,694.060606061,-694.060606061,694.060606061,-694.060606061,694.060606061,-694.060606061,694.060606061,-694.060606061,694.060606061
LB,@LBU6,325.7,7.135,-0.00791958574475,-1.0,-1.0,-1.0,-1.0,1.0,-18.0,2016-07-01,-1.0,784.85,3.0,35827.0,325.7,1.0,soft,1.0,-18.0,1.0,-17.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,-1,1,-1.0,-1,-1,1,-1,-1,-283.734998477,851.204995431,851.204995431,851.204995431,851.204995431,851.204995431,-851.204995431,851.204995431,851.204995431,851.204995431,851.204995431,-851.204995431,851.204995431,-851.204995431,-851.204995431,851.204995431
LC,@LEV6,112.1,2.2544728985,-0.00840336134454,-1.0,1.0,-1.0,1.0,-1.0,5.0,2016-07-21,1.0,901.7891594,3.0,44840.0,112.1,1.0,meat,-1.0,5.0,-1.0,4.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,-1,-1.0,1,-1,-1,-1,-1,-376.806722689,1130.42016807,1130.42016807,-1130.42016807,1130.42016807,-1130.42016807,1130.42016807,-1130.42016807,1130.42016807,-1130.42016807,1130.42016807,1130.42016807,-1130.42016807,1130.42016807,-1130.42016807,1130.42016807
LCO,EBZ6,44.17,1.472,-0.0164773992429,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,2016-07-13,-1.0,1472.0,2.0,44170.0,44.17,1.0,energy,-1.0,11.0,1.0,10.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,1.0,-1,1,1,1,-1,-727.80672456,1455.61344912,-1455.61344912,1455.61344912,1455.61344912,1455.61344912,-1455.61344912,1455.61344912,-1455.61344912,1455.61344912,-1455.61344912,-1455.61344912,1455.61344912,-1455.61344912,-1455.61344912,1455.61344912
LGO,GASU6,379.75,14.185918585,-0.0218931101095,-1.0,-1.0,1.0,-1.0,1.0,-21.0,2016-06-29,-1.0,1418.5918585,2.0,37975.0,379.75,1.0,energy,1.0,-21.0,1.0,-20.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1,-1.0,-1,1,1,1,-1,-831.390856407,1662.78171281,-1662.78171281,1662.78171281,-1662.78171281,1662.78171281,-1662.78171281,1662.78171281,1662.78171281,1662.78171281,-1662.78171281,-1662.78171281,1662.78171281,-1662.78171281,-1662.78171281,1662.78171281
