2016-07-18 00:00:00,Contract,LastClose,ATR20,PC2016-07-18 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-18 00:00:00,RiskOn,group,SEA2016-07-18 00:00:00,SRUN2016-07-18 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-07-15 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-15 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-15 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-15 00:00:00,AntiSEA,AdjSEA,Voting,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_Voting,PNL_prevACT,PNL_RiskOn,PNL_RiskOff
EBL,BDU6,166.36,0.999,0.00180657593641,1.0,1.0,1.0,-1.0,1.0,-6.0,2016-07-08,-1.0,1106.4924,2.0,184260.336,166.36,-1.0,rates,1.0,-6.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,-1.0,-1,-1.0,1,1,332.880289052,665.760578104,665.760578104,665.760578104,665.760578104,-665.760578104,665.760578104,-665.760578104,-665.760578104,665.760578104,-665.760578104,-665.760578104,665.760578104
EBM,BLU6,133.6,0.272,0.000599161174356,1.0,-1.0,-1.0,-1.0,1.0,-6.0,2016-07-08,-1.0,301.2672,7.0,147975.36,133.6,-1.0,rates,1.0,-6.0,-1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,2.0,7.0,-1.0,2.0,7.0,-1.0,-1,-1.0,-1,1,88.6610904733,620.627633313,-620.627633313,-620.627633313,-620.627633313,-620.627633313,620.627633313,-620.627633313,-620.627633313,-620.627633313,-620.627633313,-620.627633313,620.627633313
EBS,EZU6,112.065,0.06975,8.92418901433e-05,1.0,-1.0,1.0,-1.0,1.0,-5.0,2016-07-11,-1.0,77.2551,26.0,124123.194,112.065,-1.0,rates,1.0,-5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,-1,-1.0,-1,1,11.0769884432,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
ED,@EDZ6,99.175,0.04375,0.0,1.0,1.0,1.0,-1.0,1.0,-14.0,2016-06-27,-1.0,109.375,19.0,247937.5,99.175,-1.0,rates,1.0,-14.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,-1,-1.0,1,1,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
EMD,@EMDU6,1542.0,25.705,0.000583998442671,1.0,-1.0,-1.0,1.0,-1.0,-3.0,2016-06-27,1.0,2570.5,1.0,154200.0,1542.0,1.0,index,-1.0,-3.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,1,1.0,1,-1,90.0525598599,90.0525598599,-90.0525598599,-90.0525598599,-90.0525598599,90.0525598599,-90.0525598599,90.0525598599,90.0525598599,90.0525598599,90.0525598599,90.0525598599,-90.0525598599
ES,@ESU6,2160.0,30.3125,0.00336778539078,1.0,-1.0,-1.0,1.0,-1.0,14.0,2016-06-27,-1.0,1515.625,2.0,108000.0,2160.0,1.0,index,-1.0,14.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,1,-1.0,-1,-1,363.720822204,727.441644408,-727.441644408,-727.441644408,-727.441644408,727.441644408,-727.441644408,727.441644408,-727.441644408,-727.441644408,-727.441644408,727.441644408,-727.441644408
FC,@GFQ6,141.175,3.045,0.0114633709475,1.0,-1.0,-1.0,-1.0,-1.0,-8.0,2016-07-06,-1.0,1522.5,2.0,70587.5,141.175,1.0,meat,-1.0,-8.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1.0,-1,-1,809.170696758,1618.34139352,-1618.34139352,-1618.34139352,-1618.34139352,-1618.34139352,-1618.34139352,1618.34139352,1618.34139352,-1618.34139352,-1618.34139352,1618.34139352,-1618.34139352
FCH,MTQ6,4357.0,109.663262456,-0.00354488279017,-1.0,1.0,-1.0,1.0,-1.0,-8.0,2016-07-06,-1.0,1214.63029496,2.0,48258.132,4357.0,1.0,index,-1.0,-8.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,1.0,-1,-1,-171.069421612,342.138843225,342.138843225,-342.138843225,342.138843225,-342.138843225,342.138843225,-342.138843225,-342.138843225,342.138843225,342.138843225,-342.138843225,342.138843225
FDX,DXMU6,10068.5,238.375,0.00189064132544,1.0,1.0,1.0,1.0,-1.0,-2.0,2016-07-06,-1.0,1320.12075,2.0,55759.353,10068.5,1.0,index,-1.0,-2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,1.0,1,-1,105.420937062,210.841874123,210.841874123,210.841874123,210.841874123,210.841874123,-210.841874123,210.841874123,210.841874123,210.841874123,-210.841874123,210.841874123,-210.841874123
FEI,IEZ6,100.345,0.026,4.98305760415e-05,1.0,1.0,1.0,-1.0,1.0,-6.0,2016-07-08,-1.0,71.994,28.0,277855.305,100.345,-1.0,rates,1.0,-6.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,-1,-1.0,1,1,13.8456899043,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
FFI,LFU6,6652.5,150.125,0.00642965204236,1.0,1.0,-1.0,1.0,-1.0,-2.0,2016-06-29,1.0,1990.207125,2.0,88192.1925,6652.5,1.0,index,-1.0,-2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,1,1.0,1,-1,567.045110628,1134.09022126,-1134.09022126,1134.09022126,-1134.09022126,1134.09022126,-1134.09022126,1134.09022126,1134.09022126,1134.09022126,1134.09022126,1134.09022126,-1134.09022126
FLG,LGU6,129.55,0.976,0.00185600494935,1.0,1.0,-1.0,1.0,1.0,-4.0,2016-07-12,-1.0,1293.8832,2.0,171744.435,129.55,-1.0,rates,1.0,-4.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1.0,1,1,318.758521383,637.517042765,-637.517042765,637.517042765,-637.517042765,637.517042765,637.517042765,-637.517042765,-637.517042765,637.517042765,-637.517042765,-637.517042765,637.517042765
FSS,LLZ6,99.68,0.0565,-0.000100310963988,-1.0,1.0,-1.0,1.0,-1.0,4.0,2016-07-12,1.0,93.6275625,22.0,165182.22,99.68,-1.0,rates,-1.0,4.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,1,-1.0,-1,1,-16.5695877219,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
FV,@FVU6,121.46875,0.451953125,0.000836820083682,1.0,1.0,1.0,-1.0,1.0,-9.0,2016-07-05,-1.0,451.953125,5.0,121468.75,121.46875,-1.0,rates,1.0,-9.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,5.0,-1.0,-1,-1.0,1,1,101.64748954,508.237447699,508.237447699,508.237447699,508.237447699,-508.237447699,508.237447699,-508.237447699,-508.237447699,508.237447699,-508.237447699,-508.237447699,508.237447699
GC,QGCQ6,1329.3,24.56,0.0014313695947,1.0,-1.0,-1.0,-1.0,-1.0,-8.0,2016-07-06,-1.0,2456.0,1.0,132930.0,1329.3,-1.0,metal,-1.0,-8.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,1,1.0,-1,1,190.271960223,190.271960223,-190.271960223,-190.271960223,-190.271960223,-190.271960223,-190.271960223,190.271960223,190.271960223,-190.271960223,-190.271960223,-190.271960223,190.271960223
HCM,HHIN6,9063.0,187.298698863,-0.00110217127742,-1.0,1.0,-1.0,1.0,1.0,15.0,2016-06-24,1.0,1205.26833245,2.0,58320.4633205,9063.0,1.0,index,1.0,15.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1.0,1,-1,-64.2791395574,128.558279115,128.558279115,-128.558279115,128.558279115,-128.558279115,-128.558279115,128.558279115,-128.558279115,-128.558279115,-128.558279115,-128.558279115,128.558279115
HG,QHGU6,223.7,5.1500696555,0.00156704723528,1.0,-1.0,1.0,-1.0,1.0,6.0,2016-07-08,-1.0,1287.51741387,2.0,55925.0,223.7,1.0,metal,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1.0,1,-1,87.6371166331,175.274233266,175.274233266,-175.274233266,175.274233266,-175.274233266,175.274233266,-175.274233266,175.274233266,175.274233266,-175.274233266,175.274233266,-175.274233266
HIC,HSIN6,21760.0,410.285242518,0.00133449910266,1.0,1.0,-1.0,1.0,1.0,14.0,2016-06-27,1.0,2640.18817579,1.0,140025.740026,21760.0,1.0,index,1.0,14.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,-1,1.0,1,-1,186.864224414,186.864224414,-186.864224414,186.864224414,-186.864224414,186.864224414,186.864224414,-186.864224414,186.864224414,186.864224414,186.864224414,186.864224414,-186.864224414
HO,QHOU6,1.4039,0.054959765,-0.0132836660107,-1.0,-1.0,1.0,-1.0,-1.0,12.0,2016-06-29,-1.0,2308.31013,1.0,58963.8,1.4039,1.0,energy,-1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,1,-1.0,-1,-1,-783.255425921,783.255425921,-783.255425921,783.255425921,-783.255425921,783.255425921,783.255425921,-783.255425921,783.255425921,783.255425921,783.255425921,-783.255425921,783.255425921
JY,@JYU6,0.9446,0.0153525,-0.00557953468786,-1.0,1.0,1.0,-1.0,1.0,-6.0,2016-07-08,-1.0,1919.0625,2.0,118075.0,0.9446,-1.0,currency,1.0,-6.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,-1,-1.0,-1,1,-658.803558269,1317.60711654,-1317.60711654,-1317.60711654,-1317.60711654,1317.60711654,-1317.60711654,1317.60711654,1317.60711654,1317.60711654,1317.60711654,1317.60711654,-1317.60711654
KC,@KCU6,149.45,4.3725,0.0128769908506,1.0,-1.0,1.0,-1.0,1.0,14.0,2016-06-27,-1.0,1639.6875,2.0,56043.75,149.45,1.0,soft,1.0,14.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1.0,1,-1,721.674855981,1443.34971196,1443.34971196,-1443.34971196,1443.34971196,-1443.34971196,1443.34971196,-1443.34971196,1443.34971196,1443.34971196,-1443.34971196,1443.34971196,-1443.34971196
KW,@KWU6,420.0,12.15,0.0151057401813,1.0,1.0,1.0,-1.0,1.0,27.0,2016-06-08,-1.0,607.5,4.0,21000.0,420.0,1.0,grain,1.0,27.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,-1,1.0,1,-1,317.220543807,1268.88217523,1268.88217523,1268.88217523,1268.88217523,-1268.88217523,1268.88217523,-1268.88217523,1268.88217523,1268.88217523,-1268.88217523,1268.88217523,-1268.88217523
LB,@LBU6,328.3,7.405,-0.023497917906,-1.0,1.0,-1.0,1.0,-1.0,-10.0,2016-07-01,1.0,814.55,3.0,36113.0,328.3,1.0,soft,-1.0,-10.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,1.0,1,-1,-848.58030934,2545.74092802,2545.74092802,-2545.74092802,2545.74092802,-2545.74092802,2545.74092802,-2545.74092802,-2545.74092802,-2545.74092802,-2545.74092802,-2545.74092802,2545.74092802
LC,@LEV6,110.625,2.141538202,0.00705507510241,1.0,1.0,1.0,-1.0,1.0,4.0,2016-07-12,-1.0,856.6152808,3.0,44250.0,110.625,1.0,meat,1.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,-1.0,-1,1.0,1,-1,312.187073282,936.561219845,936.561219845,936.561219845,936.561219845,-936.561219845,936.561219845,-936.561219845,936.561219845,936.561219845,-936.561219845,936.561219845,-936.561219845
LCO,EBZ6,48.4,1.7665,-0.0142566191446,-1.0,-1.0,1.0,-1.0,1.0,3.0,2016-06-29,1.0,1766.5,2.0,48400.0,48.4,1.0,energy,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,1.0,1,-1,-690.020366599,1380.0407332,-1380.0407332,1380.0407332,-1380.0407332,1380.0407332,-1380.0407332,1380.0407332,-1380.0407332,-1380.0407332,-1380.0407332,-1380.0407332,1380.0407332
LGO,GASQ6,401.75,16.1,-0.0272397094431,-1.0,-1.0,-1.0,-1.0,1.0,-13.0,2016-06-29,1.0,1610.0,2.0,40175.0,401.75,1.0,energy,1.0,-13.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,-1,-1.0,-1,-1,-1094.35532688,2188.71065375,2188.71065375,2188.71065375,2188.71065375,2188.71065375,-2188.71065375,2188.71065375,2188.71065375,2188.71065375,-2188.71065375,-2188.71065375,2188.71065375
LH,@HEV6,65.375,1.3081019105,-0.0094696969697,-1.0,-1.0,1.0,-1.0,1.0,-2.0,2016-06-20,-1.0,523.2407642,4.0,26150.0,65.375,1.0,meat,1.0,-2.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,-1,-1.0,-1,-1,-247.632575758,990.53030303,-990.53030303,990.53030303,-990.53030303,990.53030303,-990.53030303,990.53030303,990.53030303,990.53030303,990.53030303,-990.53030303,990.53030303
LRC,LRCU6,1814.0,31.25,-0.00274876305662,-1.0,1.0,1.0,1.0,-1.0,-3.0,2016-07-07,-1.0,312.5,7.0,18140.0,1814.0,1.0,soft,-1.0,-3.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,2.0,7.0,1.0,2.0,7.0,1.0,1,1.0,1,-1,-49.8625618472,349.03793293,-349.03793293,-349.03793293,-349.03793293,-349.03793293,349.03793293,-349.03793293,-349.03793293,-349.03793293,349.03793293,-349.03793293,349.03793293
LSU,QWV6,534.0,13.53,0.00546036527961,1.0,1.0,1.0,1.0,-1.0,-13.0,2016-06-29,-1.0,676.5,3.0,26700.0,534.0,1.0,soft,-1.0,-13.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1,1.0,1,-1,145.791752966,437.375258897,437.375258897,437.375258897,437.375258897,437.375258897,-437.375258897,437.375258897,437.375258897,437.375258897,-437.375258897,437.375258897,-437.375258897
MEM,@MMEU6,876.5,19.355,0.00886279926335,1.0,1.0,-1.0,1.0,-1.0,-2.0,2016-06-27,-1.0,967.75,3.0,43825.0,876.5,1.0,index,-1.0,-2.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,1,1.0,1,-1,388.412177716,1165.23653315,-1165.23653315,1165.23653315,-1165.23653315,1165.23653315,-1165.23653315,1165.23653315,1165.23653315,1165.23653315,-1165.23653315,1165.23653315,-1165.23653315
MFX,IBQ6,8512.0,269.059577201,0.00185965490455,1.0,1.0,1.0,1.0,1.0,-8.0,2016-07-06,-1.0,2980.10387707,1.0,94278.912,8512.0,1.0,index,1.0,-8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,-1,-1.0,1,-1,175.326241096,175.326241096,175.326241096,175.326241096,175.326241096,175.326241096,175.326241096,-175.326241096,-175.326241096,175.326241096,-175.326241096,175.326241096,-175.326241096
MP,@PXU6,0.05404,0.0010105,0.0037147102526,1.0,1.0,1.0,1.0,-1.0,7.0,2016-07-07,-1.0,505.25,4.0,27020.0,0.05404,1.0,currency,-1.0,7.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1,-1.0,1,-1,100.371471025,401.485884101,401.485884101,401.485884101,401.485884101,401.485884101,-401.485884101,401.485884101,-401.485884101,401.485884101,-401.485884101,401.485884101,-401.485884101
MW,@MWU6,498.0,10.1,0.00251635631605,1.0,-1.0,1.0,-1.0,-1.0,8.0,2016-07-06,-1.0,505.0,4.0,24900.0,498.0,1.0,grain,-1.0,8.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,-1.0,-1,-1,62.6572722698,250.629089079,250.629089079,-250.629089079,250.629089079,-250.629089079,-250.629089079,250.629089079,-250.629089079,-250.629089079,-250.629089079,250.629089079,-250.629089079
NE,@NEU6,0.7088,0.010185,-0.00393479482856,-1.0,-1.0,1.0,-1.0,1.0,-4.0,2016-07-12,-1.0,1018.5,2.0,70880.0,0.7088,1.0,currency,1.0,-4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,-1,-1.0,-1,-1,-278.898257448,557.796514896,-557.796514896,557.796514896,-557.796514896,557.796514896,-557.796514896,557.796514896,557.796514896,557.796514896,557.796514896,-557.796514896,557.796514896
NG,QNGU6,2.692,0.10145,-0.0131964809384,-1.0,1.0,1.0,1.0,-1.0,10.0,2016-07-01,1.0,1014.5,2.0,26920.0,2.692,1.0,energy,-1.0,10.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,-1.0,1,-1,-355.249266862,710.498533724,-710.498533724,-710.498533724,-710.498533724,-710.498533724,710.498533724,-710.498533724,710.498533724,-710.498533724,-710.498533724,-710.498533724,710.498533724
NIY,@NKDU6,16610.0,452.25,0.00758265089475,1.0,1.0,-1.0,1.0,-1.0,13.0,2016-06-28,-1.0,2130.44092708,1.0,78245.713209,16610.0,1.0,index,-1.0,13.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,1,-1.0,-1,-1,593.309927275,593.309927275,-593.309927275,593.309927275,-593.309927275,593.309927275,-593.309927275,593.309927275,-593.309927275,-593.309927275,-593.309927275,593.309927275,-593.309927275
NQ,@NQU6,4608.25,70.15,0.00633291477862,1.0,1.0,-1.0,1.0,-1.0,14.0,2016-06-27,-1.0,1403.0,2.0,92165.0,4608.25,1.0,index,-1.0,14.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,-1.0,-1,-1,583.673090572,1167.34618114,-1167.34618114,1167.34618114,-1167.34618114,1167.34618114,-1167.34618114,1167.34618114,-1167.34618114,-1167.34618114,-1167.34618114,1167.34618114,-1167.34618114
O,@OZ6,204.75,6.1,0.00614250614251,1.0,1.0,1.0,1.0,-1.0,-8.0,2016-07-06,-1.0,305.0,7.0,10237.5,204.75,1.0,grain,-1.0,-8.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,1.0,7.0,1.0,1,1.0,1,-1,62.8839066339,440.187346437,440.187346437,440.187346437,440.187346437,440.187346437,-440.187346437,440.187346437,440.187346437,440.187346437,-440.187346437,440.187346437,-440.187346437
OJ,@OJU6,184.45,5.27,0.00326353005167,1.0,1.0,1.0,-1.0,-1.0,4.0,2016-07-12,-1.0,790.5,3.0,27667.5,184.45,1.0,soft,-1.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,-1.0,1,-1.0,-1,-1,90.2937177047,270.881153114,270.881153114,270.881153114,270.881153114,-270.881153114,-270.881153114,270.881153114,-270.881153114,-270.881153114,-270.881153114,270.881153114,-270.881153114
