2017-10-03 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-10-03 00:00:00,Close2017-10-03 00:00:00,group,RiskOn,Custom,PC2017-10-02 00:00:00,Close2017-10-02 00:00:00,PC2017-09-29 00:00:00,Close2017-09-29 00:00:00,vSTART,LastSEA,SEA2017-10-03 00:00:00,LastSRUN,SRUN2017-10-03 00:00:00,SEA2017-10-02 00:00:00,SRUN2017-10-02 00:00:00,SEA2017-09-29 00:00:00,SRUN2017-09-29 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-10-02 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-10-02 00:00:00,0.5SIG2017-09-29 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-10-02 00:00:00,0.75SIG2017-09-29 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-10-02 00:00:00,1SIG2017-09-29 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
CT,@CTZ7,67.52,1.2725,-0.000739973360959,-1.0,1.0,1.0,1.0,1.0,11.0,2017-09-15,636.25,1.0,1.0,1.0,33760.0,1.0,-0.000739973360959,67.52,soft,1.0,1.0,,,,,2017-09-15,1.0,1.0,12.0,12.0,,,,,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1.0,1.0,0.0,1.0,0.0,0.0,-1,0,-1.0,-1,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
CU,@EUZ7,1.17965,0.0086163425,0.000381614654003,1.0,-1.0,-1.0,-1.0,-1.0,-16.0,2017-09-08,1077.0428125,1.0,1.0,1.0,147456.25,1.0,0.000381614654003,1.17965,currency,1.0,1.0,,,,,2017-09-08,-1.0,-1.0,-17.0,-17.0,,,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,56.2714658243,56.2714658243,-56.2714658243,56.2714658243,56.2714658243,-56.2714658243,56.2714658243,-56.2714658243,56.2714658243,-56.2714658243,-56.2714658243,-56.2714658243,56.2714658243,56.2714658243,56.2714658243,-56.2714658243,-56.2714658243,56.2714658243,56.2714658243,-56.2714658243,-56.2714658243,56.2714658243,56.2714658243,56.2714658243,56.2714658243,56.2714658243,56.2714658243,56.2714658243,56.2714658243,56.2714658243,56.2714658243,56.2714658243,0.0,0.0,56.2714658243
DX,@DXZ7,93.414,0.5824884295,9.63545848722e-05,1.0,-1.0,-1.0,1.0,1.0,-16.0,2017-09-08,582.4884295,1.0,1.0,1.0,93414.0,1.0,9.63545848722e-05,93.414,currency,-1.0,-1.0,,,,,2017-09-08,1.0,1.0,-17.0,-17.0,,,,,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,1.0,0.0,-1.0,,2.0,0.0,1.0,,0,1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1,-1,-1.0,0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
EBL,BDZ7,161.12,0.62,-0.000620270437911,-1.0,1.0,-1.0,1.0,-1.0,2.0,2017-09-07,728.376,1.0,1.0,1.0,189283.776,0.851208716377,-0.000620270437911,161.12,rates,-1.0,1.0,,,,,2017-09-07,-1.0,-1.0,3.0,3.0,,,,,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
EBM,BLZ7,131.27,0.235,-7.6173065204e-05,-1.0,1.0,-1.0,1.0,-1.0,-10.0,2017-09-18,276.078,3.0,1.0,1.0,154215.996,0.851208716377,-7.6173065204e-05,131.27,rates,-1.0,1.0,,,,,2017-09-18,-1.0,-1.0,-11.0,-11.0,,,,,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
EBS,EZZ7,112.165,0.05325,0.0,1.0,1.0,1.0,1.0,-1.0,6.0,2017-09-22,62.5581,15.0,3.0,3.0,131771.442,0.851208716377,0.0,112.165,rates,-1.0,1.0,,,,,2017-09-22,-1.0,-1.0,7.0,7.0,,,,,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,0,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1.0,0.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
ED,@EDZ7,98.5,0.0235,-0.000101512536798,-1.0,1.0,1.0,1.0,-1.0,9.0,2017-09-19,58.75,17.0,4.0,4.0,246250.0,1.0,-0.000101512536798,98.5,rates,-1.0,1.0,,,,,2017-09-19,-1.0,-1.0,10.0,10.0,,,,,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,1.0,1.0,0.0,1.0,0.0,-1.0,1,1,0.0,1,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
EMD,@EMDZ7,1815.7,11.425,0.00253989288278,1.0,1.0,-1.0,1.0,-1.0,-10.0,2017-09-18,1142.5,1.0,1.0,1.0,181570.0,1.0,0.00253989288278,1815.7,index,1.0,1.0,,,,,2017-09-18,-1.0,-1.0,-11.0,-11.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,461.168350726,461.168350726,461.168350726,-461.168350726,461.168350726,-461.168350726,461.168350726,-461.168350726,461.168350726,461.168350726,-461.168350726,461.168350726,-461.168350726,-461.168350726,461.168350726,-461.168350726,-461.168350726,461.168350726,-461.168350726,461.168350726,-461.168350726,-461.168350726,-461.168350726,-461.168350726,-461.168350726,-461.168350726,461.168350726,-461.168350726,461.168350726,0.0,0.0,-461.168350726,461.168350726,0.0,-461.168350726
ES,@ESZ7,2532.75,10.9607997795,0.00257298367145,1.0,1.0,-1.0,1.0,-1.0,-10.0,2017-09-18,548.039988975,1.0,1.0,1.0,126637.5,1.0,0.00257298367145,2532.75,index,1.0,1.0,,,,,2017-09-18,-1.0,-1.0,-11.0,-11.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,325.836219693,325.836219693,325.836219693,-325.836219693,325.836219693,-325.836219693,325.836219693,-325.836219693,325.836219693,325.836219693,-325.836219693,325.836219693,-325.836219693,-325.836219693,325.836219693,-325.836219693,-325.836219693,325.836219693,-325.836219693,325.836219693,-325.836219693,-325.836219693,-325.836219693,-325.836219693,-325.836219693,-325.836219693,325.836219693,-325.836219693,325.836219693,0.0,0.0,-325.836219693,325.836219693,0.0,-325.836219693
FC,@GFX7,154.3,2.4054077915,0.0178100263852,1.0,-1.0,1.0,-1.0,-1.0,8.0,2017-09-20,1202.70389575,1.0,1.0,1.0,77150.0,1.0,0.0178100263852,154.3,meat,1.0,-1.0,,,,,2017-09-20,-1.0,-1.0,9.0,9.0,,,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,-1.0,,2.0,1.0,-1.0,,0,-1,1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,1374.04353562,1374.04353562,-1374.04353562,1374.04353562,1374.04353562,-1374.04353562,-1374.04353562,1374.04353562,1374.04353562,-1374.04353562,1374.04353562,-1374.04353562,1374.04353562,1374.04353562,-1374.04353562,-1374.04353562,-1374.04353562,1374.04353562,1374.04353562,-1374.04353562,-1374.04353562,1374.04353562,1374.04353562,1374.04353562,1374.04353562,1374.04353562,1374.04353562,1374.04353562,1374.04353562,1374.04353562,1374.04353562,1374.04353562,0.0,0.0,1374.04353562
FCH,MTV7,5363.5,33.302999617,0.0032734754957,1.0,1.0,-1.0,1.0,1.0,-17.0,2017-09-07,391.243639501,2.0,1.0,1.0,63010.398,0.851208716377,0.0032734754957,5363.5,index,1.0,1.0,,,,,2017-09-07,1.0,1.0,-18.0,-18.0,,,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
FDX,DXMZ7,12885.5,100.368810636,,1.0,1.0,-1.0,1.0,1.0,5.0,2017-09-25,589.566393673,1.0,1.0,1.0,75689.427,0.851208716377,,,index,1.0,1.0,0.00683700578215,12885.5,,,2017-09-25,1.0,,5.0,,1.0,5.0,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEI,IEH8,100.305,0.0075,-4.9845479015e-05,-1.0,1.0,1.0,1.0,-1.0,6.0,2017-09-22,22.0275,45.0,11.0,11.0,294595.785,0.851208716377,-4.9845479015e-05,100.305,rates,-1.0,1.0,,,,,2017-09-22,-1.0,-1.0,7.0,7.0,,,,,1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,1.0,0.0,1.0,,0,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1.0,0.0,-1.0,-1.0,1.0,-1.0,1,-1,-1.0,-1,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0
FFI,LFZ7,7426.0,59.0062605465,0.00500744349709,1.0,1.0,-1.0,1.0,-1.0,5.0,2017-09-25,781.301895896,1.0,1.0,1.0,98327.666,0.755229967525,0.00500744349709,7426.0,index,1.0,1.0,,,,,2017-09-25,-1.0,-1.0,6.0,6.0,,,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,,2.0,0.0,1.0,,2.0,0.0,1.0,,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,1.0,0.0,0.0,-1.0,1.0,0.0,-1,-1,-1.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
FLG,LGZ7,123.91,0.693,-0.00233494363929,-1.0,-1.0,1.0,-1.0,1.0,-17.0,2017-09-07,917.6013,1.0,1.0,1.0,164069.231,0.755229967525,-0.00233494363929,123.91,rates,-1.0,1.0,,,,,2017-09-07,-1.0,-1.0,-18.0,-18.0,,,,,1.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,0,1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,-1,0.0,0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
