2016-08-30 00:00:00,Contract,LastClose,ATR20,PC2016-08-30 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,Close2016-08-30 00:00:00,RiskOn,group,SEA2016-08-30 00:00:00,SRUN2016-08-30 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-29 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-29 00:00:00,0.5SIG2016-08-26 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-29 00:00:00,0.75SIG2016-08-26 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-29 00:00:00,1SIG2016-08-26 00:00:00,RiskOff,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,Voting6,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9
ED,@EDZ6,99.05,0.03625,-5.04770077231e-05,-1.0,-1.0,1.0,-1.0,1.0,-45.0,2016-06-27,90.625,23.0,3.0,3.0,247625.0,99.05,-1.0,rates,1.0,-45.0,1.0,1.0,-44.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
EMD,@EMDU6,1569.4,12.615,-0.00050948923704,-1.0,-1.0,1.0,-1.0,1.0,18.0,2016-08-04,1261.5,2.0,1.0,1.0,156940.0,1569.4,1.0,index,1.0,18.0,1.0,1.0,17.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,-1,1,1,-1,-1,1.0,-1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,-159.918481722,159.918481722,-159.918481722,159.918481722,-159.918481722,159.918481722,-159.918481722,159.918481722,-159.918481722,159.918481722,-159.918481722,-159.918481722,-159.918481722,159.918481722,-159.918481722,159.918481722,159.918481722,-159.918481722,159.918481722,159.918481722,-159.918481722,159.918481722,159.918481722,-159.918481722,-159.918481722
ES,@ESU6,2175.25,12.825,-0.00183549386257,-1.0,1.0,-1.0,1.0,-1.0,-32.0,2016-07-15,641.25,4.0,1.0,1.0,108762.5,2175.25,1.0,index,-1.0,-32.0,1.0,-1.0,-31.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,,1.0,4.0,1.0,,1.0,4.0,1.0,,-1,-1,-1,1,-1,1.0,-1,1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-798.53160491,798.53160491,-798.53160491,798.53160491,-798.53160491,798.53160491,798.53160491,-798.53160491,798.53160491,-798.53160491,798.53160491,798.53160491,798.53160491,-798.53160491,-798.53160491,798.53160491,-798.53160491,798.53160491,-798.53160491,-798.53160491,798.53160491,798.53160491,798.53160491,798.53160491,-798.53160491
FC,@GFV6,139.525,2.462064127,0.0306555863343,1.0,-1.0,1.0,-1.0,-1.0,15.0,2016-08-09,1231.0320635,2.0,1.0,1.0,69762.5,139.525,1.0,meat,-1.0,15.0,-1.0,-1.0,14.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,-1,1,1,1,1,-1.0,1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,4277.22068329,4277.22068329,-4277.22068329,4277.22068329,4277.22068329,-4277.22068329,4277.22068329,-4277.22068329,4277.22068329,-4277.22068329,4277.22068329,4277.22068329,-4277.22068329,4277.22068329,-4277.22068329,4277.22068329,-4277.22068329,4277.22068329,4277.22068329,4277.22068329,4277.22068329,4277.22068329,4277.22068329,4277.22068329,4277.22068329
FCH,MTU6,4457.0,50.347985317,0.00745931283906,1.0,1.0,-1.0,1.0,1.0,-46.0,2016-06-27,561.027600387,4.0,1.0,1.0,49664.351,4457.0,1.0,index,1.0,-46.0,-1.0,1.0,-45.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,,1.0,4.0,1.0,,1.0,4.0,1.0,,-1,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1481.84772423,1481.84772423,-1481.84772423,1481.84772423,1481.84772423,-1481.84772423,1481.84772423,1481.84772423,-1481.84772423,1481.84772423,-1481.84772423,-1481.84772423,1481.84772423,-1481.84772423,-1481.84772423,1481.84772423,-1481.84772423,-1481.84772423,1481.84772423,-1481.84772423,-1481.84772423,-1481.84772423,-1481.84772423,1481.84772423,-1481.84772423
FDX,DXMU6,10664.0,138.225,0.0113329223766,1.0,-1.0,1.0,-1.0,-1.0,-33.0,2016-07-14,770.1205875,3.0,1.0,1.0,59414.476,10664.0,1.0,index,-1.0,-33.0,-1.0,-1.0,-32.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,-1,1,1,1,1,1.0,-1,-1,1,1,1,-1,1,1,1,1,-1,-1,1,1,2020.01893366,2020.01893366,-2020.01893366,2020.01893366,2020.01893366,-2020.01893366,2020.01893366,-2020.01893366,2020.01893366,-2020.01893366,2020.01893366,2020.01893366,-2020.01893366,2020.01893366,2020.01893366,-2020.01893366,-2020.01893366,2020.01893366,2020.01893366,2020.01893366,-2020.01893366,2020.01893366,2020.01893366,2020.01893366,2020.01893366
FEI,IEZ6,100.32,0.00875,4.9842994567e-05,1.0,-1.0,1.0,-1.0,1.0,-37.0,2016-07-08,24.3753125,83.0,11.0,11.0,279466.44,100.32,-1.0,rates,1.0,-37.0,1.0,1.0,-36.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,,1.0,0.0,-1.0,,1.0,0.0,-1.0,,1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
FFI,LFU6,6826.5,62.25,-0.00255698421975,-1.0,1.0,-1.0,1.0,1.0,24.0,2016-07-26,813.981,3.0,1.0,1.0,89263.314,6826.5,1.0,index,1.0,24.0,1.0,1.0,23.0,-1.0,1.0,3.0,-1.0,1.0,3.0,,-1.0,1.0,3.0,,1.0,1.0,3.0,,1.0,-1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-684.734655903,684.734655903,-684.734655903,684.734655903,-684.734655903,684.734655903,684.734655903,-684.734655903,684.734655903,-684.734655903,684.734655903,684.734655903,-684.734655903,684.734655903,-684.734655903,684.734655903,-684.734655903,684.734655903,684.734655903,684.734655903,684.734655903,684.734655903,684.734655903,684.734655903,684.734655903
FLG,LGZ6,131.52,0.6646855905,-0.00022614205076,-1.0,1.0,-1.0,1.0,1.0,52.0,2016-06-23,869.142878138,3.0,1.0,1.0,171975.552,131.52,-1.0,rates,1.0,52.0,1.0,1.0,46.0,-1.0,1.0,3.0,-1.0,1.0,3.0,,-1.0,2.0,3.0,,1.0,2.0,3.0,,1.0,1,-1,-1,-1,-1,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-116.67271203,116.67271203,-116.67271203,116.67271203,116.67271203,-116.67271203,116.67271203,-116.67271203,116.67271203,-116.67271203,116.67271203,116.67271203,-116.67271203,116.67271203,-116.67271203,116.67271203,-116.67271203,116.67271203,116.67271203,116.67271203,116.67271203,116.67271203,116.67271203,116.67271203,116.67271203
FSS,LLZ6,99.69,0.0255,0.0,1.0,1.0,-1.0,1.0,1.0,18.0,2016-08-03,41.67975,48.0,6.0,6.0,162943.305,99.69,-1.0,rates,1.0,18.0,-1.0,1.0,-33.0,-1.0,1.0,0.0,-1.0,1.0,0.0,,-1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,1,-1,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
FV,@FVZ6,121.234375,0.3261528245,-0.000128865979381,-1.0,-1.0,1.0,-1.0,1.0,-40.0,2016-07-05,326.1528245,7.0,1.0,1.0,121234.375,121.234375,-1.0,rates,1.0,-40.0,1.0,1.0,-39.0,-1.0,1.0,7.0,-1.0,1.0,7.0,1.0,,2.0,7.0,-1.0,,2.0,7.0,-1.0,,1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-109.360905284,109.360905284,-109.360905284,109.360905284,109.360905284,-109.360905284,109.360905284,109.360905284,-109.360905284,109.360905284,-109.360905284,-109.360905284,-109.360905284,109.360905284,109.360905284,-109.360905284,109.360905284,109.360905284,109.360905284,109.360905284,-109.360905284,109.360905284,-109.360905284,109.360905284,109.360905284
GC,QGCZ6,1316.5,15.165,-0.00798734081833,-1.0,-1.0,-1.0,-1.0,1.0,-39.0,2016-07-06,1516.5,2.0,1.0,1.0,131650.0,1316.5,-1.0,metal,1.0,-39.0,1.0,1.0,-38.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,1.0,2.0,-1.0,,2.0,2.0,-1.0,,1,1,1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-2103.06683747,2103.06683747,-2103.06683747,2103.06683747,2103.06683747,-2103.06683747,2103.06683747,2103.06683747,2103.06683747,2103.06683747,-2103.06683747,-2103.06683747,-2103.06683747,2103.06683747,2103.06683747,-2103.06683747,2103.06683747,2103.06683747,2103.06683747,2103.06683747,-2103.06683747,2103.06683747,2103.06683747,2103.06683747,2103.06683747
HCM,HHIU6,9581.0,144.100928662,0.0112940679755,1.0,-1.0,-1.0,-1.0,1.0,-20.0,2016-08-01,927.29040323,3.0,1.0,1.0,61653.7966538,9581.0,1.0,index,1.0,-20.0,-1.0,1.0,-19.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,-1,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,2088.96651107,2088.96651107,-2088.96651107,2088.96651107,2088.96651107,-2088.96651107,2088.96651107,-2088.96651107,-2088.96651107,-2088.96651107,2088.96651107,2088.96651107,2088.96651107,-2088.96651107,-2088.96651107,2088.96651107,-2088.96651107,-2088.96651107,-2088.96651107,-2088.96651107,2088.96651107,-2088.96651107,-2088.96651107,2088.96651107,-2088.96651107
HG,QHGZ6,207.65,3.1083037385,-0.0012025012025,-1.0,-1.0,1.0,-1.0,1.0,-9.0,2016-08-17,777.075934625,3.0,1.0,1.0,51912.5,207.65,1.0,metal,1.0,-9.0,-1.0,1.0,-8.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,-1,1,1,-1,1,-1.0,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,-187.274531025,187.274531025,187.274531025,-187.274531025,-187.274531025,187.274531025,-187.274531025,187.274531025,-187.274531025,187.274531025,-187.274531025,-187.274531025,-187.274531025,187.274531025,187.274531025,-187.274531025,187.274531025,-187.274531025,187.274531025,187.274531025,-187.274531025,-187.274531025,-187.274531025,-187.274531025,-187.274531025
HIC,HSIQ6,23003.0,276.55,0.00784262180161,1.0,-1.0,-1.0,-1.0,1.0,-20.0,2016-08-01,1779.6010296,2.0,1.0,1.0,148024.453024,23003.0,1.0,index,1.0,-20.0,-1.0,1.0,-19.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,2.0,2.0,-1.0,,2.0,2.0,-1.0,,-1,1,1,-1,1,-1.0,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,2321.79960492,2321.79960492,-2321.79960492,2321.79960492,2321.79960492,-2321.79960492,2321.79960492,-2321.79960492,-2321.79960492,-2321.79960492,2321.79960492,2321.79960492,2321.79960492,-2321.79960492,-2321.79960492,2321.79960492,-2321.79960492,-2321.79960492,-2321.79960492,-2321.79960492,2321.79960492,-2321.79960492,-2321.79960492,2321.79960492,-2321.79960492
