2016-08-05 00:00:00,Contract,LastClose,ATR20,PC2016-08-05 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,contractValue,Close2016-08-05 00:00:00,RiskOn,group,SEA2016-08-05 00:00:00,SRUN2016-08-05 00:00:00,prevACT,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-08-04 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-04 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-04 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-04 00:00:00,Anti1LastSIG,Anti0.75LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,Voting5,RiskOff,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5
FLG,LGU6,131.25,0.725,-0.00167338556325,-1.0,-1.0,1.0,-1.0,1.0,3.0,2016-07-29,947.5025,3.0,171530.625,131.25,-1.0,rates,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,-1,-1,1.0,-1,1,1,1,1,1,1,-287.03687153,861.110614589,-861.110614589,861.110614589,861.110614589,-861.110614589,-861.110614589,861.110614589,-861.110614589,861.110614589,-861.110614589,-861.110614589,-861.110614589,861.110614589,-861.110614589,861.110614589,-861.110614589,-861.110614589,-861.110614589,-861.110614589,-861.110614589
FSS,LLZ6,99.76,0.0335,0.0,1.0,1.0,1.0,1.0,1.0,-16.0,2016-07-14,54.7264375,37.0,162970.43,99.76,-1.0,rates,1.0,-16.0,1.0,1.0,-15.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-1,-1,-1,-1,-1.0,1,-1,-1,-1,-1,1,1,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
FV,@FVU6,121.53125,0.3296875,-0.004416,-1.0,1.0,-1.0,1.0,1.0,-1.0,2016-07-15,329.6875,7.0,121531.25,121.53125,-1.0,rates,1.0,-1.0,1.0,1.0,14.0,-1.0,1.0,7.0,-1.0,1.0,7.0,-1.0,2.0,7.0,1.0,2.0,7.0,1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1,-1,-1,1,-536.682,3756.774,-3756.774,3756.774,3756.774,-3756.774,3756.774,-3756.774,3756.774,-3756.774,3756.774,3756.774,-3756.774,3756.774,-3756.774,3756.774,3756.774,3756.774,3756.774,3756.774,3756.774
GC,QGCZ6,1344.4,18.091644561,-0.0168202427965,-1.0,-1.0,1.0,-1.0,1.0,3.0,2016-07-20,1809.1644561,2.0,134440.0,1344.4,-1.0,metal,1.0,3.0,1.0,1.0,-21.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1,-1,-1.0,1,-1,-1,1,-1,1,1,-2261.31344157,4522.62688314,-4522.62688314,4522.62688314,4522.62688314,-4522.62688314,-4522.62688314,4522.62688314,-4522.62688314,4522.62688314,-4522.62688314,-4522.62688314,-4522.62688314,4522.62688314,4522.62688314,-4522.62688314,4522.62688314,4522.62688314,-4522.62688314,4522.62688314,-4522.62688314
HCM,HHIQ6,9124.0,138.386748454,0.0123155442139,1.0,1.0,1.0,1.0,-1.0,21.0,2016-07-06,890.519616818,3.0,58712.998713,9124.0,1.0,index,-1.0,21.0,1.0,-1.0,20.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,1,-1,-1.0,1,-1,-1,-1,-1,1,-1,723.082531581,2169.24759474,2169.24759474,-2169.24759474,2169.24759474,-2169.24759474,2169.24759474,2169.24759474,2169.24759474,2169.24759474,-2169.24759474,-2169.24759474,-2169.24759474,2169.24759474,-2169.24759474,2169.24759474,-2169.24759474,-2169.24759474,-2169.24759474,-2169.24759474,2169.24759474
HG,QHGU6,215.4,4.4025,-0.00919963201472,-1.0,-1.0,1.0,-1.0,-1.0,5.0,2016-07-29,1100.625,2.0,53850.0,215.4,1.0,metal,-1.0,5.0,-1.0,-1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1,1,-1.0,1,1,1,1,1,1,-1,-495.400183993,990.800367985,990.800367985,-990.800367985,-990.800367985,990.800367985,-990.800367985,990.800367985,-990.800367985,990.800367985,-990.800367985,-990.800367985,990.800367985,-990.800367985,990.800367985,-990.800367985,-990.800367985,-990.800367985,-990.800367985,-990.800367985,-990.800367985
HIC,HSIQ6,22123.0,295.655034014,0.0142582064918,1.0,1.0,-1.0,1.0,-1.0,21.0,2016-07-06,1902.54204642,2.0,142361.647362,22123.0,1.0,index,-1.0,21.0,1.0,-1.0,20.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,1,-1,-1.0,1,-1,-1,-1,-1,1,-1,2029.8217646,4059.6435292,4059.6435292,-4059.6435292,4059.6435292,-4059.6435292,4059.6435292,4059.6435292,-4059.6435292,4059.6435292,-4059.6435292,-4059.6435292,-4059.6435292,4059.6435292,-4059.6435292,4059.6435292,-4059.6435292,-4059.6435292,-4059.6435292,-4059.6435292,4059.6435292
HO,QHOU6,1.317,0.041904457,-0.00671242175126,-1.0,-1.0,1.0,-1.0,1.0,4.0,2016-08-01,1759.987194,2.0,55314.0,1.317,1.0,energy,1.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1,-1,1.0,-1,1,1,1,1,1,-1,-371.290896749,742.581793499,-742.581793499,742.581793499,-742.581793499,742.581793499,-742.581793499,742.581793499,-742.581793499,742.581793499,-742.581793499,-742.581793499,-742.581793499,742.581793499,-742.581793499,742.581793499,-742.581793499,-742.581793499,-742.581793499,-742.581793499,-742.581793499
JY,@JYU6,0.9846,0.0130775,-0.00540431334916,-1.0,1.0,-1.0,1.0,1.0,12.0,2016-07-20,1634.6875,2.0,123075.0,0.9846,-1.0,currency,1.0,12.0,-1.0,1.0,11.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,1,1.0,-1,1,1,1,1,-1,1,-665.135865448,1330.2717309,1330.2717309,-1330.2717309,1330.2717309,-1330.2717309,1330.2717309,-1330.2717309,1330.2717309,-1330.2717309,1330.2717309,1330.2717309,-1330.2717309,1330.2717309,-1330.2717309,1330.2717309,-1330.2717309,-1330.2717309,-1330.2717309,-1330.2717309,1330.2717309
KC,@KCU6,142.5,4.0975,0.00281491907108,1.0,-1.0,-1.0,-1.0,1.0,-5.0,2016-07-29,1536.5625,2.0,53437.5,142.5,1.0,soft,1.0,-5.0,1.0,1.0,-4.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,-1,-1,-1.0,1,-1,-1,1,-1,1,-1,150.422237861,300.844475721,300.844475721,-300.844475721,300.844475721,-300.844475721,300.844475721,-300.844475721,-300.844475721,-300.844475721,300.844475721,300.844475721,300.844475721,-300.844475721,-300.844475721,300.844475721,-300.844475721,-300.844475721,300.844475721,-300.844475721,300.844475721
KW,@KWU6,411.75,10.975,0.0147874306839,1.0,-1.0,-1.0,-1.0,1.0,-5.0,2016-07-29,548.75,4.0,20587.5,411.75,1.0,grain,1.0,-5.0,-1.0,1.0,-4.0,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,2.0,4.0,-1.0,2.0,4.0,-1.0,1,1,-1,1,-1.0,1,1,-1,1,1,1,-1,304.436229205,1217.74491682,-1217.74491682,1217.74491682,1217.74491682,-1217.74491682,1217.74491682,-1217.74491682,-1217.74491682,-1217.74491682,1217.74491682,1217.74491682,1217.74491682,-1217.74491682,-1217.74491682,1217.74491682,1217.74491682,-1217.74491682,1217.74491682,1217.74491682,1217.74491682
LB,@LBU6,322.6,6.885,0.0173446862189,1.0,1.0,-1.0,1.0,1.0,4.0,2016-08-01,757.35,3.0,35486.0,322.6,1.0,soft,1.0,4.0,1.0,1.0,-6.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,-1,-1.0,1,-1,-1,-1,-1,1,-1,615.493535162,1846.48060549,1846.48060549,-1846.48060549,1846.48060549,-1846.48060549,1846.48060549,1846.48060549,-1846.48060549,1846.48060549,-1846.48060549,-1846.48060549,1846.48060549,-1846.48060549,-1846.48060549,1846.48060549,-1846.48060549,-1846.48060549,-1846.48060549,-1846.48060549,1846.48060549
LC,@LEV6,115.525,2.0604186395,0.00653452406883,1.0,1.0,-1.0,1.0,-1.0,11.0,2016-07-21,824.1674558,3.0,46210.0,115.525,1.0,meat,-1.0,11.0,-1.0,-1.0,10.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,1.0,3.0,1.0,-1,-1,1,1,-1.0,1,-1,-1,-1,-1,-1,-1,301.960357221,905.881071662,-905.881071662,905.881071662,905.881071662,-905.881071662,-905.881071662,905.881071662,-905.881071662,905.881071662,-905.881071662,-905.881071662,-905.881071662,905.881071662,-905.881071662,905.881071662,-905.881071662,-905.881071662,-905.881071662,-905.881071662,-905.881071662
