dates,signals,safef,comment
2016-05-23 10:58:18.404000-04:00,1,1,
2016-05-23 11:09:51.854000-04:00,0,1,
2016-05-23 12:58:18.303000-04:00,0,1,
2016-05-23 14:43:57.493000-04:00,1,1,
2016-05-23 14:46:38.984000-04:00,1,1,
2016-05-23 15:28:37.621000-04:00,0,1,
2016-05-23 16:56:52.615000-04:00,0,1,
2016-05-23 18:07:47.608000-04:00,1,1,
2016-05-23 19:02:21.986000-04:00,0,1,
2016-05-23 22:57:25.805000-04:00,0,1,
2016-05-23 23:01:43.268000-04:00,0,1,
2016-05-23 23:02:39.758000-04:00,0,1,
2016-05-23 23:19:52.952000-04:00,0,1,
2016-05-23 23:49:45.885000-04:00,0,1,
2016-05-24 01:45:15.402000-04:00,0,1,
2016-05-24 02:31:06.527000-04:00,0,1,
2016-05-24 02:35:35.459000-04:00,0,1,
2016-05-24 05:24:40.402000-04:00,0,1,
2016-05-24 05:24:58.431000-04:00,0,1,
2016-05-24 06:23:54.296000-04:00,1,1,
2016-05-24 07:17:22.554000-04:00,0,1,
2016-05-24 08:55:29.985000-04:00,1,1,
2016-05-24 09:11:43.792000-04:00,-1,1,
2016-05-24 10:38:27.897000-04:00,0,1,
2016-05-24 11:13:12.998000-04:00,0,1,
2016-05-24 11:14:22.284000-04:00,0,1,
2016-05-24 13:53:26.701000-04:00,-1,1,
2016-05-24 13:57:54.933000-04:00,-1,1,
2016-05-24 14:53:07.967000-04:00,0,1,
2016-05-24 17:01:39.258000-04:00,0,1,
2016-05-24 17:20:45.533000-04:00,0,1,
2016-05-24 18:49:30.761000-04:00,-1,1,
2016-05-24 18:53:11.040000-04:00,1,1,
2016-05-24 18:56:08.828000-04:00,0,1,
2016-05-24 20:06:47.045000-04:00,0,1,
