dates,CAR25,dd95,ddTol,dpsCommission,dpsNetEquity,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netEquity,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,safef,cycleTime,timestamp,v4.4_system,mrThreshold
2016-06-22 00:00:00,1.40477620425e-05,0.000988304048677,0.00309276856414,2.0,99952.58,48.75,both_gainAhead_PCA10_VotingSoft DPS wl11.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,100036.8,50.8,0.0,1.0,gainAhead_PCA10_VotingSoft,-1.0,,1.0,1262.3406,20160622 21:02:20 EDT,gainAhead_PCA10_f10_is17,
2016-06-22 00:00:00,0.00305989924254,0.00100695678405,0.00309276856414,0.0,100172.76,101.68,both_sellHold DPS wl11.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,100175.74,50.87,0.0,1.0,sellHold,-1.0,,1.0,1681.39605,20160623 04:01:23 EDT,sellHold,
2016-06-23 00:00:00,0.00234108590549,3.999982e-05,0.00186500961648,0.0,100233.86,61.1,both_sellHold DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,100206.29,30.55,0.0,1.0,sellHold,-1.0,,1.0,1256.00171667,20160623 20:56:00 EDT,sellHold,
2016-06-24 00:00:00,0.00864408794727,4e-05,0.00208514414057,0.0,100432.65,427.11,both_gainAhead_PCA10_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,100276.99,213.68,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,,1.0,1277.13356667,20160624 21:17:08 EDT,gainAhead_PCA10_f10_is27,
2016-06-27 00:00:00,-0.000431412195612,0.0,0.00114208048144,2.0070224344,100349.11,-83.54,both_gainAhead_PCA10_VotingSoft DPS wl1.5 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100236.29,-40.7,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,,1.0,1263.05861667,20160627 21:03:03 EDT,gainAhead_PCA10_f10_is27,
2016-06-27 00:00:00,-0.000431412195612,0.0,0.00114208048144,2.0064910661,100322.55,-83.51,both_gainAhead_PCA10_VotingSoft DPS wl1.5 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100236.29,-40.7,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,,1.0,1628.46993333,20160628 03:08:28 EDT,gainAhead_PCA10_f10_is27,
2016-06-28 00:00:00,0.000935499029731,9.1e-05,0.00131876094679,2.00706203979,100351.09,28.54,both_gainAhead_PCA10_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,100266.82,30.53,0.0,1.0,gainAhead_PCA10_VotingSoft,1.0,,1.0,1265.12658333,20160628 21:05:07 EDT,gainAhead_PCA10_f10_is44,
2016-06-28 00:00:00,0.000852163284848,6e-05,0.00131876094679,5.97552961949,99586.18,24.34,both_zigZag_PCA10_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,99610.41,26.34,3.98457588379,1.0,zigZag_PCA10_VotingSoft,-1.0,,1.0,1342.52971667,20160628 22:22:31 EDT,zigZag_PCA10_f10_is27,
2016-06-29 00:00:00,-0.00158111829399,0.0,0.00161514570617,5.98257545151,99703.61,-66.73,both_zigZag_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,99735.98,-34.36,3.98959861717,1.0,zigZag_VotingSoft,-1.0,,1.0,1431.34878333,20160629 23:51:20 EDT,zigZag_VotingSoft_f94_is44,
2016-06-29 00:00:00,-0.000396229380972,0.0,0.00161514570617,4.01025212921,100252.29,26.5,both_gainAhead_PCA10_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,100244.17,26.5,4.00992723032,1.0,gainAhead_PCA10_VotingSoft,1.0,,1.0,1526.47108333,20160630 01:26:28 EDT,gainAhead_PCA10_f10_is44,
