dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.0_system,RS_netEquity,safef,cycleTime,timestamp,v4.3_system,v4.5_system
2016-04-27 01:30:00,101245.3,101146.26,0.417791673391,0.00266355028968,0.00406469422349,2.0,29.39,both_best_wf_is_pv3s_v2v DPS wl19.0 maxL2 dd95_0.004 thres_0.0,1.52604373165,0.0,wf_is_pv3s_v2v,22.44,0.0,1.0,sellHold,-1.0,sellHold,101146.26,1.0,-13.6893833333,20160427 01:16:18 EDT,,
2016-04-27 01:30:00,101227.42,101146.26,0.710640877994,0.00277545931082,0.00406469422349,2.0,22.34,both_best_wf_is_pv3s_v2v DPS wl19.0 maxL2 dd95_0.004 thres_0.0,1.46451227285,0.0,wf_is_pv3s_v2v,22.44,0.0,1.0,sellHold,-1.0,sellHold,101146.26,1.0,-0.21635,20160427 01:29:47 EDT,,
2016-04-27 02:00:00,101334.72,101233.86,0.369250305823,0.00265028626813,0.00406469422349,2.0,107.78,both_best_wf_is_pv3s_v2v DPS wl19.0 maxL2 dd95_0.004 thres_0.0,1.53368119979,0.0,wf_is_pv3s_v2v,69.41,0.0,1.0,sellHold,-1.0,sellHold,101233.86,1.0,-16.7647666667,20160427 01:43:14 EDT,,
2016-04-27 02:00:00,101246.83,101233.86,0.447880382642,0.00235455070698,0.00406469422349,2.0,92.47,both_best_wf_is_pv3s_v2v DPS wl19.0 maxL2 dd95_0.004 thres_0.0,1.72631415898,0.0,wf_is_pv3s_v2v,69.41,0.0,1.0,sellHold,-1.0,sellHold,101233.86,1.0,-3.59708333333,20160427 01:56:24 EDT,,
2016-04-27 02:30:00,101230.69,101137.15,0.492751264114,0.00246936258681,0.00417028828114,2.0,-65.73,both_best_wf_is_pv3s_v2v DPS wl20.0 maxL2 dd95_0.004 thres_0.0,1.68881164047,0.0,wf_is_pv3s_v2v,-41.54,0.0,1.0,sellHold,-1.0,sellHold,101137.15,1.0,-17.6855,20160427 02:12:18 EDT,,
2016-04-27 02:30:00,101142.18,101137.15,0.52241029587,0.0018181226085,0.00417028828114,2.0,-70.46,both_best_wf_is_pv3s_v2v DPS wl20.0 maxL2 dd95_0.004 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,-41.54,0.0,1.0,sellHold,-1.0,sellHold,101137.15,1.0,0.6817,20160427 02:30:40 EDT,,
2016-04-27 03:00:00,101829.16,101506.02,0.00564059052217,0.00114758212289,0.0029488391231,2.0,566.79,both_best_wf_is_pv3s_v2v DPS wl10.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,290.79,0.0,1.0,sellHold,-1.0,sellHold,101506.02,1.0,-10.7159166667,20160427 02:49:17 EDT,,
2016-04-27 11:30:00,102248.55,102115.77,0.363773760397,0.00308664547854,0.0046625240412,2.0,113.62,both_finalBest DPS wl25.0 maxL2 dd95_0.005 thres_0.0,1.5105473154,0.0,wf_is_pv2e_p2p,85.72,0.0,1.0,sellHold,-1.0,sellHold,102115.77,1.0,15.1373833333,20160427 11:45:08 EDT,,
2016-04-27 21:30:00,100050.12,100050.12,0.0,0.0,0.00475486021374,0.0,52.12,both_finalBest DPS wl26.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,52.12,0.0,1.0,sellHold,-1.0,sellHold,100050.12,1.0,-1.41793333333,20160427 21:28:34 EDT,,
2016-04-28 00:00:00,100175.37,100175.37,0.0,0.0,0.00510753918455,0.0,177.37,both_finalBest DPS wl30.0 maxL2 dd95_0.005 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,177.37,0.0,1.0,sellHold,-1.0,sellHold,100175.37,1.0,4.12898333333,20160428 00:04:07 EDT,,
