dates,signals,safef
2016-03-21 23:56:00,-1,1
2016-03-21 23:56:00,-1,1
2016-03-21 23:59:00,-1,1
2016-03-21 23:59:00,-1,1
2016-03-22 00:01:00,-1,1
2016-03-22 00:01:00,-1,1
2016-03-22 00:01:00,-1,1
2016-03-22 00:06:00,-1,1
2016-03-22 00:07:00,-1,1
2016-03-22 00:09:00,-1,1
2016-03-22 00:09:00,-1,1
2016-03-22 00:12:00,-1,1
2016-03-22 00:14:00,-1,1
2016-03-22 00:14:00,-1,1
2016-03-22 00:16:00,1,1
2016-03-22 00:16:00,1,1
2016-03-22 00:18:00,-1,1
2016-03-22 00:20:00,-1,1
2016-03-22 00:20:00,-1,1
2016-03-22 00:24:00,-1,1
2016-03-22 00:25:00,-1,1
2016-03-22 00:26:00,-1,1
2016-03-22 00:28:00,-1,1
2016-03-22 00:30:00,-1,1
2016-03-22 00:31:00,-1,1
2016-03-22 00:33:00,-1,1
2016-03-22 00:34:00,-1,1
2016-03-22 00:35:00,-1,1
2016-03-22 00:35:00,-1,1
2016-03-22 00:39:00,-1,1
2016-03-22 00:40:00,-1,1
2016-03-22 00:42:00,-1,1
2016-03-22 00:43:00,-1,1
2016-03-22 00:43:00,-1,1
2016-03-22 00:46:00,-1,1
2016-03-22 00:48:00,-1,1
2016-03-22 00:49:00,-1,1
2016-03-22 00:51:00,-1,1
2016-03-22 00:51:00,-1,1
2016-03-22 00:54:00,-1,1
2016-03-22 00:55:00,1,1
2016-03-22 00:58:00,-1,1
2016-03-22 00:58:00,-1,1
2016-03-22 01:00:00,-1,1
2016-03-22 01:00:00,-1,1
2016-03-22 01:03:00,-1,1
2016-03-22 01:03:00,-1,1
2016-03-22 01:03:00,-1,1
2016-03-22 01:07:00,-1,1
2016-03-22 01:10:00,-1,1
2016-03-22 01:10:00,-1,1
2016-03-22 01:12:00,-1,1
2016-03-22 01:14:00,-1,1
2016-03-22 01:16:00,-1,1
2016-03-22 01:17:00,-1,1
2016-03-22 01:17:00,-1,1
2016-03-22 01:20:00,-1,1
2016-03-22 01:21:00,-1,1
2016-03-22 01:23:00,-1,1
2016-03-22 01:24:00,-1,1
2016-03-22 01:26:00,-1,1
2016-03-22 01:26:00,-1,1
2016-03-22 01:29:00,-1,1
2016-03-22 01:30:00,-1,1
2016-03-22 01:31:00,-1,1
2016-03-22 01:31:00,-1,1
2016-03-22 01:31:00,-1,1
2016-03-22 01:31:00,-1,1
2016-03-22 01:37:00,-1,1
2016-03-22 01:39:00,-1,1
2016-03-22 01:39:00,-1,1
2016-03-22 01:39:00,-1,1
2016-03-22 01:44:00,-1,1
2016-03-22 01:46:00,-1,1
2016-03-22 01:47:00,-1,1
2016-03-22 01:48:00,-1,1
2016-03-22 01:48:00,-1,1
2016-03-22 01:52:00,-1,1
2016-03-22 01:52:00,-1,1
2016-03-22 01:52:00,-1,1
2016-03-22 01:52:00,-1,1
2016-03-22 01:59:00,-1,1
2016-03-22 01:59:00,-1,1
2016-03-22 02:02:00,-1,1
2016-03-22 02:02:00,-1,1
2016-03-22 02:04:00,-1,1
2016-03-22 02:07:00,-1,1
2016-03-22 02:07:00,-1,1
2016-03-22 02:07:00,-1,1
2016-03-22 02:07:00,-1,1
2016-03-22 02:12:00,1,1
2016-03-22 02:12:00,1,1
2016-03-22 02:16:00,-1,1
2016-03-22 02:17:00,-1,1
2016-03-22 02:17:00,-1,1
2016-03-22 02:19:00,-1,1
2016-03-22 02:21:00,-1,1
2016-03-22 02:21:00,-1,1
2016-03-22 02:24:00,-1,1
2016-03-22 02:25:00,-1,1
2016-03-22 02:25:00,-1,1
2016-03-22 02:25:00,-1,1
2016-03-22 02:25:00,-1,1
2016-03-22 02:32:00,-1,1
2016-03-22 02:32:00,-1,1
2016-03-22 02:35:00,-1,1
2016-03-22 02:36:00,-1,1
2016-03-22 02:38:00,-1,1
2016-03-22 02:40:00,-1,1
2016-03-22 02:41:00,-1,1
2016-03-22 02:41:00,-1,1
2016-03-22 02:41:00,-1,1
2016-03-22 02:46:00,1,1
2016-03-22 02:47:00,-1,1
2016-03-22 02:47:00,-1,1
2016-03-22 02:50:00,-1,1
2016-03-22 02:50:00,-1,1
2016-03-22 02:50:00,-1,1
2016-03-22 02:50:00,-1,1
2016-03-22 02:55:00,-1,1
2016-03-22 02:55:00,-1,1
2016-03-22 02:59:00,-1,1
2016-03-22 02:59:00,-1,1
2016-03-22 02:59:00,-1,1
2016-03-22 03:04:00,-1,1
2016-03-22 03:04:00,-1,1
2016-03-22 03:07:00,-1,1
2016-03-22 03:08:00,-1,1
2016-03-22 03:10:00,-1,1
2016-03-22 03:10:00,-1,1
2016-03-22 03:13:00,-1,1
2016-03-22 03:13:00,-1,1
2016-03-22 03:16:00,-1,1
2016-03-22 03:16:00,-1,1
2016-03-22 03:16:00,-1,1
2016-03-22 03:20:00,-1,1
2016-03-22 03:20:00,-1,1
2016-03-22 03:20:00,-1,1
2016-03-22 03:20:00,-1,1
2016-03-22 03:20:00,-1,1
2016-03-22 03:20:00,-1,1
2016-03-22 03:20:00,-1,1
2016-03-22 03:32:00,-1,1
2016-03-22 03:33:00,-1,1
2016-03-22 03:34:00,-1,1
2016-03-22 03:36:00,-1,1
2016-03-22 03:36:00,-1,1
2016-03-22 03:39:00,-1,1
2016-03-22 03:39:00,-1,1
2016-03-22 03:39:00,-1,1
2016-03-22 03:44:00,-1,1
2016-03-22 03:44:00,-1,1
2016-03-22 03:48:00,-1,1
2016-03-22 03:48:00,-1,1
2016-03-22 03:48:00,-1,1
2016-03-22 03:52:00,-1,1
2016-03-22 03:54:00,-1,1
2016-03-22 03:54:00,-1,1
2016-03-22 03:56:00,-1,1
2016-03-22 03:56:00,-1,1
2016-03-22 03:56:00,-1,1
2016-03-22 04:01:00,-1,1
2016-03-22 04:04:00,-1,1
2016-03-22 04:04:00,-1,1
2016-03-22 04:04:00,-1,1
2016-03-22 04:04:00,-1,1
2016-03-22 04:04:00,-1,1
2016-03-22 04:12:00,-1,1
2016-03-22 04:12:00,-1,1
2016-03-22 04:12:00,-1,1
2016-03-22 04:12:00,-1,1
2016-03-22 04:17:00,-1,1
2016-03-22 04:17:00,-1,1
2016-03-22 04:17:00,-1,1
2016-03-22 04:17:00,-1,1
2016-03-22 04:24:00,-1,1
2016-03-22 04:24:00,-1,1
2016-03-22 04:24:00,-1,1
2016-03-22 04:24:00,-1,1
2016-03-22 04:29:00,-1,1
2016-03-22 04:31:00,-1,1
2016-03-22 04:32:00,-1,1
2016-03-22 04:34:00,-1,1
2016-03-22 04:34:00,-1,1
2016-03-22 04:38:00,-1,1
2016-03-22 04:38:00,-1,1
2016-03-22 04:38:00,-1,1
2016-03-22 04:38:00,-1,1
2016-03-22 04:44:00,-1,1
2016-03-22 04:44:00,-1,1
2016-03-22 04:44:00,-1,1
2016-03-22 04:48:00,-1,1
2016-03-22 04:51:00,-1,1
2016-03-22 04:51:00,-1,1
2016-03-22 04:54:00,-1,1
2016-03-22 04:54:00,-1,1
2016-03-22 04:54:00,-1,1
2016-03-22 04:59:00,-1,1
2016-03-22 04:59:00,-1,1
2016-03-22 04:59:00,-1,1
2016-03-22 04:59:00,-1,1
2016-03-22 05:04:00,-1,1
2016-03-22 05:04:00,-1,1
2016-03-22 05:04:00,-1,1
2016-03-22 05:04:00,-1,1
2016-03-22 05:11:00,-1,1
2016-03-22 05:11:00,-1,1
2016-03-22 05:15:00,1,1
2016-03-22 05:15:00,1,1
2016-03-22 05:15:00,1,1
2016-03-22 05:15:00,1,1
2016-03-22 05:15:00,1,1
2016-03-22 05:23:00,-1,1
2016-03-22 05:23:00,-1,1
2016-03-22 05:26:00,-1,1
2016-03-22 05:26:00,-1,1
2016-03-22 05:26:00,-1,1
2016-03-22 05:31:00,-1,1
2016-03-22 05:31:00,-1,1
2016-03-22 05:35:00,-1,1
2016-03-22 05:35:00,-1,1
2016-03-22 05:36:00,-1,1
2016-03-22 05:36:00,-1,1
2016-03-22 05:36:00,-1,1
2016-03-22 05:43:00,-1,1
2016-03-22 05:43:00,-1,1
2016-03-22 05:43:00,-1,1
2016-03-22 05:47:00,-1,1
2016-03-22 05:47:00,-1,1
2016-03-22 05:51:00,-1,1
2016-03-22 05:51:00,-1,1
2016-03-22 05:53:00,-1,1
2016-03-22 05:53:00,-1,1
2016-03-22 05:57:00,-1,1
2016-03-22 05:57:00,-1,1
2016-03-22 05:57:00,-1,1
2016-03-22 05:57:00,-1,1
2016-03-22 05:57:00,-1,1
2016-03-22 06:05:00,-1,1
2016-03-22 06:05:00,-1,1
2016-03-22 06:05:00,-1,1
2016-03-22 06:10:00,-1,1
2016-03-22 06:10:00,-1,1
2016-03-22 06:10:00,-1,1
2016-03-22 06:16:00,-1,1
2016-03-22 06:18:00,-1,1
2016-03-22 06:18:00,-1,1
2016-03-22 06:18:00,-1,1
2016-03-22 06:18:00,-1,1
2016-03-22 06:18:00,-1,1
2016-03-22 06:18:00,-1,1
2016-03-22 06:18:00,-1,1
2016-03-22 06:18:00,-1,1
2016-03-22 06:18:00,-1,1
2016-03-22 06:18:00,-1,1
2016-03-22 06:33:00,-1,1
2016-03-22 06:33:00,-1,1
2016-03-22 06:33:00,-1,1
2016-03-22 06:33:00,-1,1
2016-03-22 06:33:00,-1,1
2016-03-22 06:43:00,-1,1
2016-03-22 06:43:00,-1,1
2016-03-22 06:43:00,-1,1
2016-03-22 06:43:00,-1,1
2016-03-22 06:43:00,-1,1
2016-03-22 06:50:00,-1,1
2016-03-22 06:50:00,-1,1
2016-03-22 06:55:00,-1,1
2016-03-22 06:55:00,-1,1
2016-03-22 06:58:00,-1,1
2016-03-22 06:59:00,-1,1
2016-03-22 06:59:00,-1,1
2016-03-22 06:59:00,-1,1
2016-03-22 06:59:00,-1,1
2016-03-22 06:59:00,-1,1
2016-03-22 07:07:00,-1,1
2016-03-22 07:07:00,-1,1
2016-03-22 07:11:00,-1,1
2016-03-22 07:12:00,-1,1
2016-03-22 07:15:00,-1,1
2016-03-22 07:16:00,-1,1
2016-03-22 07:16:00,-1,1
2016-03-22 07:16:00,-1,1
2016-03-22 07:16:00,-1,1
2016-03-22 07:16:00,-1,1
2016-03-22 07:25:00,-1,1
2016-03-22 07:25:00,-1,1
2016-03-22 07:28:00,-1,1
2016-03-22 07:30:00,-1,1
2016-03-22 07:30:00,-1,1
2016-03-22 07:30:00,-1,1
2016-03-22 07:30:00,-1,1
2016-03-22 07:36:00,-1,1
2016-03-22 07:38:00,-1,1
2016-03-22 07:38:00,-1,1
2016-03-22 07:42:00,1,1
2016-03-22 07:43:00,-1,1
2016-03-22 07:43:00,-1,1
2016-03-22 07:46:00,-1,1
2016-03-22 07:48:00,-1,1
2016-03-22 07:50:00,-1,1
2016-03-22 07:50:00,-1,1
2016-03-22 07:50:00,-1,1
2016-03-22 07:54:00,-1,1
2016-03-22 07:54:00,-1,1
2016-03-22 07:58:00,-1,1
2016-03-22 08:00:00,-1,1
2016-03-22 08:02:00,-1,1
2016-03-22 08:03:00,-1,1
2016-03-22 08:03:00,-1,1
2016-03-22 08:03:00,-1,1
2016-03-22 08:09:00,-1,1
2016-03-22 08:11:00,-1,1
2016-03-22 08:11:00,-1,1
2016-03-22 08:14:00,-1,1
2016-03-22 08:14:00,-1,1
2016-03-22 08:14:00,-1,1
2016-03-22 08:14:00,-1,1
2016-03-22 08:20:00,-1,1
2016-03-22 08:23:00,-1,1
2016-03-22 08:23:00,-1,1
2016-03-22 08:23:00,-1,1
2016-03-22 08:23:00,-1,1
2016-03-22 08:29:00,-1,1
2016-03-22 08:32:00,-1,1
2016-03-22 08:32:00,-1,1
2016-03-22 08:34:00,-1,1
2016-03-22 08:37:00,-1,1
2016-03-22 08:37:00,-1,1
2016-03-22 08:37:00,-1,1
2016-03-22 08:42:00,-1,1
2016-03-22 08:44:00,-1,1
2016-03-22 08:44:00,-1,1
2016-03-22 08:44:00,-1,1
2016-03-22 08:48:00,-1,1
2016-03-22 08:48:00,-1,1
2016-03-22 08:48:00,-1,1
2016-03-22 08:54:00,-1,1
2016-03-22 08:54:00,-1,1
2016-03-22 08:58:00,-1,1
2016-03-22 08:58:00,-1,1
2016-03-22 09:01:00,-1,1
2016-03-22 09:01:00,-1,1
2016-03-22 09:04:00,-1,1
2016-03-22 09:06:00,-1,1
