dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.3_system,safef,cycleTime,timestamp,RS_netEquity,v4.4_system,mrThreshold
2016-06-13 00:00:00,102543.67,102780.08,-0.00157593306654,0.0,0.00131876094679,0.0,-108.23,both_zigZag_PCA10_VotingSoft DPS wl2.0 maxL2 dd95_0.001 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,-108.48,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,,1.0,1854.01006667,20160614 06:54:00 EDT,,zigZag_PCA10_f10_is21,
2016-06-14 00:00:00,102661.74,102898.42,-0.00014893421153,0.0,0.00161514570617,0.0,118.07,both_zigZag_PCA10_VotingSoft DPS wl3.0 maxL2 dd95_0.002 thres_0.0,1.0,0.0,wf_is_pv3s_v2v,118.34,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,,1.0,1285.4015,20160614 21:25:24 EDT,,zigZag_PCA10_f10_is21,
2016-06-15 00:00:00,104457.7,103144.97,0.00718240155906,0.000881509013375,0.00186500961648,0.0,498.18,both_zigZag_PCA10_VotingSoft DPS wl4.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv3s_v2v,246.55,0.0,1.0,zigZag_PCA10_VotingSoft,1.0,,1.0,1568.05645,20160616 02:08:03 EDT,,zigZag_PCA10_f10_is21,
2016-06-16 00:00:00,103943.2,103171.39,0.0190092317591,0.000745416934365,0.00208514414057,8.31612096606,702.4,both_gainAhead_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,349.79,4.12702052586,1.0,gainAhead_VotingSoft,1.0,,1.0,1277.19391667,20160616 21:17:11 EDT,,gainAhead_VotingSoft_f92_is18,
2016-06-16 00:00:00,103943.2,103171.39,0.0171896394522,0.000481679158794,0.00208514414057,8.31612096606,702.4,both_gainAhead_VotingSoft DPS wl5.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,349.79,4.12702052586,1.0,gainAhead_VotingSoft,1.0,,1.0,1524.63986667,20160617 01:24:38 EDT,,gainAhead_VotingSoft_f92_is18,
2016-06-17 00:00:00,104681.16,103537.63,0.0264224393385,0.000431394563747,0.00228416096288,0.0,737.96,both_gainAhead_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,366.24,0.0,1.0,gainAhead_VotingSoft,1.0,,1.0,60.39,20160618 03:04:16 EDT,,gainAhead_VotingSoft_f92_is18,
2016-06-17 00:00:00,101876.36,101314.5,0.025445072786,0.000422401969067,0.00228416096288,0.0,718.19,both_gainAhead_VotingSoft DPS wl6.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,358.38,0.0,1.0,gainAhead_VotingSoft,1.0,,1.0,12.77,20160619 04:40:45 EDT,,gainAhead_VotingSoft_f92_is18,
2016-06-20 00:00:00,101535.59,101130.47,0.00258542703748,0.00345498976484,0.00246717581898,0.0,-370.21,both_gainAhead_VotingSoft DPS wl7.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,-184.03,0.0,1.0,gainAhead_VotingSoft,1.0,,1.0,1230.07808333,20160620 20:30:04 EDT,,gainAhead_VotingSoft_f92_is18,
2016-06-20 00:00:00,101506.25,101130.47,0.00468570698999,0.00343505170479,0.00246717581898,0.0,-370.11,both_gainAhead_VotingSoft DPS wl7.0 maxL2 dd95_0.002 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,-184.03,0.0,1.0,gainAhead_VotingSoft,1.0,,1.0,2576.54566667,20160621 18:56:32 EDT,,gainAhead_VotingSoft_f92_is18,
2016-06-21 00:00:00,101841.64,101227.33,0.0167116907453,0.00285500391317,0.00263752189358,0.0,194.71,both_gainAhead_VotingSoft DPS wl8.0 maxL2 dd95_0.003 thres_0.0,2.0,0.0,wf_is_pv2e_p2p,96.86,0.0,1.0,gainAhead_VotingSoft,1.0,,1.0,1479.6413,20160622 00:39:38 EDT,,gainAhead_VotingSoft_f92_is18,
