dates,signals,safef,comment
2016-05-02 17:38:29.573000-04:00,0,1,
2016-05-02 17:57:11.998000-04:00,0,1,
2016-05-02 18:12:06.870000-04:00,0,1,
2016-05-02 18:27:59.579000-04:00,0,1,
2016-05-02 18:43:13.031000-04:00,0,1,
2016-05-02 19:00:39.771000-04:00,0,1,
2016-05-02 19:14:16.367000-04:00,0,1,
2016-05-02 19:32:38.177000-04:00,0,1,
2016-05-02 19:47:39.207000-04:00,0,1,
2016-05-02 20:03:20.892000-04:00,0,1,
2016-05-02 20:19:07.694000-04:00,0,1,
2016-05-02 20:34:08.660000-04:00,0,1,
2016-05-02 20:54:37.944000-04:00,0,1,
2016-05-02 21:09:39.629000-04:00,0,1,
2016-05-02 21:23:01.931000-04:00,0,1,
2016-05-02 21:39:24.183000-04:00,0,1,
2016-05-02 21:56:47.375000-04:00,0,1,
2016-05-02 22:13:52.493000-04:00,0,1,
2016-05-02 22:31:09.552000-04:00,0,1,
2016-05-02 22:42:49.787000-04:00,0,1,
2016-05-02 22:57:00.555000-04:00,1,1,
2016-05-02 23:12:18.312000-04:00,1,1,
2016-05-02 23:30:06.492000-04:00,1,1,
