PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,trade_id,underlying
24,1457456519,2016-03-07 10:05:39,1457363139,1.33353,,forex,short,,1457359540,closed,2016-03-07 09:05:33,1.33669,10000,,1,1,,USDCAD,,101015068,
21,1457456519,2016-03-08 12:01:40,1457456500,1.10303,,forex,short,,1457452918,closed,2016-03-08 11:01:57,1.10513,10000,,1,1,,EURUSD,,101081227,
-37,1457456519,2016-03-08 00:40:45,1457415645,1.33319,,forex,short,,1457384732,closed,2016-03-07 16:05:25,1.32827,10000,,1,1,,USDCAD,,101059709,
10,1457456519,2016-03-08 06:04:56,1457435096,0.74302,,forex,long,,1457420749,closed,2016-03-08 01:36:17,0.74202,10000,,1,1,,AUDUSD,,101067156,
-5,1457327536,2016-03-04 00:19:13,1457068753,0.73592,,forex,long,,1457073669,closed,2016-03-04 00:01:35,0.73639,10000,,1,1,,AUDUSD,,100984296,
13,1457456519,2016-03-06 18:04:29,1457305469,1.09963,,forex,long,,1457093126,closed,2016-03-04 07:04:36,1.09836,10000,,1,1,,EURUSD,,100988374,
1,1457334726,2016-03-04 03:05:31,1457078731,1.34178,,forex,long,,1457076474,closed,2016-03-04 02:05:21,1.34169,10000,,1,1,,USDCAD,,100986352,
3,1457456519,2016-03-06 19:04:31,1457309071,1.09932,,forex,short,,1457305527,closed,2016-03-06 18:04:40,1.09958,10000,,1,1,,EURUSD,,101007010,
36,1457456519,2016-03-07 05:04:33,1457345073,1.09545,,forex,short,,1457323552,closed,2016-03-06 23:05:00,1.09907,10000,,1,1,,EURUSD,,101008983,
-4,1457323552,2016-03-03 23:09:37,1457064577,1.34194,,forex,short,,1457073669,closed,2016-03-03 20:04:06,1.34147,10000,,1,1,,USDCAD,,100980714,
2,1457456519,2016-03-07 15:04:42,1457381082,1.42636,,forex,short,,1457370346,closed,2016-03-07 12:05:06,1.42657,10000,,1,1,,GBPUSD,,101020887,
5,1457186795,2016-03-03 15:01:03,1457035263,0.73576,,forex,short,,1457073669,closed,2016-03-03 13:01:02,0.73621,10000,,1,1,,AUDUSD,,100973755,
-36,1457323993,2016-03-03 23:32:33,1457065953,113.58200,,forex,short,,1457073669,closed,2016-03-03 10:01:12,113.51467,10000,,6,6,,USDJPY,,100968856,
14,1457377505,2016-03-04 14:05:56,1457118356,1.33209,,forex,short,,1457111156,closed,2016-03-04 12:05:49,1.33395,10000,,1,1,,USDCAD,,100996291,
-3,1457186795,2016-03-03 09:01:10,1457013670,0.73331,,forex,short,,1457073669,closed,2016-03-03 07:01:16,0.73304,10000,,1,1,,AUDUSD,,100964528,
3,1457186795,2016-03-03 07:01:16,1457006476,1.34332,,forex,short,,1457073669,closed,2016-03-03 05:01:43,1.34366,10000,,1,1,,USDCAD,,100963629,
0,1457456514,,,112.51500,,forex,short,2016-03-08 12:01:54,1457456514,open,2016-03-08 12:01:53,112.51500,10000,,0,1,,USDJPY,,101083040,
-9,1457330733,2016-03-04 02:04:34,1457075074,1.41635,,forex,short,,1457073669,closed,2016-03-04 00:01:34,1.41547,10000,,1,1,,GBPUSD,,100984293,
-5,1457186795,2016-03-03 05:01:38,1456999298,1.08701,,forex,short,,1457073669,closed,2016-03-03 03:13:09,1.08650,10000,,1,1,,EURUSD,,100962826,
-6,1457323993,2016-03-04 00:01:34,1457067694,0.73645,,forex,short,,1457073669,closed,2016-03-03 16:01:18,0.73590,10000,,1,1,,AUDUSD,,100978892,
8,1457456519,2016-03-06 23:05:00,1457323500,1.42148,,forex,short,,1457305527,closed,2016-03-06 18:04:52,1.42226,10000,,1,1,,GBPUSD,,101007025,
-32,1457456519,2016-03-07 12:05:28,1457370328,1.32925,,forex,long,,1457363154,closed,2016-03-07 10:05:49,1.33349,10000,,1,1,,USDCAD,,101017195,
12,1457456519,2016-03-07 13:05:59,1457373959,0.99474,,forex,short,,1457370346,closed,2016-03-07 12:05:17,0.99591,10000,,1,1,,USDCHF,,101020901,
5,1457456519,2016-03-07 15:05:16,1457381116,1.3282,,forex,short,,1457377505,closed,2016-03-07 14:04:58,1.32884,10000,,1,1,,USDCAD,,101028421,
4,1457456519,2016-03-08 04:34:29,1457429669,112.973,,forex,long,,1457424625,closed,2016-03-08 02:05:23,112.95100,10000,,2,2,,USDJPY,,101068947,
9,1457186795,2016-03-03 03:04:22,1456992262,0.99763,,forex,long,,1457073669,closed,2016-03-03 02:02:11,0.99718,10000,,2,2,,USDCHF,,100962197,
1,1457456506,,,1.10310,,forex,long,2016-03-08 12:01:46,1457456506,open,2016-03-08 12:01:45,1.10310,10000,,0,1,,EURUSD,,101083034,
19,1457349094,2016-03-04 07:04:49,1457093089,0.99217,,forex,short,,1457082315,closed,2016-03-04 04:04:45,0.99409,10000,,1,1,,USDCHF,,100987274,
-27,1457356296,2016-03-04 09:05:24,1457100324,0.98933,,forex,long,,1457093126,closed,2016-03-04 07:05:00,0.99199,10000,,1,1,,USDCHF,,100988388,
59,1457456519,2016-03-07 12:04:55,1457370295,1.42662,,forex,long,,1457366748,closed,2016-03-07 11:05:10,1.42077,10000,,1,1,,GBPUSD,,101019183,
13,1457456519,2016-03-08 02:04:50,1457420690,1.42612,,forex,long,,1457417123,closed,2016-03-08 01:04:44,1.42486,10000,,1,1,,GBPUSD,,101066727,
7,1457456519,2016-03-06 18:04:41,1457305481,1.42247,,forex,long,,1457118374,closed,2016-03-04 14:05:32,1.42178,10000,,1,1,,GBPUSD,,100998954,
0,1457456519,2016-03-07 02:04:45,1457334285,0.99447,,forex,short,,1457118374,closed,2016-03-04 14:05:44,0.99446,10000,,1,1,,USDCHF,,100998965,
16,1457456519,2016-03-07 14:04:46,1457377486,1.32897,,forex,long,,1457373998,closed,2016-03-07 13:06:32,1.32679,10000,,1,1,,USDCAD,,101022913,
2,1457186796,2016-03-03 06:17:07,1457003827,0.73310,,forex,short,,1457073669,closed,2016-03-03 06:12:46,0.73331,10000,,1,1,,AUDUSD,,100964161,
5,1457186796,2016-03-03 16:01:18,1457038878,1.33985,,forex,short,,1457073669,closed,2016-03-03 15:01:07,1.34055,10000,,1,1,,USDCAD,,100977536,
4,1457305549,2016-03-03 19:01:08,1457049668,1.34100,,forex,short,,1457073669,closed,2016-03-03 18:01:13,1.34152,10000,,1,1,,USDCAD,,100979836,
