,20171130,20171201,20171204,20171205,20171206,20171207,20171208,20171211,20171212,20171213,20171214,20171215,20171218,20171219,20171220,20171221,20171222,20171225,20171226,20171227,20171228,20171229,20180101,20180102,20180103
ZF trigger,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30,2017-12-12 16:30,2017-12-13 16:30,2017-12-14 16:30,2017-12-15 16:30,2017-12-18 16:30,2017-12-19 16:30,2017-12-20 16:30,2017-12-21 16:30,2017-12-22 16:30,2017-12-25 16:30,2017-12-26 16:30,2017-12-27 16:30,2017-12-28 16:30,2017-12-29 16:30,2018-01-01 16:30,2018-01-02 16:30,2018-01-03 16:30
GC open,2017-11-29 18:00,2017-11-30 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00,2017-12-11 18:00,2017-12-12 18:00,2017-12-13 18:00,2017-12-14 18:00,2017-12-17 18:00,2017-12-18 18:00,2017-12-19 18:00,2017-12-20 18:00,2017-12-21 18:00,2017-12-24 18:00,2017-12-25 18:00,2017-12-26 18:00,2017-12-27 18:00,2017-12-28 18:00,2017-11-30 18:00,2018-01-01 18:00,2018-01-02 18:00
GC close,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00,2017-12-12 17:00,2017-12-13 17:00,2017-12-14 17:00,2017-12-15 17:00,2017-12-18 17:00,2017-12-19 17:00,2017-12-20 17:00,2017-12-21 17:00,2017-12-22 17:00,2017-12-25 17:00,2017-12-26 17:00,2017-12-27 17:00,2017-12-28 17:00,2017-12-29 17:00,2018-01-01 17:00,2018-01-02 17:00,2018-01-03 17:00
GC trigger,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30,2017-12-12 16:30,2017-12-13 16:30,2017-12-14 16:30,2017-12-15 16:30,2017-12-18 16:30,2017-12-19 16:30,2017-12-20 16:30,2017-12-21 16:30,2017-12-22 16:30,2017-12-25 16:30,2017-12-26 16:30,2017-12-27 16:30,2017-12-28 16:30,2017-12-29 16:30,2018-01-01 16:30,2018-01-02 16:30,2018-01-03 16:30
HG open,2017-11-29 18:00,2017-11-30 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00,2017-12-11 18:00,2017-12-12 18:00,2017-12-13 18:00,2017-12-14 18:00,2017-12-17 18:00,2017-12-18 18:00,2017-12-19 18:00,2017-12-20 18:00,2017-12-21 18:00,2017-12-24 18:00,2017-12-25 18:00,2017-12-26 18:00,2017-12-27 18:00,2017-12-28 18:00,2017-11-30 18:00,2018-01-01 18:00,2018-01-02 18:00
HG close,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00,2017-12-12 17:00,2017-12-13 17:00,2017-12-14 17:00,2017-12-15 17:00,2017-12-18 17:00,2017-12-19 17:00,2017-12-20 17:00,2017-12-21 17:00,2017-12-22 17:00,2017-12-25 17:00,2017-12-26 17:00,2017-12-27 17:00,2017-12-28 17:00,2017-12-29 17:00,2018-01-01 17:00,2018-01-02 17:00,2018-01-03 17:00
HG trigger,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30,2017-12-12 16:30,2017-12-13 16:30,2017-12-14 16:30,2017-12-15 16:30,2017-12-18 16:30,2017-12-19 16:30,2017-12-20 16:30,2017-12-21 16:30,2017-12-22 16:30,2017-12-25 16:30,2017-12-26 16:30,2017-12-27 16:30,2017-12-28 16:30,2017-12-29 16:30,2018-01-01 16:30,2018-01-02 16:30,2018-01-03 16:30
HO open,2017-11-29 18:00,2017-11-30 18:00,2017-12-03 18:00,2017-12-04 18:00,2017-12-05 18:00,2017-12-06 18:00,2017-12-07 18:00,2017-12-10 18:00,2017-12-11 18:00,2017-12-12 18:00,2017-12-13 18:00,2017-12-14 18:00,2017-12-17 18:00,2017-12-18 18:00,2017-12-19 18:00,2017-12-20 18:00,2017-12-21 18:00,2017-12-24 18:00,2017-12-25 18:00,2017-12-26 18:00,2017-12-27 18:00,2017-12-28 18:00,,,
HO close,2017-11-30 17:00,2017-12-01 17:00,2017-12-04 17:00,2017-12-05 17:00,2017-12-06 17:00,2017-12-07 17:00,2017-12-08 17:00,2017-12-11 17:00,2017-12-12 17:00,2017-12-13 17:00,2017-12-14 17:00,2017-12-15 17:00,2017-12-18 17:00,2017-12-19 17:00,2017-12-20 17:00,2017-12-21 17:00,2017-12-22 17:00,2017-12-25 17:00,2017-12-26 17:00,2017-12-27 17:00,2017-12-28 17:00,2017-12-29 17:00,,,
HO trigger,2017-11-30 16:30,2017-12-01 16:30,2017-12-04 16:30,2017-12-05 16:30,2017-12-06 16:30,2017-12-07 16:30,2017-12-08 16:30,2017-12-11 16:30,2017-12-12 16:30,2017-12-13 16:30,2017-12-14 16:30,2017-12-15 16:30,2017-12-18 16:30,2017-12-19 16:30,2017-12-20 16:30,2017-12-21 16:30,2017-12-22 16:30,2017-12-25 16:30,2017-12-26 16:30,2017-12-27 16:30,2017-12-28 16:30,2017-12-29 16:30,,,
