Date,Close,High,Low,Open,Volume,index
20160320  13:00:00,0.75956,0.759765,0.759395,0.759575,0.0,
20160320  14:00:00,0.75934,0.760425,0.75928,0.75956,0.0,
20160320  15:00:00,0.7593,0.75963,0.758975,0.75934,0.0,
20160320  16:00:00,0.75868,0.759535,0.758355,0.7593,0.0,
20160320  17:00:00,0.758225,0.759365,0.756895,0.75868,0.0,
20160320  18:00:00,0.759165,0.75963,0.75792,0.758225,0.0,
20160320  19:00:00,0.75847,0.75925,0.758085,0.759165,0.0,
20160320  20:00:00,0.758335,0.759215,0.758335,0.75847,0.0,
20160320  21:00:00,0.75788,0.758725,0.75784,0.758335,0.0,
20160320  22:00:00,0.75802,0.758675,0.757365,0.75788,0.0,
20160320  23:00:00,0.758685,0.75902,0.757165,0.75802,0.0,
20160321  00:00:00,0.761725,0.762605,0.758525,0.758685,0.0,
20160321  01:00:00,0.76163,0.762365,0.76094,0.761725,0.0,
20160321  02:00:00,0.762335,0.76267,0.761485,0.76163,0.0,
20160321  03:00:00,0.76041,0.762525,0.76041,0.762335,0.0,
20160321  04:00:00,0.759795,0.76094,0.759325,0.76041,0.0,
20160321  05:00:00,0.7602,0.761125,0.7595,0.759795,0.0,
20160321  06:00:00,0.75841,0.76103,0.75778,0.7602,0.0,
20160321  07:00:00,0.759475,0.75981,0.758405,0.75841,0.0,
20160321  08:00:00,0.758,0.759915,0.757975,0.759475,0.0,
20160321  09:00:00,0.75844,0.75888,0.757885,0.758,0.0,
20160321  10:00:00,0.759635,0.759755,0.75819,0.75844,0.0,
20160321  11:00:00,0.75806,0.7597,0.75801,0.759635,0.0,
20160321  12:00:00,0.757845,0.758415,0.75756,0.75806,0.0,
20160321  13:00:00,0.75811,0.75824,0.757545,0.75775,0.0,
20160321  14:00:00,0.758115,0.758695,0.75782,0.75811,0.0,
20160321  15:00:00,0.756925,0.75836,0.756895,0.758115,0.0,
20160321  16:00:00,0.7573,0.7576,0.75691,0.756925,0.0,
20160321  17:00:00,0.757695,0.757885,0.75691,0.7573,0.0,
20160321  18:00:00,0.75886,0.759405,0.75744,0.757695,0.0,
20160321  19:00:00,0.758875,0.75957,0.758545,0.75886,0.0,
20160321  20:00:00,0.759265,0.759595,0.758665,0.75887,0.0,
20160321  21:00:00,0.76103,0.76122,0.75869,0.759265,0.0,
20160321  22:00:00,0.761655,0.762105,0.760375,0.76103,0.0,
20160321  23:00:00,0.759335,0.76192,0.75875,0.761655,0.0,
20160322  00:00:00,0.757475,0.75989,0.75513,0.759335,0.0,
20160322  01:00:00,0.759335,0.760285,0.757135,0.757475,0.0,
20160322  02:00:00,0.75937,0.760005,0.758335,0.759335,0.0,
20160322  03:00:00,0.760165,0.76088,0.759275,0.75937,0.0,
20160322  04:00:00,0.76006,0.76076,0.75944,0.760165,0.0,
20160322  05:00:00,0.76097,0.76136,0.758635,0.76006,0.0,
20160322  06:00:00,0.762445,0.763045,0.760135,0.76097,0.0,
20160322  07:00:00,0.762465,0.76432,0.761905,0.762445,0.0,
20160322  08:00:00,0.761355,0.762885,0.76111,0.762465,0.0,
20160322  09:00:00,0.761665,0.762145,0.761065,0.761355,0.0,
20160322  10:00:00,0.761685,0.761985,0.76105,0.761665,0.0,
20160322  11:00:00,0.762215,0.762445,0.76133,0.761685,0.0,
20160322  12:00:00,0.76216,0.762515,0.761525,0.762215,0.0,
20160322  13:00:00,0.76157,0.762375,0.761355,0.76218,0.0,
20160322  14:00:00,0.761335,0.762125,0.761285,0.76157,0.0,
20160322  15:00:00,0.76196,0.762095,0.7612,0.761335,0.0,
20160322  16:00:00,0.76363,0.763845,0.76096,0.76196,0.0,
20160322  17:00:00,0.76326,0.7649,0.76309,0.76363,0.0,
20160322  18:00:00,0.763155,0.76347,0.762205,0.76326,0.0,
20160322  19:00:00,0.76252,0.763735,0.762495,0.763155,0.0,
20160322  20:00:00,0.761465,0.763295,0.76048,0.762485,0.0,
20160322  21:00:00,0.761175,0.761895,0.760885,0.761465,0.0,
20160322  22:00:00,0.76155,0.76303,0.761055,0.761175,0.0,
20160322  23:00:00,0.75902,0.762045,0.75867,0.76155,0.0,
20160323  00:00:00,0.76068,0.761785,0.759005,0.75902,0.0,
20160323  01:00:00,0.75881,0.760705,0.75867,0.76068,0.0,
20160323  02:00:00,0.758975,0.7595,0.757685,0.75881,0.0,
20160323  03:00:00,0.75918,0.76041,0.758555,0.758975,0.0,
20160323  04:00:00,0.756275,0.75933,0.75626,0.75918,0.0,
20160323  05:00:00,0.75588,0.75708,0.755285,0.756275,0.0,
20160323  06:00:00,0.755575,0.756125,0.754055,0.75588,0.0,
