,price_diff,profit,total,returns,accuracy,equity
2016-05-25 09:30:00,-4.75,-950.0,16650.0,-0.0539772727273,0.976377460818,16650.0
2016-05-25 10:00:00,-1.0,-200.0,16450.0,-0.012012012012,0.976377460818,16450.0
2016-05-25 10:30:00,1.25,0.0,16450.0,0.0,0.980964616781,16450.0
2016-05-25 11:00:00,2.5,0.0,16450.0,0.0,0.980964616781,16450.0
2016-05-25 11:30:00,2.75,0.0,16450.0,0.0,0.980964616781,16450.0
2016-05-25 12:00:00,1.0,0.0,16450.0,0.0,0.980964616781,16450.0
2016-05-25 12:30:00,2.25,0.0,16450.0,0.0,0.980964616781,16450.0
2016-05-25 13:00:00,-2.5,-0.0,16450.0,0.0,0.980964616781,16450.0
2016-05-25 13:30:00,-3.25,-0.0,16450.0,0.0,0.980964616781,16450.0
2016-05-25 14:00:00,1.0,0.0,16450.0,0.0,0.980964616781,16450.0
2016-05-25 14:30:00,-0.75,-0.0,16450.0,0.0,0.980964616781,16450.0
2016-05-25 15:00:00,3.25,0.0,16450.0,0.0,0.980964616781,16450.0
2016-05-25 15:30:00,-2.5,-0.0,16450.0,0.0,0.980964616781,16450.0
2016-05-25 16:00:00,-5.5,-0.0,16450.0,0.0,0.980964616781,16450.0
2016-05-25 16:30:00,10.75,2150.0,18600.0,0.130699088146,0.980964616781,18600.0
2016-05-25 17:00:00,3.25,0.0,18600.0,0.0,0.980964616781,18600.0
2016-05-25 17:30:00,1.0,0.0,18600.0,0.0,0.980964616781,18600.0
2016-05-25 18:00:00,-6.5,-0.0,18600.0,0.0,0.980964616781,18600.0
2016-05-25 18:30:00,4.75,0.0,18600.0,0.0,0.980964616781,18600.0
2016-05-25 19:00:00,0.0,0.0,18600.0,0.0,0.980964616781,18600.0
2016-05-25 19:30:00,2.75,0.0,18600.0,0.0,0.980964616781,18600.0
2016-05-25 20:00:00,10.5,0.0,18600.0,0.0,0.980964616781,18600.0
2016-05-25 20:30:00,-1.0,-0.0,18600.0,0.0,0.980964616781,18600.0
2016-05-25 21:00:00,-6.75,-0.0,18600.0,0.0,0.980964616781,18600.0
2016-05-25 21:30:00,-8.25,-0.0,18600.0,0.0,0.980964616781,18600.0
2016-05-25 22:00:00,12.25,0.0,18600.0,0.0,0.980964616781,18600.0
2016-05-25 22:30:00,-7.5,-0.0,18600.0,0.0,0.980964616781,18600.0
2016-05-25 23:00:00,-0.75,-150.0,18450.0,-0.00806451612903,0.976849390444,18450.0
2016-05-25 23:30:00,2.25,0.0,18450.0,0.0,0.980947751099,18450.0
2016-05-26 01:00:00,-1.0,-0.0,18450.0,0.0,0.980947751099,18450.0
2016-05-26 01:30:00,2.5,500.0,18950.0,0.0271002710027,0.980947751099,18950.0
2016-05-26 02:00:00,-1.0,-0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 02:30:00,-2.0,-0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 03:00:00,-2.25,-0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 03:30:00,-4.25,-0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 04:00:00,3.5,0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 04:30:00,-3.0,-0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 05:00:00,-0.75,-0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 05:30:00,0.25,0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 06:00:00,3.5,0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 06:30:00,-1.75,-0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 07:00:00,0.25,0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 07:30:00,1.0,0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 08:00:00,3.5,0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 08:30:00,-0.25,-0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 09:00:00,2.75,0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 09:30:00,-1.0,-0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 10:00:00,3.5,0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 10:30:00,3.5,0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 11:00:00,-4.5,-0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 11:30:00,-2.75,-0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 12:00:00,3.5,0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 12:30:00,1.25,0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 13:00:00,3.75,0.0,18950.0,0.0,0.980947751099,18950.0
2016-05-26 13:30:00,-0.5,-0.0,18950.0,0.0,0.980947751099,18950.0
