,signals,gainAhead,safef,trade,commission,numBars,equity,maxEquity,drawdown,maxDD
2016-04-06 21:30:00,1.0,-0.000378439555776,1.0,24.7409308373,0.0,15.0,99932.1540706,100004.388075,0.000722308353441,0.00111107734998
2016-04-06 22:00:00,1.0,-0.000583795947395,1.0,-37.8182799942,0.0,16.0,99894.3357906,100004.388075,0.00110047455916,0.00111107734998
2016-04-06 22:30:00,-1.0,-0.000198252545421,1.0,-58.3179084022,2.0,17.0,99834.0178822,100004.388075,0.00170362717639,0.00170362717639
2016-04-06 23:00:00,-1.0,-0.000109768706712,0.0,19.7923481647,2.0,18.0,99851.8102304,100004.388075,0.00152571150182,0.00170362717639
2016-04-06 23:30:00,1.0,-0.000658684543223,0.0,0.0,0.0,19.0,99851.8102304,100004.388075,0.00152571150182,0.00170362717639
2016-04-07 00:00:00,-1.0,0.000102765817963,0.0,-0.0,0.0,20.0,99851.8102304,100004.388075,0.00152571150182,0.00170362717639
2016-04-07 00:30:00,-1.0,-2.12597086004e-05,2.0,-0.0,2.0,21.0,99849.8102304,100004.388075,0.00154571062424,0.00170362717639
2016-04-07 01:00:00,-1.0,0.000747648980575,0.0,4.24555573861,3.99,22.0,99850.0657861,100004.388075,0.00154315517899,0.00170362717639
2016-04-07 01:30:00,1.0,0.00113302812388,1.0,-0.0,2.0,23.0,99848.0657861,100004.388075,0.00156315430142,0.00170362717639
2016-04-07 02:00:00,-1.0,0.000519895737916,1.0,113.130666651,2.0,24.0,99959.1964527,100004.388075,0.000451896397743,0.00170362717639
2016-04-07 02:30:00,1.0,-0.000728182795091,1.0,-51.9683602013,4.0,25.0,99903.2280925,100004.388075,0.00101155544149,0.00170362717639
2016-04-07 03:00:00,-1.0,-0.00131592910963,1.0,-72.747811871,2.0,26.0,99828.4802807,100004.388075,0.00175900076174,0.00175900076174
2016-04-07 03:30:00,-1.0,-0.00313830503191,1.0,131.367203171,0.0,27.0,99959.8474838,100004.388075,0.000445386372421,0.00175900076174
2016-04-07 04:00:00,-1.0,0.000866994513772,1.0,313.704492348,0.0,28.0,100273.551976,100273.551976,0.0,0.00175900076174
2016-04-07 04:30:00,-1.0,-0.00060708047544,1.0,-86.9366194398,0.0,29.0,100186.615357,100273.551976,0.000866994513772,0.00175900076174
2016-04-07 05:00:00,-1.0,0.000586135237385,1.0,60.8213380835,0.0,30.0,100247.436695,100273.551976,0.000260440373774,0.00175900076174
2016-04-07 05:30:00,-1.0,-0.00108282742216,1.0,-58.7585551043,0.0,31.0,100188.67814,100273.551976,0.000846422957879,0.00175900076174
2016-04-07 06:00:00,-1.0,0.000415829971745,0.0,108.48704808,2.01,32.0,100295.155188,100295.155188,0.0,0.00175900076174
2016-04-07 06:30:00,-1.0,-0.000792235382724,1.0,-0.0,2.0,33.0,100293.155188,100295.155188,1.99411426829e-05,0.00175900076174
2016-04-07 07:00:00,-1.0,0.000984857373453,1.0,79.4557861848,0.0,34.0,100372.610974,100372.610974,0.0,0.00175900076174
2016-04-07 07:30:00,-1.0,0.00231941918618,1.0,-98.8527060104,0.0,35.0,100273.758268,100372.610974,0.000984857373453,0.00175900076174
2016-04-07 08:00:00,-1.0,-0.00215104061462,1.0,-232.576878797,0.0,36.0,100041.181389,100372.610974,0.00330199226254,0.00330199226254
2016-04-07 08:30:00,-1.0,2.13081802104e-05,1.0,215.192644303,0.0,37.0,100256.374033,100372.610974,0.00115805436739,0.00330199226254
2016-04-07 09:00:00,-1.0,0.000877168061139,1.0,-2.13628088514,0.0,38.0,100254.237753,100372.610974,0.00117933787157,0.00330199226254
2016-04-07 09:30:00,-1.0,-0.00122057232068,1.0,-87.9398153504,0.0,39.0,100166.297937,100372.610974,0.00205547145519,0.00330199226254
2016-04-07 10:00:00,-1.0,0.00187927855598,1.0,122.260210728,0.0,40.0,100288.558148,100372.610974,0.00083740798607,0.00330199226254
