,signals,gainAhead,safef,trade,numBars,equity,maxEquity,drawdown,maxDD
2016-03-23 23:27:00,-1.0,6.92224159488e-05,2.19541882057,-1.90098990956e-05,59.0,1.00067639411,1.00128566284,0.000608486417234,0.000608486417234
2016-03-23 23:28:00,-1.0,-4.75871168696e-05,2.19541882057,-0.000152074987877,60.0,1.00052431912,1.00128566284,0.000760366138997,0.000760366138997
2016-03-23 23:29:00,-1.0,2.16315370505e-05,2.19541882057,0.000104528429526,61.0,1.00062884755,1.00128566284,0.000655971925232,0.000760366138997
2016-03-23 23:30:00,-1.0,-0.000181700980753,2.19541882057,-4.75201477071e-05,62.0,1.00058132741,1.00128566284,0.000703431056497,0.000760366138997
2016-03-23 23:31:00,-1.0,6.05780006664e-05,2.19541882057,0.000399141650032,63.0,1.00098046906,1.00128566284,0.000304801909146,0.000760366138997
2016-03-23 23:32:00,-1.0,0.000134128876216,4.67506842247,-0.000133124479358,64.0,1.00084734458,1.00128566284,0.000437755455071,0.000760366138997
2016-03-23 23:33:00,-1.0,1.7304630719e-05,4.67506842247,-0.000627593011049,65.0,1.00021975157,1.00128566284,0.00106454262914,0.00106454262914
2016-03-23 23:34:00,-1.0,-0.0001168042361,4.67506842247,-8.09181106117e-05,66.0,1.00013883345,1.00128566284,0.00114535683993,0.00114535683993
2016-03-23 23:35:00,-1.0,-3.02861172764e-05,4.67506842247,0.000546143608282,67.0,1.00068497706,1.00128566284,0.00059991448661,0.00114535683993
2016-03-23 23:36:00,-1.0,0.000147108453544,4.67506842247,0.000141686656195,68.0,1.00082666372,1.00128566284,0.000458409757786,0.00114535683993
2016-03-23 23:37:00,-1.0,-8.65216563685e-06,4.67506842247,-0.000688310617272,69.0,1.0001383531,1.00128566284,0.00114583657594,0.00114583657594
2016-03-23 23:38:00,-1.0,-5.6239563235e-05,4.67506842247,4.0455062664e-05,70.0,1.00017880816,1.00128566284,0.00110543345807,0.00114583657594
2016-03-23 23:39:00,-1.0,3.46109084931e-05,4.67506842247,0.000262970819097,71.0,1.00044177898,1.00128566284,0.000842800296666,0.00114583657594
2016-03-23 23:40:00,-1.0,5.19145659293e-05,4.67506842247,-0.000161879848904,72.0,1.00027989914,1.00128566284,0.0010044722899,0.00114583657594
2016-03-23 23:41:00,-1.0,-3.89339032103e-05,4.67506842247,-0.000242772080524,73.0,1.00003712705,1.00128566284,0.00124693264815,0.00124693264815
2016-03-23 23:42:00,-1.0,-9.08493112758e-05,4.67506842247,0.000182025419279,74.0,1.00021915247,1.00128566284,0.0010651409517,0.00124693264815
2016-03-23 23:43:00,-1.0,-0.000103837217855,4.67506842247,0.000424819826266,75.0,1.0006439723,1.00128566284,0.000640866599201,0.00124693264815
2016-03-23 23:44:00,-1.0,8.22130009042e-05,4.67506842247,0.000485758712111,76.0,1.00112973101,1.00128566284,0.000155731607121,0.00124693264815
2016-03-23 23:45:00,-1.0,-5.19197320941e-05,4.67506842247,-0.000384785618145,77.0,1.00074494539,1.00128566284,0.000540023155903,0.00124693264815
2016-03-23 23:46:00,-1.0,-2.59612139464e-05,4.67506842247,0.000242909119345,78.0,1.00098785451,1.00128566284,0.000297425934789,0.00124693264815
2016-03-23 23:47:00,-1.0,-6.49047198713e-05,4.67506842247,0.000121490347878,79.0,1.00110934486,1.00128566284,0.00017609158198,0.00124693264815
2016-03-23 23:48:00,-1.0,-3.02908352914e-05,4.67506842247,0.000303770619295,80.0,1.00141311548,1.00141311548,0.0,0.00124693264815
2016-03-23 23:49:00,1.0,-0.000294262742009,0.0,0.000141811841286,81.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-23 23:50:00,1.0,0.000173146681211,0.0,-0.0,82.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-23 23:51:00,1.0,-3.02954236599e-05,0.0,0.0,83.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-23 23:52:00,1.0,-0.00014282560993,0.0,-0.0,84.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-23 23:53:00,1.0,8.65733406054e-05,0.0,-0.0,85.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-23 23:54:00,1.0,-0.000142833646413,0.0,0.0,86.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-23 23:55:00,1.0,0.000103893855111,0.0,-0.0,87.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-23 23:56:00,1.0,0.000112539984158,0.0,0.0,88.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-23 23:57:00,1.0,0.000194758823657,0.0,0.0,89.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-23 23:58:00,1.0,-0.00010385114669,0.0,0.0,90.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-23 23:59:00,1.0,3.89482248265e-05,0.0,-0.0,91.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-24 00:00:00,1.0,-3.89467079214e-05,0.0,0.0,92.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-24 00:01:00,1.0,0.000125499835552,0.0,-0.0,93.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-24 00:02:00,1.0,-9.08677873693e-05,0.0,0.0,94.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-24 00:03:00,1.0,5.19291686139e-05,0.0,-0.0,95.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-24 00:04:00,1.0,-3.46176480769e-05,0.0,0.0,96.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-24 00:05:00,1.0,1.73094232501e-05,0.0,-0.0,97.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-24 00:06:00,1.0,3.02909663683e-05,0.0,0.0,98.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-24 00:07:00,-1.0,-8.65429967243e-05,1.0,0.0,99.0,1.00155492732,1.00155492732,0.0,0.00124693264815
2016-03-24 00:08:00,-1.0,-7.78954383566e-05,1.0,8.66775647944e-05,100.0,1.00164160489,1.00164160489,0.0,0.00124693264815
2016-03-24 00:09:00,-1.0,-1.29835844215e-05,1.0,7.80233118888e-05,101.0,1.0017196282,1.0017196282,0.0,0.00124693264815
2016-03-24 00:10:00,-1.0,3.89512589913e-05,1.0,1.30059113594e-05,102.0,1.00173263411,1.00173263411,0.0,0.00124693264815
2016-03-24 00:11:00,-1.0,0.000212059705626,1.0,-3.90187472713e-05,103.0,1.00169361536,1.00173263411,3.89512589912e-05,0.00124693264815
2016-03-24 00:12:00,-1.0,-4.32683154779e-05,1.0,-0.000212418853202,104.0,1.00148119651,1.00173263411,0.000251002704625,0.00124693264815
2016-03-24 00:13:00,-1.0,-8.65403754113e-06,1.0,4.33324043558e-05,105.0,1.00152452891,1.00173263411,0.000207745249611,0.00124693264815
2016-03-24 00:14:00,-1.0,0.00025529631681,1.0,8.66723087159e-06,106.0,1.00153319614,1.00173263411,0.000199093009905,0.00124693264815
2016-03-24 00:15:00,-1.0,-0.000250905205418,1.0,-0.000255687736138,107.0,1.00127750841,1.00173263411,0.000454338499003,0.00124693264815
2016-03-24 00:16:00,-1.0,-0.000121157049826,1.0,0.000251225738928,108.0,1.00152873415,1.00173263411,0.000203547289479,0.00124693264815
2016-03-24 00:17:00,-1.0,6.05858653177e-05,1.0,0.000121342266745,109.0,1.00165007641,1.00173263411,8.24149008427e-05,0.00124693264815
2016-03-24 00:18:00,-1.0,1.73091985408e-05,1.0,-6.06858366251e-05,110.0,1.00158939058,1.00173263411,0.000142995772982,0.00124693264815
2016-03-24 00:19:00,-1.0,-3.02905731409e-05,1.0,-1.73367096179e-05,111.0,1.00157205387,1.00173263411,0.000160302496381,0.00124693264815
2016-03-24 00:20:00,-1.0,3.89462023126e-05,1.0,3.03381915536e-05,112.0,1.00160239206,1.00173263411,0.000130016778894,0.00124693264815
2016-03-24 00:21:00,-1.0,-0.000125488431265,1.0,-3.90086093979e-05,113.0,1.00156338345,1.00173263411,0.000168957917547,0.00124693264815
2016-03-24 00:22:00,-1.0,-0.00023802517008,1.0,0.000125684617802,114.0,1.00168906807,1.00173263411,4.34906885464e-05,0.00124693264815
2016-03-24 00:23:00,-1.0,0.000168821668045,1.0,0.000238427210794,115.0,1.00192749528,1.00192749528,0.0,0.00124693264815
2016-03-24 00:24:00,-1.0,-6.05924207539e-05,1.0,-0.000169147071013,116.0,1.00175834821,1.00192749528,0.000168821668045,0.00124693264815
2016-03-24 00:25:00,1.0,-3.89546308399e-05,0.0,6.06989633284e-05,117.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:26:00,1.0,-8.22407576538e-05,0.0,-0.0,118.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:27:00,1.0,-6.06034370807e-05,0.0,-0.0,119.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:28:00,1.0,1.73163171657e-05,0.0,-0.0,120.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:29:00,1.0,-4.329004329e-05,0.0,0.0,121.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:30:00,1.0,-4.76211091389e-05,0.0,-0.0,122.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:31:00,1.0,-4.32939791064e-05,0.0,-0.0,123.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:32:00,1.0,-7.36029510454e-05,0.0,-0.0,124.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:33:00,1.0,0.000155876545776,0.0,-0.0,125.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:34:00,1.0,5.62799799124e-05,0.0,0.0,126.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:35:00,1.0,0.000376621746226,0.0,0.0,127.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:36:00,1.0,-9.95291836876e-05,0.0,0.0,128.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:37:00,1.0,5.62612251964e-05,0.0,-0.0,129.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:38:00,1.0,-4.32754308071e-06,0.0,0.0,130.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:39:00,1.0,3.02929326588e-05,0.0,-0.0,131.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:40:00,1.0,0.0,0.0,0.0,132.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
2016-03-24 00:41:00,1.0,-1.29822921536e-05,0.0,0.0,133.0,1.00181904717,1.00192749528,0.000108239476604,0.00124693264815
