,price_diff,profit,total,returns,accuracy,equity
2016-04-20 08:00:00,0.0195,0.0,0.0,,1.0,0.0
2016-04-20 08:30:00,-0.052,-0.0,0.0,,1.0,0.0
2016-04-20 09:00:00,0.02,0.0,0.0,,1.0,0.0
2016-04-20 09:30:00,0.1285,0.0,0.0,,1.0,0.0
2016-04-20 10:00:00,0.0465,0.0,0.0,,1.0,0.0
2016-04-20 10:30:00,-0.0965,-0.0,0.0,,1.0,0.0
2016-04-20 11:00:00,-0.022,-0.0,0.0,,1.0,0.0
2016-04-20 11:30:00,-0.0175,-0.0,0.0,,1.0,0.0
2016-04-20 12:00:00,0.1495,0.0,0.0,,1.0,0.0
2016-04-20 12:30:00,0.123,0.0,0.0,,1.0,0.0
2016-04-20 13:00:00,0.0185,0.0,0.0,,1.0,0.0
2016-04-20 13:30:00,0.1355,0.0,0.0,,1.0,0.0
2016-04-20 14:00:00,0.059,0.0,0.0,,1.0,0.0
2016-04-20 14:30:00,-0.024,-0.0,0.0,,1.0,0.0
2016-04-20 15:00:00,0.0225,0.0,0.0,,1.0,0.0
2016-04-20 15:30:00,0.0485,0.0,0.0,,1.0,0.0
2016-04-20 16:00:00,0.006,0.0,0.0,,1.0,0.0
2016-04-20 16:30:00,-0.013,-0.0,0.0,,1.0,0.0
2016-04-20 17:00:00,0.0255,0.0,0.0,,1.0,0.0
2016-04-20 17:30:00,0.045,0.0,0.0,,1.0,0.0
2016-04-20 18:00:00,-0.00899999999999,-0.0,0.0,,1.0,0.0
2016-04-20 18:30:00,-0.083,-0.0,0.0,,1.0,0.0
2016-04-20 19:00:00,0.0115,0.0,0.0,,1.0,0.0
2016-04-20 19:30:00,0.009,0.0,0.0,,1.0,0.0
2016-04-20 20:00:00,0.0645,0.0,0.0,,1.0,0.0
2016-04-20 20:30:00,0.0365,0.0,0.0,,1.0,0.0
2016-04-20 21:00:00,-0.126,-0.0,0.0,,1.0,0.0
2016-04-20 21:30:00,0.0195,0.0,0.0,,1.0,0.0
2016-04-20 22:00:00,-0.1385,-0.0,0.0,,1.0,0.0
2016-04-20 22:30:00,0.1525,0.0,0.0,,1.0,0.0
2016-04-20 23:00:00,-0.059,-0.0,0.0,,1.0,0.0
2016-04-20 23:30:00,-0.015,-0.0,0.0,,1.0,0.0
2016-04-21 00:00:00,0.047,0.0,0.0,,1.0,0.0
2016-04-21 00:30:00,0.087,0.0,0.0,,1.0,0.0
2016-04-21 01:00:00,0.0195,0.0,0.0,,1.0,0.0
2016-04-21 01:30:00,-0.0335,-0.0,0.0,,1.0,0.0
2016-04-21 02:00:00,-0.0595,-0.0,0.0,,1.0,0.0
2016-04-21 02:30:00,-0.015,-0.0,0.0,,1.0,0.0
2016-04-21 03:00:00,0.0155,0.0,0.0,,1.0,0.0
2016-04-21 03:30:00,-0.054,-0.0,0.0,,1.0,0.0
2016-04-21 04:00:00,-0.079,-0.0,0.0,,1.0,0.0
2016-04-21 04:30:00,0.094,0.0,0.0,,1.0,0.0
2016-04-21 05:00:00,0.0495,0.0,0.0,,1.0,0.0
2016-04-21 05:30:00,0.0675,0.0,0.0,,1.0,0.0
2016-04-21 06:00:00,-0.00399999999999,-0.0,0.0,,1.0,0.0
2016-04-21 06:30:00,-0.0175,-0.0,0.0,,1.0,0.0
2016-04-21 07:00:00,-0.012,-0.0,0.0,,1.0,0.0
2016-04-21 07:30:00,0.00750000000001,0.0,0.0,,1.0,0.0
2016-04-21 08:00:00,-0.014,-0.0,0.0,,1.0,0.0
2016-04-21 09:30:00,-0.038,-0.0,0.0,,1.0,0.0
2016-04-21 10:00:00,0.066,0.0,0.0,,1.0,0.0
2016-04-21 10:30:00,-0.269,-0.0,0.0,,1.0,0.0
2016-04-21 11:00:00,0.1145,0.0,0.0,,1.0,0.0
2016-04-21 11:30:00,-0.0865,-0.0,0.0,,1.0,0.0
2016-04-21 12:00:00,-0.015,-0.0,0.0,,1.0,0.0
2016-04-21 12:30:00,-0.0335,-0.0,0.0,,1.0,0.0
2016-04-21 13:00:00,0.037,0.0,0.0,,1.0,0.0
2016-04-21 13:30:00,0.05,0.0,0.0,,1.0,0.0
2016-04-21 14:00:00,-0.0305,-0.0,0.0,,1.0,0.0
2016-04-21 14:30:00,0.023,0.0,0.0,,1.0,0.0
2016-04-21 15:00:00,0.046,0.0,0.0,,1.0,0.0
2016-04-21 15:30:00,-0.022,-0.0,0.0,,1.0,0.0
2016-04-21 16:00:00,-0.1205,-0.0,0.0,,1.0,0.0
2016-04-21 16:30:00,0.058,0.0,0.0,,1.0,0.0
2016-04-21 17:00:00,0.0575,0.0,0.0,,1.0,0.0
2016-04-21 17:30:00,-0.0575,-0.0,0.0,,1.0,0.0
2016-04-21 18:00:00,-0.00699999999999,-0.0,0.0,,1.0,0.0
2016-04-21 18:30:00,-0.018,-0.0,0.0,,1.0,0.0
2016-04-21 19:00:00,-0.011,-0.0,0.0,,1.0,0.0
2016-04-21 19:30:00,0.00500000000001,0.0,0.0,,1.0,0.0
2016-04-21 20:00:00,0.0265,0.0,0.0,,1.0,0.0
2016-04-21 20:30:00,0.0115,0.0,0.0,,1.0,0.0
2016-04-21 21:00:00,-0.021,-0.0,0.0,,1.0,0.0
2016-04-21 21:30:00,-0.0855,-0.0,0.0,,1.0,0.0
2016-04-21 22:00:00,-0.073,-0.0,0.0,,1.0,0.0
2016-04-21 22:30:00,0.107,0.0,0.0,,1.0,0.0
2016-04-21 23:00:00,0.0545,0.0,0.0,,1.0,0.0
2016-04-21 23:30:00,0.0205,0.0,0.0,,1.0,0.0
2016-04-22 00:00:00,-0.0505,-0.0,0.0,,1.0,0.0
2016-04-22 00:30:00,-0.012,-0.0,0.0,,1.0,0.0
2016-04-22 01:00:00,0.02,0.0,0.0,,1.0,0.0
2016-04-22 01:30:00,0.1525,0.0,0.0,,1.0,0.0
2016-04-22 02:00:00,-0.058,-0.0,0.0,,1.0,0.0
2016-04-22 02:30:00,0.3315,0.0,0.0,,1.0,0.0
2016-04-22 03:00:00,0.1105,0.0,0.0,,1.0,0.0
2016-04-22 03:30:00,0.013,0.0,0.0,,1.0,0.0
2016-04-22 04:00:00,0.1095,0.0,0.0,,1.0,0.0
2016-04-22 04:30:00,-0.043,-0.0,0.0,,1.0,0.0
2016-04-22 05:00:00,-0.109,-0.0,0.0,,1.0,0.0
2016-04-22 05:30:00,-0.139,-0.0,0.0,,1.0,0.0
2016-04-22 06:00:00,0.1195,0.0,0.0,,1.0,0.0
2016-04-22 06:30:00,0.066,0.0,0.0,,1.0,0.0
2016-04-22 07:00:00,0.0925,0.0,0.0,,1.0,0.0
2016-04-22 07:30:00,0.021,0.0,0.0,,1.0,0.0
2016-04-22 08:00:00,-0.0545,-0.0,0.0,,1.0,0.0
2016-04-22 08:30:00,0.1965,0.0,0.0,,1.0,0.0
2016-04-22 09:00:00,0.121,0.0,0.0,,1.0,0.0
2016-04-22 09:30:00,0.2865,0.0,0.0,,1.0,0.0
2016-04-22 10:00:00,0.1385,0.0,0.0,,1.0,0.0
2016-04-22 10:30:00,-0.0135,-0.0,0.0,,1.0,0.0
2016-04-22 11:00:00,-0.00250000000001,-0.0,0.0,,1.0,0.0
