model,params,sample,FS,cols,barSizeSetting,perturbDataPct,validationPeriod,rows,rStochBars,CAR25_threshold,maxReadLines,rfe_model,RSILookback,version_,t_start,ROCLookback,ticker,zScoreLookback,signal,CCLookback,rStochLookback,maxLeverage,input_signal,test_split,longMemory,initial_equity,v_start,version,statsLookback,data_type,wf_step,iters,wf_is_period,ACLookback,ATRLookback,t_end,DPOLookback,v_end,tailRiskPct,DD95_limit,filter,horizon,minSafef,beLongThreshold,n_features,tox_adj,YIF,CAR75,safef,DD95,DD100,SOR25,C25sig,TPY,CAR25,CAR50,SHA25,f1,acc,prec,rec,fn_mag,fp_mag,avg_prec,logloss,ham,tp,fn,fp,tn,f1mm,accmm,precmm,recmm,fn_magmm,fp_magmm,CAR25mm,CAR50mm,CAR75mm,SOR25mm,TPYmm,scoremm,windowLength,timestamp,lastBartime,cycleTime
None,None,DF1,Univariate,10,30m,0.0002,3,287,250,0,5000,None,1.5,v3.1,2016-04-08 03:00:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 15:30:00,v3,250,ALL,1,1,0,10,10,2016-04-18 15:00:00,3,2016-04-18 16:30:00,95,0.01,DF1,20,1,0.0,10,0,500,115407536.614,1,8.95908305185e-05,8.95908305185e-05,0.0,SH1,0.002,67221460.1011,87049766.3677,25.2202571852,0.0,1.0,0.0,0.0,0.0,0.0,,9.99200722163e-16,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 16:20:04 EDT,20160418 16:30:00 EDT,-9.92483333333
None,None,DF1,Univariate,10,30m,0.0002,3,287,250,0,5000,None,1.5,v3.1,2016-04-08 03:00:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 15:30:00,v3,250,ALL,1,1,0,10,10,2016-04-18 15:00:00,3,2016-04-18 16:30:00,95,0.01,DF1,20,1,0.0,10,0,500,123838085.247,1,8.95908305185e-05,8.95908305185e-05,0.0,SH1,0.002,61190743.7007,91237762.4679,25.0159794068,0.0,1.0,0.0,0.0,0.0,0.0,,9.99200722163e-16,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 16:27:55 EDT,20160418 16:30:00 EDT,-2.0667
None,None,DF1,Univariate,10,30m,0.0002,3,287,250,0,5000,None,1.5,v3.1,2016-04-08 03:30:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 16:00:00,v3,250,ALL,1,1,0,10,10,2016-04-18 15:30:00,3,2016-04-18 17:00:00,95,0.01,DF1,20,1,0.0,10,0,500,25002.4381442,1,0.0181033571036,0.021547871274,0.420925817539,SH1,0.002,9744.54923477,14688.8259844,5.05298197473,0.0,0.666666666667,0.0,0.0,0.000870833304536,0.0,0.666666666667,11.512925465,0.333333333333,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 16:35:43 EDT,20160418 17:00:00 EDT,-24.2775833333
None,None,DF1,Univariate,10,30m,0.0002,3,287,250,0,5000,None,1.5,v3.1,2016-04-08 03:30:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 16:00:00,v3,250,ALL,1,1,0,10,10,2016-04-18 15:30:00,3,2016-04-18 17:00:00,95,0.01,DF1,20,1,0.0,10,0,500,30666.5013,1,0.0139880718435,0.0175630737617,0.41598180561,SH1,0.002,9745.47992936,12467.3235094,5.00714834816,0.0,0.666666666667,0.0,0.0,0.000870833304536,0.0,0.666666666667,11.512925465,0.333333333333,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 16:44:10 EDT,20160418 17:00:00 EDT,-15.8180833333
None,None,DF1,Univariate,10,30m,0.0002,3,287,250,0,5000,None,1.5,v3.1,2016-04-08 03:30:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 16:00:00,v3,250,ALL,1,1,0,10,10,2016-04-18 15:30:00,3,2016-04-18 17:00:00,95,0.01,DF1,20,1,0.0,10,0,500,25002.6426829,1,0.0130731263384,0.0144190347922,0.40786110823,SH1,0.002,8265.54669483,13533.010883,4.90721844892,0.0,0.666666666667,0.0,0.0,0.000870833304536,0.0,0.666666666667,11.512925465,0.333333333333,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 16:53:40 EDT,20160418 17:00:00 EDT,-6.32695
None,None,DF1,Univariate,10,30m,0.0002,10,280,250,0,5000,None,1.5,v3.1,2016-04-08 03:30:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 12:30:00,v3,250,ALL,1,1,0,10,10,2016-04-18 12:00:00,3,2016-04-18 17:00:00,95,0.01,DF1,20,1,0.0,10,0,500,8133.23055848,1,0.00605223223437,0.0064522619608,0.610766590565,SH1,0.002,3995.98947407,5279.36489446,6.74938496553,0.0,0.6,0.0,0.0,0.000414262351729,0.0,0.7,13.815510558,0.4,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 17:03:37 EDT,20160418 17:00:00 EDT,3.63193333333
None,None,DF1,Univariate,10,30m,0.0002,3,287,250,0,5000,None,1.5,v3.1,2016-04-08 03:30:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 16:00:00,v3,250,ALL,1,1,0,10,10,2016-04-18 15:30:00,3,2016-04-18 17:00:00,95,0.01,DF1,20,1,0.0,10,0,500,36109.0501776,1,0.013931657959,0.0181362204484,0.420075453085,SH1,0.002,9748.27253105,18779.3799802,5.04486898307,0.0,0.666666666667,0.0,0.0,0.000870833304536,0.0,0.666666666667,11.512925465,0.333333333333,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 17:13:51 EDT,20160418 17:00:00 EDT,13.8522833333
None,None,DF1,Univariate,10,30m,0.0002,10,280,250,0,5000,None,1.5,v3.1,2016-04-08 03:30:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 12:30:00,v3,250,ALL,1,1,0,10,10,2016-04-18 12:00:00,3,2016-04-18 17:00:00,95,0.01,DF1,20,1,0.0,10,0,500,10910.8393441,1,0.00685912948588,0.0106517066887,0.63935243266,SH1,0.002,4416.31902964,7091.12358658,6.87581600021,0.0,0.6,0.0,0.0,0.000414262351729,0.0,0.7,13.815510558,0.4,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 17:22:44 EDT,20160418 17:00:00 EDT,22.7449166667
None,None,DF1,Univariate,10,30m,0.0002,10,280,250,0,5000,None,1.5,v3.1,2016-04-08 04:00:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 13:00:00,v3,250,ALL,1,1,0,10,10,2016-04-18 12:30:00,3,2016-04-18 17:30:00,95,0.01,DF1,20,1,0.0,10,0,500,16078.940806,1,0.00549602802665,0.00650357463799,0.710369505853,SH1,0.002,6514.82983465,11001.8500688,7.26617235938,0.0,0.6,0.0,0.0,0.000414262351729,0.0,0.7,13.815510558,0.4,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 17:32:20 EDT,20160418 17:30:00 EDT,2.34463333333
None,None,DF1,Univariate,10,30m,0.0002,3,287,250,0,5000,None,1.5,v3.1,2016-04-08 04:30:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 17:00:00,v3,250,ALL,1,1,0,10,10,2016-04-18 16:30:00,3,2016-04-18 18:00:00,95,0.01,DF1,20,1,0.0,10,0,500,233985.517262,1,0.00696218227493,0.0078425731067,1.17419512217,SH1,0.002,97430.1052641,160743.965713,9.81451666018,0.0,0.666666666667,0.0,0.0,0.000459816211806,0.0,0.666666666667,11.512925465,0.333333333333,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 17:40:13 EDT,20160418 18:00:00 EDT,-19.7670166667
None,None,DF1,Univariate,10,30m,0.0002,10,280,250,0,5000,None,1.5,v3.1,2016-04-08 04:30:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 13:30:00,v3,250,ALL,1,1,0,10,10,2016-04-18 13:00:00,3,2016-04-18 18:00:00,95,0.01,DF1,20,1,0.0,10,0,500,9220.67110014,1,0.00709673050361,0.00802448620586,0.554681847433,SH1,0.002,3527.46102673,4505.85986888,5.96587064379,0.0,0.6,0.0,0.0,0.000493004888039,0.0,0.7,13.815510558,0.4,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 17:48:15 EDT,20160418 18:00:00 EDT,-11.7383
None,None,DF1,Univariate,10,30m,0.0002,10,280,250,0,5000,None,1.5,v3.1,2016-04-08 04:30:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 13:30:00,v3,250,ALL,1,1,0,10,10,2016-04-18 13:00:00,3,2016-04-18 18:00:00,95,0.01,DF1,20,1,0.0,10,0,500,9071.53804435,1,0.00747233211064,0.00842058986642,0.571014854042,SH1,0.002,4146.83557507,5367.15135335,6.12757409898,0.0,0.6,0.0,0.0,0.000493004888039,0.0,0.7,13.815510558,0.4,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 17:57:18 EDT,20160418 18:00:00 EDT,-2.69305
None,None,DF1,Univariate,10,30m,0.0002,3,287,250,0,5000,None,1.5,v3.1,2016-04-08 05:00:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 17:30:00,v3,250,ALL,1,1,0,10,10,2016-04-18 17:00:00,3,2016-04-18 18:30:00,95,0.01,DF1,20,1,0.0,10,0,500,-99.1721668789,1,0.137045628362,0.139556306695,-0.847041258671,SH1,0.002,-99.3484608935,-99.2655857023,-35.544311811,0.0,0.333333333333,0.0,0.0,0.000280015404636,0.0,0.833333333333,23.0258509299,0.666666666667,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 18:04:04 EDT,20160418 18:30:00 EDT,-25.9170666667
None,None,DF1,Univariate,10,30m,0.0002,10,280,250,0,5000,None,1.5,v3.1,2016-04-08 05:00:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 14:00:00,v3,250,ALL,1,1,0,10,10,2016-04-18 13:30:00,3,2016-04-18 18:30:00,95,0.01,DF1,20,1,0.0,10,0,500,14731.2230793,1,0.006213352688,0.00653550405668,0.736104367765,SH1,0.002,8865.25178928,11572.0941122,7.59707313359,0.0,0.6,0.0,0.0,0.000422370532026,0.0,0.7,13.815510558,0.4,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 18:12:55 EDT,20160418 18:30:00 EDT,-17.0828
None,None,DF1,Univariate,10,30m,0.0002,10,280,250,0,5000,None,1.5,v3.1,2016-04-08 05:00:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 14:00:00,v3,250,ALL,1,1,0,10,10,2016-04-18 13:30:00,3,2016-04-18 18:30:00,95,0.01,DF1,20,1,0.0,10,0,500,17900.4403146,1,0.00648257591734,0.00672500513314,0.737122568997,SH1,0.002,8319.3954088,11970.7621618,7.57714699046,0.0,0.6,0.0,0.0,0.000422370532026,0.0,0.7,13.815510558,0.4,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 18:21:06 EDT,20160418 18:30:00 EDT,-8.89728333333
None,None,DF1,Univariate,10,30m,0.0002,3,287,250,0,5000,None,1.5,v3.1,2016-04-08 05:00:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 17:30:00,v3,250,ALL,1,1,0,10,10,2016-04-18 17:00:00,3,2016-04-18 18:30:00,95,0.01,DF1,20,1,0.0,10,0,500,-99.207891491,1,0.136238243754,0.136766322632,-0.847250856735,SH1,0.002,-99.3443423101,-99.2655857023,-35.5749944548,0.0,0.333333333333,0.0,0.0,0.000280015404636,0.0,0.833333333333,23.0258509299,0.666666666667,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 18:28:46 EDT,20160418 18:30:00 EDT,-1.22666666667
None,None,DF1,Univariate,10,30m,0.0002,10,280,250,0,5000,None,1.5,v3.1,2016-04-08 05:30:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 14:30:00,v3,250,ALL,1,1,0,10,10,2016-04-18 14:00:00,3,2016-04-18 19:00:00,95,0.01,DF1,20,1,0.0,10,0,500,14742.0900145,1,0.00608156656447,0.00692220205129,0.676252145018,SH1,0.002,6270.52364938,9639.48034049,7.00205940531,0.0,0.6,0.0,0.0,0.000422370532026,0.0,0.7,13.815510558,0.4,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 18:38:22 EDT,20160418 19:00:00 EDT,-21.6243333333
None,None,DF1,Univariate,10,30m,0.0002,10,280,250,0,5000,None,1.5,v3.1,2016-04-08 05:30:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 14:30:00,v3,250,ALL,1,1,0,10,10,2016-04-18 14:00:00,3,2016-04-18 19:00:00,95,0.01,DF1,20,1,0.0,10,0,500,9822.8402114,1,0.0078528965423,0.00899578862698,0.654545835387,SH1,0.002,5079.07198522,7813.69548473,6.69727429936,0.0,0.6,0.0,0.0,0.000422370532026,0.0,0.7,13.815510558,0.4,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 18:47:51 EDT,20160418 19:00:00 EDT,-12.1433833333
None,None,DF1,Univariate,10,30m,0.0002,10,280,250,0,5000,None,1.5,v3.1,2016-04-08 05:30:00,250,EURCAD,30,SH1,10,30,2,1,0,False,10000,2016-04-18 14:30:00,v3,250,ALL,1,1,0,10,10,2016-04-18 14:00:00,3,2016-04-18 19:00:00,95,0.01,DF1,20,1,0.0,10,0,500,10918.4662034,1,0.00693152988974,0.00822148745518,0.649340207179,SH1,0.002,4914.9264908,6691.4937217,6.71850164662,0.0,0.6,0.0,0.0,0.000422370532026,0.0,0.7,13.815510558,0.4,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,20160418 18:56:49 EDT,20160418 19:00:00 EDT,-3.18018333333
