permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,balance,margin_available
45,Paper,Paper,2.0,USD,IDEALPRO,45.0,,,1.0,1.11595,50000.0,50000.0,3.0,SLD,EUR,USD,20160314  01:59:22,,9885.2,-113108.273
46,Paper,Paper,2.0,USD,IDEALPRO,46.0,,,1.0,1.11595,50000.0,0.0,3.0,SLD,EUR,USD,20160314  01:59:25,,9888.2,-57315.773
47,Paper,Paper,2.0,USD,IDEALPRO,47.0,,,1.0,1.11635,50000.0,50000.0,-2.0,BOT,EUR,USD,20160314  02:02:53,,9886.2,-113133.273
48,Paper,Paper,2.0,USD,IDEALPRO,48.0,,,1.0,1.11635,50000.0,100000.0,-2.0,BOT,EUR,USD,20160314  02:02:56,,9884.2,-168950.773
49,Paper,Paper,2.0,USD,IDEALPRO,49.0,,,1.0,1.11635,50000.0,50000.0,15.5,SLD,EUR,USD,20160314  02:07:03,,9899.7,-113150.773
50,Paper,Paper,2.0,USD,IDEALPRO,50.0,,,1.0,1.11635,50000.0,0.0,15.5,SLD,EUR,USD,20160314  02:07:06,,9915.2,-57350.773
51,Paper,Paper,2.0,USD,IDEALPRO,51.0,,,1.0,113.785,50000.0,-50000.0,-2.0,SLD,USD,JPY,20160314  03:58:30,,9913.2,-107416.173
52,Paper,Paper,2.0,USD,IDEALPRO,52.0,,,1.0,113.785,50000.0,0.0,-17.4,BOT,USD,JPY,20160314  04:05:18,,9895.8,-57350.773
53,Paper,Paper,2.0,USD,IDEALPRO,53.0,,,1.0,113.74,50000.0,-50000.0,-2.0,SLD,USD,JPY,20160314  04:09:22,,9893.8,-107396.373
54,Paper,Paper,2.0,USD,IDEALPRO,54.0,,,1.0,1.3229,50000.0,0.0,-117.847,SLD,USD,CAD,20160314  05:08:29,,9775.953,-57843.753
55,Paper,Paper,2.0,USD,IDEALPRO,55.0,,,1.0,1.43735,50000.0,50000.0,-2.0,BOT,GBP,USD,20160314  05:24:30,,9773.953,-129711.253
56,Paper,Paper,2.0,USD,IDEALPRO,56.0,,,1.0,0.75675,50000.0,0.0,-117.0,BOT,AUD,USD,20160314  05:42:23,,9656.953,-91873.753
57,Paper,Paper,2.0,USD,IDEALPRO,57.0,,,1.0,113.74,50000.0,0.0,-57.0,BOT,USD,JPY,20160314  06:09:22,,9599.953,-41828.153
58,Paper,Paper,2.0,USD,IDEALPRO,58.0,,,1.0,1.3251,50000.0,50000.0,-2.0,BOT,USD,CAD,20160314  06:16:47,,9597.953,-91347.14
59,Paper,Paper,2.0,USD,IDEALPRO,59.0,,,1.0,1.43735,50000.0,0.0,93.0,SLD,GBP,USD,20160314  06:20:30,,9690.953,-19574.64
60,Paper,Paper,2.0,USD,IDEALPRO,60.0,,,1.0,113.72,50000.0,-50000.0,-2.0,SLD,USD,JPY,20160314  07:09:21,,9688.953,-69611.44
61,Paper,Paper,2.0,USD,IDEALPRO,61.0,,,1.0,1.3251,50000.0,0.0,44.7125,SLD,USD,CAD,20160314  07:25:42,,9733.6655,-20139.1655
62,Paper,Paper,2.0,USD,IDEALPRO,62.0,,,1.0,113.72,50000.0,0.0,-30.6,BOT,USD,JPY,20160314  07:39:22,,9703.0655,29897.6345
63,Paper,Paper,2.0,USD,IDEALPRO,63.0,,,1.0,1.3255,50000.0,50000.0,-2.0,BOT,USD,CAD,20160314  07:59:33,,9701.0655,-19636.3005
64,Paper,Paper,2.0,USD,IDEALPRO,64.0,,,1.0,1.3255,50000.0,0.0,67.1345,SLD,USD,CAD,20160314  08:22:33,,9768.2,29828.5
65,Paper,Paper,2.0,USD,IDEALPRO,65.0,,,1.0,1.4365,50000.0,50000.0,-2.0,BOT,GBP,USD,20160314  08:36:11,,9766.2,-41996.5
66,Paper,Paper,2.0,USD,IDEALPRO,66.0,,,1.0,0.9864,50000.0,-50000.0,-2.0,SLD,USD,CHF,20160314  08:36:14,,9764.2,-91918.204
67,Paper,Paper,2.0,USD,IDEALPRO,67.0,,,1.0,113.64,50000.0,-50000.0,-2.0,SLD,USD,JPY,20160314  08:36:17,,9762.2,-141919.804
68,Paper,Paper,2.0,USD,IDEALPRO,68.0,,,1.0,1.4365,50000.0,0.0,15.5,SLD,GBP,USD,20160314  08:39:49,,9777.7,-70112.304
69,Paper,Paper,2.0,USD,IDEALPRO,69.0,,,1.0,1.43595,50000.0,50000.0,-2.0,BOT,GBP,USD,20160314  08:49:46,,9775.7,-141909.804
70,Paper,Paper,2.0,USD,IDEALPRO,70.0,,,1.0,0.75415,50000.0,-50000.0,-2.0,SLD,AUD,USD,20160314  08:49:52,,9773.7,-179617.304
71,Paper,Paper,2.0,USD,IDEALPRO,71.0,,,1.0,1.11265,50000.0,50000.0,-2.0,BOT,EUR,USD,20160314  08:53:36,,9771.7,-235249.804
72,Paper,Paper,2.0,USD,IDEALPRO,72.0,,,1.0,1.11265,50000.0,100000.0,-2.0,BOT,EUR,USD,20160314  08:53:43,,9769.7,-290882.304
73,Paper,Paper,2.0,USD,IDEALPRO,73.0,,,1.0,1.11265,50000.0,50000.0,-14.5,SLD,EUR,USD,20160314  08:57:50,,9755.2,-235237.304
74,Paper,Paper,2.0,USD,IDEALPRO,74.0,,,1.0,1.11265,50000.0,0.0,-12.0,SLD,EUR,USD,20160314  08:57:54,,9743.2,-179594.804
75,Paper,Paper,2.0,USD,IDEALPRO,75.0,,,1.0,1.43595,50000.0,0.0,-42.0,SLD,GBP,USD,20160314  08:57:57,,9701.2,-107757.304
76,Paper,Paper,2.0,USD,IDEALPRO,76.0,,,1.0,0.9864,50000.0,0.0,-34.8965,BOT,USD,CHF,20160314  08:58:00,,9666.3035,-57835.6
77,Paper,Paper,2.0,USD,IDEALPRO,77.0,,,1.0,1.1127,50000.0,50000.0,-2.0,BOT,EUR,USD,20160314  09:02:06,,9664.3035,-113470.6
78,Paper,Paper,2.0,USD,IDEALPRO,78.0,,,1.0,1.112725,50000.0,100000.0,-2.0,BOT,EUR,USD,20160314  09:02:09,,9662.3035,-169108.1
79,Paper,Paper,2.0,USD,IDEALPRO,79.0,,,1.0,0.9856,50000.0,-50000.0,-2.0,SLD,USD,CHF,20160314  09:02:14,,9660.3035,-218989.316
80,Paper,Paper,2.0,USD,IDEALPRO,80.0,,,1.0,113.64,50000.0,0.0,-13.0,BOT,USD,JPY,20160314  09:02:17,,9647.3035,-168987.716
81,Paper,Paper,2.0,USD,IDEALPRO,81.0,,,1.0,0.75415,50000.0,0.0,8.0,BOT,AUD,USD,20160314  09:02:21,,9655.3035,-131280.216
82,Paper,Paper,2.0,USD,IDEALPRO,82.0,,,1.0,1.3248,50000.0,50000.0,-2.0,BOT,USD,CAD,20160314  09:02:24,,9653.3035,-180787.992
83,Paper,Paper,2.0,USD,IDEALPRO,83.0,,,1.0,1.112725,50000.0,50000.0,16.75,SLD,EUR,USD,20160314  09:07:35,,9670.0535,-125170.492
84,Paper,Paper,2.0,USD,IDEALPRO,84.0,,,1.0,1.112725,50000.0,0.0,16.75,SLD,EUR,USD,20160314  09:07:38,,9686.8035,-69552.992
85,Paper,Paper,2.0,USD,IDEALPRO,85.0,,,1.0,113.605,50000.0,-50000.0,-2.0,SLD,USD,JPY,20160314  09:07:43,,9684.8035,-119539.192
86,Paper,Paper,2.0,USD,IDEALPRO,86.0,,,1.0,0.75395,50000.0,-50000.0,-2.0,SLD,AUD,USD,20160314  09:07:51,,9682.8035,-157236.692
87,Paper,Paper,2.0,USD,IDEALPRO,87.0,,,1.0,1.11225,50000.0,50000.0,-2.0,BOT,EUR,USD,20160314  09:11:35,,9680.8035,-212849.192
88,Paper,Paper,2.0,USD,IDEALPRO,88.0,,,1.0,1.11225,50000.0,100000.0,-2.0,BOT,EUR,USD,20160314  09:11:40,,9678.8035,-268461.692
89,Paper,Paper,2.0,USD,IDEALPRO,89.0,,,1.0,1.43635,50000.0,50000.0,-2.0,BOT,GBP,USD,20160314  09:11:43,,9676.8035,-340279.192
90,Paper,Paper,2.0,USD,IDEALPRO,90.0,,,1.0,1.11225,50000.0,50000.0,23.0,SLD,EUR,USD,20160314  09:15:49,,9699.8035,-284691.692
91,Paper,Paper,2.0,USD,IDEALPRO,91.0,,,1.0,1.11225,50000.0,0.0,20.5,SLD,EUR,USD,20160314  09:15:52,,9720.3035,-229101.692
92,Paper,Paper,2.0,USD,IDEALPRO,92.0,,,1.0,1.43635,50000.0,0.0,10.5,SLD,GBP,USD,20160314  09:15:56,,9730.8035,-157296.692
93,Paper,Paper,2.0,USD,IDEALPRO,93.0,,,1.0,113.605,50000.0,0.0,15.6,BOT,USD,JPY,20160314  09:16:00,,9746.4035,-107310.492
94,Paper,Paper,2.0,USD,IDEALPRO,94.0,,,1.0,1.1117,50000.0,50000.0,-2.0,BOT,EUR,USD,20160314  09:19:48,,9744.4035,-162895.492
95,Paper,Paper,2.0,USD,IDEALPRO,95.0,,,1.0,1.111675,50000.0,100000.0,-2.0,BOT,EUR,USD,20160314  09:19:51,,9742.4035,-218477.992
96,Paper,Paper,2.0,USD,IDEALPRO,96.0,,,1.0,1.4365,50000.0,50000.0,-2.0,BOT,GBP,USD,20160314  09:19:54,,9740.4035,-290302.992
97,Paper,Paper,2.0,USD,IDEALPRO,97.0,,,1.0,0.9856,50000.0,0.0,56.2015,BOT,USD,CHF,20160314  09:19:58,,9796.605,-240421.776
98,Paper,Paper,2.0,USD,IDEALPRO,98.0,,,1.0,1.111675,50000.0,50000.0,14.25,SLD,EUR,USD,20160314  09:23:42,,9810.855,-184854.276
99,Paper,Paper,2.0,USD,IDEALPRO,99.0,,,1.0,1.111675,50000.0,0.0,14.25,SLD,EUR,USD,20160314  09:23:46,,9825.105,-129286.776
100,Paper,Paper,2.0,USD,IDEALPRO,100.0,,,1.0,0.9868,50000.0,-50000.0,-2.0,SLD,USD,CHF,20160314  09:23:50,,9823.105,-179228.724
101,Paper,Paper,2.0,USD,IDEALPRO,101.0,,,1.0,1.3248,50000.0,0.0,-35.633,SLD,USD,CAD,20160314  09:23:55,,9787.472,-129687.315
102,Paper,Paper,2.0,USD,IDEALPRO,102.0,,,1.0,1.11115,50000.0,50000.0,-2.0,BOT,EUR,USD,20160314  09:28:16,,9785.472,-185244.815
103,Paper,Paper,2.0,USD,IDEALPRO,103.0,,,1.0,1.1111,50000.0,100000.0,-2.0,BOT,EUR,USD,20160314  09:28:20,,9783.472,-240797.315
104,Paper,Paper,2.0,USD,IDEALPRO,104.0,,,1.0,1.1111,50000.0,50000.0,13.0,SLD,EUR,USD,20160314  09:31:58,,9796.472,-185257.315
105,Paper,Paper,2.0,USD,IDEALPRO,105.0,,,1.0,1.1111,50000.0,0.0,15.5,SLD,EUR,USD,20160314  09:32:03,,9811.972,-129719.815
106,Paper,Paper,2.0,USD,IDEALPRO,106.0,,,1.0,1.4365,50000.0,0.0,128.0,SLD,GBP,USD,20160314  09:37:05,,9939.972,-58024.815
107,Paper,Paper,2.0,USD,IDEALPRO,107.0,,,1.0,113.67,50000.0,-50000.0,-2.0,SLD,USD,JPY,20160314  09:41:58,,9937.972,-108039.615
108,Paper,Paper,2.0,USD,IDEALPRO,108.0,,,1.0,1.32725,50000.0,50000.0,-2.0,BOT,USD,CAD,20160314  09:42:02,,9935.972,-157638.9475
109,Paper,Paper,2.0,USD,IDEALPRO,109.0,,,1.0,1.43255,50000.0,50000.0,-2.0,BOT,GBP,USD,20160314  09:46:06,,9933.972,-229266.4475
110,Paper,Paper,2.0,USD,IDEALPRO,110.0,,,1.0,0.9868,50000.0,0.0,56.2015,BOT,USD,CHF,20160314  09:46:10,,9990.1735,-179324.4995
111,Paper,Paper,2.0,USD,IDEALPRO,111.0,,,1.0,1.32725,50000.0,0.0,-59.9235,SLD,USD,CAD,20160314  09:46:15,,9930.25,-129667.2435
112,Paper,Paper,2.0,USD,IDEALPRO,112.0,,,1.0,1.43255,50000.0,0.0,-14.5,SLD,GBP,USD,20160314  09:50:03,,9915.75,-58027.2435
113,Paper,Paper,2.0,USD,IDEALPRO,113.0,,,1.0,113.67,50000.0,0.0,-28.4,BOT,USD,JPY,20160314  09:50:07,,9887.35,-8012.4435
114,Paper,Paper,2.0,USD,IDEALPRO,114.0,,,1.0,0.75395,50000.0,0.0,-147.0,BOT,AUD,USD,20160314  09:50:10,,9740.35,29685.0565
115,Paper,Paper,2.0,USD,IDEALPRO,115.0,,,1.0,1.3297,50000.0,50000.0,-2.0,BOT,USD,CAD,20160314  09:50:14,,9738.35,-20005.8325
116,Paper,Paper,2.0,USD,IDEALPRO,116.0,,,1.0,1.4329,50000.0,50000.0,-2.0,BOT,GBP,USD,20160314  09:53:41,,9736.35,-91650.8325
117,Paper,Paper,2.0,USD,IDEALPRO,117.0,,,1.0,0.75135,50000.0,-50000.0,-2.0,SLD,AUD,USD,20160314  09:53:46,,9734.35,-129218.3325
118,Paper,Paper,2.0,USD,IDEALPRO,118.0,,,1.0,1.4329,50000.0,0.0,64.5,SLD,GBP,USD,20160314  09:57:43,,9798.85,-57639.8325
119,Paper,Paper,2.0,USD,IDEALPRO,119.0,,,1.0,113.63,50000.0,-50000.0,-2.0,SLD,USD,JPY,20160314  09:57:47,,9796.85,-107637.0325
120,Paper,Paper,2.0,USD,IDEALPRO,120.0,,,1.0,113.63,50000.0,0.0,15.6,BOT,USD,JPY,20160314  10:01:44,,9812.45,-57639.8325
121,Paper,Paper,2.0,USD,IDEALPRO,121.0,,,1.0,0.75135,50000.0,0.0,-0.499999999996,BOT,AUD,USD,20160314  10:01:49,,9811.95,-20072.3325
122,Paper,Paper,2.0,USD,IDEALPRO,122.0,,,1.0,0.7504,50000.0,-50000.0,-2.0,SLD,AUD,USD,20160314  10:06:24,,9809.95,-57592.3325
123,Paper,Paper,2.0,USD,IDEALPRO,123.0,,,1.0,0.9875,50000.0,-50000.0,-2.0,SLD,USD,CHF,20160314  10:09:43,,9807.95,-107569.7075
124,Paper,Paper,2.0,USD,IDEALPRO,124.0,,,1.0,113.7,50000.0,-50000.0,-2.0,SLD,USD,JPY,20160314  10:09:46,,9805.95,-157597.7075
125,Paper,Paper,2.0,USD,IDEALPRO,125.0,,,1.0,0.9875,50000.0,0.0,-4.5305,BOT,USD,CHF,20160314  10:16:45,,9801.4195,-107620.3325
126,Paper,Paper,2.0,USD,IDEALPRO,126.0,,,1.0,113.7,50000.0,0.0,0.199999999998,BOT,USD,JPY,20160314  10:16:49,,9801.6195,-57592.3325
127,Paper,Paper,2.0,USD,IDEALPRO,127.0,,,1.0,0.9873,50000.0,-50000.0,-2.0,SLD,USD,CHF,20160314  10:20:44,,9799.6195,-107559.5855
128,Paper,Paper,2.0,USD,IDEALPRO,128.0,,,1.0,0.7504,50000.0,0.0,20.5,BOT,AUD,USD,20160314  10:20:48,,9820.1195,-70039.5855
129,Paper,Paper,2.0,USD,IDEALPRO,129.0,,,1.0,0.9873,50000.0,0.0,-17.183,BOT,USD,CHF,20160314  10:24:44,,9802.9365,-20072.3325
130,Paper,Paper,2.0,USD,IDEALPRO,130.0,,,1.0,113.72,50000.0,-50000.0,-2.0,SLD,USD,JPY,20160314  10:24:47,,9800.9365,-70109.1325
131,Paper,Paper,2.0,USD,IDEALPRO,131.0,,,1.0,0.98645,50000.0,-50000.0,-2.0,SLD,USD,CHF,20160314  10:28:28,,9798.9365,-120033.367
132,Paper,Paper,2.0,USD,IDEALPRO,132.0,,,1.0,0.98645,50000.0,0.0,-27.305,BOT,USD,CHF,20160314  10:31:27,,9771.6315,-70109.1325
133,Paper,Paper,2.0,USD,IDEALPRO,133.0,,,1.0,113.72,50000.0,0.0,-19.6,BOT,USD,JPY,20160314  10:35:14,,9752.0315,-20072.3325
134,Paper,Paper,2.0,USD,IDEALPRO,134.0,,,1.0,1.3297,50000.0,0.0,106.373,SLD,USD,CAD,20160314  10:47:31,,9858.4045,29510.1835
135,Paper,Paper,2.0,USD,IDEALPRO,135.0,,,1.0,113.725,50000.0,-50000.0,-2.0,SLD,USD,JPY,20160314  10:50:29,,9856.4045,-20528.8165
136,Paper,Paper,2.0,USD,IDEALPRO,136.0,,,1.0,113.725,50000.0,0.0,9.0,BOT,USD,JPY,20160314  10:53:30,,9865.4045,29510.1835
137,Paper,Paper,2.0,USD,IDEALPRO,137.0,,,1.0,113.755,50000.0,-50000.0,-2.0,SLD,USD,JPY,20160314  10:56:43,,9863.4045,-20542.0165
138,Paper,Paper,2.0,USD,IDEALPRO,138.0,,,1.0,0.75025,50000.0,-50000.0,-2.0,SLD,AUD,USD,20160314  10:56:46,,9861.4045,-58054.5165
139,Paper,Paper,2.0,USD,IDEALPRO,139.0,,,1.0,0.98675,50000.0,-50000.0,-2.0,SLD,USD,CHF,20160314  11:03:46,,9859.4045,-107993.934
140,Paper,Paper,2.0,USD,IDEALPRO,140.0,,,1.0,1.3293,50000.0,50000.0,-2.0,BOT,USD,CAD,20160314  11:08:08,,9857.4045,-157669.875
141,Paper,Paper,2.0,USD,IDEALPRO,141.0,,,1.0,113.755,50000.0,0.0,0.200000000004,BOT,USD,JPY,20160314  11:11:29,,9857.6045,-107617.675
142,Paper,Paper,2.0,USD,IDEALPRO,142.0,,,1.0,113.735,50000.0,-50000.0,-2.0,SLD,USD,JPY,20160314  11:14:28,,9855.6045,-157661.075
143,Paper,Paper,2.0,USD,IDEALPRO,143.0,,,1.0,0.98675,50000.0,0.0,-37.427,BOT,USD,CHF,20160314  11:17:59,,9818.1775,-107721.6575
144,Paper,Paper,2.0,USD,IDEALPRO,144.0,,,1.0,113.735,50000.0,0.0,-6.4,BOT,USD,JPY,20160314  11:18:02,,9811.7775,-57678.2575
145,Paper,Paper,2.0,USD,IDEALPRO,145.0,,,1.0,0.75025,50000.0,0.0,13.0,BOT,AUD,USD,20160314  11:18:06,,9824.7775,-20165.7575
146,Paper,Paper,2.0,USD,IDEALPRO,146.0,,,1.0,113.77,50000.0,-50000.0,-2.0,SLD,USD,JPY,20160314  11:21:26,,9822.7775,-70224.5575
147,Paper,Paper,2.0,USD,IDEALPRO,147.0,,,1.0,0.98645,50000.0,-50000.0,-2.0,SLD,USD,CHF,20160314  11:24:31,,9820.7775,-120148.792
148,Paper,Paper,2.0,USD,IDEALPRO,148.0,,,1.0,0.98645,50000.0,0.0,-7.06100000001,BOT,USD,CHF,20160314  11:27:29,,9813.7165,-70224.5575
149,Paper,Paper,2.0,USD,IDEALPRO,149.0,,,1.0,0.9867,50000.0,-50000.0,-2.0,SLD,USD,CHF,20160314  11:30:43,,9811.7165,-120161.4445
150,Paper,Paper,2.0,USD,IDEALPRO,150.0,,,1.0,113.77,50000.0,0.0,0.200000000004,BOT,USD,JPY,20160314  11:30:46,,9811.9165,-70102.6445
151,Paper,Paper,2.0,USD,IDEALPRO,151.0,,,1.0,1.43185,50000.0,50000.0,-2.0,BOT,GBP,USD,20160314  11:35:02,,9809.9165,-141695.1445
152,Paper,Paper,2.0,USD,IDEALPRO,152.0,,,1.0,0.9867,50000.0,0.0,-9.5915,BOT,USD,CHF,20160314  11:35:05,,9800.325,-91758.2575
153,Paper,Paper,2.0,USD,IDEALPRO,153.0,,,1.0,0.7505,50000.0,-50000.0,-2.0,SLD,AUD,USD,20160314  11:35:09,,9798.325,-129283.2575
154,Paper,Paper,2.0,USD,IDEALPRO,154.0,,,1.0,1.43185,50000.0,0.0,-17.0,SLD,GBP,USD,20160314  11:39:19,,9781.325,-57675.7575
155,Paper,Paper,2.0,USD,IDEALPRO,155.0,,,1.0,113.765,50000.0,-50000.0,-2.0,SLD,USD,JPY,20160314  11:39:23,,9779.325,-107732.3575
156,Paper,Paper,2.0,USD,IDEALPRO,156.0,,,1.0,0.7505,50000.0,0.0,-12.0,BOT,AUD,USD,20160314  11:39:27,,9767.325,-70207.3575
