permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date
19,Paper,Paper,2.0,USD,IDEALPRO,19.0,,,1.0,1.43692661823,20000.0,10000.0,-16.2647292,BOT,GBP,USD,20160317 08:38:20 EST,
20,Paper,Paper,2.0,USD,IDEALPRO,20.0,,,1.0,1.43730220608,20000.0,-10000.0,-9.51175693333,SLD,GBP,USD,20160317 08:40:18 EST,
21,Paper,Paper,2.0,USD,IDEALPRO,21.0,,,1.0,1.43773406869,20000.0,10000.0,6.63725226667,BOT,GBP,USD,20160317 08:42:31 EST,
22,Paper,Paper,2.0,USD,IDEALPRO,22.0,,,1.0,1.43803135623,20000.0,-10000.0,-7.9457508,SLD,GBP,USD,20160317 08:43:17 EST,
23,Paper,Paper,2.0,USD,IDEALPRO,23.0,,,1.0,1.43837711874,20000.0,10000.0,4.91525026666,BOT,GBP,USD,20160317 08:44:24 EST,
24,Paper,Paper,2.0,USD,IDEALPRO,24.0,,,1.0,1.43902570625,20000.0,-10000.0,-14.9717501333,SLD,GBP,USD,20160317 08:45:23 EST,
25,Paper,Paper,2.0,USD,IDEALPRO,25.0,,,1.0,1.43946856875,20000.0,10000.0,6.85725,BOT,GBP,USD,20160317 08:49:25 EST,
26,Paper,Paper,2.0,USD,IDEALPRO,26.0,,,1.0,1.43958952292,20000.0,-10000.0,-4.41908333333,SLD,GBP,USD,20160317 08:55:28 EST,
27,Paper,Paper,2.0,USD,IDEALPRO,27.0,,,1.0,1.43994317431,20000.0,10000.0,5.07302773333,BOT,GBP,USD,20160317 08:56:27 EST,
28,Paper,Paper,2.0,USD,IDEALPRO,28.0,,,1.0,1.44050772477,20000.0,-10000.0,-13.2910092,SLD,GBP,USD,20160317 09:00:47 EST,
29,Paper,Paper,2.0,USD,IDEALPRO,29.0,,,1.0,1.44079590826,20000.0,10000.0,3.76366973334,BOT,GBP,USD,20160317 09:02:46 EST,
30,Paper,Paper,2.0,USD,IDEALPRO,30.0,,,1.0,1.44437196942,20000.0,-10000.0,-73.5212232,SLD,GBP,USD,20160317 09:12:44 EST,
31,Paper,Paper,2.0,USD,IDEALPRO,31.0,,,1.0,1.44553065647,20000.0,10000.0,21.1737410667,BOT,GBP,USD,20160317 09:15:02 EST,
32,Paper,Paper,2.0,USD,IDEALPRO,32.0,,,1.0,1.44570355216,20000.0,-10000.0,-5.45791373333,SLD,GBP,USD,20160317 09:16:18 EST,
33,Paper,Paper,2.0,USD,IDEALPRO,33.0,,,1.0,1.44604785072,20000.0,10000.0,4.8859712,BOT,GBP,USD,20160317 09:20:45 EST,
34,Paper,Paper,2.0,USD,IDEALPRO,34.0,,,1.0,1.44534928357,20000.0,-10000.0,11.9713429333,SLD,GBP,USD,20160317 09:35:19 EST,
35,Paper,Paper,2.0,USD,IDEALPRO,35.0,,,1.0,1.44777642786,20000.0,10000.0,46.5428857333,BOT,GBP,USD,20160317 10:00:46 EST,
36,Paper,Paper,2.0,USD,IDEALPRO,36.0,,,1.0,1.44672547595,20000.0,-10000.0,19.0190381333,SLD,GBP,USD,20160317 10:24:54 EST,
37,Paper,Paper,2.0,USD,IDEALPRO,37.0,,,1.0,1.44675515865,20000.0,10000.0,-1.406346,BOT,GBP,USD,20160317 10:50:20 EST,
38,Paper,Paper,2.0,USD,IDEALPRO,38.0,,,1.0,1.44683171955,20000.0,-10000.0,-3.531218,SLD,GBP,USD,20160317 10:51:18 EST,
39,Paper,Paper,2.0,USD,IDEALPRO,39.0,,,1.0,1.44693057318,20000.0,10000.0,-0.0229273333387,BOT,GBP,USD,20160317 10:52:29 EST,
40,Paper,Paper,2.0,USD,IDEALPRO,40.0,,,1.0,1.44685685773,20000.0,-10000.0,-0.525690933335,SLD,GBP,USD,20160317 10:53:28 EST,
41,Paper,Paper,2.0,USD,IDEALPRO,41.0,,,1.0,1.44720561924,20000.0,10000.0,4.97523026667,BOT,GBP,USD,20160317 11:51:24 EST,
42,Paper,Paper,2.0,USD,IDEALPRO,42.0,,,1.0,1.44858187308,20000.0,-10000.0,-29.5250768,SLD,GBP,USD,20160317 12:12:48 EST,
43,Paper,Paper,2.0,USD,IDEALPRO,43.0,,,1.0,1.44923395769,20000.0,10000.0,11.0416922667,BOT,GBP,USD,20160317 12:20:53 EST,
44,Paper,Paper,2.0,USD,IDEALPRO,44.0,,,1.0,1.4487779859,20000.0,-10000.0,7.11943586667,SLD,GBP,USD,20160317 12:38:13 EST,
45,Paper,Paper,2.0,USD,IDEALPRO,45.0,,,1.0,1.4486059953,20000.0,10000.0,-5.439812,BOT,GBP,USD,20160317 12:39:19 EST,
46,Paper,Paper,2.0,USD,IDEALPRO,46.0,,,1.0,1.4479686651,20000.0,-10000.0,10.746604,SLD,GBP,USD,20160317 14:09:55 EST,
