2017-07-28 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-07-28 00:00:00,Close2017-07-28 00:00:00,group,RiskOn,Custom,SEA2017-07-28 00:00:00,SRUN2017-07-28 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2017-07-27 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-07-28 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-07-28 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-07-28 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,prevACT,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6
SF,@SFU7,1.0362,0.00814,-0.00394117081611,-1.0,-1.0,1.0,-1.0,1.0,-5.0,2017-07-21,1017.5,1.0,1.0,1.0,129525.0,1.0,-0.00394117081611,1.0362,currency,1.0,1.0,1.0,-5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,-1,-1,-1.0,1,1,-1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,-1,1,1.0,1
SI,QSIU7,1669.5,38.51,0.00736137090448,1.0,-1.0,-1.0,1.0,1.0,15.0,2017-07-07,1925.5,1.0,1.0,1.0,83475.0,1.0,0.00736137090448,1669.5,metal,-1.0,1.0,1.0,15.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,0,1,-1,-1,1,1,-1,1.0,-1,-1,1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1,-1,-1.0,0
SIN,INQ7,10035.0,76.607414935,-0.00367355043685,-1.0,1.0,-1.0,1.0,-1.0,-5.0,2017-07-21,153.21482987,6.0,1.0,1.0,20070.0,1.0,-0.00367355043685,10035.0,index,1.0,1.0,-1.0,-5.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,-1,-1,-1,-1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0
SJB,BBU7,150.12,0.1455,-0.000599161174356,-1.0,-1.0,-1.0,-1.0,1.0,16.0,2017-07-06,131.460065052,7.0,1.0,1.0,135634.260932,110.68,-0.000599161174356,150.12,rates,-1.0,1.0,1.0,16.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,1,-1,-1.0,1,1,-1,1,1,1,-1,-1,-1.0,-1.0,0.0,1.0,-1.0,0.0,1,1,1.0,1
SM,@SMZ7,328.5,8.07,-0.00151975683891,-1.0,1.0,-1.0,1.0,-1.0,6.0,2017-07-20,807.0,1.0,1.0,1.0,32850.0,1.0,-0.00151975683891,328.5,grain,1.0,-1.0,-1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,-1,1,-1,-1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0
SMI,SWU7,9009.0,86.1,-0.000998003992016,-1.0,-1.0,-1.0,1.0,1.0,-16.0,2017-07-06,888.728323699,1.0,1.0,1.0,92991.3294798,0.9688,-0.000998003992016,9009.0,index,1.0,1.0,1.0,-16.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,0,-1,-1,-1,1,1,-1,-1.0,1,1,-1,-1,1,1,-1,1,1.0,0.0,1.0,1.0,-1.0,0.0,-1,1,1.0,0
SSG,SSQ7,367.35,3.853897157,-0.0113039967703,-1.0,1.0,1.0,1.0,-1.0,-9.0,2017-07-17,568.128128105,1.0,1.0,1.0,54153.4606029,1.3567,-0.0113039967703,367.35,index,1.0,-1.0,-1.0,-9.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,-1,1,-1,-1,-1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0
STW,TWQ7,389.5,3.7500393095,-0.0131745629592,-1.0,1.0,-1.0,1.0,-1.0,-15.0,2017-07-07,375.00393095,2.0,1.0,1.0,38950.0,1.0,-0.0131745629592,389.5,index,1.0,1.0,-1.0,-15.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,-1,-1,-1,-1,1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0
SXE,EXU7,3456.0,36.4,-0.00718184429762,-1.0,-1.0,1.0,-1.0,-1.0,-3.0,2017-07-13,427.9548,2.0,1.0,1.0,40632.192,0.85055711491,-0.00718184429762,3456.0,index,1.0,1.0,-1.0,-3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-1.0,2.0,0.0,-1.0,0,-1,-1,1,1,-1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1
TF,@TFSU7,1429.9,13.82,-0.000559166841406,-1.0,1.0,1.0,1.0,-1.0,-11.0,2017-07-13,1382.0,1.0,1.0,1.0,142990.0,1.0,-0.000559166841406,1429.9,index,1.0,1.0,-1.0,-11.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,-1,1,-1.0,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,-1,1,0.0,0
