2016-07-29 00:00:00,Contract,LastClose,ATR20,PC2016-07-29 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,prevACT,usdATR,QTY,contractValue,Close2016-07-29 00:00:00,RiskOn,group,SEA2016-07-29 00:00:00,SRUN2016-07-29 00:00:00,prevSEA,prevSRUN,LastSIG,LastSAFEf,finalQTY,SIG2016-07-28 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-07-28 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-07-28 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-07-28 00:00:00,Anti1LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,RiskOff,chgValue,PNL_ACT,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_prevSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff
FCH,MTQ6,4439.5,65.546249002,0.00418457362588,1.0,1.0,-1.0,1.0,-1.0,-17.0,2016-07-06,-1.0,732.741517593,3.0,49629.1705,4439.5,1.0,index,-1.0,-17.0,-1.0,-16.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,1,1,1.0,-1,1,1,1,1,-1,207.676917948,623.030753845,623.030753845,623.030753845,-623.030753845,623.030753845,-623.030753845,-623.030753845,623.030753845,623.030753845,-623.030753845,623.030753845,623.030753845,623.030753845,-623.030753845,623.030753845,623.030753845,-623.030753845
FDX,DXMU6,10326.0,150.875,0.00296245932689,1.0,1.0,-1.0,1.0,-1.0,-11.0,2016-07-14,-1.0,843.3158125,3.0,57717.177,10326.0,1.0,index,-1.0,-11.0,-1.0,-10.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,1,1,1.0,-1,1,1,1,1,-1,170.984789325,512.954367976,512.954367976,512.954367976,-512.954367976,512.954367976,-512.954367976,-512.954367976,512.954367976,512.954367976,-512.954367976,512.954367976,512.954367976,512.954367976,-512.954367976,512.954367976,512.954367976,-512.954367976
FEI,IEZ6,100.325,0.01225,0.0,1.0,-1.0,1.0,-1.0,1.0,-15.0,2016-07-08,-1.0,34.2356875,59.0,280383.29375,100.325,-1.0,rates,1.0,-15.0,1.0,-14.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1,-1,1,-1.0,1,1,1,1,1,1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
FFI,LFU6,6676.5,69.6,-0.00112208258528,-1.0,1.0,-1.0,1.0,1.0,-11.0,2016-07-14,-1.0,920.46,3.0,88296.7125,6676.5,1.0,index,1.0,-11.0,1.0,-10.0,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,-99.0762034336,297.228610301,297.228610301,-297.228610301,297.228610301,-297.228610301,297.228610301,-297.228610301,297.228610301,297.228610301,-297.228610301,297.228610301,297.228610301,-297.228610301,297.228610301,-297.228610301,-297.228610301,297.228610301
FLG,LGU6,130.95,0.6875,0.00198944066111,1.0,1.0,1.0,1.0,1.0,26.0,2016-06-23,1.0,909.21875,3.0,173181.375,130.95,-1.0,rates,1.0,26.0,1.0,25.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,-1,-1,-1,1.0,-1,-1,1,1,1,1,344.534069171,1033.60220751,1033.60220751,1033.60220751,1033.60220751,1033.60220751,-1033.60220751,1033.60220751,-1033.60220751,1033.60220751,-1033.60220751,-1033.60220751,1033.60220751,1033.60220751,1033.60220751,-1033.60220751,-1033.60220751,1033.60220751
FSS,LLZ6,99.71,0.031,0.000100300902708,1.0,1.0,-1.0,1.0,-1.0,-11.0,2016-07-14,1.0,51.246875,40.0,164833.09375,99.71,-1.0,rates,-1.0,-11.0,-1.0,12.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,-1,1,-1,-1.0,1,-1,-1,-1,-1,1,16.5329080993,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
FV,@FVU6,122.015625,0.352734375,0.00256772371293,1.0,1.0,1.0,1.0,1.0,10.0,2016-07-15,1.0,352.734375,6.0,122015.625,122.015625,-1.0,rates,1.0,10.0,1.0,-17.0,1.0,1.0,6.0,1.0,2.0,6.0,1.0,2.0,6.0,1.0,2.0,6.0,1.0,-1,-1,-1,-1.0,1,-1,-1,1,-1,1,313.30241366,1879.81448196,1879.81448196,1879.81448196,1879.81448196,1879.81448196,-1879.81448196,1879.81448196,-1879.81448196,-1879.81448196,1879.81448196,-1879.81448196,-1879.81448196,1879.81448196,1879.81448196,-1879.81448196,-1879.81448196,1879.81448196
GC,QGCZ6,1357.5,19.8878541105,0.0121532955562,1.0,1.0,-1.0,1.0,1.0,-17.0,2016-07-20,1.0,1988.78541105,2.0,135750.0,1357.5,-1.0,metal,1.0,-17.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,1.0,-1,-1,-1,1,-1,1,1649.80987176,3299.61974351,3299.61974351,3299.61974351,-3299.61974351,3299.61974351,-3299.61974351,3299.61974351,-3299.61974351,3299.61974351,-3299.61974351,-3299.61974351,-3299.61974351,3299.61974351,3299.61974351,-3299.61974351,-3299.61974351,3299.61974351
HCM,HHIQ6,8973.0,139.693957802,-0.0122192866579,-1.0,1.0,-1.0,1.0,-1.0,24.0,2016-06-24,-1.0,898.931517391,3.0,57741.3127413,8973.0,1.0,index,-1.0,24.0,-1.0,23.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0,-1,1,1,-1.0,1,-1,-1,1,-1,-1,-705.557652387,2116.67295716,-2116.67295716,-2116.67295716,2116.67295716,-2116.67295716,2116.67295716,2116.67295716,-2116.67295716,2116.67295716,-2116.67295716,2116.67295716,2116.67295716,-2116.67295716,2116.67295716,-2116.67295716,-2116.67295716,2116.67295716
HG,QHGU6,222.15,4.5325,0.00565866908103,1.0,1.0,-1.0,1.0,-1.0,-8.0,2016-07-19,1.0,1133.125,2.0,55537.5,222.15,1.0,metal,-1.0,-8.0,-1.0,-7.0,-1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,-1,1.0,-1,-1,-1,-1,-1,-1,314.268334088,628.536668176,-628.536668176,628.536668176,-628.536668176,628.536668176,-628.536668176,-628.536668176,628.536668176,628.536668176,-628.536668176,-628.536668176,-628.536668176,-628.536668176,628.536668176,-628.536668176,628.536668176,-628.536668176
HIC,HSIQ6,21774.0,297.021121798,-0.0171082923306,-1.0,1.0,-1.0,1.0,-1.0,23.0,2016-06-27,-1.0,1911.3328301,2.0,140115.830116,21774.0,1.0,index,-1.0,23.0,-1.0,22.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,-1,1,1,-1.0,1,-1,-1,1,-1,-1,-2397.14258177,4794.28516354,-4794.28516354,-4794.28516354,4794.28516354,-4794.28516354,4794.28516354,4794.28516354,-4794.28516354,4794.28516354,-4794.28516354,4794.28516354,4794.28516354,-4794.28516354,4794.28516354,-4794.28516354,-4794.28516354,4794.28516354
HO,QHOU6,1.3075,0.0462492605,0.00638854679803,1.0,-1.0,-1.0,-1.0,1.0,21.0,2016-06-29,-1.0,1942.468941,2.0,54915.0,1.3075,1.0,energy,1.0,21.0,1.0,20.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,-1,1,1.0,-1,1,1,1,1,-1,350.827047414,701.654094828,701.654094828,-701.654094828,-701.654094828,-701.654094828,701.654094828,701.654094828,-701.654094828,701.654094828,-701.654094828,701.654094828,701.654094828,701.654094828,-701.654094828,701.654094828,701.654094828,-701.654094828
JY,@JYU6,0.98195,0.01399,0.0333596421994,1.0,-1.0,1.0,-1.0,1.0,7.0,2016-07-20,-1.0,1748.75,2.0,122743.75,0.98195,-1.0,currency,1.0,7.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,-1,1,1.0,-1,1,1,1,1,1,4094.68758222,8189.37516443,8189.37516443,-8189.37516443,8189.37516443,-8189.37516443,8189.37516443,8189.37516443,-8189.37516443,8189.37516443,-8189.37516443,8189.37516443,8189.37516443,8189.37516443,-8189.37516443,8189.37516443,-8189.37516443,8189.37516443
KC,@KCU6,146.2,4.1925,0.0284910306015,1.0,1.0,1.0,1.0,1.0,9.0,2016-07-18,1.0,1572.1875,2.0,54825.0,146.2,1.0,soft,1.0,9.0,1.0,-10.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,-1,-1,-1,-1.0,1,-1,-1,1,-1,-1,1562.02075273,3124.04150545,3124.04150545,3124.04150545,3124.04150545,3124.04150545,-3124.04150545,3124.04150545,-3124.04150545,-3124.04150545,3124.04150545,-3124.04150545,-3124.04150545,3124.04150545,3124.04150545,-3124.04150545,3124.04150545,-3124.04150545
KW,@KWU6,409.75,11.7375,0.0018337408313,1.0,1.0,-1.0,1.0,1.0,4.0,2016-07-25,-1.0,586.875,4.0,20487.5,409.75,1.0,grain,1.0,4.0,1.0,-3.0,-1.0,1.0,4.0,-1.0,1.0,4.0,-1.0,2.0,4.0,1.0,2.0,4.0,1.0,-1,-1,1,-1.0,1,-1,-1,1,-1,-1,37.5687652812,150.275061125,-150.275061125,150.275061125,-150.275061125,150.275061125,-150.275061125,150.275061125,-150.275061125,-150.275061125,150.275061125,-150.275061125,-150.275061125,150.275061125,-150.275061125,150.275061125,150.275061125,-150.275061125
LB,@LBU6,318.4,7.05,-0.0224132637396,-1.0,-1.0,1.0,-1.0,1.0,10.0,2016-07-15,-1.0,775.5,3.0,35024.0,318.4,1.0,soft,1.0,10.0,1.0,-18.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,-1,1,-1.0,1,1,1,1,1,-1,-785.002149217,2355.00644765,-2355.00644765,2355.00644765,-2355.00644765,2355.00644765,-2355.00644765,-2355.00644765,2355.00644765,2355.00644765,-2355.00644765,-2355.00644765,-2355.00644765,-2355.00644765,2355.00644765,-2355.00644765,-2355.00644765,2355.00644765
LC,@LEV6,111.725,2.198220645,-0.00334522747547,-1.0,-1.0,1.0,-1.0,-1.0,6.0,2016-07-21,-1.0,879.288258,3.0,44690.0,111.725,1.0,meat,-1.0,6.0,-1.0,5.0,-1.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,1,1,1,-1.0,1,1,1,-1,1,-1,-149.498215879,448.494647636,448.494647636,448.494647636,-448.494647636,448.494647636,-448.494647636,448.494647636,-448.494647636,448.494647636,-448.494647636,-448.494647636,-448.494647636,448.494647636,448.494647636,-448.494647636,-448.494647636,448.494647636
LCO,EBZ6,44.57,1.4915,0.0090559203079,1.0,-1.0,1.0,-1.0,-1.0,12.0,2016-07-13,-1.0,1491.5,2.0,44570.0,44.57,1.0,energy,-1.0,12.0,-1.0,11.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,1,1,-1.0,1,1,1,-1,1,-1,403.622368123,807.244736246,-807.244736246,-807.244736246,807.244736246,-807.244736246,807.244736246,-807.244736246,807.244736246,-807.244736246,807.244736246,807.244736246,807.244736246,-807.244736246,-807.244736246,807.244736246,807.244736246,-807.244736246
LGO,GASU6,377.25,14.1034352315,-0.00658327847268,-1.0,-1.0,1.0,-1.0,1.0,-22.0,2016-06-29,-1.0,1410.34352315,2.0,37725.0,377.25,1.0,energy,1.0,-22.0,1.0,-21.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,-1.0,1,-1,1,-1.0,1,1,1,1,1,-1,-248.354180382,496.708360764,-496.708360764,496.708360764,-496.708360764,496.708360764,-496.708360764,-496.708360764,496.708360764,496.708360764,-496.708360764,-496.708360764,-496.708360764,-496.708360764,496.708360764,-496.708360764,-496.708360764,496.708360764
