rowname,contract,ibsym,CSIsym,ib_timestamp,ib_price,closetime,csiPrice,slippage,abs_slippage,Type,signal,dollarslip,commissions,timedelta
ib: 2016-12-02 16:50:04 2 CL20161220 $-99,CL20161220,CL,CL,2016-12-02 16:50:04,51.63,2016-12-02 17:00:00,51.68,-0.000967492260062,0.000967492260062,Open,-1.0,-99.0,5.0,-10.0
ib: 2016-12-02 16:50:00 2 SI20170329 $169,SI20170329,SI,SI,2016-12-02 16:50:00,1681.5,2016-12-02 17:00:00,1683.2,-0.00100998098859,0.00100998098859,Open,1.0,169.0,5.0,-10.0
ib: 2016-12-02 16:49:45 2 PA20170329 $-159,PA20170329,PA,PA,2016-12-02 16:49:45,744.7,2016-12-02 17:00:00,745.5,-0.00107310529846,0.00107310529846,Open,-1.0,-159.0,5.0,-11.0
ib: 2016-12-02 16:50:04 2 HO20161230 $-159,HO20161230,HO,HO,2016-12-02 16:50:04,1.6562,2016-12-02 17:00:00,1.6581,-0.00114588987395,0.00114588987395,Open,-1.0,-159.0,5.0,-10.0
ib: 2016-12-02 13:37:54 2 LE20170228 $-100,LE20170228,LE,LC,2016-12-02 13:37:54,108.75,2016-12-02 14:05:00,108.875,-0.00114810562572,0.00114810562572,Open,-1.0,-100.0,5.0,-28.0
ib: 2016-12-02 16:50:10 2 GBP20161219 $224,GBP20161219,GBP,BP,2016-12-02 16:50:10,1.273,2016-12-02 17:00:00,1.2712,0.00141598489616,0.00141598489616,Open,-1.0,224.0,5.0,-10.0
ib: 2016-12-02 13:55:56 2 ZS20170113 $150,ZS20170113,ZS,S,2016-12-02 13:55:56,1029.0,2016-12-02 14:20:00,1027.5,0.0014598540146,0.0014598540146,Open,-1.0,150.0,5.0,-25.0
ib: 2016-12-02 16:50:12 2 AUD20161219 $219,AUD20161219,AUD,AD,2016-12-02 16:50:12,0.7453,2016-12-02 17:00:00,0.7442,0.00147809728568,0.00147809728568,Open,-1.0,219.0,5.0,-10.0
ib: 2016-12-02 16:49:52 2 JPY20161219 $-337,JPY20161219,JPY,JY,2016-12-02 16:49:52,0.88125,2016-12-02 17:00:00,0.8799,0.00153426525742,0.00153426525742,Open,1.0,-337.0,5.0,-11.0
ib: 2016-12-02 16:49:58 2 HG20170329 $225,HG20170329,HG,HG,2016-12-02 16:49:58,262.95,2016-12-02 17:00:00,262.5,0.00171428571429,0.00171428571429,Open,-1.0,225.0,5.0,-11.0
ib: 2016-12-02 13:55:58 6 ZC20170314 $-225,ZC20170314,ZC,C,2016-12-02 13:55:58,346.5,2016-12-02 14:20:00,347.25,-0.00215982721382,0.00215982721382,Open,-1.0,-225.0,15.0,-25.0
ib: 2016-12-02 16:50:36 2 RB20161230 $-310,RB20161230,RB,RB,2016-12-02 16:50:36,1.5554,2016-12-02 17:00:00,1.5591,-0.00237316400487,0.00237316400487,Open,-1.0,-310.0,5.0,-10.0
ib: 2016-12-02 13:37:54 2 GF20170126 $-324,GF20170126,GF,FC,2016-12-02 13:37:54,124.275,2016-12-02 14:05:00,124.6,-0.00260834670947,0.00260834670947,Open,-1.0,-324.0,5.0,-28.0
ib: 2016-12-02 16:49:50 2 PL20170127 $249,PL20170127,PL,PL,2016-12-02 16:49:50,930.2,2016-12-02 17:00:00,932.7,-0.00268039026482,0.00268039026482,Open,1.0,249.0,5.0,-11.0
ib: 2016-12-02 13:55:54 2 ZM20170113 $179,ZM20170113,ZM,SM,2016-12-02 13:55:54,313.4,2016-12-02 14:20:00,312.5,0.00288,0.00288,Open,-1.0,179.0,5.0,-25.0
ib: 2016-12-02 16:50:22 2 NG20161228 $259,NG20161228,NG,NG,2016-12-02 16:50:22,3.449,2016-12-02 17:00:00,3.436,0.00378346915017,0.00378346915017,Open,-1.0,259.0,5.0,-10.0
ib: 2016-12-02 13:37:50 2 HE20170214 $-219,HE20170214,HE,LH,2016-12-02 13:37:50,53.75,2016-12-02 14:05:00,54.025,-0.00509023600185,0.00509023600185,Open,-1.0,-219.0,5.0,-28.0
ib: 2016-12-02 13:55:52 4 ZW20170314 $-750,ZW20170314,ZW,W,2016-12-02 13:55:52,400.5,2016-12-02 14:20:00,404.25,-0.00927643784787,0.00927643784787,Open,-1.0,-750.0,10.0,-25.0
