trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,balance,commission,margin_available,purebalance
129.0,-12.0,20160322 19:08:34 EST,20160322 19:08:34 EST,20160322 19:08:34 EST,0.76169,,AUDUSD,short,,20160322 18:48:49 EST,closed,20160322 18:48:49 EST,0.76153,,,5.0,5.0,,AUDUSD,,-8.0,5.0,19103.6037998,4.0,9907.50874,19811.6037998
124.0,6.12,20160322 19:18:00 EST,20160322 19:18:00 EST,20160322 19:18:00 EST,85.474,,AUDJPY,short,,20160322 18:28:52 EST,closed,20160322 18:28:52 EST,85.589,,,1.0,1.0,,AUDJPY,,10.12,1.0,19109.7237998,4.0,-31806.21166,19821.7237998
134.0,2.59999999999,20160322 19:18:13 EST,20160322 19:18:13 EST,20160322 19:18:13 EST,159.589,,GBPJPY,short,,20160322 19:06:13 EST,closed,20160322 19:06:13 EST,159.604,,,5.0,5.0,,GBPJPY,,6.59999999999,5.0,19112.3237998,4.0,30891.23634,19828.3237998
133.0,-9.5,20160322 19:19:29 EST,20160322 19:19:29 EST,20160322 19:19:29 EST,1.42169,,GBPUSD,short,,20160322 19:04:04 EST,closed,20160322 19:04:04 EST,1.42158,,,5.0,5.0,,GBPUSD,,-5.5,5.0,19104.8237998,4.0,101975.73634,19822.8237998
132.0,4.5,20160322 19:27:03 EST,20160322 19:27:03 EST,20160322 19:27:03 EST,0.6745,,NZDUSD,short,,20160322 19:03:52 EST,closed,20160322 19:03:52 EST,0.67467,,,5.0,5.0,,NZDUSD,,8.5,5.0,19109.3237998,4.0,97629.73634,19831.3237998
136.0,-1.8,20160322 19:28:21 EST,20160322 19:28:21 EST,20160322 19:28:21 EST,85.499,,AUDJPY,long,,20160322 19:18:00 EST,closed,20160322 19:18:00 EST,85.474,,,1.0,1.0,,AUDJPY,,2.2,-1.0,19107.5237998,4.0,71428.64834,19833.5237998
138.0,-19.0,20160322 19:40:37 EST,20160322 19:40:37 EST,20160322 19:40:37 EST,0.6742,,NZDUSD,long,,20160322 19:27:03 EST,closed,20160322 19:27:03 EST,0.6745,,,5.0,5.0,,NZDUSD,,-15.0,-5.0,19084.5237998,4.0,53112.11634,19818.5237998
137.0,5.0,20160322 19:41:51 EST,20160322 19:41:51 EST,20160322 19:41:51 EST,0.7616,,AUDUSD,long,,20160322 19:25:58 EST,closed,20160322 19:25:58 EST,0.76142,,,5.0,5.0,,AUDUSD,,9.0,-5.0,19089.5237998,4.0,57482.11634,19827.5237998
143.0,-27.936,20160322 19:58:58 EST,20160322 19:58:58 EST,20160322 19:58:58 EST,159.646,,GBPJPY,short,,20160322 19:47:44 EST,closed,20160322 19:47:44 EST,159.578,,,4.0,4.0,,GBPJPY,,-23.936,4.0,19043.9877998,4.0,-56360.90766,19793.9877998
140.0,24.1,20160322 20:04:06 EST,20160322 20:04:06 EST,20160322 20:04:06 EST,1.42158,,GBPUSD,short,,20160322 19:54:33 EST,closed,20160322 19:37:50 EST,1.422182,,,5.0,5.0,,GBPUSD,,30.1,5.0,19070.0877998,6.0,-55526.14766,19824.0877998
128.0,12.0,20160322 20:05:59 EST,20160322 20:05:59 EST,20160322 20:05:59 EST,1.12141,,EURUSD,short,,20160322 18:48:36 EST,closed,20160322 18:48:36 EST,1.12173,,,5.0,5.0,,EURUSD,,16.0,5.0,19082.0877998,4.0,-70534.64766,19840.0877998
142.0,-10.5,20160322 20:09:35 EST,20160322 20:09:35 EST,20160322 20:09:35 EST,0.76169,,AUDUSD,short,,20160322 19:41:51 EST,closed,20160322 19:41:51 EST,0.7616,,,5.0,5.0,,AUDUSD,,-4.5,1.0,19068.3877998,6.0,-35940.94766,19830.3877998
145.0,-4.88,20160322 20:18:47 EST,20160322 20:18:47 EST,20160322 20:18:47 EST,159.644,,GBPJPY,long,,20160322 19:58:58 EST,closed,20160322 19:58:58 EST,159.646,,,5.0,5.0,,GBPJPY,,-0.880000000004,-5.0,19061.5077998,4.0,-30772.08766,19829.5077998
146.0,-12.5,20160322 20:30:23 EST,20160322 20:30:23 EST,20160322 20:30:23 EST,1.42141,,GBPUSD,long,,20160322 20:04:06 EST,closed,20160322 20:04:06 EST,1.42158,,,5.0,5.0,,GBPUSD,,-8.49999999999,-5.0,19063.8909998,4.0,101050.74834,19837.8909998
141.0,-41.3,20160322 20:32:09 EST,20160322 20:32:09 EST,20160322 20:32:09 EST,0.67561,,NZDUSD,short,,20160322 20:17:46 EST,closed,20160322 19:40:37 EST,0.67524,,,5.0,5.0,,NZDUSD,,-33.3,5.0,19048.0789998,8.0,174333.74434,19826.0789998
120.0,-122.8,20160322 20:38:01 EST,20160322 20:38:01 EST,20160322 20:38:01 EST,115.244,,CHFJPY,long,,20160322 18:13:34 EST,closed,20160322 18:13:34 EST,115.514,,,5.0,5.0,,CHFJPY,,-118.8,-5.0,18925.2789998,4.0,154852.30434,19707.2789998
