Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency
20160323 11:34:40 EST,paperUSD,19894.712,19942.712,399869.32,0,-105.288,-57.288,USD
20160323 11:34:40 EST,paperUSD,19892.712,19942.712,377446.48,0,-107.288,-57.288,USD
20160323 11:38:42 EST,paperUSD,19890.712,19942.712,369969.56,0,-109.288,-57.288,USD
20160323 11:42:44 EST,paperUSD,19891.22,19945.22,392396.888,0,-108.78,-54.78,USD
20160323 11:45:16 EST,paperUSD,19885.656,19941.656,399868.264,0,-114.344,-58.344,USD
20160323 11:45:16 EST,paperUSD,19883.656,19941.656,362511.384,0,-116.344,-58.344,USD
20160323 11:46:18 EST,paperUSD,19888.696,19948.696,399861.224,0,-111.304,-51.304,USD
20160323 11:46:18 EST,paperUSD,19886.696,19948.696,392391.256,0,-113.304,-51.304,USD
20160323 11:50:21 EST,paperUSD,19884.696,19948.696,362536.376,0,-115.304,-51.304,USD
20160323 11:50:52 EST,paperUSD,19877.328,19943.328,399855.856,0,-122.672,-56.672,USD
20160323 11:50:52 EST,paperUSD,19875.328,19943.328,392391.96,0,-124.672,-56.672,USD
20160323 11:51:53 EST,paperUSD,19872.272,19942.272,399856.912,0,-127.728,-57.728,USD
20160323 11:51:53 EST,paperUSD,19870.272,19942.272,392391.96,0,-129.728,-57.728,USD
20160323 11:53:54 EST,paperUSD,19866.16,19940.16,399854.8,0,-133.84,-59.84,USD
20160323 11:54:55 EST,paperUSD,19864.16,19940.16,362531.8,0,-135.84,-59.84,USD
20160323 11:57:29 EST,paperUSD,19856.88,19934.88,399849.52,0,-143.12,-65.12,USD
20160323 11:57:29 EST,paperUSD,19854.88,19934.88,392385.976,0,-145.12,-65.12,USD
20160323 11:58:31 EST,paperUSD,19854.024,19936.024,399848.376,0,-145.976,-63.976,USD
20160323 11:58:31 EST,paperUSD,19852.024,19936.024,392385.976,0,-147.976,-63.976,USD
20160323 11:59:32 EST,paperUSD,19850.024,19936.024,362521.592,0,-149.976,-63.976,USD
20160323 12:00:33 EST,paperUSD,19854.8,19942.8,399855.152,0,-145.2,-57.2,USD
20160323 12:02:05 EST,paperUSD,19852.8,19942.8,362513.672,0,-147.2,-57.2,USD
20160323 12:05:49 EST,paperUSD,19838.128,19930.128,392399.528,0,-161.872,-69.872,USD
20160323 12:06:52 EST,paperUSD,19836.128,19930.128,362524.936,0,-163.872,-69.872,USD
20160323 12:13:59 EST,paperUSD,19808.8544,19904.8544,392424.52,0,-191.1456,-95.1456,USD
20160323 12:15:33 EST,paperUSD,19806.8544,19904.8544,362530.92,0,-193.1456,-95.1456,USD
20160323 12:18:34 EST,paperUSD,19818.24448,19918.24448,392407.272,0,-181.75552,-81.75552,USD
20160323 12:19:35 EST,paperUSD,19816.24448,19918.24448,362527.4,0,-183.75552,-81.75552,USD
20160323 12:20:39 EST,paperUSD,19817.626496,19921.626496,392405.864,0,-182.373504,-78.373504,USD
20160323 12:21:41 EST,paperUSD,19814.976,19920.976,399876.976,0,-185.024,-79.024,USD
20160323 12:21:41 EST,paperUSD,19812.976,19920.976,392405.864,0,-187.024,-79.024,USD
20160323 12:23:43 EST,paperUSD,19808.6,19918.6,399874.6,0,-191.4,-81.4,USD
20160323 12:23:43 EST,paperUSD,19806.6,19918.6,392405.864,0,-193.4,-81.4,USD
20160323 12:24:44 EST,paperUSD,19808.032,19922.032,399871.168,0,-191.968,-77.968,USD
20160323 12:24:44 EST,paperUSD,19806.032,19922.032,392405.864,0,-193.968,-77.968,USD
20160323 12:25:45 EST,paperUSD,19803.328,19921.328,399870.464,0,-196.672,-78.672,USD
20160323 12:25:45 EST,paperUSD,19801.328,19921.328,392405.864,0,-198.672,-78.672,USD
20160323 12:27:48 EST,paperUSD,19797.04,19919.04,399872.752,0,-202.96,-80.96,USD
20160323 12:27:48 EST,paperUSD,19795.04,19919.04,392405.864,0,-204.96,-80.96,USD
20160323 12:32:24 EST,paperUSD,19793.04,19919.04,362540.072,0,-206.96,-80.96,USD
