permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
83,Paper,Paper,22.6312,USD,IDEALPRO,83.0,,,1.0,1.13156,2000000.0,-1000000.0,-622.6312,SLD,EUR,USD,20160330 23:57:08 EST,,-600.0,5672.47714524,-14571578.338,1.13156,7439.582,-622.6312
84,Paper,Paper,22.633,USD,IDEALPRO,84.0,,,1.0,1.13165,2000000.0,1000000.0,-112.633,BOT,EUR,USD,20160331 00:11:26 EST,,-89.9999999999,5559.84414524,-14571578.338,1.13165,7349.582,-112.633
85,Paper,Paper,22.2565616,USD,IDEALPRO,85.0,,,1.0,0.78896,2000000.0,-1000000.0,-388.9865616,SLD,EUR,GBP,20160331 00:32:26 EST,,-366.73,5170.85758364,-14571578.338,0.78896,6982.852,-388.9865616
86,Paper,Paper,15.129488,USD,IDEALPRO,86.0,,,1.0,85.963,2000000.0,-1000000.0,-2549.529488,SLD,AUD,JPY,20160331 00:34:01 EST,,-2534.4,2621.32809564,-14571578.338,85.963,4448.452,-2549.529488
87,Paper,Paper,22.2588184,USD,IDEALPRO,87.0,,,1.0,0.78904,2000000.0,1000000.0,-135.0988184,BOT,EUR,GBP,20160331 00:53:41 EST,,-112.84,2486.22927724,-14571578.338,0.78904,4335.612,-135.0988184
88,Paper,Paper,15.213264,USD,IDEALPRO,88.0,,,1.0,86.439,2000000.0,-1000000.0,-3200.813264,SLD,CAD,JPY,20160331 01:20:11 EST,,-3185.6,-714.58398676,-14571578.338,86.439,1150.012,-3200.813264
89,Paper,Paper,22.2681277,USD,IDEALPRO,89.0,,,1.0,0.78937,2000000.0,-1000000.0,443.1968723,SLD,EUR,GBP,20160331 01:47:27 EST,,465.465,-271.38711446,-14571578.338,0.78937,1615.477,443.1968723
90,Paper,Paper,19.76744,USD,IDEALPRO,90.0,,,1.0,112.315,2000000.0,1000000.0,939.43256,BOT,USD,JPY,20160331 02:08:28 EST,,959.2,668.04544554,-14571578.338,112.315,2574.677,939.43256
91,Paper,Paper,22.6306,USD,IDEALPRO,91.0,,,1.0,1.13153,2000000.0,-1000000.0,-142.6306,SLD,EUR,USD,20160331 02:21:26 EST,,-120.0,525.41484554,-14571578.338,1.13153,2454.677,-142.6306
92,Paper,Paper,15.130544,USD,IDEALPRO,92.0,,,1.0,85.969,2000000.0,1000000.0,-67.930544,BOT,AUD,JPY,20160331 02:57:27 EST,,-52.8,457.48430154,-14571578.338,85.969,2401.877,-67.930544
93,Paper,Paper,22.2833611,USD,IDEALPRO,93.0,,,1.0,0.78991,2000000.0,1000000.0,-783.9533611,BOT,EUR,GBP,20160331 03:04:41 EST,,-761.67,-326.46905956,-14571578.338,0.78991,1640.207,-783.9533611
94,Paper,Paper,22.2768728,USD,IDEALPRO,94.0,,,1.0,0.78968,2000000.0,-1000000.0,-346.6918728,SLD,EUR,GBP,20160331 03:12:51 EST,,-324.415,-673.16093236,-14571578.338,0.78968,1315.792,-346.6918728
95,Paper,Paper,19.782928,USD,IDEALPRO,95.0,,,1.0,112.403,2000000.0,-1000000.0,754.617072,SLD,USD,JPY,20160331 03:18:58 EST,,774.4,81.4561396401,-14571578.338,112.403,2090.192,754.617072
96,Paper,Paper,22.41536,USD,IDEALPRO,96.0,,,1.0,127.36,2000000.0,-1000000.0,-796.81536,SLD,EUR,JPY,20160331 03:32:52 EST,,-774.4,-715.35922036,-14571578.338,127.36,1315.792,-796.81536
97,Paper,Paper,19.781168,USD,IDEALPRO,97.0,,,1.0,112.393,2000000.0,1000000.0,68.2188319999,BOT,USD,JPY,20160331 03:34:27 EST,,87.9999999999,-647.14038836,-14571578.338,112.393,1403.792,68.2188319999
98,Paper,Paper,22.14248232,USD,IDEALPRO,98.0,,,1.0,1.09378,2000000.0,-1000000.0,777.49551768,SLD,EUR,CHF,20160331 03:55:33 EST,,799.638,130.35512932,-14571578.338,1.09378,2203.43,777.49551768
