permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,balance,margin_available,openprice
76,Paper,Paper,2.0,USD,IDEALPRO,76.0,,,1.0,125.863,20000.0,10000.0,-30.248,BOT,EUR,JPY,20160318 11:30:28 EST,,9788.864,849102.592,125.542
77,Paper,Paper,2.0,USD,IDEALPRO,77.0,,,1.0,125.855,20000.0,-10000.0,25.544,SLD,EUR,JPY,20160318 11:32:42 EST,,9814.408,860177.832,125.542
78,Paper,Paper,2.0,USD,IDEALPRO,78.0,,,1.0,125.876,20000.0,10000.0,-31.392,BOT,EUR,JPY,20160318 11:36:17 EST,,9783.016,871254.92,125.542
79,Paper,Paper,2.0,USD,IDEALPRO,79.0,,,1.0,125.898,20000.0,-10000.0,29.328,SLD,EUR,JPY,20160318 11:38:38 EST,,9812.344,882333.944,125.542
80,Paper,Paper,2.0,USD,IDEALPRO,80.0,,,1.0,125.846,20000.0,10000.0,-28.752,BOT,EUR,JPY,20160318 11:44:56 EST,,9783.592,893408.392,125.542
81,Paper,Paper,2.0,USD,IDEALPRO,81.0,,,1.0,125.853,20000.0,-10000.0,25.368,SLD,EUR,JPY,20160318 11:52:27 EST,,9808.96,904483.456,125.542
82,Paper,Paper,2.0,USD,IDEALPRO,82.0,,,1.0,125.865,20000.0,10000.0,-30.424,BOT,EUR,JPY,20160318 11:54:38 EST,,9778.536,915559.576,125.542
83,Paper,Paper,2.0,USD,IDEALPRO,83.0,,,1.0,125.88,20000.0,-10000.0,27.744,SLD,EUR,JPY,20160318 11:56:08 EST,,9806.28,926637.016,125.542
84,Paper,Paper,2.0,USD,IDEALPRO,84.0,,,1.0,125.825,20000.0,10000.0,-26.904,BOT,EUR,JPY,20160318 11:57:59 EST,,9779.376,937709.616,125.542
85,Paper,Paper,2.0,USD,IDEALPRO,85.0,,,1.0,125.772,20000.0,-10000.0,18.24,SLD,EUR,JPY,20160318 12:00:33 EST,,9797.616,948777.552,125.542
86,Paper,Paper,2.0,USD,IDEALPRO,86.0,,,1.0,125.775,20000.0,10000.0,-22.504,BOT,EUR,JPY,20160318 12:02:34 EST,,9775.112,959845.752,125.542
87,Paper,Paper,2.0,USD,IDEALPRO,87.0,,,1.0,125.773,20000.0,-10000.0,18.328,SLD,EUR,JPY,20160318 12:03:32 EST,,9793.44,970913.776,125.542
88,Paper,Paper,2.0,USD,IDEALPRO,88.0,,,1.0,125.792,20000.0,10000.0,-24.0,BOT,EUR,JPY,20160318 12:05:00 EST,,9769.44,981983.472,125.542
89,Paper,Paper,2.0,USD,IDEALPRO,89.0,,,1.0,125.768,20000.0,-10000.0,17.888,SLD,EUR,JPY,20160318 12:05:47 EST,,9787.328,993051.056,125.542
90,Paper,Paper,2.0,USD,IDEALPRO,90.0,,,1.0,125.778,20000.0,10000.0,-22.768,BOT,EUR,JPY,20160318 12:06:30 EST,,9764.56,1004119.52,125.542
91,Paper,Paper,2.0,USD,IDEALPRO,91.0,,,1.0,125.773,20000.0,-10000.0,18.328,SLD,EUR,JPY,20160318 12:07:37 EST,,9782.888,1015187.544,125.542
92,Paper,Paper,2.0,USD,IDEALPRO,92.0,,,1.0,125.787,20000.0,10000.0,-23.56,BOT,EUR,JPY,20160318 12:11:28 EST,,9759.328,1026256.8,125.542
93,Paper,Paper,2.0,USD,IDEALPRO,93.0,,,1.0,125.813,20000.0,-10000.0,21.848,SLD,EUR,JPY,20160318 12:12:34 EST,,9781.176,1037328.344,125.542
94,Paper,Paper,2.0,USD,IDEALPRO,94.0,,,1.0,125.789,20000.0,10000.0,-23.736,BOT,EUR,JPY,20160318 12:17:42 EST,,9757.44,1048397.776,125.542
95,Paper,Paper,2.0,USD,IDEALPRO,95.0,,,1.0,125.803,20000.0,-10000.0,20.968,SLD,EUR,JPY,20160318 12:19:37 EST,,9778.408,1059468.44,125.542
96,Paper,Paper,2.0,USD,IDEALPRO,96.0,,,1.0,125.816,20000.0,10000.0,-26.112,BOT,EUR,JPY,20160318 12:21:44 EST,,9752.296,1070540.248,125.542
97,Paper,Paper,2.0,USD,IDEALPRO,97.0,,,1.0,125.793,20000.0,-10000.0,20.088,SLD,EUR,JPY,20160318 12:22:44 EST,,9772.384,1081610.032,125.542
98,Paper,Paper,2.0,USD,IDEALPRO,98.0,,,1.0,125.774,20000.0,10000.0,-22.416,BOT,EUR,JPY,20160318 12:31:38 EST,,9749.968,1092678.144,125.542
99,Paper,Paper,2.0,USD,IDEALPRO,99.0,,,1.0,125.813,20000.0,-10000.0,21.848,SLD,EUR,JPY,20160318 12:33:19 EST,,9771.816,1103749.688,125.542
100,Paper,Paper,2.0,USD,IDEALPRO,100.0,,,1.0,125.739,20000.0,10000.0,-19.336,BOT,EUR,JPY,20160318 12:40:37 EST,,9752.48,1114814.72,125.542
101,Paper,Paper,2.0,USD,IDEALPRO,101.0,,,1.0,125.729,20000.0,-10000.0,14.456,SLD,EUR,JPY,20160318 12:43:31 EST,,9766.936,1125878.872,125.542
102,Paper,Paper,2.0,USD,IDEALPRO,102.0,,,1.0,125.691,20000.0,10000.0,-15.112,BOT,EUR,JPY,20160318 12:47:42 EST,,9751.824,1136939.68,125.542
103,Paper,Paper,2.0,USD,IDEALPRO,103.0,,,1.0,125.692,20000.0,-10000.0,11.2,SLD,EUR,JPY,20160318 12:49:33 EST,,9763.024,1148000.576,125.542
104,Paper,Paper,2.0,USD,IDEALPRO,104.0,,,1.0,125.693,20000.0,10000.0,-15.288,BOT,EUR,JPY,20160318 13:02:23 EST,,9747.736,1159061.56,125.542
105,Paper,Paper,2.0,USD,IDEALPRO,105.0,,,1.0,125.667,20000.0,-10000.0,9.0,SLD,EUR,JPY,20160318 13:13:30 EST,,9756.736,1170120.256,125.542
106,Paper,Paper,2.0,USD,IDEALPRO,106.0,,,1.0,125.719,20000.0,10000.0,-17.576,BOT,EUR,JPY,20160318 13:21:09 EST,,9739.16,1181183.528,125.542
107,Paper,Paper,2.0,USD,IDEALPRO,107.0,,,1.0,125.69,20000.0,-10000.0,11.024,SLD,EUR,JPY,20160318 13:23:21 EST,,9750.184,1192244.248,125.542
108,Paper,Paper,2.0,USD,IDEALPRO,108.0,,,1.0,125.718,20000.0,10000.0,-17.488,BOT,EUR,JPY,20160318 13:28:08 EST,,9732.696,1203307.432,125.542
109,Paper,Paper,2.0,USD,IDEALPRO,109.0,,,1.0,125.732,20000.0,-10000.0,14.72,SLD,EUR,JPY,20160318 13:31:37 EST,,9747.416,1214371.848,125.542
110,Paper,Paper,2.0,USD,IDEALPRO,110.0,,,1.0,125.736,20000.0,10000.0,-19.072,BOT,EUR,JPY,20160318 13:32:32 EST,,9728.344,1225436.616,125.542
111,Paper,Paper,2.0,USD,IDEALPRO,111.0,,,1.0,125.701,20000.0,-10000.0,11.992,SLD,EUR,JPY,20160318 13:37:50 EST,,9740.336,1236498.304,125.542
112,Paper,Paper,2.0,USD,IDEALPRO,112.0,,,1.0,125.72,20000.0,10000.0,-17.664,BOT,EUR,JPY,20160318 13:38:46 EST,,9722.672,1247561.664,125.542
113,Paper,Paper,2.0,USD,IDEALPRO,113.0,,,1.0,125.694,20000.0,-10000.0,11.376,SLD,EUR,JPY,20160318 13:39:33 EST,,9734.048,1258622.736,125.542
114,Paper,Paper,2.0,USD,IDEALPRO,114.0,,,1.0,125.742,20000.0,10000.0,-19.6,BOT,EUR,JPY,20160318 13:47:35 EST,,9714.448,1269688.032,125.542
115,Paper,Paper,2.0,USD,IDEALPRO,115.0,,,1.0,125.751,20000.0,-10000.0,16.392,SLD,EUR,JPY,20160318 13:49:37 EST,,9730.84,1280754.12,125.542
116,Paper,Paper,2.0,USD,IDEALPRO,116.0,,,1.0,125.753,20000.0,10000.0,-20.568,BOT,EUR,JPY,20160318 13:53:45 EST,,9710.272,1291820.384,125.542
117,Paper,Paper,2.0,USD,IDEALPRO,117.0,,,1.0,125.759,20000.0,-10000.0,17.096,SLD,EUR,JPY,20160318 13:57:41 EST,,9727.368,1302887.176,125.542
118,Paper,Paper,2.0,USD,IDEALPRO,118.0,,,1.0,125.792,20000.0,10000.0,-24.0,BOT,EUR,JPY,20160318 13:59:46 EST,,9703.368,1313956.872,125.542
119,Paper,Paper,2.0,USD,IDEALPRO,119.0,,,1.0,125.789,20000.0,-10000.0,19.736,SLD,EUR,JPY,20160318 14:01:51 EST,,9723.104,1325026.304,125.542
120,Paper,Paper,2.0,USD,IDEALPRO,120.0,,,1.0,125.804,20000.0,10000.0,-25.056,BOT,EUR,JPY,20160318 14:03:30 EST,,9698.048,1336097.056,125.542
121,Paper,Paper,2.0,USD,IDEALPRO,121.0,,,1.0,125.801,20000.0,-10000.0,20.792,SLD,EUR,JPY,20160318 14:05:42 EST,,9718.84,1347167.544,125.542
122,Paper,Paper,2.0,USD,IDEALPRO,122.0,,,1.0,125.819,20000.0,10000.0,-26.376,BOT,EUR,JPY,20160318 14:07:33 EST,,9692.464,1358239.616,125.542
123,Paper,Paper,2.0,USD,IDEALPRO,123.0,,,1.0,125.815,20000.0,-10000.0,22.024,SLD,EUR,JPY,20160318 14:11:09 EST,,9714.488,1369311.336,125.542
124,Paper,Paper,2.0,USD,IDEALPRO,124.0,,,1.0,125.812,20000.0,10000.0,-25.76,BOT,EUR,JPY,20160318 14:12:08 EST,,9688.728,1380382.792,125.542
125,Paper,Paper,2.0,USD,IDEALPRO,125.0,,,1.0,125.78,20000.0,-10000.0,18.944,SLD,EUR,JPY,20160318 14:16:43 EST,,9707.672,1391451.432,125.542
126,Paper,Paper,2.0,USD,IDEALPRO,126.0,,,1.0,125.773,20000.0,10000.0,-22.328,BOT,EUR,JPY,20160318 14:21:03 EST,,9685.344,1402519.456,125.542
127,Paper,Paper,2.0,USD,IDEALPRO,127.0,,,1.0,125.753,20000.0,-10000.0,16.568,SLD,EUR,JPY,20160318 14:23:05 EST,,9701.912,1413585.72,125.542
128,Paper,Paper,2.0,USD,IDEALPRO,128.0,,,1.0,125.744,20000.0,10000.0,-19.776,BOT,EUR,JPY,20160318 14:44:56 EST,,9682.136,1424651.192,125.542
129,Paper,Paper,2.0,USD,IDEALPRO,129.0,,,1.0,125.727,20000.0,-10000.0,14.28,SLD,EUR,JPY,20160318 14:48:22 EST,,9696.416,1435715.168,125.542
130,Paper,Paper,2.0,USD,IDEALPRO,130.0,,,1.0,125.731,20000.0,10000.0,-18.632,BOT,EUR,JPY,20160318 14:56:00 EST,,9677.784,1446779.496,125.542
131,Paper,Paper,2.0,USD,IDEALPRO,131.0,,,1.0,125.735,20000.0,-10000.0,14.984,SLD,EUR,JPY,20160318 14:57:40 EST,,9692.768,1457844.176,125.542
132,Paper,Paper,2.0,USD,IDEALPRO,132.0,,,1.0,125.754,20000.0,10000.0,-20.656,BOT,EUR,JPY,20160318 15:01:37 EST,,9672.112,1468910.528,125.542
133,Paper,Paper,2.0,USD,IDEALPRO,133.0,,,1.0,125.735,20000.0,-10000.0,14.984,SLD,EUR,JPY,20160318 15:05:43 EST,,9687.096,1479975.208,125.542
134,Paper,Paper,2.0,USD,IDEALPRO,134.0,,,1.0,125.753,20000.0,10000.0,-20.568,BOT,EUR,JPY,20160318 15:07:33 EST,,9666.528,1491041.472,125.542
135,Paper,Paper,2.0,USD,IDEALPRO,135.0,,,1.0,125.736,20000.0,-10000.0,15.072,SLD,EUR,JPY,20160318 15:08:28 EST,,9681.6,1502106.24,125.542
136,Paper,Paper,2.0,USD,IDEALPRO,136.0,,,1.0,125.754,20000.0,10000.0,-20.656,BOT,EUR,JPY,20160318 15:09:35 EST,,9660.944,1513172.592,125.542
137,Paper,Paper,2.0,USD,IDEALPRO,137.0,,,1.0,125.769,20000.0,-10000.0,17.976,SLD,EUR,JPY,20160318 15:10:33 EST,,9678.92,1524240.264,125.542
138,Paper,Paper,2.0,USD,IDEALPRO,138.0,,,1.0,125.788,20000.0,10000.0,-23.648,BOT,EUR,JPY,20160318 15:12:36 EST,,9655.272,1535309.608,125.542
139,Paper,Paper,2.0,USD,IDEALPRO,139.0,,,1.0,125.811,20000.0,-10000.0,21.672,SLD,EUR,JPY,20160318 15:15:36 EST,,9676.944,1546380.976,125.542
140,Paper,Paper,2.0,USD,IDEALPRO,140.0,,,1.0,125.822,20000.0,10000.0,-26.64,BOT,EUR,JPY,20160318 15:16:34 EST,,9650.304,1557453.312,125.542
141,Paper,Paper,2.0,USD,IDEALPRO,141.0,,,1.0,125.809,20000.0,-10000.0,21.496,SLD,EUR,JPY,20160318 15:18:38 EST,,9671.8,1568524.504,125.542
142,Paper,Paper,2.0,USD,IDEALPRO,142.0,,,1.0,125.833,20000.0,10000.0,-27.608,BOT,EUR,JPY,20160318 15:25:37 EST,,9644.192,1579597.808,125.542
143,Paper,Paper,2.0,USD,IDEALPRO,143.0,,,1.0,125.849,20000.0,-10000.0,25.016,SLD,EUR,JPY,20160318 15:28:40 EST,,9669.208,1590672.52,125.542
144,Paper,Paper,2.0,USD,IDEALPRO,144.0,,,1.0,125.855,20000.0,10000.0,-29.544,BOT,EUR,JPY,20160318 15:29:37 EST,,9639.664,1601747.76,125.542
145,Paper,Paper,2.0,USD,IDEALPRO,145.0,,,1.0,125.885,20000.0,-10000.0,28.184,SLD,EUR,JPY,20160318 15:35:23 EST,,9667.848,1612825.64,125.542
146,Paper,Paper,2.0,USD,IDEALPRO,146.0,,,1.0,125.901,20000.0,10000.0,-33.592,BOT,EUR,JPY,20160318 15:39:55 EST,,9634.256,1623904.928,125.542
