permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,balance,margin_available
34,Paper,Paper,2.0,USD,IDEALPRO,34.0,,,1.0,113.681,50000.0,25000.0,-25.42857484,BOT,USD,JPY,20160316 13:02:59 EST,,9938.66363458,1243739.09891
35,Paper,Paper,2.0,USD,IDEALPRO,35.0,,,1.0,0.74324,50000.0,25000.0,20.0,BOT,AUD,USD,20160316 13:04:16 EST,,9958.66363458,1280901.09891
36,Paper,Paper,2.0,USD,IDEALPRO,36.0,,,1.0,1.10668,50000.0,25000.0,79.471896,BOT,EUR,USD,20160316 13:04:23 EST,,10038.1355306,1336235.09891
37,Paper,Paper,2.0,USD,IDEALPRO,37.0,,,1.0,1.33611,50000.0,25000.0,-56.7305036851,BOT,USD,CAD,20160316 13:04:40 EST,,9981.40502691,1386165.52961
38,Paper,Paper,2.0,USD,IDEALPRO,38.0,,,1.0,113.681,50000.0,-25000.0,18.42285828,SLD,USD,JPY,20160316 13:04:54 EST,,9999.82788519,1436164.74675
39,Paper,Paper,2.0,USD,IDEALPRO,39.0,,,1.0,0.74324,50000.0,-25000.0,-28.0,SLD,AUD,USD,20160316 13:06:14 EST,,9971.82788519,1473352.74675
40,Paper,Paper,2.0,USD,IDEALPRO,40.0,,,1.0,1.33611,50000.0,-25000.0,53.3643680196,SLD,USD,CAD,20160316 13:06:45 EST,,10025.1922532,1523227.81308
41,Paper,Paper,2.0,USD,IDEALPRO,41.0,,,1.0,0.98959,50000.0,25000.0,-49.2484963007,BOT,USD,CHF,20160316 13:06:54 EST,,9975.9437569,1573310.96298
42,Paper,Paper,2.0,USD,IDEALPRO,42.0,,,1.0,113.681,50000.0,25000.0,-18.48761928,BOT,USD,JPY,20160316 13:07:02 EST,,9957.45613762,1623330.60298
43,Paper,Paper,2.0,USD,IDEALPRO,43.0,,,1.0,1.10668,50000.0,-25000.0,-72.490632,SLD,EUR,USD,20160316 13:10:31 EST,,9884.96550562,1678735.09361
