Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20160509 20:12:39 EST,paperUSD,-27577.0905,-25811.0,90304525.0,0,-127577.0905,-125811.0,USD,-27577.0905,-25811.0,0
20160509 20:42:18 EST,paperUSD,-29093.99238,-27311.0,91149619.0,0,-129093.99238,-127311.0,USD,-29093.99238,-27311.0,0
20160509 22:34:51 EST,paperUSD,-25444.82094,-23645.0,91991047.0,0,-125444.82094,-123645.0,USD,-25444.82094,-23645.0,0
20160509 22:50:58 EST,paperUSD,-26617.62638,-24801.0,92831319.0,0,-126617.62638,-124801.0,USD,-26617.62638,-24801.0,0
20160509 23:37:50 EST,paperUSD,-28726.47366,-26893.0,93673683.0,0,-128726.47366,-126893.0,USD,-28726.47366,-26893.0,0
20160510 00:09:50 EST,paperUSD,-27450.3468,-25600.0,94517340.0,0,-127450.3468,-125600.0,USD,-27450.3468,-25600.0,0
20160510 00:51:13 EST,paperUSD,-28467.23994,-26600.0,95361997.0,0,-128467.23994,-126600.0,USD,-28467.23994,-26600.0,0
20160510 00:57:58 EST,paperUSD,-29484.11308,-27600.0,96205654.0,0,-129484.11308,-127600.0,USD,-29484.11308,-27600.0,0
20160510 01:16:45 EST,paperUSD,-29069.9776,-27169.0,97048880.0,0,-129069.9776,-127169.0,USD,-29069.9776,-27169.0,0
20160510 01:46:52 EST,paperUSD,-31955.78474,-30038.0,97889237.0,0,-131955.78474,-130038.0,USD,-31955.78474,-30038.0,0
20160510 02:34:34 EST,paperUSD,-37771.70786,-35837.0,98735393.0,0,-137771.70786,-135837.0,USD,-37771.70786,-35837.0,0
20160510 03:06:39 EST,paperUSD,-38383.61908,-36432.0,99580954.0,0,-138383.61908,-136432.0,USD,-38383.61908,-36432.0,0
20160510 03:22:30 EST,paperUSD,-41116.58462,-39148.0,100429231.0,0,-141116.58462,-139148.0,USD,-41116.58462,-39148.0,0
20160510 04:12:48 EST,paperUSD,-40894.55494,-38909.0,101277747.0,0,-140894.55494,-138909.0,USD,-40894.55494,-38909.0,0
20160510 21:46:06 EST,paperUSD,-42139.54982,-40137.0,102127491.0,0,-142139.54982,-140137.0,USD,-42139.54982,-40137.0,0
20160510 22:20:42 EST,paperUSD,-51934.34914,-49915.0,102967457.0,0,-151934.34914,-149915.0,USD,-51934.34914,-49915.0,0
20160510 22:33:56 EST,paperUSD,-52885.16714,-50849.0,103808357.0,0,-152885.16714,-150849.0,USD,-52885.16714,-50849.0,0
20160511 00:26:16 EST,paperUSD,-48968.06382,-46915.0,104653191.0,0,-148968.06382,-146915.0,USD,-48968.06382,-46915.0,0
20160511 00:42:20 EST,paperUSD,-49984.9805,-47915.0,105499025.0,0,-149984.9805,-147915.0,USD,-49984.9805,-47915.0,0
20160511 00:59:27 EST,paperUSD,-51001.87718,-48915.0,106343859.0,0,-151001.87718,-148915.0,USD,-51001.87718,-48915.0,0
20160511 01:23:11 EST,paperUSD,-50577.76504,-48474.0,107188252.0,0,-150577.76504,-148474.0,USD,-50577.76504,-48474.0,0
