permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
238,Paper,Paper,2.0,USD,IDEALPRO,238.0,,,1.0,0.97554,20000.0,-10000.0,17.63668,SLD,USD,CHF,20160323 12:42:45 EST,,19.63668,19294.58254,251501.29609,0.97554,19770.58254,17.63668
239,Paper,Paper,2.0,USD,IDEALPRO,239.0,,,1.0,1.32004,20000.0,10000.0,6.44562,BOT,USD,CAD,20160323 12:42:46 EST,,8.44562,19301.02816,251501.29609,1.32004,19779.02816,6.44562
240,Paper,Paper,2.0,USD,IDEALPRO,240.0,,,1.0,0.66939,20000.0,10000.0,-3.7,BOT,NZD,USD,20160323 12:42:47 EST,,-1.7,19297.32816,251501.29609,0.66939,19777.32816,-3.7
241,Paper,Paper,2.0,USD,IDEALPRO,241.0,,,1.0,0.75339,20000.0,10000.0,-11.4,BOT,AUD,USD,20160323 12:58:40 EST,,-9.4,19285.92816,251501.29609,0.75339,19767.92816,-11.4
242,Paper,Paper,2.0,USD,IDEALPRO,242.0,,,1.0,1.41006,20000.0,-10000.0,-15.6,SLD,GBP,USD,20160323 13:03:47 EST,,-13.6,19270.32816,251501.29609,1.41006,19754.32816,-15.6
243,Paper,Paper,2.0,USD,IDEALPRO,243.0,,,1.0,0.97607,20000.0,10000.0,-7.36466,BOT,USD,CHF,20160323 13:08:55 EST,,-5.36466,19262.9635,251501.29609,0.97607,19748.9635,-7.36466
244,Paper,Paper,2.0,USD,IDEALPRO,244.0,,,1.0,0.6699,20000.0,-10000.0,3.1,SLD,NZD,USD,20160323 13:08:55 EST,,5.1,19266.0635,251501.29609,0.6699,19754.0635,3.1
245,Paper,Paper,2.0,USD,IDEALPRO,245.0,,,1.0,75.561,20000.0,10000.0,-4.464,BOT,NZD,JPY,20160323 13:14:02 EST,,-2.464,19261.5995,251501.29609,75.561,19751.5995,-4.464
246,Paper,Paper,2.0,USD,IDEALPRO,246.0,,,1.0,115.452,20000.0,10000.0,20.528,BOT,CHF,JPY,20160323 13:19:06 EST,,22.528,19282.1275,251501.29609,115.452,19774.1275,20.528
247,Paper,Paper,2.0,USD,IDEALPRO,247.0,,,1.0,158.789,20000.0,-10000.0,-10.448,SLD,GBP,JPY,20160323 13:19:09 EST,,-8.448,19271.6795,251501.29609,158.789,19765.6795,-10.448
248,Paper,Paper,2.0,USD,IDEALPRO,248.0,,,1.0,1.1182,20000.0,10000.0,-2.3,BOT,EUR,USD,20160323 13:29:26 EST,,-0.3,19269.3795,251501.29609,1.1182,19765.3795,-2.3
249,Paper,Paper,2.0,USD,IDEALPRO,249.0,,,1.0,1.41016,20000.0,10000.0,-3.0,BOT,GBP,USD,20160323 13:29:27 EST,,-1.0,19266.3795,251501.29609,1.41016,19764.3795,-3.0
250,Paper,Paper,2.0,USD,IDEALPRO,250.0,,,1.0,0.97541,20000.0,-10000.0,-8.68052,SLD,USD,CHF,20160323 13:34:47 EST,,-6.68052,19257.69898,251501.29609,0.97541,19757.69898,-8.68052
251,Paper,Paper,2.0,USD,IDEALPRO,251.0,,,1.0,0.79262,20000.0,-10000.0,4.34725,SLD,EUR,GBP,20160323 13:34:50 EST,,6.34725,19262.04623,251501.29609,0.79262,19764.04623,4.34725
252,Paper,Paper,2.0,USD,IDEALPRO,252.0,,,1.0,0.67089,20000.0,10000.0,-11.9,BOT,NZD,USD,20160323 13:34:52 EST,,-9.9,19250.14623,251501.29609,0.67089,19754.14623,-11.9
253,Paper,Paper,2.0,USD,IDEALPRO,253.0,,,1.0,115.423,20000.0,-10000.0,-4.552,SLD,CHF,JPY,20160323 13:45:12 EST,,-2.552,19245.59423,251501.29609,115.423,19751.59423,-4.552
254,Paper,Paper,2.0,USD,IDEALPRO,254.0,,,1.0,158.734,20000.0,10000.0,2.84,BOT,GBP,JPY,20160323 13:45:13 EST,,4.84,19248.43423,251501.29609,158.734,19756.43423,2.84
255,Paper,Paper,2.0,USD,IDEALPRO,255.0,,,1.0,84.83,20000.0,10000.0,2.048,BOT,AUD,JPY,20160323 13:50:44 EST,,4.048,19250.48223,251501.29609,84.83,19760.48223,2.048
256,Paper,Paper,2.0,USD,IDEALPRO,256.0,,,1.0,1.11805,20000.0,-10000.0,-3.5,SLD,EUR,USD,20160323 13:55:40 EST,,-1.5,19246.98223,251501.29609,1.11805,19758.98223,-3.5
257,Paper,Paper,2.0,USD,IDEALPRO,257.0,,,1.0,1.41072,20000.0,-10000.0,3.6,SLD,GBP,USD,20160323 13:55:41 EST,,5.6,19250.58223,251501.29609,1.41072,19764.58223,3.6
258,Paper,Paper,2.0,USD,IDEALPRO,258.0,,,1.0,0.75375,20000.0,-10000.0,1.6,SLD,AUD,USD,20160323 13:55:41 EST,,3.6,19252.18223,251501.29609,0.75375,19768.18223,1.6
