trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,purebalance,pure_unr_pnl,unr_pnl
43.0,-2.0,,,,0.0,,GBPJPY,short,,20160410 21:04:53 EST,open,20160410 21:04:53 EST,152.916,,,0.0,2.0,,GBPJPY,,0.0,-2.0,JPY,99482.21842,2.0,1707252.6871,100987.07064,101159.07064,99624.21842,,
19.0,-64.016,20160410 21:05:32 EST,20160410 21:05:32 EST,20160410 21:05:32 EST,81.873,,AUDJPY,short,,20160410 17:38:47 EST,closed,20160410 17:38:47 EST,81.532,,,2.0,2.0,,AUDJPY,,-60.016,2.0,JPY,99420.20242,4.0,1721662.3351,100647.39064,100819.39064,99564.20242,279.664,277.664
29.0,-5.0,20160410 21:07:59 EST,20160410 21:07:59 EST,20160410 21:07:59 EST,1.14071,,EURUSD,long,,20160410 19:39:31 EST,closed,20160410 19:39:31 EST,1.14076,,,2.0,2.0,,EURUSD,,-1.0,-2.0,USD,99415.20242,4.0,1730066.8871,100878.70264,101054.70264,99563.20242,-18.6,-20.6
32.0,-5.232,20160410 21:08:33 EST,20160410 21:08:33 EST,20160410 21:08:33 EST,123.458,,EURJPY,long,,20160410 20:06:05 EST,closed,20160410 20:06:05 EST,123.465,,,2.0,2.0,,EURJPY,,-1.232,-2.0,JPY,99409.97042,4.0,1728981.2951,100648.79064,100828.79064,99561.97042,207.68,205.68
46.0,-2.0,,,,0.0,,EURJPY,short,,20160410 21:08:33 EST,open,20160410 21:08:33 EST,123.458,,,0.0,2.0,,EURJPY,,0.0,-2.0,JPY,99407.97042,2.0,1707252.6871,100854.75864,101038.75864,99561.97042,,
36.0,-7.8,20160410 21:08:35 EST,20160410 21:08:35 EST,20160410 21:08:35 EST,1.41281,,GBPUSD,long,,20160410 20:11:34 EST,closed,20160410 20:11:34 EST,1.413,,,2.0,2.0,,GBPUSD,,-3.8,-2.0,USD,99402.17042,4.0,1735508.8871,100885.35864,101069.35864,99558.17042,-34.4,-36.4
47.0,-2.0,,,,0.0,,GBPUSD,short,,20160410 21:08:35 EST,open,20160410 21:08:35 EST,1.41281,,,0.0,2.0,,GBPUSD,,0.0,-2.0,USD,99400.17042,2.0,1707252.6871,100852.35864,101040.35864,99558.17042,,
33.0,-4.88,20160410 21:09:08 EST,20160410 21:09:08 EST,20160410 21:09:08 EST,108.234,,USDJPY,long,,20160410 20:06:42 EST,closed,20160410 20:06:42 EST,108.239,,,2.0,2.0,,USDJPY,,-0.879999999999,-2.0,JPY,99397.29042,4.0,1726301.8711,100655.59064,100843.59064,99557.29042,195.888,193.888
48.0,-2.0,,,,0.0,,USDJPY,short,,20160410 21:09:08 EST,open,20160410 21:09:08 EST,108.234,,,0.0,2.0,,USDJPY,,0.0,-2.0,JPY,99395.29042,2.0,1707252.6871,100849.06264,101041.06264,99557.29042,,
39.0,-5.2,20160410 21:09:22 EST,20160410 21:09:22 EST,20160410 21:09:22 EST,0.75638,,AUDUSD,short,,20160410 20:37:51 EST,closed,20160410 20:37:51 EST,0.75632,,,2.0,2.0,,AUDUSD,,-1.2,2.0,USD,99392.09042,4.0,1722380.2871,100772.26264,100964.26264,99556.09042,75.6,73.6
