Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency
20160323 11:42:50 EST,paperUSD,19842.2963,19998.2963,302412.49692,0,-157.7037,-1.7037,USD
20160323 11:43:22 EST,paperUSD,19840.2963,19998.2963,288297.59692,0,-159.7037,-1.7037,USD
20160323 11:50:04 EST,paperUSD,19838.2963,19998.2963,277121.69692,0,-161.7037,-1.7037,USD
20160323 11:50:39 EST,paperUSD,19844.9963,20006.9963,284654.59692,0,-155.0037,6.9963,USD
20160323 11:50:39 EST,paperUSD,19842.9963,20006.9963,277121.69692,0,-157.0037,6.9963,USD
20160323 11:53:56 EST,paperUSD,19840.9963,20006.9963,254964.35292,0,-159.0037,6.9963,USD
20160323 11:57:32 EST,paperUSD,19841.22314,20009.22314,264818.22114,0,-158.77686,9.22314,USD
20160323 12:05:23 EST,paperUSD,19841.12314,20011.12314,287167.62114,0,-158.87686,11.12314,USD
20160323 12:05:23 EST,paperUSD,19839.12314,20011.12314,275992.92114,0,-160.87686,11.12314,USD
20160323 12:08:32 EST,paperUSD,19836.50714,20010.50714,287070.97714,0,-163.49286,10.50714,USD
20160323 12:11:40 EST,paperUSD,19834.50714,20010.50714,267350.89186,0,-165.49286,10.50714,USD
20160323 12:13:14 EST,paperUSD,19834.20714,20012.20714,274885.49186,0,-165.79286,12.20714,USD
20160323 12:13:14 EST,paperUSD,19832.20714,20012.20714,267350.89186,0,-167.79286,12.20714,USD
20160323 12:25:05 EST,paperUSD,19855.03978,20037.03978,287090.20894,0,-144.960219993,37.0397800067,USD
20160323 12:43:43 EST,paperUSD,19869.70734,20053.70734,296964.11872,0,-130.29265999,53.7073400101,USD
20160323 12:51:17 EST,paperUSD,19901.12974,20087.12974,306880.75072,0,-98.87025999,87.1297400101,USD
20160323 12:51:17 EST,paperUSD,19899.12974,20087.12974,287047.48672,0,-100.87025999,87.1297400101,USD
20160323 12:51:50 EST,paperUSD,19877.02974,20067.02974,301142.28672,0,-122.97025999,67.0297400101,USD
20160323 12:51:50 EST,paperUSD,19875.02974,20067.02974,287047.48672,0,-124.97025999,67.0297400101,USD
20160323 12:54:27 EST,paperUSD,19866.72974,20060.72974,298215.88672,0,-133.27025999,60.7297400101,USD
20160323 12:54:27 EST,paperUSD,19864.72974,20060.72974,287047.48672,0,-135.27025999,60.7297400101,USD
20160323 12:58:03 EST,paperUSD,19862.72974,20060.72974,275971.01472,0,-137.27025999,60.7297400101,USD
20160323 13:00:43 EST,paperUSD,19860.72974,20060.72974,266090.3232,0,-139.27025999,60.7297400101,USD
20160323 13:07:36 EST,paperUSD,19862.32974,20064.32974,280181.5232,0,-137.67025999,64.3297400101,USD
