permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
36,Paper,Paper,2.0,USD,IDEALPRO,36.0,,,1.0,84.923,20000.0,-20000.0,44.024,BOT,CAD,JPY,20160414 09:56:39 EST,,46.024,99534.2,1966780.352,99530.816,85.1845,99606.816,99606.2,44.024
37,Paper,Paper,2.0,USD,IDEALPRO,37.0,,,1.0,109.162,20000.0,40000.0,-2.0,BOT,USD,JPY,20160414 12:36:14 EST,,0.0,99532.2,1947567.84,99535.856,109.2065,99613.856,99606.2,-2.0
38,Paper,Paper,2.0,USD,IDEALPRO,38.0,,,1.0,85.041,20000.0,-40000.0,-2.0,SLD,CAD,JPY,20160414 12:36:15 EST,,0.0,99530.2,1932600.624,99532.624,85.11275,99612.624,99606.2,-2.0
39,Paper,Paper,2.0,USD,IDEALPRO,39.0,,,1.0,109.235,20000.0,20000.0,3.016,SLD,USD,JPY,20160414 12:55:26 EST,,5.016,99533.216,1951825.984,99563.008,109.2065,99645.008,99611.216,3.016
40,Paper,Paper,2.0,USD,IDEALPRO,40.0,,,1.0,85.031,20000.0,-20000.0,12.388,BOT,CAD,JPY,20160414 12:55:27 EST,,14.388,99545.604,1966791.44,99561.008,85.11275,99645.008,99625.604,12.388
41,Paper,Paper,2.0,USD,IDEALPRO,41.0,,,1.0,85.492,20000.0,-40000.0,-2.0,SLD,CAD,JPY,20160414 21:39:59 EST,,0.0,99543.604,1951744.848,99538.416,85.302375,99624.416,99625.604,-2.0
42,Paper,Paper,2.0,USD,IDEALPRO,42.0,,,1.0,109.594,20000.0,40000.0,-2.0,BOT,USD,JPY,20160414 21:40:31 EST,,0.0,99541.604,1932456.304,99539.408,109.40025,99627.408,99625.604,-2.0
43,Paper,Paper,2.0,USD,IDEALPRO,43.0,,,1.0,109.32,20000.0,20000.0,-16.124,SLD,USD,JPY,20160415 04:22:13 EST,,-14.124,99525.48,1951696.624,99540.224,109.40025,99630.224,99611.48,-16.124
44,Paper,Paper,2.0,USD,IDEALPRO,44.0,,,1.0,85.209,20000.0,-20000.0,14.434,BOT,CAD,JPY,20160415 04:22:14 EST,,16.434,99539.914,1966693.408,99538.224,85.302375,99630.224,99627.914,14.434
45,Paper,Paper,2.0,USD,IDEALPRO,45.0,,,1.0,108.952,20000.0,0.0,-80.892,SLD,USD,JPY,20160415 07:03:20 EST,,-78.892,99459.022,1985868.96,99544.56,109.40025,99636.56,99549.022,-80.892
46,Paper,Paper,2.0,USD,IDEALPRO,46.0,,,1.0,84.814,20000.0,0.0,83.954,BOT,CAD,JPY,20160415 07:03:50 EST,,85.954,99542.976,2000796.224,99542.976,85.302375,99634.976,99634.976,83.954
47,Paper,Paper,2.0,USD,IDEALPRO,47.0,,,1.0,108.656,20000.0,20000.0,-2.0,BOT,USD,JPY,20160415 12:57:32 EST,,0.0,99540.976,1981672.768,99538.624,108.656,99634.624,99634.976,-2.0
48,Paper,Paper,2.0,USD,IDEALPRO,48.0,,,1.0,84.63,20000.0,-20000.0,-2.0,SLD,CAD,JPY,20160415 12:57:33 EST,,0.0,99538.976,1966777.888,99533.92,84.63,99633.92,99634.976,-2.0
