trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,underlying
101554953,2,1459310363,2016-03-29 22:26:52,1459304812,1.12911,,forex,long,,1459290555,closed,2016-03-29 18:29:11,1.12888,10000,,1,1,,EURUSD,,
101557210,0,1459310363,2016-03-29 22:46:28,1459305988,1.12911,,forex,short,,1459304820,closed,2016-03-29 22:26:57,1.12914,10000,,1,1,,EURUSD,,
101554986,1,1459310363,2016-03-29 22:46:49,1459306009,1.09146,,forex,long,,1459290616,closed,2016-03-29 18:30:13,1.09138,10000,,1,1,,EURCHF,,
101557336,4,1459310363,2016-03-29 23:07:11,1459307231,1.12948,,forex,long,,1459305996,closed,2016-03-29 22:46:33,1.12910,10000,,1,1,,EURUSD,,
101556884,8,1459310363,2016-03-29 23:17:10,1459307830,116.395,,forex,short,,1459302408,closed,2016-03-29 21:46:45,116.48400,10000,,1,1,,CHFJPY,,
101557339,-3,1459310363,2016-03-29 23:47:21,1459309641,1.09171,,forex,short,,1459306026,closed,2016-03-29 22:46:55,1.09146,10000,,1,1,,EURCHF,,
101557462,-5,1459307244,2016-03-30 01:36:16,1459316176,1.12994,,forex,short,2016-03-29 23:07:24,1459307244,closed,2016-03-29 23:07:21,1.12947,10000,,1,1,,EURUSD,,
101557771,5,1459309649,2016-03-30 01:47:20,1459316840,1.09208,,forex,long,2016-03-29 23:47:29,1459309649,closed,2016-03-29 23:47:25,1.09160,10000,,1,1,,EURCHF,,
101556041,-8,1459297018,2016-03-30 02:16:15,1459318575,85.839,,forex,long,2016-03-29 20:16:58,1459297018,closed,2016-03-29 20:16:55,85.93200,10000,,1,1,,AUDJPY,,
101557035,-10,1459303604,2016-03-30 02:46:29,1459320389,0.96572,,forex,long,2016-03-29 22:06:44,1459303605,closed,2016-03-29 22:06:39,0.96670,10000,,1,1,,USDCHF,,
101558870,-2,1459318583,2016-03-30 02:56:48,1459321008,85.879,,forex,short,2016-03-30 02:16:23,1459318583,closed,2016-03-30 02:16:20,85.85100,10000,,1,1,,AUDJPY,,
